[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[02:11:58.791 --> 02:12:07.359]  People who have posed as people who are seeking the truth come on your show, gaslight you and your audience and say, hey, I want nothing to do with you.
[02:12:10.715 --> 02:12:15.256]  And so, you know, I think that we ought to remain skeptical because that's healthy.
[02:12:15.256 --> 02:12:16.217]  That's adult.
[02:12:16.217 --> 02:12:17.397]  And we should be pro-human.
[02:12:17.397 --> 02:12:18.297]  And I like that.
[02:12:18.297 --> 02:12:20.838]  I like some of the drops that are very, very pro-human.
[02:12:20.838 --> 02:12:24.159]  But let's not pretend that this thing is infallible.
[02:12:24.159 --> 02:12:26.320]  Let's be about, you know, Trump 2020.
[02:12:26.320 --> 02:12:28.181]  Let's be about making America great again.
[02:12:28.181 --> 02:12:30.101]  Let's be about American sovereignty.
[02:12:30.101 --> 02:12:32.382]  But everything else deserves to be questioned.
[02:12:32.882 --> 02:12:36.484]  And it ought to be put through a really, really rigorous vetting system.
[02:12:36.484 --> 02:12:44.729]  And what we're seeing is that a lot of these people happen to be imploding and exploding here in the last leg of Trump's reelection.
[02:12:44.729 --> 02:12:45.969]  And that's not a coincidence.
[02:12:45.969 --> 02:12:46.950]  You predicted this.
[02:12:46.950 --> 02:12:47.690]  I predicted this.
[02:12:47.690 --> 02:12:49.231]  Other people predicted this.
[02:12:49.231 --> 02:12:56.555]  And so we got to look for the bad elements that have infiltrated Q, because it's very easy to infiltrate Q. Very, very easy.
[02:12:56.555 --> 02:12:57.016]  That's right.
[02:12:57.016 --> 02:12:57.576]  I mean, it's like
[02:12:57.876 --> 02:13:02.840]  Having your windows open, your front door open, I mean, this is just, it's just, it's designed for that.
[02:13:02.840 --> 02:13:11.927]  And if PS can't admit that they got snookered on something, but because they were good, tens of millions came to it because they were good and it made it a lot better.
[02:13:11.927 --> 02:13:13.788]  And the president almost started embracing it.
[02:13:13.788 --> 02:13:16.330]  And I know the inside baseball folks and everybody involved.
[02:13:16.330 --> 02:13:21.594]  So we want to embrace Q, but we can't have it if it's a schizophrenic
[02:13:22.014 --> 02:13:22.554]  Operation.
[02:13:22.554 --> 02:13:27.836]  We just cannot have a weird, occultic thing where we go to an Oracle or Delphi and it tells us what to do.
[02:13:27.836 --> 02:13:29.337]  Let's shift gears the last two minutes.
[02:13:29.337 --> 02:13:30.697]  What are other big topics you got?
[02:13:30.697 --> 02:13:32.198]  What do you think about the RNC?
[02:13:32.198 --> 02:13:34.138]  Trump declaring the Democrats the enemy.
[02:13:34.138 --> 02:13:36.339]  Pelosi declaring Republicans enemies of the state.
[02:13:36.339 --> 02:13:38.440]  I mean, this rhetoric's really coming down to reality.
[02:13:38.440 --> 02:13:39.700]  Who is the enemy of the state?
[02:13:39.700 --> 02:13:40.661]  Who is the enemy of America?
[02:13:40.661 --> 02:13:41.401]  Well, I think we know who they are.
[02:13:42.509 --> 02:13:47.091]  Yeah, I think that the RNC is outperforming the DNC hands down.
[02:13:47.091 --> 02:13:57.616]  I read an article today that said the RNC on its first night had four times the viewers than the DNC, and that was kind of the tempo that I got just from a couple of glances last night.
[02:13:57.616 --> 02:14:00.097]  So the Republicans seem to have pulled the rabbit out of the hat.
[02:14:00.097 --> 02:14:05.520]  I was really nervous about this whole virtual convention, but I think that we'll have a good night because Team Trump
[02:14:05.560 --> 02:14:05.720]  I think?
[02:14:28.015 --> 02:14:28.115]  Yes.
[02:14:46.039 --> 02:14:46.439]  That's right.
[02:14:46.439 --> 02:14:50.943]  This is really all an exercise on them stealing everything they can up front.
[02:14:50.943 --> 02:14:52.524]  They are losing intellectually worldwide.
[02:14:52.524 --> 02:14:53.164]  We're not just putting
[02:15:06.914 --> 02:15:07.974]  Perfume on a pig here.
[02:15:07.974 --> 02:15:18.378]  We're winning, humanity's awakening, but now the enemy is going to fight back with their rearguard action, a scorched earth action, and it's just good to see, and I did see the ratings were way higher for the Republicans.
[02:15:18.378 --> 02:15:22.879]  The Democrats were so empty, so plastic, even with fake actors as the audience.
[02:15:22.879 --> 02:15:27.160]  I mean, they really just are, are, are, are nobodies because they, they have nothing inside of them.
[02:15:27.160 --> 02:15:29.081]  Ali Alexander, thank you so much for the time.
[02:15:29.081 --> 02:15:34.043]  People can find you at A-L-I on Twitter and so much more.
[02:15:34.043 --> 02:15:34.663]  Thank you so much.
[02:15:35.435 --> 02:15:35.715]  Thank you.
[02:15:35.715 --> 02:15:36.977]  See you tomorrow.
[02:15:36.977 --> 02:15:37.998]  All right.
[02:15:37.998 --> 02:15:40.762]  Ladies and gentlemen, we have got Chad Prather coming up.
[02:15:40.762 --> 02:15:42.243]  He's running for governor.
[02:15:42.243 --> 02:15:46.789]  What's going to Jeffrey Epstein, Joe Biden's cognitive ability or lack thereof and so much more.
[02:15:46.789 --> 02:15:47.810]  He's a great guest.
[02:15:47.810 --> 02:15:48.391]  Stay with us.
[02:15:48.391 --> 02:15:49.072]  I'm Alex Jones.
[02:15:54.386 --> 02:15:59.630]  This is a pandemic survival alert, and the most time-sensitive messages you will hear this year.
[02:15:59.630 --> 02:16:05.574]  You still have time to plant a one-acre crisis garden and secure a supply of your own nutrient-dense food.
[02:16:05.574 --> 02:16:09.137]  But time is running out, and it's one deadline you don't want to miss.
[02:16:09.137 --> 02:16:10.838]  Who should plant a crisis garden?
[02:16:10.838 --> 02:16:16.242]  Individuals, families, churches, communities, anyone or any group that sees hard times ahead.
[02:16:16.242 --> 02:16:23.027]  Let's face it, even the mainline media is talking about food supply disruptions and the growing number of grocery store workers who are becoming sick.
[02:16:23.027 --> 02:16:23.708]  But there's more.
[02:16:23.908 --> 02:16:29.932]  Meatpacking plants are closing, mile-long lines at food pantries, and more farmers now in financial trouble.
[02:16:29.932 --> 02:16:35.876]  The truth is, growing nutrient-dense vegetables this summer may be the single most important thing you do.
[02:16:35.876 --> 02:16:41.560]  Go to SurvivalSeedBank.com and watch the new video to understand what we're really up against.
[02:16:41.560 --> 02:16:45.023]  Get free bonus seeds, special quarantine reports, too.
[02:16:45.023 --> 02:16:45.743]  Don't wait.
[02:16:45.743 --> 02:16:47.124]  Every minute counts.
[02:16:47.124 --> 02:16:50.026]  Go to SurvivalSeedBank.com.
[02:16:50.026 --> 02:16:52.068]  That's SurvivalSeedBank.com.
[02:16:53.652 --> 02:16:59.658]  There's so much hand sanitizer on the market, but beware, not all hand sanitizers are created equal.
[02:16:59.658 --> 02:17:02.902]  That's why you want to use 2020 Safe Hand Sanitizer.
[02:17:02.902 --> 02:17:08.608]  You can trust the hand sanitizer on 2020safe.net to be made with the highest quality ingredients.
[02:17:08.608 --> 02:17:12.212]  American made, with American ingredients, employing American.
[02:17:12.632 --> 02:17:16.973]  Log on now to 2020safe.net and order your one liter today.
[02:17:16.973 --> 02:17:20.134]  Normally $29.99, but reduced to $19.99.
[02:17:20.134 --> 02:17:23.515]  So hurry while supplies last and receive a bonus.
[02:17:23.515 --> 02:17:24.516]  That's right.
[02:17:24.516 --> 02:17:31.838]  You'll receive a 30-count bottle of Immune Booster, a $39.95 value free by using code GCN at checkout.
[02:17:32.278 --> 02:17:32.798]  Right now.
[02:17:32.798 --> 02:17:34.699]  Click 2020SAFE.net.
[02:17:34.699 --> 02:17:38.121]  That's 2-0-2-0-S-A-F-E dot net.
[02:17:38.121 --> 02:17:42.924]  To get our 1 liter bottle of high quality hand sanitizer with your free bonus.
[02:17:42.924 --> 02:17:46.746]  A 30 count bottle of Immune Booster valued at $39.95.
[02:17:46.746 --> 02:17:48.948]  Remember to enter GCN at checkout.
[02:17:48.948 --> 02:17:50.349]  And the bonus is yours.
[02:17:50.349 --> 02:17:50.669]  Free.
[02:17:50.669 --> 02:17:51.149]  2020SAFE.net.
[02:17:55.114 --> 02:17:58.435]  This is a maximum alert, a maximum alert.
[02:17:58.435 --> 02:18:02.376]  As of taping this alert, we are 82 days out from the election.
[02:18:02.376 --> 02:18:11.958]  As many of you know, in the last year, I've pointed out statements out of the Council on Foreign Relations and other globalist organs that they know Trump is going to win in a landslide.
[02:18:11.958 --> 02:18:17.339]  So their strategy will be to contest the election if they fail to successfully steal it.
[02:18:17.859 --> 02:18:20.061]  Then, they are openly now war-gaming.
[02:18:20.061 --> 02:18:21.482]  This is in the New York Times.
[02:18:21.482 --> 02:18:29.928]  Having Democrat states and cities secede from the Union, just like they've ignored Trump's policies on coronavirus and kept their areas locked down.
[02:18:29.928 --> 02:18:32.390]  That is nothing but a dress rehearsal.
[02:18:32.390 --> 02:18:36.153]  They are saying they're going to have their own separate inauguration, not in D.C.
[02:18:36.153 --> 02:18:37.654]  They said in another city.
[02:18:37.654 --> 02:18:38.755]  Pelosi has said this.
[02:18:39.435 --> 02:18:42.856]  When they crown Biden and Kamala Harris.
[02:18:42.856 --> 02:18:46.538]  Ladies and gentlemen, this is the organized civil war.
[02:18:46.538 --> 02:18:48.799]  This is their public criminal plan.
[02:18:48.799 --> 02:18:49.979]  We should be praying.
[02:18:49.979 --> 02:18:51.200]  We should be spreading the word.
[02:18:51.200 --> 02:18:54.501]  We should be demanding Trump on the office to expose this criminal activity.
[02:18:55.882 --> 02:18:58.024]  How do you contest an election in the year 2020?
[02:18:58.024 --> 02:19:08.573]  Well, you trigger race riots and you tell the blue states and blue cities, when you're the Speaker of the House, that you are legitimately now the President.
[02:19:08.573 --> 02:19:11.235]  That's what she said on CBS News.
[02:19:11.235 --> 02:19:13.397]  And that you're going to have those blue states secede.
[02:19:14.298 --> 02:19:18.140]  Yes, that's officially called a civil war, ladies and gentlemen.
[02:19:18.140 --> 02:19:22.522]  And the Democrats are backed by the EU, Hollywood, the chi-coms, and the whole globalist system.
[02:19:22.522 --> 02:19:32.807]  This is treason with a capital T. And our federal government is so paralyzed with cowards, they won't even stand up against it and do anything, even though our president has been exposing it.
[02:19:32.807 --> 02:19:33.528]  Here's the bottom line.
[02:19:34.068 --> 02:19:35.129]  You need storable food.
[02:19:35.129 --> 02:19:37.790]  We've got the best quality ready to ship to you right now.
[02:19:37.790 --> 02:19:39.130]  Two to four week delivery.
[02:19:39.130 --> 02:19:42.892]  With 80 days out from the election, you need to get high quality storable food right now.
[02:19:42.892 --> 02:19:46.034]  In case they are able to pull this off, we're going to have a Great Depression.
[02:19:46.034 --> 02:19:46.974]  We're on the streets.
[02:19:46.974 --> 02:19:48.635]  It'll make a road warrior look like a cakewalk.
[02:19:48.635 --> 02:19:53.677]  Get your high quality storable foods now and get ready and get prepared at InfoWarsTore.com.
[02:19:53.677 --> 02:19:58.680]  Get prepared.
[02:19:58.680 --> 02:20:01.301]  You're listening to the Alex Jones Show.
[02:20:25.289 --> 02:20:34.452]  All right, Chad Prather is our guest on YouTube, Chad Prather, P-R-A-T-H-E-R, and on Twitter.
[02:20:34.452 --> 02:20:39.533]  Watch Chad, he's got a successful popular show, The Blaze TV, and more.
[02:20:39.533 --> 02:20:44.455]  He's a successful national comedian, and of course, country and western, they got both types.
[02:20:45.055 --> 02:20:49.280]  A great musician will play one of his music videos, you know, with the lockdown coming up next segment.
[02:20:49.280 --> 02:20:50.942]  But thanks for coming on, my friend.
[02:20:50.942 --> 02:20:51.743]  Great to have you here.
[02:20:51.743 --> 02:20:53.145]  It was great being on your show.
[02:20:53.145 --> 02:20:54.726]  Got a lot of great feedback.
[02:20:54.726 --> 02:20:55.748]  Where do you want to start?
