[00:00:00.233 --> 00:00:00.314]  Oh.
[02:04:30.426 --> 02:04:36.548]  I believe we must join a president who will challenge the media to return to objective journalism.
[02:04:36.548 --> 02:04:47.171]  And together, I believe we must all embrace our First Amendment rights and not hide in fear of the media, or from the tech companies, or from the outrage mob either.
[02:04:48.240 --> 02:04:49.420]  This is worth fighting for.
[02:04:49.420 --> 02:04:52.401]  This is worth voting for.
[02:04:52.401 --> 02:04:54.981]  And this is what Donald Trump stands for.
[02:04:54.981 --> 02:04:58.622]  Thank you all for listening to me tonight.
[02:04:58.622 --> 02:05:00.403]  And one more thing.
[02:05:00.403 --> 02:05:04.744]  Let's make America great again.
[02:05:04.744 --> 02:05:09.065]  So the revolutionary act of wearing a red hat in D.C.
[02:05:09.065 --> 02:05:11.025]  at the Lincoln Memorial, he had to be set up.
[02:05:11.025 --> 02:05:14.406]  The very same group that works with Facebook that
[02:05:15.728 --> 02:05:18.190]  Those individuals were working with trying to set them up, set me up.
[02:05:18.190 --> 02:05:22.613]  They had these women come up and say, F you.
[02:05:22.613 --> 02:05:23.914]  You're married to your mother.
[02:05:23.914 --> 02:05:26.716]  You're an evil white person that's inbred.
[02:05:26.716 --> 02:05:32.500]  You know, you're, you're, I mean, we put the video out and I was saying, I'm against your racism.
[02:05:32.500 --> 02:05:33.741]  You're Brown Ku Klux Klan.
[02:05:33.741 --> 02:05:38.744]  They edited it to say Jones attacks innocent Native American women, but they ignore him and walk away.
[02:05:39.611 --> 02:05:43.292]  And so that was just a month or so before that happened.
[02:05:43.292 --> 02:05:45.913]  They were waiting when I came out to do it with the very same group.
[02:05:45.913 --> 02:05:48.154]  It's called Now This or whatever.
[02:05:48.154 --> 02:05:53.116]  So they do this over and over and over and over again.
[02:05:53.116 --> 02:05:54.577]  This is really blown up in their face though.
[02:05:55.205 --> 02:05:55.785]  It really is.
[02:05:55.785 --> 02:05:58.727]  By the way, Ali Alexander is here with us again today.
[02:05:58.727 --> 02:06:03.970]  We got cut short yesterday, so I wanted to get him back to handicap the election and give his views on Trump as a political analyst.
[02:06:03.970 --> 02:06:04.451]  Good to have you here.
[02:06:04.451 --> 02:06:04.891]  Sorry, go ahead.
[02:06:04.891 --> 02:06:06.232]  Hey, no, thanks Alex.
[02:06:06.232 --> 02:06:20.621]  Yeah, I think it's funny because, you know, that clip when it was going around the world, people thought, oh my gosh, these guys are bad, they're white, they're Catholic, and we can see the agenda is anti-white, it's anti-Catholic, it's anti-Republican, anti-Southern, and anti-Donald Trump.
[02:06:21.461 --> 02:06:28.765]  Uh, but, you know, I'm glad they got called out and we got to see, hey, this is a teenager and awkward smirk on his face and he's come out on top.
[02:06:28.765 --> 02:06:30.326]  So I think it's a real win for everybody.
[02:06:32.188 --> 02:06:36.029]  And of course, you've been involved heavily with the Covington Catholic.
[02:06:36.029 --> 02:06:36.870]  Yeah, 60 families.
[02:06:36.870 --> 02:06:39.490]  I did pro bono services for 60 of the families.
[02:06:39.490 --> 02:06:43.932]  It wasn't just Nick Salmon who was being libeled and slandered in the news media.
[02:06:43.932 --> 02:06:46.573]  It was everybody.
[02:06:46.573 --> 02:06:49.874]  They ended up offering me money for my services, and I said, I can't take it.
[02:06:49.874 --> 02:06:51.514]  They said, well, Ollie, we're going to make a lot of money.
[02:06:51.514 --> 02:06:52.675]  I was like, I just can't take it.
[02:06:52.675 --> 02:06:53.475]  It felt good with my soul.
[02:06:54.255 --> 02:06:58.540]  Well, expanding on that, going back to that day, you had the black Israelite group.
[02:06:58.540 --> 02:07:00.783]  It's just like a black Nazi group.
[02:07:00.783 --> 02:07:03.686]  And they're literally screaming, we're going to kill you kids, we're going to get you.
[02:07:03.686 --> 02:07:08.572]  I mean, and the media had all that raw footage.
[02:07:08.572 --> 02:07:09.774]  And the kids all walked away.
[02:07:09.774 --> 02:07:11.996]  They were trying to get away, wait for their bus.
[02:07:11.996 --> 02:07:13.418]  And then, so they're retreating.
[02:07:13.638 --> 02:07:13.978]  Right.
[02:07:13.978 --> 02:07:15.959]  And finally they're retreated up against the wall.
[02:07:15.959 --> 02:07:16.339]  Right.
[02:07:16.339 --> 02:07:17.540]  And they're bad for what?
[02:07:17.540 --> 02:07:18.521]  Not slitting their own throats?
[02:07:18.521 --> 02:07:19.701]  I mean, this is crazy.
[02:07:19.701 --> 02:07:20.862]  Absolutely crazy.
[02:07:20.862 --> 02:07:21.602]  Absolutely crazy.
[02:07:21.602 --> 02:07:25.044]  And it was really, you know, the juxtaposition of the media was really interesting, right?
[02:07:25.044 --> 02:07:37.551]  Because at first they left out the black Israelites and it was a Vietnam veteran Native American was doing a ceremonial drumbeat and this was his right, his spiritual right, in front of the Lincoln Memorial.
[02:07:37.551 --> 02:07:39.552]  And it was like, okay, well that sounds weird.
[02:07:39.552 --> 02:07:40.392]  You know?
[02:07:40.392 --> 02:07:41.313]  You don't see that too often.
[02:07:42.054 --> 02:07:44.657]  And here comes the KKK commandos.
[02:07:44.657 --> 02:07:47.140]  The KKK kids from Kentucky.
[02:07:47.140 --> 02:07:48.501]  Covington Catholic.
[02:07:48.501 --> 02:07:51.645]  You know, they were just hijacking our brain with that cadence.
[02:07:51.645 --> 02:07:54.188]  You know?
[02:07:54.188 --> 02:07:58.853]  What's going to happen is the mainstream media, the corporate media, has absolutely no credibility and no one buys into what they say.
[02:08:00.020 --> 02:08:04.184]  I mean, they admit no one listens to us, no one believes us because you're known liars!
[02:08:04.184 --> 02:08:06.606]  Yeah, I think you got ahead of the curve.
[02:08:06.606 --> 02:08:13.593]  You know, a lot of people haven't believed me, but probably five or six years ago I said, you know, we're a decade away from there being no CNN.
[02:08:13.593 --> 02:08:16.156]  We're a decade away from there being no cable news.
[02:08:16.636 --> 02:08:24.023]  People don't realize that, you know, maybe 1 million or 2 million Americans are watching CNN during primetime.
[02:08:24.023 --> 02:08:27.306]  This is a country with 380 million residents.
[02:08:27.306 --> 02:08:30.249]  This is a country with 330 million citizens.
[02:08:30.249 --> 02:08:39.218]  It is tyranny, the idea that CNN can have a million viewers and dictate what legislation comes before the House of Representatives or the Senate.
[02:08:39.218 --> 02:08:40.639]  And they decide who gets censored!
[02:08:40.839 --> 02:08:45.040]  Yeah, and it's going to click for the American people like, uh, this math sucks.
[02:08:45.040 --> 02:08:51.521]  You know, forget what you think about, you know, Fox News, InfoWars, Mike Cernovich, Periscope, Twitter, blah, blah, blah, whatever.
[02:08:51.521 --> 02:08:53.181]  These independent creators, it won't matter.
[02:08:53.181 --> 02:08:55.342]  It's like the math sucks.
[02:08:55.342 --> 02:08:58.382]  So I think that you and your network, you guys have gotten ahead of it.
[02:08:58.382 --> 02:09:01.483]  You've built a loyal audience and that's what it's going to be.
[02:09:01.483 --> 02:09:05.544]  The PewDiePie's and the Alex Jones are going to be the curators of our future.
[02:09:06.502 --> 02:09:10.586]  If you go back to the Black Lives Matter that was almost all white people in D.C.
[02:09:10.586 --> 02:09:16.712]  coming in and ordering the woman to bow and to put her fist up, that was Nick Sandman Part 2.
[02:09:16.712 --> 02:09:17.132]  Yeah.
[02:09:17.132 --> 02:09:18.434]  Because, we'll show it when we come back.
[02:09:19.670 --> 02:09:26.292]  Tens of millions of views online, and it's just the act of heroism not giving in to the psychological demand to kneel.
[02:09:26.292 --> 02:09:27.852]  Yeah, it's the struggle session.
[02:09:27.852 --> 02:09:29.033]  Research Mao.
[02:09:29.033 --> 02:09:30.113]  China.
[02:09:30.113 --> 02:09:39.456]  Let's talk about struggle sessions, and then let's look at the campaign, and look at what Trump needs to do to ensure the win, but then what you think happens when the Democrats contest the election, which they say they'll do.
[02:09:39.456 --> 02:09:41.797]  67 days out, Alexander et al.
[02:09:41.797 --> 02:09:42.237]  on Twitter.
[02:09:42.237 --> 02:09:42.817]  We'll be right back.
[02:09:44.400 --> 02:09:50.923]  I'm going to say something right now that is one of the most important things I've ever said, so please listen very, very carefully.
[02:09:50.923 --> 02:09:56.825]  Donald Trump is not the reason they released COVID or had the lockdown.
[02:09:56.825 --> 02:10:01.467]  They already had this plan, the Rockefeller Foundation and Bill and Melinda Gates.
[02:10:01.467 --> 02:10:03.808]  It is beyond critical.
[02:10:03.808 --> 02:10:13.632]  It is life and death for you and your family to understand, no matter where you live on the planet, that this is a worldwide, world government takeover, on record, that it's never going to end.
[02:10:14.568 --> 02:10:16.649]  The United Nations has admitted that.
[02:10:16.649 --> 02:10:20.132]  First it's a month, then it's six months, then they say, okay, it's two years.
[02:10:20.132 --> 02:10:22.573]  They're now saying two years.
[02:10:22.573 --> 02:10:25.375]  They're now saying you'll never go back to normal.
[02:10:25.375 --> 02:10:27.677]  No more gatherings, no more anything.
[02:10:27.677 --> 02:10:31.840]  Constant forced inoculations that they admit don't even work.
[02:10:31.840 --> 02:10:34.682]  And the way they say they work, they change your DNA.
[02:10:34.682 --> 02:10:37.804]  This is the culling of the planet.
[02:10:37.804 --> 02:10:43.027]  This is the beginning of the straitjacket being put on you before you're slowly tortured to death and killed.
[02:10:43.027 --> 02:10:43.548]  Do you understand?
[02:10:45.291 --> 02:10:47.512]  Democrats are just going more and more left.
[02:10:47.512 --> 02:10:50.933]  Many positive about socialism, liking it more than capitalism.
[02:10:50.933 --> 02:10:56.916]  Many of the ideas we fought for that were considered radical are now mainstream.
[02:10:56.916 --> 02:11:04.239]  The radical left has taken over the Democratic Party and Joe Biden is marching in lockstep with them.
[02:11:04.239 --> 02:11:10.281]  Biden and the far left are promising to crush middle class families with trillions in new taxes.
[02:11:10.481 --> 02:11:12.643]  If you elect me, your taxes are going to be raised, not cut.
[02:11:12.643 --> 02:11:14.725]  Citizenship for 11 million undocumented folks.
[02:11:14.725 --> 02:11:15.126]  I guarantee you.
[02:11:29.200 --> 02:11:36.063]  In Joe Biden's America, the radical left get whatever they want and you get to pay for it.
[02:11:36.063 --> 02:11:39.966]  They've already taken over Joe Biden and the Democratic Party.
[02:11:39.966 --> 02:11:47.109]  Don't let them take over America.
[02:11:47.109 --> 02:11:49.751]  You're listening to the Alex Jones Show.
[02:12:05.355 --> 02:12:21.003]  Spend my days with a woman unkind Smoke my stuff and drink all my wine Made up my mind to make a new start Goin' to California with an AKM
[02:12:29.248 --> 02:12:30.129]  Ali Alexander.
[02:12:30.129 --> 02:12:32.591]  No, it's Ali Alexander.
[02:12:32.591 --> 02:12:34.112]  He says my surname, he says it too.
[02:12:34.112 --> 02:12:34.893]  I'm brain dead.
[02:12:34.893 --> 02:12:37.355]  I know it's Ali, like Muhammad Ali.
[02:12:37.355 --> 02:12:39.497]  Floats like a butterfly, stings like a bee.
[02:12:39.497 --> 02:12:40.998]  It's Ali Alexander.
[02:12:40.998 --> 02:12:50.866]  Yeah, you know, but I answer by, it's Ali, it's Ali, it's Ali, it's that son of a, you know, and it just depends.
[02:12:51.988 --> 02:12:54.649]  They say you're an Islamist extremist, but I love your response.
[02:12:54.649 --> 02:12:56.550]  The name Ali is a lot older than Islam.
[02:12:56.550 --> 02:12:57.271]  Explain this to people.
[02:12:57.271 --> 02:12:58.011]  Right, exactly.
[02:12:58.011 --> 02:13:00.112]  You know, I mean, Jesus was born a Jew.
[02:13:00.112 --> 02:13:03.074]  He came from the line of David and Jacob.
[02:13:03.074 --> 02:13:09.718]  You know, there in the Middle East, you had Romans, you had Jews, you had North Africans and Arabs, you know, before there were ever
[02:13:10.478 --> 02:13:17.043]  You know, European continent Christians, white European continent Christians, you know, there were some Romans.
[02:13:17.043 --> 02:13:18.164]  There were Arab Christians.
[02:13:18.164 --> 02:13:20.666]  So, you know, Ali predates Islam.
[02:13:20.666 --> 02:13:21.567]  Islam's 1,400 years old!
[02:13:23.564 --> 02:13:26.986]  But then it says, oh, we invented the mathematics and the alphabet.
[02:13:26.986 --> 02:13:28.307]  No, that was the Arabs did all that.
[02:13:28.307 --> 02:13:29.108]  That wasn't the Muslims.
[02:13:29.108 --> 02:13:30.029]  Right, exactly.
[02:13:30.029 --> 02:13:32.550]  And it's funny how people, you know, mess this history up.
[02:13:32.550 --> 02:13:36.293]  But yeah, you know, the Arabs, you know, they're the same line from Abraham.
[02:13:36.293 --> 02:13:38.915]  You know, Abram became Abraham.
[02:13:38.915 --> 02:13:41.497]  And he was an adult when he became an Israelite.
