[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[02:10:17.113 --> 02:10:23.235]  Human life will be impossible to be carried out in an original biological way by the year 2050.
[02:10:23.235 --> 02:10:27.077]  This is their stated goal.
[02:10:27.077 --> 02:10:36.622]  I'm sorry to have to report horrifying things like this to you, but only by facing the horror and not projecting your own decency onto the enemy when we turn this around.
[02:10:37.363 --> 02:10:42.774]  You must study their own writings, you must face the facts, and you must come to grips with it.
[02:10:42.774 --> 02:10:44.377]  You're all being incrementally destroyed.
[02:10:45.765 --> 02:10:54.927]  The Bible talks about there being ten kings of the earth that sit above the nation states and who give their power unto the one world leader, the Antichrist.
[02:10:54.927 --> 02:11:02.468]  And he has a beast system that no one can buy and or sell unless he has that mark in the forehead or in the palm of their hand.
[02:11:02.468 --> 02:11:09.630]  And we look back on all the warnings that were given and all just the common sense that you don't believe in God.
[02:11:10.410 --> 02:11:11.631]  Or prophecy.
[02:11:11.631 --> 02:11:18.075]  Giving governments and corporations the power to control who can buy and who can sell to track everything we do.
[02:11:18.075 --> 02:11:21.638]  It's not just a recipe, it's a blueprint for total enslavement.
[02:11:21.638 --> 02:11:32.365]  And now you look at Bill Gates, you look at Bloomberg and others who openly say, we're technocrats, we should decide how much salt you get, how much alcohol you get, how much red meat you get.
[02:11:32.365 --> 02:11:33.766]  We're technocrats, we know best.
[02:11:33.766 --> 02:11:37.748]  We're not going to set up the economy with a social score to totally control you.
[02:11:37.748 --> 02:11:39.490]  You snap your fingers, we're here.
[02:11:40.350 --> 02:11:43.793]  They're just rolling it out, and a lot of people are complying with it.
[02:11:43.793 --> 02:11:48.017]  It's insane.
[02:11:48.017 --> 02:11:50.640]  You're listening to the Alex Jones Show.
[02:12:11.442 --> 02:12:15.463]  Well, Laura Loomer is here from her campaign headquarters in Palm Beach, Florida.
[02:12:15.463 --> 02:12:18.364]  She had bad Skype problems last week, but she's back with us now.
[02:12:18.364 --> 02:12:23.345]  And I wanted to cover the waterfront with her about her campaign, about what she's seeing on the ground.
[02:12:23.345 --> 02:12:26.706]  Polls showed her way ahead of the other Republicans.
[02:12:26.706 --> 02:12:28.747]  She won even bigger than what they said.
[02:12:28.747 --> 02:12:31.728]  Now she's ahead in many polls against the Democrats she's running against.
[02:12:31.728 --> 02:12:33.508]  They are in full panic mode.
[02:12:33.508 --> 02:12:34.789]  And I was reading a Politico article.
[02:12:35.666 --> 02:12:41.274]  They were panicking that you've got massive Hispanic support there, that's normally Democrat in that district.
[02:12:41.274 --> 02:12:46.941]  I think you're a bellwether of the country of underdogs winning, but regardless, you're in the arena.
[02:12:46.941 --> 02:12:48.784]  Laura Loomer, give us a report from Florida.
[02:12:50.011 --> 02:12:52.513]  Well, again, thanks so much for having me back on, Alex.
[02:12:52.513 --> 02:12:59.217]  It's always great to see you, and we are 22 days away from Congresswoman Laura Loomer becoming a reality.
[02:12:59.217 --> 02:13:03.019]  So, stay tuned, get ready.
[02:13:03.019 --> 02:13:08.823]  Like you said, the polls were showing me being ahead, and that's how it is right now, too.
[02:13:08.823 --> 02:13:09.904]  It's a neck-and-neck race.
[02:13:12.125 --> 02:13:14.046]  You know, tooth and nail with Lois Frankel.
[02:13:14.046 --> 02:13:17.049]  I believe it's 46 to 45 percent.
[02:13:17.049 --> 02:13:20.411]  I, of course, am taking the lead with 46 percent.
[02:13:20.411 --> 02:13:22.293]  But you won't really see that.
[02:13:22.293 --> 02:13:31.900]  That's what our internal polling is showing us, and that's what some independent polls that are conducted by individuals who are publishing their polling online have been saying as well.
[02:13:31.900 --> 02:13:37.684]  But then Bloomberg, of course, has decided to pump in $100 million into the state of Florida.
[02:13:38.184 --> 02:13:43.731]  And there was this poll that came out a few days ago from this Bloomberg-funded company called St.
[02:13:43.731 --> 02:13:55.745]  Pete Polls that said that I was behind 28 points, which is absolutely absurd because, you know, my volunteers and I, we have knocked on thousands... Wait a minute, you mean Bloomberg runs fake polls?
[02:13:55.745 --> 02:13:57.527]  Do bears also go to the bathroom in the woods, Laura?
[02:13:58.547 --> 02:14:01.369]  Yeah, I guess we should have known that, right?
[02:14:01.369 --> 02:14:08.293]  Someone should have told him about that when he spent $750 million on his failed presidential race when they said he would have beat Trump on a landslide.
[02:14:08.293 --> 02:14:15.437]  But yeah, Alex, this is the state of affairs here and the media has decided to, you know, engage in a full-blown blackout on my race.
[02:14:15.817 --> 02:14:23.403]  So what they're doing is because they know that I'm actually gaining traction and because I'm winning, they're telling people, oh, she has nothing to say.
[02:14:23.403 --> 02:14:27.706]  The Palm Beach Post just came out with an endorsement of my opponent two days ago.
[02:14:27.706 --> 02:14:33.050]  And I kid you not, they literally said all of these things about Lois Frankel in the article.
[02:14:33.050 --> 02:14:38.514]  And the only thing they said about my candidacy is, well, there's not much to say about Laura Loomer.
[02:14:38.514 --> 02:14:43.357]  The only thing you need to know is that she's banned on Facebook, Twitter, PayPal, Chase Bank, and Uber Eats.
[02:14:43.357 --> 02:14:43.838]  Enough said.
[02:14:44.398 --> 02:14:47.880]  So, because I'm banned, I don't exist as a human being.
[02:14:47.880 --> 02:14:49.561]  Because I'm banned, I don't get to participate.
[02:14:49.561 --> 02:14:51.682]  Well, that's what they're saying is they control reality.
[02:14:51.682 --> 02:14:53.402]  After I got banned, you've done this too.
[02:14:53.402 --> 02:14:54.043]  I've been in D.C.
[02:14:54.043 --> 02:14:54.743]  and people walk by and they go,
[02:14:57.079 --> 02:14:59.961]  Your Republican Senator there said this to me.
[02:14:59.961 --> 02:15:00.902]  He goes, you don't exist.
[02:15:00.902 --> 02:15:03.364]  I don't know who you are, but let's talk about this.
[02:15:03.364 --> 02:15:08.388]  I've seen the numbers that people are way more searching your name than hers.
[02:15:08.388 --> 02:15:13.833]  Two to one, they're searching how to vote Republican than how to vote Democrat in Google searches.
[02:15:13.833 --> 02:15:19.437]  These are the type of real numbers that show real engagement, that show if you don't win, it's election fraud.
[02:15:19.437 --> 02:15:20.899]  You are in a county famous for that.
[02:15:20.899 --> 02:15:22.300]  How are you planning to mitigate that problem?
[02:15:23.584 --> 02:15:30.368]  Well, it's interesting that you said that because there's already a lot of concerns about voter fraud here on the ground.
[02:15:30.368 --> 02:15:42.735]  And I know that the Republican Party locally is getting their attorneys and they're getting their poll watchers in place, especially given the fact that we are officially one week out from early voting here on the ground in Florida.
[02:15:43.616 --> 02:15:55.847]  And, you know, while there's going to be voter fraud all over the country and we're already seeing it, we're seeing instances of 100,000 ballots getting, you know, sent to wrong addresses or 50,000 ballots being thrown out, okay?
[02:15:55.847 --> 02:15:58.109]  You know, in different parts of the country.
[02:15:58.109 --> 02:16:04.535]  Another form of election fraud and election tampering that's taking place is the suppression of speech by social media.
[02:16:04.535 --> 02:16:07.738]  I'm sure you saw today, and it's not a coincidence, and I think that
[02:16:08.078 --> 02:16:15.269]  The timing of it is being done to manipulate the Florida elections, but Twitter today came out with a new policy that said that
[02:16:15.886 --> 02:16:26.051]  Starting in one week from today, which is officially October 19th, they are going to start making it impossible for people to retweet tweets that they deem fake news.
[02:16:26.051 --> 02:16:32.715]  So for, you know, for an example, just a couple days ago, President Trump said, yeah, I'm feeling really great.
[02:16:32.715 --> 02:16:36.216]  I got COVID and I'm recovered and I feel like I'm immune to it.
[02:16:36.216 --> 02:16:39.538]  Twitter put a fake news label on that tweet, okay?
[02:16:39.978 --> 02:16:43.641]  And so now their rule is that you can't retweet tweets that they deem fake.
[02:16:43.641 --> 02:16:48.324]  So what's going to happen, in my opinion, is they're going to have massive amounts of voter fraud.
[02:16:48.324 --> 02:16:53.667]  And any single time anybody wants to retweet it or post about it, they're not going to let them because they're going to say it's fake news.
[02:16:53.667 --> 02:17:00.112]  So Twitter's just going to be like an overwhelming echo chamber of radical leftists, pro-Biden, pro-Democrat speech.
[02:17:00.112 --> 02:17:02.713]  And then I've been saying it for over two years, Alex.
[02:17:02.713 --> 02:17:09.438]  I said it when I sat next to you in the congressional hearing when we were yelling at Jack Dorsey and trying to talk some sense into these do-nothing
[02:17:09.918 --> 02:17:13.099]  Well, that leads me to this next point.
[02:17:13.099 --> 02:17:19.121]  When you've got two-to-one searches on Google for how to vote Republican versus Democrat, that's a big, big number.
[02:17:19.121 --> 02:17:21.022]  That's the headline.
[02:17:21.022 --> 02:17:22.082]  People can pull it up if they like to.
[02:17:22.082 --> 02:17:22.902]  But bigger than that,
[02:17:34.912 --> 02:17:40.362]  Facebook, Twitter, Google, Apple, they all say, oh, we're not going to let a winner be declared that day.
[02:17:40.362 --> 02:17:41.424]  The numbers show that's the fact.
[02:17:41.424 --> 02:17:43.527]  We're going to hold it up a few weeks, a few months.
[02:17:43.527 --> 02:17:47.474]  And if Trump or anybody else tries to declare it, we're going to block them.
[02:17:48.362 --> 02:17:50.683]  So this is election meddling being prepared right now.
[02:17:50.683 --> 02:17:52.683]  It has to be prepared in Palm Beach County, too.
[02:17:52.683 --> 02:18:02.446]  I mean, there's, you know, according to our sunshine laws here, of course, if you go to the supervisor of elections office, you are allowed to watch them.
[02:18:02.446 --> 02:18:09.628]  Just as we saw in 2018 with the recounts, you are allowed to watch them open the ballots and, you know, it's a process that's
[02:18:10.438 --> 02:18:13.640]  You know, you can view it as a member of the public.
[02:18:13.640 --> 02:18:17.823]  And, you know, you generally have attorneys from both parties that go in to observe this process.
[02:18:17.823 --> 02:18:29.490]  Well, it's very interesting because on the schedule for Palm Beach County, it has the day after the election and then the 5th of November as well as days for viewing and opening ballots.
[02:18:29.490 --> 02:18:35.154]  So, if the election is supposed to be called on November 3rd, why are there dates for November 4th and November 5th on the calendar?
[02:18:35.874 --> 02:18:36.675]  You see what I'm saying?
[02:18:36.675 --> 02:18:48.325]  Oh, Democrats have said their whole policy, but I was going to make this a campaign issue of election fraud and the fake ballots around the country and how they plan to hold it up, that Democrat judges block it.
[02:18:48.325 --> 02:18:53.229]  I would make it a huge issue of the Democrat coup and what they're doing to force your name out there.
[02:18:53.229 --> 02:19:02.518]  But I agree, everyone in America needs to contact friends and family in Florida, particularly in your county and your district, and understand that it's people power now
[02:19:03.018 --> 02:19:04.319]  Because they were demonizing you.
[02:19:04.319 --> 02:19:04.880]  That didn't work.
[02:19:04.880 --> 02:19:06.422]  It made your poll numbers go up.
[02:19:06.422 --> 02:19:07.903]  So now they're trying to act like you don't exist.
[02:19:07.903 --> 02:19:09.285]  Well, let's make sure that doesn't happen.
[02:19:12.386 --> 02:19:14.027]  Yeah, well, thank you, Alex.
[02:19:14.027 --> 02:19:21.472]  And that's why I need all the Info Warriors and all the people watching this and all the American patriots around the country to support my campaign.
[02:19:21.472 --> 02:19:22.493]  We're 22 days out.
[02:19:22.493 --> 02:19:23.754]  And that was my next point.
[02:19:23.754 --> 02:19:27.216]  Money will buy you ads like nothing else.
[02:19:27.216 --> 02:19:29.157]  How do people donate to make sure?
[02:19:29.157 --> 02:19:35.481]  Because if there's any people want to bet in the fight for freedom, imagine Laura Loomer in Congress fighting big tech and the censors.
