[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[02:01:23.324 --> 02:01:27.127]  They're just like, basically, they'll snitch you out for not wearing a mask.
[02:01:27.687 --> 02:01:32.610]  But we got 70 days of rioting here, and the downtown looks like a third world country.
[02:01:33.671 --> 02:01:42.497]  And basically, if the president's hearing us, we, you know, most of us around here would like to see the National Guard come in and actually take care of this.
[02:01:43.206 --> 02:01:44.767]  Because this is just getting ridiculous.
[02:01:44.887 --> 02:01:51.451]  I know a lot of people that own businesses downtown, really good people, diverse people, black, white, Arabic, it doesn't matter.
[02:01:51.751 --> 02:01:57.814]  And when you read the Washington Post and New York Times, MSNBC, it's like, America's failed.
[02:01:58.194 --> 02:02:00.736]  The rioting caused by Trump and the police.
[02:02:01.116 --> 02:02:02.797]  And it's just a total inversion of reality.
[02:02:04.881 --> 02:02:05.501]  Absolutely.
[02:02:05.541 --> 02:02:15.624]  Your guys' news broadcast will show the actual footage of the guy going around and just the other night he was chased by the protesters.
[02:02:15.644 --> 02:02:17.965]  That's what the local news like to call them, the rioters.
[02:02:18.505 --> 02:02:24.607]  Turned out he was a liberal dude going to help his transgender friend who'd been robbed.
[02:02:24.667 --> 02:02:26.227]  And it turns out there's footage of that happening.
[02:02:27.407 --> 02:02:29.008]  So he's literally a liberal.
[02:02:30.229 --> 02:02:33.491]  Oh yeah, the news said he was part of the Proud Boys.
[02:02:33.511 --> 02:02:37.933]  They didn't even show the crowd robbing his vehicle or none of that.
[02:02:37.953 --> 02:02:38.493]  They're just like...
[02:02:45.017 --> 02:02:47.881]  Downtown protesters got a little out of hand last night.
[02:02:47.901 --> 02:02:49.143]  It's like, a little out of hand?
[02:02:49.543 --> 02:02:51.426]  What's a little out of hand after 70 days?
[02:02:51.486 --> 02:02:59.277]  This is just... And they beat the guy's wife up, drag him out of his car, kick him in the head, and then say, Get up, bitch!
[02:02:59.757 --> 02:03:00.539]  Nothing wrong with you!
[02:03:02.202 --> 02:03:09.944]  Yeah, nothing wrong when a guy comes up with a 10-yard field marker and boots you right in the face like he's going for a field goal.
[02:03:10.444 --> 02:03:14.245]  And by the way, the man they attacked took two days to become conscious again.
[02:03:14.265 --> 02:03:14.905]  He did it yesterday.
[02:03:14.925 --> 02:03:21.307]  They put him in a coma and beat his wife up, but they're the heroes.
[02:03:22.627 --> 02:03:23.128]  For no reason.
[02:03:23.208 --> 02:03:25.268]  Yeah, apparently so.
[02:03:25.308 --> 02:03:31.470]  They got more rights than the majority of the business owners, people who own rent and do anything down there.
[02:03:32.529 --> 02:03:33.350]  You can't do anything.
[02:03:33.691 --> 02:03:36.995]  I usually want to go down there and get a bite to eat, and I won't even go near it.
[02:03:37.195 --> 02:03:40.319]  I live about 10 miles from downtown, and I won't even go near it.
[02:03:40.339 --> 02:03:44.224]  I'm trying to even... Oh, I won't even go to downtown Austin now unless I've got to go down there to protest.
[02:03:44.264 --> 02:03:45.886]  I mean, it's gone.
[02:03:45.946 --> 02:03:48.269]  Feces, needles, satanic liberals stumbling around.
[02:03:48.730 --> 02:03:49.431]  God bless you, brother.
[02:03:49.451 --> 02:03:50.212]  I appreciate your call.
[02:03:50.872 --> 02:03:55.175]  We've got Dr. Mercola joining us for three segments, but then I will continue with your calls if you want to hold.
[02:03:55.195 --> 02:03:59.218]  If not, to Jeff and JB and Michael and Tim and Gus.
[02:03:59.698 --> 02:04:08.224]  I understand, but I will get to all of you before I hand the baton to Paul Joseph Watson, who will be hosting the fourth hour.
[02:04:09.105 --> 02:04:17.731]  But we're going to get into this with Dr. Mercola, who's a medical doctor, very respected, on what's really happening with COVID-19, where he sees all this going.
[02:04:18.991 --> 02:04:32.300]  And the silencing of doctors and other medical professionals who come out and point out that this is a vitamin and nutrient deficiency, that hydroxychloroquine helps put zinc into the cells, that the death rate is very, very low.
[02:04:32.941 --> 02:04:34.122]  But we still have InfoWars.
[02:04:34.142 --> 02:04:35.002]  We still have NewsWars.
[02:04:35.022 --> 02:04:36.263]  We still have Band.Video.
[02:04:36.603 --> 02:04:38.625]  We still have Mercola.com.
[02:04:39.625 --> 02:04:42.668]  So that is coming up, ladies and gentlemen.
[02:04:43.832 --> 02:04:46.518]  On the other side of this quick break, Dr. Joseph Mercola.
[02:04:47.199 --> 02:04:48.081]  Mercola.com.
[02:04:48.562 --> 02:04:49.123]  Please talk about it.
[02:04:49.143 --> 02:04:49.664]  You know, tune in.
[02:04:49.684 --> 02:04:51.488]  This will be very informative.
[02:04:51.849 --> 02:04:54.434]  And then Paul Joseph Watson, The 4th Hour, as I said.
[02:04:54.474 --> 02:04:54.935]  We'll be right back.
[02:05:04.753 --> 02:05:08.195]  This is going to come down to a fight over how many people are awake and how many aren't.
[02:05:08.215 --> 02:05:09.355]  They're going to contest the election.
[02:05:09.475 --> 02:05:10.796]  They're going to say Trump lost.
[02:05:10.876 --> 02:05:12.497]  They're super pissed that I'm on air.
[02:05:12.597 --> 02:05:13.617]  I want them shut down.
[02:05:13.678 --> 02:05:14.578]  I want them silenced.
[02:05:14.638 --> 02:05:15.438]  I want them muted.
[02:05:15.478 --> 02:05:17.259]  I think they are horrible for our society.
[02:05:17.299 --> 02:05:18.220]  You kept us on air.
[02:05:18.360 --> 02:05:19.641]  We did the analysis first.
[02:05:19.921 --> 02:05:20.941]  It's now gone mainstream.
[02:05:20.981 --> 02:05:22.982]  We continue to be the epicenter.
[02:05:23.062 --> 02:05:29.045]  And what they said directly to us is, you continue to be the epicenter of our plans not going the way we want.
[02:05:29.185 --> 02:05:30.606]  And you need to stop right now.
[02:05:30.726 --> 02:05:31.787]  And they're very, very serious.
[02:05:31.947 --> 02:05:34.248]  Well, I'm not signing on with a bunch of devil-worshipping child molesters.
[02:05:34.428 --> 02:05:37.130]  It's not gonna happen, so they are moving now to destroy me.
[02:05:37.611 --> 02:05:40.033]  I used to say support InfoWars, rescue InfoWars.
[02:05:40.133 --> 02:05:41.774]  Save yourself, save the world.
[02:05:42.094 --> 02:05:42.955]  We're in this together.
[02:05:43.075 --> 02:05:51.082]  Because let me tell you something, communism's up here, InfoWars is the dam blocking it, which is all of us together supporting, and you and I are all down here with our families.
[02:05:51.282 --> 02:05:52.843]  My children are right here!
[02:05:53.564 --> 02:05:55.585]  But I need money to fight a war!
[02:05:55.665 --> 02:05:57.007]  And I need word of mouth!
[02:05:57.067 --> 02:05:58.027]  And I need prayer!
[02:05:58.107 --> 02:05:58.768]  And I need action!
[02:05:59.168 --> 02:06:00.750]  Because that dam's gonna come down!
[02:06:01.470 --> 02:06:03.412]  Trump's told you, hell's coming!
[02:06:06.178 --> 02:06:10.043]  We are transferring power from Washington D.C.
[02:06:10.323 --> 02:06:13.387]  and giving it back to you, the people.
[02:06:17.648 --> 02:06:21.569]  Americanism, not globalism, will be our credo!
[02:06:21.629 --> 02:06:24.010]  This is the heart of 1776.
[02:06:24.170 --> 02:06:29.651]  Yes, I have thought an awful lot about blowing up the White House.
[02:06:29.771 --> 02:06:36.473]  Huge nationwide protests erupted once again on President Donald Trump's second weekend in office.
[02:06:36.633 --> 02:06:38.933]  People, not my bus!
[02:06:39.033 --> 02:06:40.974]  People, not my bus!
[02:06:41.795 --> 02:06:47.919]  When you open your heart to patriotism, there is no room for prejudice.
[02:06:47.959 --> 02:06:53.383]  When America is united, America is totally unstoppable.
[02:06:53.443 --> 02:06:57.767]  Donald J. Trump is now President of the United States.
[02:06:57.947 --> 02:07:02.610]  And most importantly, we will be protected by God.
[02:07:02.850 --> 02:07:07.554]  From the front lines of the Info Room, it's Alex Jones.
[02:07:11.417 --> 02:07:12.400]  I'm good.
[02:07:22.279 --> 02:07:34.370]  All right, Dr. Joseph Mercola is undoubtedly the number one alternative independent news source for health news in the last 25-30 years, reaching billions of people.
[02:07:35.411 --> 02:07:36.912]  And now he's heavily censored as well.
[02:07:36.972 --> 02:07:38.794]  Dr. Joseph Mercola is a medical doctor.
[02:07:38.814 --> 02:07:39.574]  I'm not going to go over that.
[02:07:39.895 --> 02:07:41.936]  Best-selling author, osteopathic medicine.
[02:07:43.075 --> 02:07:46.296]  You know, featured in everything you can imagine, Mercola.com.
[02:07:46.757 --> 02:07:57.201]  He's here to break down with us what's really going on from a real medical doctor's perspective and to talk about the unprecedented censorship of hundreds of prominent doctors, scientists.
[02:07:57.762 --> 02:08:01.523]  Cedars-Sinai put out a video saying, yeah, we do use light therapy for this in the lungs.
[02:08:01.923 --> 02:08:03.224]  That got banned off YouTube.
[02:08:04.124 --> 02:08:05.325]  It's just, it's next level.
[02:08:06.125 --> 02:08:08.566]  It's Soviet Union or Communist China level.
[02:08:08.987 --> 02:08:11.008]  Dr. Mercola, thank you so much for joining us.
[02:08:11.048 --> 02:08:11.668]  Great to have you here.
[02:08:12.631 --> 02:08:13.872]  Well, thank you for having me, Alex.
[02:08:13.932 --> 02:08:16.033]  Really appreciate the opportunity to connect again.
[02:08:16.854 --> 02:08:18.435]  Well, where do you want to start?
[02:08:18.715 --> 02:08:19.736]  With the censorship?
[02:08:19.816 --> 02:08:20.737]  With the real numbers?
[02:08:21.037 --> 02:08:23.199]  With the best facts you've got on COVID?
[02:08:23.219 --> 02:08:24.680]  We're really excited to have you here.
[02:08:24.700 --> 02:08:25.440]  You're a great resource.
[02:08:26.741 --> 02:08:28.142]  Well, thanks.
[02:08:28.943 --> 02:08:33.726]  I think probably the biggest thing is that obviously there's a serious problem going on here.
[02:08:33.906 --> 02:08:42.112]  I believe it's been the statistics have been engineered and inflated and really fear has been driven into the population to
[02:08:42.762 --> 02:08:43.622]  Thank you.
[02:09:07.418 --> 02:09:13.103]  Any efforts to explain and educate the public about this have been violently suppressed.
[02:09:14.043 --> 02:09:15.765]  And ours has certainly been one of them.
[02:09:16.085 --> 02:09:35.400]  But in response to that, because I've been passionate about natural therapies to help improve people's health, I learned and appreciated that vitamin D is a simple solution that many people understand, but really fail to appreciate how significantly powerful this resource is.
[02:09:36.275 --> 02:09:49.264]  So, there's loads of evidence that show that if you have sufficient vitamin D's, and Alex, 80% or more of the individuals in this country are vitamin D insufficient.
[02:09:49.905 --> 02:10:02.174]  And those that have very dark colored skin, like African Americans or people from the Middle East,
[02:10:04.599 --> 02:10:04.900]  I think so.
[02:10:12.785 --> 02:10:14.226]  I apologize for that beeping in the background.
[02:10:14.246 --> 02:10:16.969]  We're in a storm right now and my backup power supply is down.
[02:10:16.989 --> 02:10:17.710]  It doesn't bother us.
[02:10:17.730 --> 02:10:18.751]  We totally understand.
[02:10:19.331 --> 02:10:25.076]  Let's talk about that because the worst hit areas, the highest death tolls were these urban canyons.
[02:10:25.597 --> 02:10:31.702]  And we've seen, and it's also African Americans, but also people from areas of darker skin.
[02:10:32.083 --> 02:10:37.508]  And I'm always reading about the fact they also have higher cancer rates because they're unable to get the vitamin D. And again,
[02:10:37.688 --> 02:10:37.928]  Absolutely.
[02:10:37.948 --> 02:10:42.171]  And then the elderly, so the two biggest risk groups are the African-Americans and the elderly.
[02:10:42.271 --> 02:10:43.152]  And the primary
[02:11:07.332 --> 02:11:15.316]  Common denominator in both of those groups is really one of the most important ones is the lack of vitamin D optimized levels.
[02:11:15.436 --> 02:11:16.897]  Well, there's also a cultural thing.
[02:11:17.057 --> 02:11:20.399]  It's going away, and that's good because I think black skin's beautiful, just like all color skins.
[02:11:20.439 --> 02:11:20.779]  I love it.
[02:11:21.359 --> 02:11:22.800]  But really, black skin's healthy.
[02:11:23.080 --> 02:11:24.861]  A lot of black folks don't want to get a bunch of sun.
[02:11:24.901 --> 02:11:25.782]  They want to be super black.
[02:11:25.822 --> 02:11:26.762]  Well, I'm sorry.
[02:11:27.143 --> 02:11:28.183]  You need to get the sun.
[02:11:28.203 --> 02:11:28.943]  You need to be black.
[02:11:29.844 --> 02:11:31.225]  It's not only black.
