[00:00:15.512 --> 00:00:15.992]  We are live.
[01:53:32.090 --> 01:53:50.690]  Well, they're introducing into the cultural cosmology that humans are bad, deserve to die, and they're creating a race narrative to hate ourselves and not have a life force or a survival instinct, to invert that instinct into an anti-human loathing, to accept the mass culling as a prophecy when it begins to take place.
[01:53:51.090 --> 01:53:54.113]  Hence, AOC being told to say there'll be no humans in 12 years.
[01:53:55.094 --> 01:54:07.038]  And so that is on the drawing board in some of their previous blueprints, would be exterminate 98% of humanity by 2030, which would be less than 12 years, 11 years.
[01:54:07.538 --> 01:54:11.279]  Those are different blueprints that David Rockefeller and others have publicly talked about.
[01:54:12.679 --> 01:54:15.900]  Prince Charles' father has talked a lot about it.
[01:54:15.920 --> 01:54:16.480]  Prince Philip.
[01:54:17.301 --> 01:54:18.741]  Ted Turner's talked a lot about it.
[01:54:18.861 --> 01:54:19.862]  That's in their blueprint.
[01:54:20.262 --> 01:54:22.923]  And then, yes, they've had race-specific bioweapons for a long time.
[01:54:24.143 --> 01:54:31.686]  That, say, you can release a weapon that'll kill, 98% is usually the top with these weapons of the blacks.
[01:54:32.986 --> 01:54:34.707]  So they've got bioweapons that are tailored for blacks.
[01:54:35.826 --> 01:54:43.476]  Um, but the problem is everybody also has some of the same basic genetics, so you'd still probably get 5-10% of northern Europeans would die.
[01:54:43.496 --> 01:54:47.241]  And of course, I'm not for killing any of the blacks, but you see the whole extermination program with the abortion.
[01:54:47.481 --> 01:54:50.525]  Somebody calls in about something like race-specific bioweapons.
[01:54:52.549 --> 01:54:54.411]  And it's bad to kill any group or race of people.
[01:54:54.992 --> 01:54:59.618]  But the problem of the people that produce the weapons is, humans are all interrelated.
[01:55:00.339 --> 01:55:04.424]  So you might tailor a weapon that'll kill the majority of one group, but it'll also kill a bunch of your group.
[01:55:04.845 --> 01:55:06.767]  It's kind of like nerve gas.
[01:55:06.787 --> 01:55:09.971]  You can fire it at your enemy, but if the wind changes, it comes and gets you.
[01:55:11.015 --> 01:55:14.397]  That's why the globalists have all built these big underground bases so they'll survive during this.
[01:55:14.998 --> 01:55:25.305]  And their main plan, you see it in James Bond movies like Moonraker and things, written by MI6, Ian Fleming, is that they're going to release a bioweapon and call the population to save the Earth.
[01:55:25.946 --> 01:55:32.070]  And they're kind of doing it through the vaccines, through the GMOs, through the food, all of it is kind of culling us now.
[01:55:36.843 --> 01:55:42.524]  South Africa developed them, Israel has developed them, the UK has developed them, the US has developed them as of 50 years ago.
[01:55:43.164 --> 01:55:44.885]  Other countries have undoubtedly developed them.
[01:55:44.905 --> 01:55:46.265]  You know the Chinese have developed them.
[01:55:48.586 --> 01:56:00.188]  And so it's kind of a mutually assured destruction situation and we should do a whole show sometime on race-specific bioweapons and the really advanced weapons that are out there because that's an issue that people should discuss.
[01:56:00.589 --> 01:56:02.209]  But we just sit here and
[01:56:03.700 --> 01:56:17.252]  Have the elite, so-called elite in Silicon Valley and the UN and everywhere, saying there are too many people, we need a world government to forcibly reduce the population's numbers.
[01:56:17.813 --> 01:56:26.781]  But first you want to flood the first world with the giant bloom of the third world to bring the first world down, then you release a bio-weapon
[01:56:28.456 --> 01:56:57.148]  That culls large amounts of the population and you tell them that it's a naturally occurring weapon or the terrorists released it and then everybody's got to go into these highly controlled compact police state grid cities for their quote safety and then that allows over time the social engineering to get even more draconian and then basically they'll release bioweapons so deadly that only becoming basically artificial humans will allow you to live in the new environment that they are creating.
[01:56:57.868 --> 01:57:01.211]  And I'm not going to sit here and worry about me.
[01:57:01.952 --> 01:57:03.694]  I'll do okay no matter what happens.
[01:57:03.974 --> 01:57:11.821]  But you think about everybody else with this control system, a bunch of followers, with a system that's going to totally control their life and tell them what they can say and what they can do.
[01:57:11.861 --> 01:57:18.127]  And then the end game of these people is horrible control and enslavement and dumbing down for social engineering.
[01:57:19.756 --> 01:57:24.319]  If you think people are dumb and evil and stupid now, you haven't seen anything yet!
[01:57:24.699 --> 01:57:36.145]  If you think devil worshippers all over the news saying we're gonna come to your school and talk to your kids whether you like it or not is bad, and we're gonna kill babies after they're born, if you think that's bad in 2019, Bubba, you ain't seen nothing yet!
[01:57:38.267 --> 01:57:43.770]  Because before the globalists can release the bioweapons, God has to remove his protection.
[01:57:47.126 --> 01:57:53.251]  Oh, the devil would nuke this planet in 10 seconds if God removed his protection.
[01:57:53.892 --> 01:57:57.034]  And God is gonna remove the protection, but for one hour.
[01:57:58.395 --> 01:58:00.577]  One hour, and we're gonna be ready before it happens.
[01:58:01.538 --> 01:58:09.705]  I went and saw Godzilla last night, and for a cheesy Godzilla movie, it's the best Godzilla movie I ever saw.
[01:58:10.705 --> 01:58:13.688]  Spoiler alert, because of the plot.
[01:58:15.586 --> 01:58:17.427]  Endgame, blueprint for global enslavement.
[01:58:17.547 --> 01:58:18.668]  That's what you're going to be watching.
[01:58:21.309 --> 01:58:34.857]  Environmental terrorists, 12 monkeys type, want to release these dormant titans to destroy humans and save the earth.
[01:58:38.499 --> 01:58:39.000]  It's incredible.
[01:58:40.106 --> 01:58:54.911]  And the environmental terrorists want to release radiation that'll kill humans, but they believe re-green the Earth, which is something that modern leftists now say, oh, we didn't like nuclear power before, but now we're for it because it'll kill humans.
[01:58:55.891 --> 01:58:58.992]  That's main line top leftists.
[01:59:02.625 --> 01:59:23.816]  So when you go see this, ladies and gentlemen, you are literally being prepared and programmed for mass bioweapon plagues, collapse of civilization, you name it, and that you deserve it, and it's the right thing to do, because there was an ancient Atlantean civilization that was also destroyed because it got out of balance.
[01:59:28.999 --> 01:59:30.860]  And so aliens attacked the Earth,
[01:59:32.352 --> 01:59:33.553]  To wipe out humanity.
[01:59:34.774 --> 01:59:40.579]  But then Godzilla, this archetype of the Earth, of the Earth Spirit, stood up and resisted it.
[01:59:41.140 --> 01:59:44.683]  But Godzilla might have to come back and kill the humans, they tell you at the end of the movie.
[01:59:45.463 --> 01:59:46.844]  We're very lucky God's forgiving.
[01:59:48.146 --> 01:59:52.709]  Because the amount of evil coming out of this planet right now is unbelievable.
[01:59:52.910 --> 01:59:54.851]  But Satan knows what he's doing.
[01:59:55.912 --> 01:59:57.814]  He wants God to remove the hedge of protection.
[02:00:00.034 --> 02:00:07.517]  And that's why we've got to fight the evil, we've got to stop the evil, and we've got to just keep letting God know, we know this is wrong, please don't kill us and our children.
[02:00:07.757 --> 02:00:10.058]  Because let me tell you something.
[02:00:10.078 --> 02:00:15.880]  When you've got this kind of stuff going on, wide scale, man, bad stuff historically starts happening real quick.
[02:00:16.781 --> 02:00:19.862]  Like a plague that's going to kill billions, or a nuclear war.
[02:00:19.942 --> 02:00:20.482]  And you know what?
[02:00:20.982 --> 02:00:22.603]  At the end of the day, here's what's getting sick.
[02:00:22.863 --> 02:00:24.083]  I've got four children, I love them.
[02:00:24.664 --> 02:00:25.124]  More than life.
[02:00:26.471 --> 02:00:29.773]  I'm starting to just think God ought to blow the whole planet up, you know what I mean?
[02:00:30.894 --> 02:00:33.416]  So that we're not just a factory to kill a bunch more kids.
[02:00:35.737 --> 02:00:42.421]  Because if we're just going to be a factory to have little babies so child molesters can rape them and torture the hell out of them, then you know what?
[02:00:42.461 --> 02:00:50.927]  Just blow it all up, God, because I don't want to be part of this, and I don't want to be aiding and abetting it, because I can't figure out how to stop it.
[02:00:51.327 --> 02:00:53.729]  I was talking to the crew during the break about the depopulation plan.
[02:00:55.292 --> 02:00:59.353]  And why at first they allowed the population to bloom, but then later they're gonna wipe it all out.
[02:00:59.433 --> 02:01:12.017]  And I was explaining, different State Department memorandums explaining this, that quote the Royal Commission on Population, commissioned for his Royal Highness in England in 1949.
[02:01:12.357 --> 02:01:16.998]  National Security Study Memorandum 200, Henry Kissinger, 1975, not declassified until 1992.
[02:01:23.775 --> 02:01:25.817]  And let me just explain to folks again.
[02:01:26.457 --> 02:01:28.959]  I don't just sit up here and say all this stuff, okay?
[02:01:29.959 --> 02:01:31.981]  And the plan is so diabolical.
[02:01:34.343 --> 02:01:35.243]  So diabolical.
[02:01:36.484 --> 02:01:48.633]  Keep the third world dumb, don't industrialize them, then let their population balloon, and then weaponize them against the West, but then dump your toxic waste and stuff down there,
[02:01:50.936 --> 02:01:52.037]  Well, what if it continued to spread?
[02:01:52.077 --> 02:01:55.619]  What if it starts spreading outside of a hospital environment?
[02:01:55.639 --> 02:01:56.519]  What if it spreads
[02:02:16.297 --> 02:02:17.878]  In a migrant processing center.
[02:02:18.279 --> 02:02:20.280]  What if it spreads on the streets?
[02:02:20.800 --> 02:02:32.770]  The streets of San Francisco, the streets of Los Angeles that are already filthy places with almost no real hygiene going on and they're being abandoned, the homeless people are being abandoned there by
[02:02:33.450 --> 02:02:35.070]  You know, the Democrats in charge of those cities.
[02:02:35.491 --> 02:02:43.913]  If you get Ebola mixed in with those kinds of environments, you probably cannot stop it without extreme medical... Alright, folks.
[02:02:44.133 --> 02:02:46.673]  By the way, I have a good crew, but they're overworked.
[02:02:47.794 --> 02:03:01.137]  And so I said on air that the first person to get us a compilation of me talking about controlled bioweapons releases bringing in world government will get a big cash payment.
[02:03:02.594 --> 02:03:04.275]  Now, I can't do this in the future at the level.
[02:03:04.315 --> 02:03:06.095]  I just said $10,000, I'll give it to you.
[02:03:06.115 --> 02:03:10.476]  But since I said I'd do it with this one guy, I said I would choose the best one that was sent in.
[02:03:10.696 --> 02:03:12.397]  Only guy that sends something in, you get $10,000.
[02:03:12.437 --> 02:03:14.718]  But I'm going to try to hire this person.
[02:03:14.758 --> 02:03:16.638]  He went out on the internet and found this stuff quickly.
[02:03:17.138 --> 02:03:19.439]  Not at that level, because I did say that.
[02:03:21.482 --> 02:03:25.704]  To hire him, I guess, as an archivist to go through all the things we've said that come true exactly.
[02:03:25.724 --> 02:03:31.087]  Because I've even been way more specific than all of what he found, and that's not the whole video.
[02:03:31.107 --> 02:03:31.867]  There's like 10 more minutes of it.
[02:03:31.907 --> 02:03:34.688]  I don't want to go to your phone calls now on this live Saturday edition.
[02:03:35.469 --> 02:03:40.691]  But Sean Miller, yeah, Rob Doo is going to be calling you, and you got a job, buddy.
[02:03:43.572 --> 02:03:44.853]  Because it's vital.
[02:03:44.913 --> 02:03:46.574]  The sheeple wake up.
[02:03:48.134 --> 02:03:55.860]  When people show them videos of me saying, within two months they're going to blow up the World Trade Center and blame it on Bin Laden and launch a worldwide system and set up a police state here in America.
[02:03:57.001 --> 02:04:06.749]  And then, decades after that, they'll have a bioweapon release, and then the general public will be under martial law, what they thought was the fight Islam, and they'll use Muslims to then invade the United States.
[02:04:08.651 --> 02:04:11.714]  And man, I don't just say random stuff and then some of it comes true.
