[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[02:06:42.776 --> 02:06:44.137]  No, they've confirmed they had the laptop.
[02:06:44.716 --> 02:06:47.698]  It's being harangued by a senator.
[02:06:47.698 --> 02:06:51.160]  Dude, you're trying to call into this show and gaslight us?
[02:06:51.160 --> 02:06:53.722]  That Hunter Biden and his dad?
[02:06:53.722 --> 02:07:01.787]  Okay, did his dad get up on C-SPAN and say that they were investigating us so I went and said I won't give you a million bucks and they fired the prosecutor?
[02:07:01.787 --> 02:07:03.769]  Listen to me, boy.
[02:07:03.769 --> 02:07:04.990]  We're done with you.
[02:07:04.990 --> 02:07:06.951]  We're done with you, boy.
[02:07:06.951 --> 02:07:07.992]  You're the punk.
[02:07:08.789 --> 02:07:09.510]  Okay?
[02:07:09.510 --> 02:07:12.292]  You think you call in here and gaslight my audience?
[02:07:12.292 --> 02:07:13.412]  You don't do that.
[02:07:13.412 --> 02:07:14.213]  You're a joke.
[02:07:14.213 --> 02:07:17.155]  If I had more time, I'd keep you on, but I gotta get to the other callers.
[02:07:17.155 --> 02:07:19.377]  Unbelievable.
[02:07:19.377 --> 02:07:21.058]  That's who these guys think they are.
[02:07:21.058 --> 02:07:22.859]  They think they're chumping you.
[02:07:22.859 --> 02:07:25.201]  They think they're smarter than you.
[02:07:25.201 --> 02:07:28.383]  The Bidens are degenerate scum.
[02:07:28.383 --> 02:07:31.325]  All the one-sided China deals, they sold our country out.
[02:07:31.325 --> 02:07:33.987]  They're enemies of the Republic.
[02:07:33.987 --> 02:07:36.349]  Let's go ahead and talk to Nick in California.
[02:07:36.349 --> 02:07:37.049]  Nick, thanks for calling.
[02:07:37.049 --> 02:07:37.310]  Go ahead.
[02:07:37.932 --> 02:07:38.713]  Hi Alex.
[02:07:38.713 --> 02:07:39.694]  Hi Alex.
[02:07:39.694 --> 02:07:45.399]  I wanted to say my mentor reminds me often, never stop an ego on its way to self-destruction.
[02:07:45.399 --> 02:07:47.401]  It doesn't need your help.
[02:07:47.401 --> 02:07:55.469]  And the way I see it is that America's ego that's been lulled back to sleep in the wake of Bernays' propaganda is destructing.
[02:07:56.147 --> 02:08:03.673]  But the good thing is that what follows an unhealthy ego's collapse is the formation of a healthy, mature ego, which is people waking up.
[02:08:03.673 --> 02:08:11.439]  I agree, but if we have a collapsing third world and nuclear weapons, the collapse of the ego may kill us.
[02:08:11.439 --> 02:08:12.560]  I guess no comment there.
[02:08:12.560 --> 02:08:14.302]  Yeah, you think about the danger of that.
[02:08:14.302 --> 02:08:16.063]  But what do you think of the last guy?
[02:08:16.063 --> 02:08:21.327]  He says the Bidens would have said this was fake up front if it was fake.
[02:08:21.327 --> 02:08:22.568]  They have said nothing.
[02:08:22.568 --> 02:08:24.010]  Now we have the lawyers' emails.
[02:08:24.010 --> 02:08:25.551]  The FBI admitted they had the laptop.
[02:08:27.853 --> 02:08:29.334]  I have nothing to say about the last guy.
[02:08:29.334 --> 02:08:35.796]  I mean, I don't even know why he's listening to your show if he's going to call and harass, but what he said... I mean, I want to spend more time with the guy.
[02:08:35.796 --> 02:08:39.537]  I just got to get to the calls, but it's just the arrogance and the con game.
[02:08:39.537 --> 02:08:45.880]  Like I was some 70 IQ, 14-year-old girl he picked up at a bus stop.
[02:08:45.880 --> 02:08:48.021]  This laptop is about underage girls.
[02:08:48.021 --> 02:08:48.761]  That's illegal.
[02:08:48.761 --> 02:08:51.162]  Even if you're a Democrat, they should have some basic decency.
[02:08:52.253 --> 02:09:01.936]  Yeah, and that's why I have a problem with early voting, because people who already voted for Biden, they can't take their vote back once they see that Hunter Biden's a child molester.
[02:09:01.936 --> 02:09:04.177]  That's how they get around the October surprises, don't they?
[02:09:04.177 --> 02:09:08.138]  Is they have, what, most ballots have already been passed, did you know that?
[02:09:08.138 --> 02:09:10.619]  Yeah, yeah, like 30 million.
[02:09:10.619 --> 02:09:11.279]  God almighty.
[02:09:11.279 --> 02:09:12.599]  Mostly for Biden.
[02:09:12.599 --> 02:09:14.820]  Nick, what else do you think is going to happen as America self-destructs?
[02:09:18.075 --> 02:09:20.796]  You know, I don't have much comment about what's going to happen in America.
[02:09:20.796 --> 02:09:28.220]  I have a lot of comment about people not really understanding who they are and what they are and how they got programmed to be what they are.
[02:09:28.220 --> 02:09:30.982]  Like, for instance, we don't even have rights of passage anymore in this country.
[02:09:30.982 --> 02:09:35.564]  So a lot of boys who are, you know, or should I say adults, we're just still boys.
[02:09:35.564 --> 02:09:37.945]  You know, we went from high school... Hey, let's talk about this.
[02:09:37.945 --> 02:09:39.486]  You didn't go through rights of passage.
[02:09:39.486 --> 02:09:41.027]  I didn't go through some of the rights of passage.
[02:09:41.027 --> 02:09:42.367]  I mean, what do you mean by that?
[02:09:42.367 --> 02:09:45.409]  When you come back to Nick, then Michael, Gavin, Zach, Brett and others.
[02:09:45.409 --> 02:09:46.950]  It's taken me two and a half years.
[02:09:47.970 --> 02:09:58.297]  To finally even be able to convince Congress and the rest of the world that we were only the initial target to set the precedent for coordinated big tech censorship.
[02:09:58.297 --> 02:10:00.879]  Now the world finally understands it.
[02:10:00.879 --> 02:10:04.522]  But we don't have two and a half years for the learning curve to take place this time.
[02:10:05.522 --> 02:10:09.965]  Bill Gates and the UN are on record saying the lockdown is permanent.
[02:10:09.965 --> 02:10:12.908]  It is a plan to lower carbon footprint.
[02:10:12.908 --> 02:10:15.890]  It is a plan to make the world population poor.
[02:10:15.890 --> 02:10:18.332]  It is a diabolical power grab.
[02:10:18.332 --> 02:10:21.514]  It is a revolution against the industrial revolution.
[02:10:21.514 --> 02:10:23.916]  They call it the post-industrial world.
[02:10:23.916 --> 02:10:26.838]  And it's the excuse for them to take control every fast of our lives.
[02:10:27.378 --> 02:10:29.621]  And implement absolute authoritarianism.
[02:10:29.621 --> 02:10:40.938]  So, again, to everybody out there, if you love your children, like my daughter that just woke up here, and if you care about yourselves in any future, you need to get awake, you need to understand this information, you need to warn others, okay?
[02:10:40.938 --> 02:10:42.280]  It's a life and death situation.
[02:10:45.014 --> 02:10:48.856]  Cognitive dissonance is a major issue amongst the left.
[02:10:48.856 --> 02:10:53.178]  It can be very stressful dealing with facts you refuse to accept.
[02:10:53.178 --> 02:11:01.683]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[02:11:02.043 --> 02:11:18.655]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[02:11:18.655 --> 02:11:29.703]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[02:11:30.183 --> 02:11:38.667]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[02:11:38.667 --> 02:11:48.812]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com.
[02:11:48.812 --> 02:11:51.454]  You're listening to the Alex Jones Show.
[02:12:07.871 --> 02:12:14.816]  Arrested Development.
[02:12:14.816 --> 02:12:16.076]  That's what Nick's talking about.
[02:12:16.076 --> 02:12:19.038]  Now they say the new age of adulthood is 25.
[02:12:19.038 --> 02:12:20.099]  Then it'll be 30.
[02:12:20.099 --> 02:12:22.921]  We're all going to be locked in our houses because of COVID.
[02:12:22.921 --> 02:12:24.562]  The robots will take care of us.
[02:12:24.562 --> 02:12:28.024]  This is a post-human world the elite are building in their own words.
[02:12:28.024 --> 02:12:33.628]  So what are you getting at about how people break out of that and then refine those rites of passage?
[02:12:35.138 --> 02:12:42.421]  What I have to say about that, from what I've been taught by my mentors, is that first people have to understand what they are made of.
[02:12:42.421 --> 02:12:49.764]  In terms of paradigm, not in terms of biology, but in terms of their paradigms, you have animal nature and you have human nature.
[02:12:49.764 --> 02:12:52.085]  And a lot of people say that humans are basically good.
[02:12:52.085 --> 02:12:56.507]  Well, that would be true if we were in our human nature, which has access to good because of choice.
[02:12:57.119 --> 02:13:02.161]  But a lot of people are stuck in their animal nature, which, if you look at children, children are animals, basically.
[02:13:02.161 --> 02:13:03.762]  They're developmental narcissists.
[02:13:03.762 --> 02:13:04.723]  It's me, me, me, me, me.
[02:13:04.723 --> 02:13:07.784]  So when their parents get divorced, they take it personally, of course.
[02:13:07.784 --> 02:13:09.325]  They're developmental narcissists.
[02:13:09.325 --> 02:13:18.969]  Well, without a rites of passage that takes a person, that puts that person on a path to facing courage, facing all their fears, and going for what they want.
[02:13:18.969 --> 02:13:25.092]  Exactly, they gotta face fears, they gotta be on a mission, they gotta have a kinship, they gotta experience there's something bigger than themselves.
[02:13:26.344 --> 02:13:29.127]  Without that experience, they're still children.
[02:13:29.127 --> 02:13:33.050]  They're still essentially, excuse me, girls with penises.
[02:13:33.050 --> 02:13:33.851]  Right?
[02:13:33.851 --> 02:13:37.594]  That's what boys are before they hit adolescence.
[02:13:37.594 --> 02:13:39.316]  They're basically girls with penises.
[02:13:39.316 --> 02:13:46.322]  Now what that means is they don't have that protector, that provider, that defender.
[02:13:46.322 --> 02:13:47.804]  They don't have those instincts.
[02:13:47.804 --> 02:13:49.966]  Let's go further.
[02:13:49.966 --> 02:13:52.048]  Those are epigenetical, compressed
[02:13:53.590 --> 02:13:55.471]  That's right.
[02:14:17.580 --> 02:14:26.287]  It's like one day you finally wake up, you have all these dreams and all this stuff and it's like, it's like armories of understanding of weapons.
[02:14:26.287 --> 02:14:31.630]  I don't mean like weapons to kill people, but just, it's like you start getting so much knowledge, it's incredible.
[02:14:31.630 --> 02:14:33.872]  And I hear what you're saying brother, it's so real.
[02:14:33.872 --> 02:14:36.314]  And that's the difference between God and the devil.
[02:14:36.314 --> 02:14:38.896]  The devil is a force that doesn't want you to expand.
[02:14:38.896 --> 02:14:40.577]  God wants you to have everything.
[02:14:40.577 --> 02:14:42.899]  But God had to give you free will so you had that opportunity.
[02:14:42.899 --> 02:14:44.260]  So you gotta go with God.
[02:14:44.260 --> 02:14:44.880]  Go with God.
[02:14:44.880 --> 02:14:46.922]  And get behind me Satan.
[02:14:48.601 --> 02:14:50.823]  That's why I love Vaya Con Dios.
[02:14:50.823 --> 02:14:54.927]  Alright, let's go ahead and talk, who's been home the longest now?
[02:14:54.927 --> 02:14:57.469]  That would be Michael in Texas.
[02:14:57.469 --> 02:14:58.290]  Michael, you're on the air.
[02:14:58.290 --> 02:15:00.952]  Oh, can you hear me?
[02:15:00.952 --> 02:15:02.754]  Yes, go ahead.
[02:15:02.754 --> 02:15:11.902]  I just want to talk about, you know, I've been seeing a lot of people, a lot of Christian people that I believe are good intentioned, but they're still thinking about, you know, their
[02:15:12.389 --> 02:15:19.351]  They don't like Trump or they want to vote for Biden because, you know, they think... Oh, they want to act morally superior and say, oh, he's terrible, but he's better than Biden.
[02:15:19.351 --> 02:15:26.612]  No, he's an incredible champion that's been through hell and you should back him, get persecuted for it, you damn cowards!
[02:15:26.612 --> 02:15:35.694]  And I especially want to speak to, you know, I've seen pastors and things, you know, posting things about don't, you know, go into conspiracy theories.
[02:15:35.694 --> 02:15:38.195]  And the Bible is real.
[02:15:38.195 --> 02:15:38.915]  It's true.
[02:15:38.915 --> 02:15:39.795]  It's God's word.
[02:15:39.795 --> 02:15:41.076]  And you can test it.
[02:15:41.076 --> 02:15:42.056]  You can question it.
[02:15:42.580 --> 02:15:49.963]  And God's not afraid of our questioning, so it's the devil that always says, don't look into the details.
[02:15:49.963 --> 02:15:55.845]  Exactly, the devil's in the details, and the devil never wants you to look at details, absolutely.
[02:15:55.845 --> 02:15:59.746]  I have a couple of things that I've noticed in the scripture that hopefully people can share.
[02:15:59.746 --> 02:16:09.510]  I know, you know, everybody that's listening to the show probably knows, but you have friends at your church that, you know, I know people that won't listen to, won't watch a video of Alex Jones, but
