[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[01:51:10.628 --> 01:51:11.008]  Exactly.
[01:51:11.048 --> 01:51:14.094]  They wake us up in our houses because they're scared we're waking up.
[01:51:14.555 --> 01:51:17.161]  Because when we all hear that we're actually thinking the same, we come together.
[01:51:18.137 --> 01:51:18.637]  That's right.
[01:51:18.738 --> 01:51:19.899]  And we are waking up.
[01:51:20.019 --> 01:51:21.200]  I don't care what they say.
[01:51:21.500 --> 01:51:23.822]  The fact of the matter is we are waking up.
[01:51:24.102 --> 01:51:27.485]  We must take control of the narrative.
[01:51:27.806 --> 01:51:29.047]  It's not their narrative.
[01:51:29.287 --> 01:51:30.188]  It's our narrative.
[01:51:30.248 --> 01:51:34.451]  That's why I frankly really like the name InfoWars.
[01:51:34.852 --> 01:51:35.132]  Why?
[01:51:35.552 --> 01:51:39.056]  Because what that's really saying is this is an information war.
[01:51:39.796 --> 01:51:40.116]  All right?
[01:51:40.476 --> 01:51:44.038]  We must take control of the narrative that serves the people.
[01:51:44.118 --> 01:51:49.061]  As we used to say in the original Black Panther Party, serve the people body and soul.
[01:51:49.421 --> 01:51:53.223]  Be they black, white, brown, red, or yellow, serve the people body and soul.
[01:51:53.483 --> 01:51:56.705]  And that means take control of the narrative.
[01:51:57.365 --> 01:51:58.646]  All the crap you're going to get.
[01:51:58.866 --> 01:52:00.907]  And by the way, I do expect
[01:52:01.604 --> 01:52:03.425]  You know, things like mass shootings.
[01:52:03.746 --> 01:52:04.827]  Oh, this is not over.
[01:52:05.267 --> 01:52:07.649]  They've got more crap coming.
[01:52:07.729 --> 01:52:09.530]  They've got more vomit coming.
[01:52:09.810 --> 01:52:10.531]  But you know what?
[01:52:11.031 --> 01:52:18.097]  As long as we wake up and keep waking up our fellow sisters and brothers, brothers and sisters, it's not gonna work.
[01:52:18.749 --> 01:52:19.089]  Okay?
[01:52:19.610 --> 01:52:23.251]  We're going to have casualties, but it's not going to work.
[01:52:23.531 --> 01:52:29.434]  And Alex, you and the brothers and sisters at Infowars have been stalwart.
[01:52:29.795 --> 01:52:31.115]  And I mean stalwart.
[01:52:31.496 --> 01:52:35.057]  You've been strong, you've been diligent, you've been vigilant.
[01:52:35.638 --> 01:52:38.139]  And I want to personally thank you.
[01:52:39.062 --> 01:52:40.963]  And every member of the crew.
[01:52:41.624 --> 01:52:42.545]  I love you all.
[01:52:42.745 --> 01:52:43.385]  We love you too.
[01:52:43.405 --> 01:52:44.206]  We appreciate you.
[01:52:44.226 --> 01:52:45.927]  What can the listeners and activists do?
[01:52:46.327 --> 01:52:48.609]  Because they're really who's important right now.
[01:52:49.830 --> 01:52:58.316]  I want the listeners and the activists with all humility to spread the word.
[01:52:58.436 --> 01:52:59.376]  And now, what do I mean?
[01:52:59.496 --> 01:53:00.117]  Spread the word.
[01:53:00.157 --> 01:53:01.198]  We've heard that before.
[01:53:01.538 --> 01:53:01.838]  All right?
[01:53:02.579 --> 01:53:04.320]  This broadcast, for example.
[01:53:04.600 --> 01:53:05.761]  Spread it everywhere!
[01:53:06.710 --> 01:53:10.873]  Not just this broadcast, but other broadcasts that InfoWars does.
[01:53:11.133 --> 01:53:12.233]  Spread it everywhere!
[01:53:13.014 --> 01:53:14.054]  Plant the seed!
[01:53:14.675 --> 01:53:15.575]  Don't give up!
[01:53:16.396 --> 01:53:17.316]  Go just the other way.
[01:53:17.356 --> 01:53:23.040]  You remember that song Frank Sinatra and others used to sing, talking about that ant and that rubber tree plant?
[01:53:23.640 --> 01:53:26.022]  And oh my god, another rubber tree plant.
[01:53:26.222 --> 01:53:27.763]  Who took that plant down?
[01:53:28.203 --> 01:53:28.763]  An ant!
[01:53:28.923 --> 01:53:30.144]  Well, we're not an ant.
[01:53:30.384 --> 01:53:31.645]  We're million strong.
[01:53:32.005 --> 01:53:33.246]  But they think we're ants.
[01:53:33.686 --> 01:53:34.567]  I'm asking
[01:53:35.256 --> 01:53:41.142]  Begging, pleading, imploring you, all of my brothers and sisters out there, to spread the word.
[01:53:41.242 --> 01:53:42.083]  Get it out there!
[01:53:42.303 --> 01:53:45.166]  That's why they're trying to shut Infowars down.
[01:53:45.187 --> 01:53:46.368]  That's what they're scared of.
[01:53:46.388 --> 01:53:47.189]  They're very scared.
[01:53:47.609 --> 01:53:53.535]  Why do you think the establishment, who are really evil people, they're anti-human across the board, why do you think they're so scared?
[01:53:54.636 --> 01:53:56.879]  They're scared because the game is up.
[01:53:57.592 --> 01:53:57.892]  Okay?
[01:53:58.193 --> 01:54:07.800]  They're scared because they know that once people realize what they're doing, there will be true rage and legitimate rage.
[01:54:08.180 --> 01:54:11.702]  They're scared because... This won't be some fake anti-revolution, it'll be the real one.
[01:54:12.583 --> 01:54:14.384]  Yeah, that's why they're scared.
[01:54:14.925 --> 01:54:16.566]  You'd be scared too if you were them.
[01:54:17.190 --> 01:54:23.816]  You know, this is, and you know, the fact of the matter is, is they're like a cornered, okay, dog.
[01:54:23.856 --> 01:54:25.258]  And I like dogs, don't get me wrong.
[01:54:25.298 --> 01:54:26.178]  I love dogs and cats.
[01:54:26.298 --> 01:54:32.304]  But I'm saying, you corner, you kick it, you kick it and kick it, and it finally gets to a point where it says, no more!
[01:54:32.544 --> 01:54:34.366]  And it leaps up and attacks.
[01:54:34.826 --> 01:54:36.708]  And this is what they're scared of.
[01:54:37.189 --> 01:54:41.953]  So, you know, and I want to say this very quickly to the black elite out there.
[01:54:42.617 --> 01:54:44.198]  The bloodsuckers out there.
[01:54:44.378 --> 01:54:47.419]  Yes, I'm talking to you, black elite bloodsuckers.
[01:54:47.859 --> 01:54:51.081]  You are parasitic political pimps.
[01:54:51.681 --> 01:54:55.082]  You are using color and race to divide us.
[01:54:55.362 --> 01:55:01.805]  You don't give a rat's petunia about black people, white people, brown people, yellow people, or any people.
[01:55:02.025 --> 01:55:04.486]  You only care about your own power.
[01:55:04.747 --> 01:55:10.489]  You are pimping the pain of the people, and you will be held accountable.
[01:55:12.452 --> 01:55:13.653]  Yes, there's one!
[01:55:13.994 --> 01:55:20.420]  I don't think people understand how Margaret Singer went out and recruited a generation of black people as Judas Coach.
[01:55:20.440 --> 01:55:21.561]  You want to tell people how they did that?
[01:55:23.303 --> 01:55:31.431]  Well, you know, first of all, I'm assuming and hoping that most people are aware of who Margaret Singer was.
[01:55:32.092 --> 01:55:32.392]  Alright?
[01:55:32.872 --> 01:55:35.275]  I use one word when I think of her.
[01:55:35.795 --> 01:55:36.456]  Genocide.
[01:55:37.003 --> 01:55:37.663]  Genocide.
[01:55:38.143 --> 01:55:38.463]  Okay?
[01:55:38.904 --> 01:55:41.304]  It's, it's, I mean physical genocide.
[01:55:41.804 --> 01:55:45.185]  Killing people saying, I'm doing this in your best interest.
[01:55:45.466 --> 01:55:48.466]  It's like somebody saying, I'm going to help you if it kills you.
[01:55:49.047 --> 01:55:49.347]  Okay?
[01:55:49.687 --> 01:55:52.808]  And this is what Singer, Margaret Singer was all about.
[01:55:53.088 --> 01:55:54.128]  Planned Parenthood.
[01:55:54.368 --> 01:55:55.249]  Give me a break.
[01:55:55.469 --> 01:55:57.229]  How do you plan Parenthood?
[01:55:57.549 --> 01:55:58.690]  That's genocide.
[01:55:59.310 --> 01:56:01.911]  And you know, this goes right back to Joe Biden.
[01:56:03.131 --> 01:56:04.631]  Black people aren't part of the plan.
[01:56:04.851 --> 01:56:06.572]  Poor whites, you're not part of the plan.
[01:56:07.421 --> 01:56:07.841]  That's right.
[01:56:08.261 --> 01:56:08.722]  That's right.
[01:56:08.962 --> 01:56:10.283]  And we need to understand that.
[01:56:10.663 --> 01:56:13.644]  That's why they're trying to divide us, divide us, divide us.
[01:56:13.985 --> 01:56:15.946]  We're saying it's not going to happen.
[01:56:16.146 --> 01:56:18.047]  We're not going to allow it, my brother.
[01:56:18.267 --> 01:56:19.588]  We're not going to allow it.
[01:56:19.988 --> 01:56:20.688]  And you know what?
[01:56:21.069 --> 01:56:32.635]  As I've said before, you know, their plan, the deep state, the globalists, the rhino Republicans, the deep state Democrats, go to you know where, to hell.
[01:56:33.135 --> 01:56:33.475]  Alright?
[01:56:33.816 --> 01:56:39.979]  Because this is the age of the people, everyday, ordinary, black, white, brown, red, and yellow people.
[01:56:40.239 --> 01:56:41.560]  We will not be divided.
[01:56:41.580 --> 01:56:42.081]  No, I agree.
[01:56:42.101 --> 01:57:00.712]  Listen, I don't like the Republican Party, but we had a populist takeover, a part of it, but it's weird how history repeats, because you've got Lincoln, who had his own problems, as you said, but at least part of that was ending slavery, and it's just weird how people don't even know the Democrats won the KKK party, and now it's the Republican again, that was actually doing policy, trying to bring us together, who they're now trying to create a civil war to stop.
[01:57:01.713 --> 01:57:04.135]  I think it's historically quite ironic.
[01:57:04.435 --> 01:57:05.035]  Think about it.
[01:57:05.415 --> 01:57:07.557]  I think it's historically very ironic.
[01:57:07.837 --> 01:57:15.862]  You know, I've run across so many quote-unquote Democrats who don't even realize that Lincoln, for example, was a Republican!
[01:57:16.182 --> 01:57:23.086]  And I'm praising the Republicans and getting down on my knees saying, oh no, but what I'm saying is at least know your history!
[01:57:23.146 --> 01:57:24.807]  Crack a book, for God's sake!
[01:57:25.087 --> 01:57:25.447]  Read!
[01:57:25.587 --> 01:57:26.508]  Know your history!
[01:57:26.748 --> 01:57:29.550]  Because by keeping us dumbed down and ignorant,
[01:57:29.990 --> 01:57:31.631]  That's how they control us.
[01:57:32.412 --> 01:57:33.052]  Enough of that.
[01:57:33.092 --> 01:57:38.396]  I know, I've had Democrats tell me, no, Lincoln was a Democrat, or no, I mean, they're just, they're idiots.
[01:57:38.556 --> 01:57:39.657]  I mean, it's frightening.
[01:57:40.557 --> 01:57:42.719]  They're dangerous idiots, though, Alex.
[01:57:42.879 --> 01:57:44.060]  That's what the thing is.
[01:57:44.440 --> 01:57:49.723]  They're dangerous idiots, because they push lies, lies, and more lies.
[01:57:50.044 --> 01:57:51.845]  But we, we are strong.
[01:57:52.617 --> 01:57:58.042]  We read, we study, we unite with one another, and we are not idiots.
[01:57:58.483 --> 01:58:00.265]  No matter what Hillary Clinton may call.
[01:58:00.345 --> 01:58:00.665]  No, I agree.
[01:58:00.705 --> 01:58:02.226]  I'm going to say this, we're winning right now.
[01:58:02.907 --> 01:58:04.889]  Yes, and we will continue to win.
[01:58:06.631 --> 01:58:07.492]  Yes, yes.
[01:58:07.592 --> 01:58:13.718]  So, you know, a deplorable, a super predator, if you don't vote for me, you're not black.
[01:58:13.998 --> 01:58:15.079]  Remember those things.
[01:58:16.116 --> 01:58:24.541]  All I want is to see unity, to see unity between my brothers and sisters, and the rest of these people can go to hell.
[01:58:24.561 --> 01:58:25.981]  And I can't even call them people.
[01:58:26.201 --> 01:58:26.782]  I'll call them creatures.
[01:58:26.802 --> 01:58:27.042]  No, I agree.
[01:58:27.062 --> 01:58:27.742]  Stay there, Larry Pinkney.
[01:58:27.762 --> 01:58:31.384]  Well, that's what it comes down to, is they tell you that you don't count unless you support them.
[01:58:31.464 --> 01:58:32.285]  I say they don't count.
[01:58:33.405 --> 01:58:40.249]  Well, two years ago, Trump said, next they're going to try to take George Washington down.
[01:58:41.894 --> 01:58:43.215]  And now that's official.
[01:58:44.256 --> 01:58:47.660]  CNN and others are calling for George Washington to be taken down.
[01:58:49.822 --> 01:58:50.923]  And Thomas Jefferson.
[01:58:51.724 --> 01:58:52.925]  Well, I mean, you can look at the...
[01:58:54.794 --> 01:58:55.394]  I don't know.
[01:59:15.808 --> 01:59:19.971]  Now it just creates a fight, but now other things have got to be renamed.
[01:59:19.991 --> 01:59:21.292]  Other things have got to be banned.
[01:59:21.312 --> 01:59:23.133]  Gone with the Wind's got to be banned.
[01:59:23.153 --> 01:59:24.454]  This is book burning.
[01:59:24.894 --> 01:59:30.458]  I mean, I don't agree with Adolf Hitler, but I can go to the library and check out Mein Kampf.
[01:59:30.778 --> 01:59:31.639]  I read Mein Kampf.
[01:59:31.719 --> 01:59:33.160]  It gave me a headache.
[01:59:34.141 --> 01:59:35.262]  But I read what Hitler wrote.
[01:59:35.962 --> 01:59:36.843]  Does that mean I'm Hitler?
[01:59:38.046 --> 01:59:40.008]  Well, never forget at the bookstore I was buying, I was like 16.
[01:59:40.468 --> 01:59:42.891]  The lady got all, she goes, are you a Nazi?
[01:59:42.931 --> 01:59:44.232]  And I said, is that a joke?
