[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[02:17:49.936 --> 02:17:53.378]  And so just, folks, if you're angry, get, get, this is war.
[02:17:53.378 --> 02:17:55.160]  This is political war.
[02:17:55.160 --> 02:17:56.541]  And we need to put pressure.
[02:17:56.541 --> 02:17:57.121]  I agree with you.
[02:17:57.121 --> 02:17:57.962]  That's what Stone was saying.
[02:17:59.209 --> 02:18:02.055]  We need to put pressure on them now, and Trump is.
[02:18:02.055 --> 02:18:06.103]  He's not going to let them make a deal where they maintain control of the RNC.
[02:18:06.103 --> 02:18:09.129]  He takes control of the RNC as the nominee.
[02:18:14.322 --> 02:18:19.245]  No, I hear you.
[02:18:19.245 --> 02:18:19.965]  I get the leverage.
[02:18:19.965 --> 02:18:21.166]  You need to tell Ryan.
[02:18:21.166 --> 02:18:22.066]  That's your leverage.
[02:18:22.066 --> 02:18:24.288]  You tell Paul Ryan and you tell all of them.
[02:18:24.288 --> 02:18:25.128]  You tell the media.
[02:18:25.128 --> 02:18:26.329]  Because Ryan already knows.
[02:18:26.329 --> 02:18:27.429]  He'll ignore you.
[02:18:27.429 --> 02:18:31.132]  We're not going to give donations if you don't make Trump the head of the RNC.
[02:18:32.150 --> 02:18:38.154]  So you need to step down, you say you're for Hillary over him, you're disqualified on its face!
[02:18:38.154 --> 02:18:44.538]  It'd be like if you were the football coach of a team and you said, you know, I don't like our team now, I want the other team to win this game.
[02:18:44.538 --> 02:18:47.921]  They would say step down, resign, you piece of crap!
[02:18:47.921 --> 02:18:55.426]  I put a tweet out earlier saying Paul Ryan should resign as Speaker of the House, resign as the head of the RNC, and he should go be the head of Hillary's campaign!
[02:18:55.426 --> 02:18:57.067]  And that's not tongue-in-cheek!
[02:18:57.067 --> 02:18:59.068]  How did they insult our intelligence?
[02:18:59.068 --> 02:18:59.949]  And I get your anger, Peter.
[02:19:00.729 --> 02:19:07.133]  They insult our intelligence and they tell us that we support Hillary over him and we're going to run the party.
[02:19:07.133 --> 02:19:07.794]  No!
[02:19:07.794 --> 02:19:08.474]  No!
[02:19:08.474 --> 02:19:09.995]  You have disqualified yourself.
[02:19:09.995 --> 02:19:12.557]  I mean, do you agree with that statement?
[02:19:12.557 --> 02:19:13.058]  Exactly.
[02:19:13.058 --> 02:19:14.539]  I do agree with it.
[02:19:14.539 --> 02:19:15.219]  100%.
[02:19:15.219 --> 02:19:16.540]  What's your gut tell you about Trump?
[02:19:16.540 --> 02:19:18.381]  I mean, he's sweeping with Democrats everywhere.
[02:19:18.381 --> 02:19:23.705]  They're trying to spin the books and the polls, but the numbers really show Trump is going to beat Hillary in a landslide.
[02:19:23.705 --> 02:19:25.166]  I just pray to God they don't put a bullet in him.
[02:19:26.664 --> 02:19:30.827]  I get the same feeling with Donald Trump as I did with Ronald Reagan in 1980.
[02:19:30.827 --> 02:19:32.769]  I wasn't able to vote in 1980.
[02:19:32.769 --> 02:19:33.589]  I was too young.
[02:19:33.589 --> 02:19:34.550]  I voted for Reagan in 84.
[02:19:34.550 --> 02:19:40.395]  I get the same feeling from Donald Trump as I did with Ronald Reagan.
[02:19:40.395 --> 02:19:42.376]  He's going to make this country great again.
[02:19:42.376 --> 02:19:45.499]  I'm going to be able to feel secure in my own country.
[02:19:45.499 --> 02:19:49.862]  Just having a president that did not forget us is going to fix everything.
[02:19:49.862 --> 02:19:51.904]  These globalists have hijacked us through the enemy, folks.
[02:19:52.665 --> 02:19:53.766]  Donald Trump knows it.
[02:19:53.766 --> 02:19:54.527]  Great points, Peter.
[02:19:54.527 --> 02:19:56.228]  We'll be back with more calls.
[02:19:56.228 --> 02:20:00.272]  Stay with us.
[02:20:00.272 --> 02:20:03.695]  Would you like to receive $250 to $1000 cash per day?
[02:20:03.695 --> 02:20:05.276]  Go to richmoneyrich.com.
[02:20:05.276 --> 02:20:07.438]  No website, no selling, no explaining.
[02:20:07.438 --> 02:20:10.761]  Just take these simple two steps and go to richmoneyrich.com.
[02:20:10.761 --> 02:20:14.164]  You can be generating cash in the next 24 hours simply using this system.
[02:20:14.724 --> 02:20:19.706]  Good news is it runs on 100% autopilot and you don't need any experience to get started.
[02:20:19.706 --> 02:20:20.487]  It's easy.
[02:20:20.487 --> 02:20:23.368]  Get your share of easy riches and go to richmoneyrich.com.
[02:20:23.368 --> 02:20:24.949]  That's richmoneyrich.com.
[02:20:24.949 --> 02:20:25.969]  Go now!
[02:20:25.969 --> 02:20:27.430]  Brought to you by The Conservative Investor.
[02:20:27.430 --> 02:20:29.151]  Current returns not indicative of future results.
[02:20:29.870 --> 02:20:31.271]  You know about RVs.
[02:20:31.271 --> 02:20:32.731]  You've heard about bunkers.
[02:20:32.731 --> 02:20:35.472]  But surviving is not recreation.
[02:20:35.472 --> 02:20:38.233]  And man wasn't made to live underground.
[02:20:38.233 --> 02:20:40.394]  Introducing Survivalist Camps.
[02:20:40.394 --> 02:20:49.076]  The ultimate fully functional off-the-grid survival bug-out house that's mobile, well-equipped, and custom-built to outlast any other RV or trailer.
[02:20:49.076 --> 02:20:52.058]  Go to survivalistcamps.com to learn more.
[02:20:52.058 --> 02:20:54.398]  That's survivalistcamps.com.
[02:20:54.398 --> 02:20:56.979]  Providing your basic needs to survive.
[02:20:56.979 --> 02:20:58.300]  survivalistcamps.com
[02:20:59.660 --> 02:21:00.741]  This is it!
[02:21:00.741 --> 02:21:03.122]  For the first time ever on this station, U.S.
[02:21:03.122 --> 02:21:07.165]  government gold offered at cost for only $139 each.
[02:21:07.165 --> 02:21:13.629]  With Wall Street suffering its worst start to a trading year in history, now is especially the time to be paying attention to gold.
[02:21:13.629 --> 02:21:15.330]  This first time ever U.S.
[02:21:15.330 --> 02:21:20.913]  legal tender government gold offered at cost for only $139 each is from the U.S.
[02:21:20.913 --> 02:21:21.754]  Money Reserve.
[02:21:21.754 --> 02:21:25.136]  Call them at 1-866-944-GOLD.
[02:21:25.136 --> 02:21:27.337]  Gold is on the move, so don't miss out.
[02:21:27.537 --> 02:21:29.859]  For the first time ever on this station, U.S.
[02:21:29.859 --> 02:21:34.261]  government gold offered at cost for only $139 each.
[02:21:34.261 --> 02:21:40.085]  1-866-944-GOLD or online at usmoneyreserve.com.
[02:21:40.085 --> 02:21:42.707]  Ask for a free 55-page gold buyer's book.
[02:21:42.707 --> 02:21:46.810]  Plus get a free Walking Liberty half dollar just for reading this must-have book.
[02:21:46.810 --> 02:21:52.774]  Get your free gold book, your free half dollar, but most importantly, get your gold at cost for only $139 per coin.
[02:21:52.774 --> 02:21:52.934]  1-866-944-GOLD.
[02:21:59.819 --> 02:22:01.820]  Are you sneezing, coughing, and aching?
[02:22:01.820 --> 02:22:05.743]  Do you have a sore throat, a fever, or the sniffles?
[02:22:05.743 --> 02:22:11.568]  There's no reason to be sick this cold and flu season with immune system support from Supernatural Silver.
[02:22:11.568 --> 02:22:20.775]  Supernatural Silver can give your body the help it needs to fight off harmful pathogens without hurting beneficial gut flora and without leaving behind resistant bacteria.
[02:22:21.415 --> 02:22:27.718]  Antibiotics can damage good microflora and often leave behind bacteria which can cause problems later on.
[02:22:27.718 --> 02:22:31.120]  If you're sick of being sick, try Supernatural Silver.
[02:22:31.120 --> 02:22:39.844]  Supernatural Silver, the number one choice of thousands for a safe and effective way to protect against the many diseases and illnesses that we are facing today.
[02:22:39.844 --> 02:22:47.028]  Go to SupernaturalSilver.com, read our customer reviews, and see the life-changing results that people are having.
[02:22:47.028 --> 02:22:48.549]  That's SupernaturalSilver.com.
[02:22:49.309 --> 02:22:51.473]  SupernaturalSilver.com.
[02:22:51.473 --> 02:22:55.279]  Use the promo code PROTECTED for 20% off your entire order.
[02:22:55.279 --> 02:22:56.821]  And like us on Facebook.
[02:22:56.821 --> 02:22:58.043]  Supernatural Silver.
[02:22:59.167 --> 02:23:00.348]  This is Alex Jones.
[02:23:00.348 --> 02:23:03.369]  Thousands of people seeking home security get ripped off every day.
[02:23:03.369 --> 02:23:09.952]  The security industry uses hordes of salesmen to scare you into signing long-term contracts with no way out.
[02:23:09.952 --> 02:23:13.014]  Protect your family the right way with SimpliSafe.
[02:23:13.014 --> 02:23:22.419]  SimpliSafe has no long-term contracts, no hidden fees, 24-7 monitoring, and it's just $14.99 a month, three times less than most other security companies.
[02:23:22.419 --> 02:23:26.681]  Visit SimpliSafeDefense.com to get 10% off for listening to my show.
[02:23:26.681 --> 02:23:27.982]  SimpliSafeDefense.com
[02:23:28.982 --> 02:23:35.946]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[02:23:35.946 --> 02:23:40.929]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[02:23:40.929 --> 02:23:43.210]  No scare tactics, just common sense.
[02:23:43.210 --> 02:23:49.814]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[02:23:49.814 --> 02:23:54.837]  Learn more at BlockItPocket.com or call 888-315-9618.
[02:23:54.837 --> 02:23:58.019]  BlockItPocket.com, enhancing health and privacy.
[02:24:00.089 --> 02:24:04.474]  Come on, come on, come on, come on!
[02:24:04.474 --> 02:24:10.340]  The Motor City Madman has evacuated to Texas.
[02:24:10.340 --> 02:24:11.941]  I'm Alex Jones, your host.
[02:24:25.808 --> 02:24:28.510]  Come on, come on, come on, baby!
[02:24:28.510 --> 02:24:31.812]  Come on, come on, come on!
[02:24:31.812 --> 02:24:34.634]  Love the human spirit.
[02:24:34.634 --> 02:24:36.795]  Love hearing birds sing.
[02:24:36.795 --> 02:24:39.196]  Love hearing the cows howl.
[02:24:39.196 --> 02:24:43.019]  The prettiest voice I ever did hear was that of my fellow species.
[02:24:43.019 --> 02:24:51.744]  Anthony in Texas.
[02:24:51.744 --> 02:24:52.725]  Parker in Florida.
[02:24:52.725 --> 02:24:54.406]  Darren, Greg, Bill, we're going to all of you.
[02:24:57.043 --> 02:24:58.824]  Let's talk to Parker in Florida.
[02:24:58.824 --> 02:25:03.604]  You're on the air worldwide.
[02:25:03.604 --> 02:25:06.425]  Hello, Barrett Clinger Parker, Pasco County here.
[02:25:06.425 --> 02:25:07.145]  How you doing?
[02:25:07.145 --> 02:25:07.745]  Good, brother.
[02:25:07.745 --> 02:25:08.325]  Come on up.
[02:25:08.325 --> 02:25:08.926]  You're on the air.
[02:25:08.926 --> 02:25:09.366]  Go ahead.
[02:25:09.366 --> 02:25:11.906]  Here in Cracker County, Pasco.
[02:25:11.906 --> 02:25:13.626]  You ever been down here?
[02:25:13.626 --> 02:25:15.487]  I've been in a lot of places in Florida.
[02:25:15.487 --> 02:25:18.027]  I forget all the counties, brother.
[02:25:18.027 --> 02:25:18.427]  Oh, I know.
[02:25:18.427 --> 02:25:19.168]  I know.
[02:25:19.168 --> 02:25:22.828]  Well, anyways, I wanted to find out who's your favorite general?
[02:25:22.828 --> 02:25:23.568]  George Washington.
[02:25:23.568 --> 02:25:25.289]  I thought I heard you say it.
[02:25:25.289 --> 02:25:25.969]  George Washington.
[02:25:27.749 --> 02:25:31.010]  Yeah, you must be a racist though, really.
[02:25:31.010 --> 02:25:33.671]  Yeah, there's nothing intellectual anymore.
[02:25:33.671 --> 02:25:35.951]  It's just racist, homophobe, I know.
[02:25:35.951 --> 02:25:46.174]  It's a bunch of poor college students who have no future, no jobs, no nothing, running around desperate, mad because Donald Trump didn't want the communist Chinese murderers to screw us over.
[02:25:46.174 --> 02:25:48.475]  I know, he's so horrible.
[02:25:48.475 --> 02:25:49.615]  Personally, I like Patton.
[02:25:49.615 --> 02:25:52.456]  I'm probably more of a racist for that, you know.
[02:25:52.456 --> 02:25:56.757]  But anyways, what do you know about this new transition of power executive order?
[02:25:58.649 --> 02:26:00.269]  Well, I don't know which executive order you're talking about.
[02:26:00.269 --> 02:26:01.710]  They've got hundreds of them on the books.
[02:26:01.710 --> 02:26:06.510]  They reaffirm each new president that just establishes executive rule, dictatorship.
[02:26:06.510 --> 02:26:08.371]  It's forced labor camps.
[02:26:08.371 --> 02:26:09.931]  It's all in there.
[02:26:09.931 --> 02:26:14.012]  They've never implemented all of it, but they think they can operate because they pass laws.
[02:26:14.012 --> 02:26:16.152]  Like the Republicans said, your vote doesn't count.
[02:26:16.152 --> 02:26:17.012]  We pass the law.
[02:26:17.012 --> 02:26:21.733]  Well, you know, that dog doesn't hunt, as they say, Parker.
[02:26:21.733 --> 02:26:23.633]  Oh, wow.
[02:26:23.633 --> 02:26:25.414]  Well, God bless you.
[02:26:25.414 --> 02:26:25.754]  Go ahead.
[02:26:25.754 --> 02:26:26.054]  Go ahead.
[02:26:28.604 --> 02:26:32.609]  It's all over YouTube, so I guess anyone who wants to figure out, maybe judge for yourself.
[02:26:32.609 --> 02:26:33.149]  Yes, sir.
[02:26:33.149 --> 02:26:35.952]  Well, you didn't give me a specific executive order, but there are a bunch of them doing that.
[02:26:35.952 --> 02:26:37.214]  Yes, sir.
[02:26:37.214 --> 02:26:38.335]  Thank you, Parker.
[02:26:38.335 --> 02:26:43.901]  Anthony in Texas wants to talk about Ivanka Trump, which is always a nice subject to discuss.
[02:26:43.901 --> 02:26:44.262]  Go ahead.
[02:26:44.262 --> 02:26:46.064]  Hey, Alex.
[02:26:46.064 --> 02:26:46.845]  Thanks for having me on.
[02:26:47.719 --> 02:26:48.420]  You bet.
[02:26:48.420 --> 02:26:56.725]  I want to pre-qualify myself first by saying that I've been listening to your show both on your public access and radio since you started here at Austin.
[02:26:56.725 --> 02:27:00.768]  Probably haven't missed more than a month of shows in the entire, whatever, 17, 18 years you've been on here.
