[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[02:16:16.255 --> 02:16:17.715]  We're all being a little too nice.
[02:16:17.955 --> 02:16:19.896]  The cancer of nice is killing us, man.
[02:16:22.093 --> 02:16:41.763]  Well, you look at the PNAC documents that are from so-called conservatives, and Dick Cheney and others write about, we need a big Pearl Harbor event, catalyzing event, and then we can go in and basically have a clash of civilizations and control the Grand Chess Board, that's actually a Zbigniew Brzezinski idea of occupying the Middle East, not to reform it, but to then control
[02:16:42.773 --> 02:16:43.594]  Interesting question.
[02:16:43.614 --> 02:16:44.875]  Let me give you an example.
[02:16:44.895 --> 02:16:45.996]  You've heard of Chechnya?
[02:16:46.636 --> 02:16:46.756]  Yes.
[02:16:46.796 --> 02:16:48.718]  Well, the Chechen jihadists are the most vicious.
[02:16:48.738 --> 02:16:49.819]  They are the supreme jihadists.
[02:17:06.101 --> 02:17:15.804]  Now then, you need to understand that Chechnya used to be a Sufi-based kind of Islam, that is, singing, dancing, sort of the loving side of Islam.
[02:17:16.644 --> 02:17:26.927]  Well, Islam came in, in the form of Wahhabism, with Islamic money, in particular Saudi money, and now then the Chechens have become vicious jihadists.
[02:17:27.627 --> 02:17:33.369]  The effect is, this effect is being seen in places like Malaysia, where Saudi Arabia used to be moved into
[02:17:34.281 --> 02:17:37.323]  In Malaysia, you had a Hindu form of Islam.
[02:17:37.363 --> 02:17:42.066]  That is, there was a Hindu culture there and the Islam had not penetrated down to destroy all the Hinduism.
[02:17:42.727 --> 02:17:50.672]  But now then, with Wahhabi money coming in, we see now in Arabia, I mean, I'm sorry, Malaysia, the rise of a more vicious kind of Islam.
[02:17:51.372 --> 02:17:56.956]  So, what is happening is, is that the Wahhabis in Saudi Arabia have infinite sums of money,
[02:17:57.569 --> 02:18:02.138]  You must surely know that Saudi Arabia is spending more money to islamicize the world.
[02:18:02.158 --> 02:18:05.023]  80% of the mosques in America are built by the Saudis.
[02:18:05.652 --> 02:18:08.653]  than the Soviet Union did at the height of the Cold War.
[02:18:09.093 --> 02:18:29.321]  So we're in a war with a militarized system that uses a religion as its cult control system and it is proselytizing and radicalizing all other forms of Islam around the world and successfully taking over all the way down into Central Africa and Western Africa and Eastern Africa, all the way as far east as Indonesia.
[02:18:29.341 --> 02:18:31.482]  I mean, this is massive.
[02:18:31.502 --> 02:18:33.963]  With our own governments, bring them in en masse.
[02:18:35.037 --> 02:18:38.579]  Oh, well I don't think our government is resisting Islam anything at all.
[02:18:39.139 --> 02:18:43.241]  As a person who speaks to the subject of Islam, let me tell you what happens to those who do.
[02:18:43.781 --> 02:18:46.442]  I'm called a racist, a bigot, a hater, an Islamophobe.
[02:18:46.662 --> 02:18:47.983]  You're probably called the same thing.
[02:18:48.663 --> 02:18:56.127]  What's interesting about this verbiage is, is it never says, well now Bill, you know when you say there's two different Mohammeds, a religious preacher and a violent jihadist, you're wrong.
[02:18:56.567 --> 02:18:57.067]  No, no, no, no.
[02:18:57.447 --> 02:19:00.989]  They say that I am a bad person because I bring these facts up.
[02:19:01.650 --> 02:19:04.432]  So, once again, we've lost the ability to reason together.
[02:19:04.452 --> 02:19:25.690]  Sure, you're not supposed to quote Muhammad, who within, you know, his life took over an entire region, and then within a hundred years of his death, I mean, let's go over some of the history, when we come back from break here, of the expansion of Islam, because we hear it's this religion of peace, the Pope has come out and said that he's very troubled about saying Europe's Christian, that he, what's the word, abhors it?
[02:19:27.176 --> 02:19:27.916]  What's the exact word?
[02:19:28.737 --> 02:19:30.758]  He dreads the Christian nature of Europe.
[02:19:31.098 --> 02:19:32.279]  I mean, wow!
[02:19:32.359 --> 02:19:37.101]  Is the new Pope, is he actually an ambassador of Saudi Arabia now?
[02:19:38.382 --> 02:19:44.105]  Well, I'm afraid the Pope does not seem to demonstrate any knowledge of Islam.
[02:19:44.165 --> 02:19:46.366]  He may have some, but he certainly doesn't demonstrate it.
[02:19:46.766 --> 02:19:53.730]  He just attended a meeting with a Grand Imam from Al-Azhar University, and the two of them came out with, we're going to give peace a chance.
[02:19:53.750 --> 02:19:55.531]  You can just hear John Lennon in the background.
[02:19:56.111 --> 02:19:59.054]  And that the true nature of Islam is all about peace.
[02:19:59.694 --> 02:20:06.921]  When it was Islam that destroyed the last Christian seat of the old world in Constantinople, folks may have heard of it.
[02:20:07.001 --> 02:20:08.522]  It's now called Istanbul.
[02:20:08.582 --> 02:20:08.983]  We'll be back.
[02:20:11.363 --> 02:20:24.068]  This message is not just addressed to my fellow Americans, but addressed to people across the world of every race, color, and creed who believe in free speech, enshrined here in our republic as the First Amendment.
[02:20:24.748 --> 02:20:28.149]  It's the First Amendment to the Bill of Rights because it is the most important.
[02:20:28.169 --> 02:20:33.571]  The right to speak, the right to publish, the right to assemble, the right to petition, the right to practice
[02:20:33.931 --> 02:20:34.791]  We're good to go.
[02:20:58.897 --> 02:21:00.337]  Facebook's over a third of the internet.
[02:21:00.617 --> 02:21:01.078]  Think about that.
[02:21:01.578 --> 02:21:03.038]  Of the traffic and people visiting things.
[02:21:03.438 --> 02:21:04.058]  And then it's over.
[02:21:04.358 --> 02:21:08.679]  You think it's bad that communist China with a billion, 300 million people is censoring?
[02:21:09.500 --> 02:21:16.741]  Zuckerberg, who calls his users dumb effers, has been meeting with the Chinese censorship leadership, openly trying to tweak it.
[02:21:16.861 --> 02:21:19.282]  He met with Merkel, and openly in a hot mic.
[02:21:19.662 --> 02:21:21.784]  Don't worry, I'm going to start suppressing and censoring people.
[02:21:21.944 --> 02:21:26.388]  They report when someone criticizes open borders to the German government, and they come and arrest you.
[02:21:26.568 --> 02:21:30.551]  This is a global phenomenon that's taking place right now.
[02:21:30.751 --> 02:21:34.835]  They're passing laws in Canada to arrest people that criticize transgender.
[02:21:34.995 --> 02:21:36.196]  Well, that's your free speech!
[02:21:36.496 --> 02:21:38.938]  It's not hate propaganda as they call it.
[02:21:39.238 --> 02:21:44.883]  If they set the precedent on these issues, they will basically ban any other type of speech that the
[02:21:45.343 --> 02:21:48.045]  This is the ultimate threat to humanity.
[02:21:48.445 --> 02:21:50.606]  This is worse than what we saw in the Soviet Union.
[02:21:51.027 --> 02:21:54.809]  This is right out of Nazi Germany or right out of Maoist China.
[02:21:55.209 --> 02:21:56.550]  So we're fighting for free speech.
[02:21:56.890 --> 02:22:06.956]  When you spread the word about InfoWars.com, our videos, our stories, our reports, and when you post on different platforms, that circumvents their AI systems that are trying to restrict the flow of information.
[02:22:07.096 --> 02:22:08.997]  We stand together or we hang separate.
[02:22:09.217 --> 02:22:14.060]  Another thing we're doing is not just battling to stop the censorship, we're also building other platforms.
[02:22:14.500 --> 02:22:22.325]  Getting on as many third-party systems as there are out there and spreading the word of basic free market liberty and human empowerment and the new renaissance.
[02:22:22.805 --> 02:22:26.087]  But also, the experts I've talked to said, Alex, you missed the boat.
[02:22:26.107 --> 02:22:29.589]  You've been a pioneer in many ways, but you haven't promoted email.
[02:22:29.709 --> 02:22:31.770]  And I said, yeah, I don't ever really market on email.
[02:22:31.890 --> 02:22:33.691]  I just, I just, it's low tech.
[02:22:33.871 --> 02:22:34.672]  And they're like, no, no, no.
[02:22:34.732 --> 02:22:38.434]  That's what's going to be hard to censor, even if the internet kill switch comes into place.
[02:22:38.574 --> 02:22:42.877]  There are systems and there are developments that make it very hard still
[02:22:43.857 --> 02:22:49.383]  To stop email and to stop that information being sent over networks, you name it.
[02:22:49.443 --> 02:22:50.864]  So it's essential.
[02:22:51.818 --> 02:23:03.081]  That everybody go to InfoWars.com forward slash newsletter to get exclusive articles, videos, promo codes sometimes, the shopping cart like we had a few weeks ago with Hillary for prison, 50% off.
[02:23:03.381 --> 02:23:08.222]  I mean, there are some big discounts we send to incentivize people and plus you're some of the most hardcore patriots.
[02:23:08.522 --> 02:23:12.863]  You can send the email and the newsletter on with exclusive videos and articles many days.
[02:23:13.463 --> 02:23:14.463]  So that's another great reason.
[02:23:14.503 --> 02:23:18.104]  But overall, it's so that we have direct contact
[02:23:18.664 --> 02:23:32.608]  With fellow patriots out there around the world, and if they try to start shutting our websites down and other things, which they've tried to do, and kick us off Facebook, Twitter, YouTube, you name it, we'll be able to send you direct videos that you can then send on to others.
[02:23:32.628 --> 02:23:41.190]  We've all got to start thinking about censorship and actively fighting it, getting more active and not taking independent, liberty-based media for granted, which I know you don't do.
[02:23:42.410 --> 02:23:52.554]  But really having a sense of urgency and getting the info out more while building new avenues on cutting-edge tech and cutting-edge platforms, but also old tech like email.
[02:23:52.814 --> 02:24:00.216]  So please join hundreds of thousands of others that have been signing up every few months at InfoWars.com forward slash newsletter.
[02:24:00.557 --> 02:24:09.660]  And you can also spread the word about our free feeds and more podcasts, Android apps, iPhone apps, it's all free at InfoWars.com forward slash show.
[02:24:11.768 --> 02:24:34.460]  There's a lot of different university maps out there, but you can just Google, Islam today, map of the world, or you can also look at a group of maps, Islam over time and its spread, and Europe almost collapsed.
[02:24:35.282 --> 02:24:43.692]  But when you go to college, you're taught that Europe invaded, and there's all these movies made by Hollywood where Europe invaded the Middle East for no reason, they were bad and they were horrible.
[02:24:44.273 --> 02:24:51.421]  Look, Europe did all sorts of barbarous stuff, but this is the place where the Renaissance came from, where everybody wants to come here because we created the modern world.
[02:24:52.442 --> 02:24:55.226]  And I see it as a form of cuckolding or suicide of the West.
[02:24:56.704 --> 02:25:00.825]  To just bring in the most radical of these people and then say we have to submit to them.
[02:25:00.845 --> 02:25:03.966]  We're talking to Dr. Bill Warner of PoliticalIslam.com.
[02:25:04.006 --> 02:25:07.147]  Highly requested, obviously, and I've read some of his books, seen his work.
[02:25:07.167 --> 02:25:11.488]  It's all spot on from my research, but he just lays it all out and gets demonized for it.
[02:25:11.588 --> 02:25:12.488]  This is a fact.
[02:25:13.208 --> 02:25:15.729]  So, let's talk about the history of it some, sir.
[02:25:15.809 --> 02:25:17.350]  This is a short segment, long segment coming up.
[02:25:17.630 --> 02:25:22.331]  The boil down of how it's expanded and where you see it going.
[02:25:23.703 --> 02:25:25.605]  Well, the expansion started with Muhammad.
[02:25:25.705 --> 02:25:26.125]  Remember?
[02:25:26.165 --> 02:25:28.207]  He was in Mecca, then he went to Medina.
[02:25:28.267 --> 02:25:31.810]  This movement from Mecca to Medina is called the Hijra.
[02:25:32.671 --> 02:25:33.812]  That is the migration.
[02:25:34.252 --> 02:25:36.554]  The Islamic calendar is based upon the Hijra.
[02:25:36.754 --> 02:25:37.055]  Why?
[02:25:37.435 --> 02:25:41.218]  Because it was migration that brought Islam its success.
[02:25:41.939 --> 02:25:44.902]  Now, fast forward 1400 years and what's happening in Europe?
[02:25:45.262 --> 02:25:46.343]  We have a new Hijra.
[02:25:46.883 --> 02:25:47.944]  We have a new migration.
[02:25:48.064 --> 02:25:50.907]  And it's important to know that Hijra is a form of Jihad.
[02:25:51.866 --> 02:25:59.433]  Now then, I don't doubt that what there's some of these so-called quote Syrian refugees who are actually economic migrants and they're not jihadists.
[02:26:00.013 --> 02:26:05.478]  But nevertheless, we do have to understand that Islam has a doctrine of jihad that is based upon migration.
[02:26:06.399 --> 02:26:12.344]  And as soon as Muhammad died, Islam started bursting out of the Middle East, took over the Middle East.
[02:26:12.745 --> 02:26:15.127]  And let's, let's stop right here and deal with the question.
[02:26:15.892 --> 02:26:26.699]  The Crusades, as we're taught in the West, is they were an evil act by evil Christians who are going to invade the pure land of Islam, the Middle East, and do bad things.
[02:26:27.479 --> 02:26:28.560]  Hello?
[02:26:29.260 --> 02:26:31.581]  Before Muhammad, the Middle East was Christian.
[02:26:32.462 --> 02:26:39.686]  It was Islam that invaded the Christian lands of the Middle East, not the European knights of the Crusades.
