[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[02:35:22.635 --> 02:35:40.444]  They would actually tell them in all sorts of meetings, Marine Corps, Army, Police, State Police, Federal Marshals, when folks didn't even know who I was, they'd go, and there's a lot of other people educating them too, Jack McClam and others, don't listen to Alex Jones, and we're watching your computers, don't use it here at the station.
[02:35:41.260 --> 02:35:43.601]  You know, the military don't, and people said, who's Alex Jones?
[02:35:43.601 --> 02:35:44.341]  I better look at that.
[02:35:44.341 --> 02:35:51.443]  I mean, it's like telling your, you know, your 14-year-old son, hypothetically, you know, don't look at these playboys that I keep in this drawer.
[02:35:51.443 --> 02:35:54.724]  As soon as you drive off to work, what do you think your 14-year-old's doing?
[02:35:54.724 --> 02:35:57.225]  He's knee-deep in playboys.
[02:35:57.225 --> 02:36:04.348]  I mean, the globalists are smart in ways, but they're also super arrogant and just think everybody's going to go along with their bull.
[02:36:04.348 --> 02:36:08.449]  But people will if we play along with their narrative of how we're supposed to act.
[02:36:10.140 --> 02:36:20.346]  So there's a lot of craziness going on, but bottom line, world government, the New World Order, is not good for the average person, or even mid-level folks, or even a lot of elites.
[02:36:20.346 --> 02:36:31.073]  It is only good for a very tiny percentage of people, not even 1%, who did not get their money through free market, but by screwing people over, and now they want to pull the ladder up for everybody else.
[02:36:31.073 --> 02:36:32.234]  Folks, we gotta stop it.
[02:36:33.114 --> 02:36:35.776]  We're going to Richard Reeves in Iowa with big news.
[02:36:35.776 --> 02:36:38.738]  A lot of exciting stuff going on.
[02:36:38.738 --> 02:36:40.960]  And he's been filing reports all day.
[02:36:40.960 --> 02:36:43.762]  We're going to be live tonight, 7, right through 10 o'clock.
[02:36:43.762 --> 02:36:51.828]  I'm going to be here, not Skyping in from home, or not Skyping in from, you know, the road, but here with the crew.
[02:36:51.828 --> 02:36:55.831]  We're going to have Richard out there in Iowa covering it all, both the Trump event,
[02:36:56.531 --> 02:36:58.272]  And we're going to be covering the Fox event.
[02:36:58.272 --> 02:37:02.956]  We're going to be covering how CNN covers Trump, because they're quote, you know, now taking his feed.
[02:37:02.956 --> 02:37:05.177]  That means they'll probably try to take control of it.
[02:37:05.177 --> 02:37:06.799]  And I told Richard, don't get in a fight with them.
[02:37:06.799 --> 02:37:09.901]  They'll try to do that, because Trump had called us in to have a feed.
[02:37:09.901 --> 02:37:10.842]  That's just what they do.
[02:37:10.842 --> 02:37:12.123]  It's their nature at the CIA.
[02:37:12.123 --> 02:37:15.785]  That's what CNN is, literally, at the mid-level and above.
[02:37:15.785 --> 02:37:16.306]  It doesn't matter.
[02:37:16.306 --> 02:37:17.407]  We'll get their feed anyway.
[02:37:17.407 --> 02:37:19.148]  So Trump will be transmitted here.
[02:37:20.468 --> 02:37:22.449]  You're just one feed to us, then it goes out.
[02:37:22.449 --> 02:37:27.050]  We'll have CNN, and it'll be critiquing that they jacked the feed from us, so we're taking theirs.
[02:37:27.050 --> 02:37:29.771]  I mean, just let them act like they do.
[02:37:29.771 --> 02:37:30.732]  It's fine.
[02:37:30.732 --> 02:37:34.013]  We'll just point out what they don't want the signal getting out.
[02:37:34.013 --> 02:37:44.516]  So, it's all unfolding, ladies and gentlemen, and all that matters is we show up on the playing field, we've got the right on our side, our political and cultural and spiritual and economic
[02:37:45.516 --> 02:37:47.237]  Muscles will grow.
[02:37:47.237 --> 02:37:49.117]  Our minds will get more sophisticated.
[02:37:49.117 --> 02:37:52.278]  Our Ranchero huevos are going to get bigger.
[02:37:52.278 --> 02:37:54.398]  And we're just going to take these people down.
[02:37:54.398 --> 02:37:55.819]  Doesn't mean there's some utopia.
[02:37:55.819 --> 02:37:58.059]  We're not offering a utopia.
[02:37:58.059 --> 02:38:03.201]  Liberty and freedom and the chance to be a rugged individual in the animating contest.
[02:38:03.201 --> 02:38:07.502]  Now you're going to end up so successful and wealthy and strong, your kids are going to start getting spoiled.
[02:38:07.502 --> 02:38:11.063]  That's the only problem with liberty is it just makes you so fabulously successful.
[02:38:12.335 --> 02:38:19.380]  If that dirtbag weirdo Bernie Sanders has his way, we're going to be in hell on earth very quickly.
[02:38:19.380 --> 02:38:22.302]  But Americans are so in, they thought Obamacare would be free health care.
[02:38:22.302 --> 02:38:24.243]  Was it dummies?
[02:38:24.243 --> 02:38:26.745]  He's now offering free health care if you just vote for him.
[02:38:26.745 --> 02:38:29.487]  I mean, give me a break.
[02:38:29.487 --> 02:38:32.649]  Now let's stop right there before we go to Richard.
[02:38:32.649 --> 02:38:35.251]  I'm going to be hosting with Anthony Gutiarti the fourth hour.
[02:38:35.251 --> 02:38:38.113]  I'm going to go war game when the third hour ends at two o'clock.
[02:38:39.361 --> 02:38:49.407]  For 30 minutes with the nightly news crew on how we're gonna, you know, basically handle all these feeds and all this news and breaking Twitter feeds and everything tonight when we kick off the live news at 7 o'clock.
[02:38:49.407 --> 02:38:52.668]  We'll have a news package at first, then go into live coverage.
[02:38:52.668 --> 02:39:03.034]  And then I'm gonna come back in here to interview Roger Stone, who's the shadow advisor of, has been the head advisor, but the shadow advisor of Donald Trump.
[02:39:03.034 --> 02:39:05.576]  He is in New York to be on Megyn Kelly tonight.
[02:39:05.576 --> 02:39:06.156]  You gotta love it.
[02:39:06.156 --> 02:39:07.457]  Well, they're gonna be bashing him
[02:39:08.197 --> 02:39:16.019]  Trump's surrogate will be on air on their channel and then Trump will be over here on his own channel taking over all the channels.
[02:39:16.019 --> 02:39:17.219]  What a stroke of genius.
[02:39:17.219 --> 02:39:20.360]  So we're going to Richard Reeves here in a moment.
[02:39:20.360 --> 02:39:21.240]  What a stroke of genius.
[02:39:21.240 --> 02:39:26.662]  He's asked CNN and others to give money to vets because he makes them make 10 times more money on record with the ratings he brings.
[02:39:26.662 --> 02:39:27.502]  They won't do it.
[02:39:27.502 --> 02:39:30.683]  So he's just there to raise money for the vets tonight and all of it go to him.
[02:39:30.683 --> 02:39:33.044]  The media claimed Trump wanted the money for himself before.
[02:39:33.044 --> 02:39:33.444]  Remember?
[02:39:33.444 --> 02:39:34.484]  They'll probably say it again.
[02:39:35.848 --> 02:39:37.428]  But that's why they're so discredited.
[02:39:37.428 --> 02:39:38.329]  So we're going to Richard Reeves.
[02:39:38.329 --> 02:39:40.789]  But first, we need to be funded.
[02:39:40.789 --> 02:39:43.630]  And we fund ourselves with hardcore products.
[02:39:43.630 --> 02:39:48.531]  The best shower filter with four stages that flows so fast.
[02:39:48.531 --> 02:39:51.572]  $10 or excuse me, 10% off promo code water.
[02:39:51.572 --> 02:39:53.272]  Free shipping on top of it.
[02:39:53.272 --> 02:39:55.053]  That's infowarestore.com.
[02:39:55.053 --> 02:39:58.654]  We now have free shipping on all orders above $50 as well.
[02:39:58.654 --> 02:40:02.775]  Get DNA Force for 25% off for a limited time.
[02:40:03.655 --> 02:40:08.802]  Get our flagship Nutraceutical DNA Force for 25% off at m4slife.com.
[02:40:08.802 --> 02:40:09.984]  All supplies last.
[02:40:09.984 --> 02:40:14.189]  This is our most advanced product in the m4s life line.
[02:40:14.189 --> 02:40:15.571]  This is a Nutraceutical.
[02:40:15.571 --> 02:40:20.838]  Comparable products cost $300 to $600 and only doctors sell them or special health clinics.
[02:40:21.539 --> 02:40:27.022]  We just went out, got the licensing, got it, and it's the best stuff you can get at a blow-away price.
[02:40:27.022 --> 02:40:28.582]  It's regular price.
[02:40:28.582 --> 02:40:29.843]  Now it's 25% off.
[02:40:29.843 --> 02:40:37.346]  DNA Force is loaded with the patented BioPQQ compound, which is backed by 175 now plus clinical studies.
[02:40:37.346 --> 02:40:40.148]  The amazing compound is known to influence nerve growth and regeneration.
[02:40:40.148 --> 02:40:40.748]  You heard that right.
[02:40:40.748 --> 02:40:43.589]  We can actually say that because it's patented, proven.
[02:40:43.589 --> 02:40:46.431]  It is known to support the powerhouse of the cell, the mitochondria.
[02:40:47.071 --> 02:40:49.673]  And then we got CoQ10 of the highest quality.
[02:40:49.673 --> 02:40:51.614]  We've got TransReservital.
[02:40:51.614 --> 02:40:54.496]  I'm just going to stop there.
[02:40:54.496 --> 02:41:01.740]  One ingredient, when we make a batch of this, costs us $14,000 a kilo.
[02:41:01.740 --> 02:41:04.502]  And more than two kilos goes into each batch.
[02:41:04.502 --> 02:41:06.463]  So, let me get this straight.
[02:41:06.463 --> 02:41:13.528]  Just the BioPQQ that we have in each bottle, the amount is $40 to $50 in leading competitors, just the BioPQQ.
[02:41:15.237 --> 02:41:23.862]  Just the CoQ10 is $35 or more for the proper organic type that we have, the most absorbable type.
[02:41:23.862 --> 02:41:28.364]  I mean, see, just two of the ingredients, the dose we have it, are what this costs.
[02:41:28.364 --> 02:41:30.625]  I mean, are you understanding why it's such a good deal?
[02:41:30.625 --> 02:41:35.868]  And we've now brought it down to $97, normally $130 something, still incredibly inexpensive with all the ingredients.
[02:41:36.846 --> 02:41:37.886]  A total game changer.
[02:41:37.886 --> 02:41:38.927]  Now it's $97.50.
[02:41:38.927 --> 02:41:44.289]  It will sell out by Saturday at the latest at current sales rates.
[02:41:44.289 --> 02:41:46.110]  We're not getting more in for four to five weeks.
[02:41:46.110 --> 02:41:50.151]  The reorder is in, but going slowly because you have to triple test everything.
[02:41:50.151 --> 02:41:54.333]  We have to pass California standards because we sell there, which are almost unpassable.
[02:41:54.333 --> 02:41:58.355]  The top labs we use just can't keep believing that we keep passing these tests over and over again.
[02:41:58.355 --> 02:42:03.036]  We have those linked up on InfoWareStore.com as well with many of our products.
[02:42:06.837 --> 02:42:10.223]  Let's go to Richard Reeves, who is in Iowa.
[02:42:11.823 --> 02:42:18.949]  Richard Reeves, you're going to be there tonight, popping in off and on, covering what's happening at the Trump event.
