[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[02:43:38.295 --> 02:44:00.723]  I'd say look at Phelan or look at Brewer But you know that's up to him Great points getting back to Putin and some phone calls 800-259-9231 folks your chance to talk to Wayne Matson's a few of those calls coming up Say what you want about Putin, but it's kind of like Trump said he said oh, he's killed people show me the proof.
[02:44:01.024 --> 02:44:01.824]  They just say that
[02:44:02.776 --> 02:44:07.577]  And then nine times out of ten, it turns out to be some globalist foundation killing somebody and doing a false flag.
[02:44:08.177 --> 02:44:11.518]  The truth is, Putin said carbon tax is a global government fraud.
[02:44:11.978 --> 02:44:13.899]  We're not going to teach people to break down the family.
[02:44:14.719 --> 02:44:15.819]  We're going to cut taxes.
[02:44:16.139 --> 02:44:18.200]  He's going after corruption in all their states.
[02:44:19.000 --> 02:44:21.220]  And he's very, very popular, 80 plus percent.
[02:44:21.661 --> 02:44:23.661]  So they've got a major problem on their hands.
[02:44:23.701 --> 02:44:25.081]  He's the opposite of the dictator.
[02:44:25.401 --> 02:44:27.042]  He's superstar popular.
[02:44:27.742 --> 02:44:32.644]  And he's criticizing the corrupt, you know, elites, the oligarchs that have seized us.
[02:44:33.064 --> 02:44:38.686]  That's basically what Trump is doing, and it scares the daylights out of them.
[02:44:38.726 --> 02:44:43.448]  So, wow, what happens to the New World Order if Trump turns out to win and is for real?
[02:44:44.489 --> 02:44:47.550]  And, boy, you're going to see major power structures trying to stir up a new fight.
[02:44:48.737 --> 02:44:59.883]  Yeah, if you could foresee a Trump administration, Prime Minister Boris Johnson in Britain, and Putin remaining in Russia, you're going to see a different world entirely.
[02:45:00.343 --> 02:45:05.886]  All these international structures that whittle away at national sovereignty are going to come to an end.
[02:45:06.827 --> 02:45:08.268]  I think NATO will be
[02:45:09.368 --> 02:45:10.089]  I don't know.
[02:45:30.450 --> 02:45:31.251]  A series of U.S.
[02:45:31.271 --> 02:45:40.655]  spy planes flying near the Kaliningrad, a Russian naval base in the Baltic, all they're doing are getting close to see, watch the Russians fire up their radar.
[02:45:40.696 --> 02:45:48.419]  These are called ferret missions, so they can collect all the electronic intelligence and communications and then try to break the encryption codes.
[02:45:49.020 --> 02:45:59.145]  Of course the Russians are going to react negatively to that, just as we would if Russian planes flew off of Norfolk, Virginia, or off of San Diego, California.
[02:45:59.892 --> 02:46:03.055]  Yeah, can you imagine if Russian jets were flying like five miles off the U.S.
[02:46:03.095 --> 02:46:03.796]  coast, what would happen?
[02:46:04.076 --> 02:46:05.138]  Complete connection fence.
[02:46:05.278 --> 02:46:07.240]  Yeah, we'd be doing more than barrel rolls on them.
[02:46:07.260 --> 02:46:08.381]  We'd be shooting them down.
[02:46:09.222 --> 02:46:15.869]  Well, Trump thinks he's weak on being too friendly to the Russians, so he's made this comment about, yeah, if they don't do what we say, shoot them down.
[02:46:15.889 --> 02:46:18.272]  So I hope the Russians know that is rhetoric.
[02:46:19.062 --> 02:46:19.743]  Yeah, yeah.
[02:46:19.823 --> 02:46:23.486]  And he also said he can get along with Putin.
[02:46:23.506 --> 02:46:26.868]  And Putin has indicated he can get along with President Trump.
[02:46:27.369 --> 02:46:31.692]  As far as China, we've heard various things.
[02:46:31.993 --> 02:46:33.514]  Trump says, I love the Chinese.
[02:46:33.814 --> 02:46:36.757]  He's going to be a lot harder on the trade issues with them.
[02:46:37.477 --> 02:46:41.120]  But I don't think he's going to be rattling sabers by sending U.S.
[02:46:41.180 --> 02:46:43.182]  Navy ships into the South China Sea.
[02:46:43.562 --> 02:46:46.765]  You know, the South China Sea, China's in the name of that thing.
[02:46:47.145 --> 02:46:51.709]  And ancient Chinese maps show that those islands were historically part of China.
[02:46:52.570 --> 02:47:04.400]  So I think he'll recognize that fact and stop encouraging countries like the Philippines and Vietnam and other countries over there to try to, you know, ratchet things up.
[02:47:04.420 --> 02:47:09.304]  Sure, the West is clearly using Vietnam as a chess piece against China, not defending the communist murderers.
[02:47:09.764 --> 02:47:13.087]  It's just that it's totally sickening to see them trying to stir all this up.
[02:47:13.427 --> 02:47:15.328]  I want to go to some phone calls from Wayne Madsen.
[02:47:15.829 --> 02:47:18.671]  We got George and Jeff and Dwight and Bill and Jason.
[02:47:19.872 --> 02:47:26.257]  Let's go ahead and take a call from Jeff in Canada.
[02:47:26.277 --> 02:47:27.278]  You're on the air with Wayne Madsen.
[02:47:27.298 --> 02:47:27.558]  Go ahead.
[02:47:28.879 --> 02:47:30.120]  Good afternoon, Alex.
[02:47:30.200 --> 02:47:31.160]  We are winning.
[02:47:31.200 --> 02:47:39.707]  Whether Trump gets in the White House or not, Trump has definitely set the pace and we need to continue and accelerate that pace.
[02:47:39.767 --> 02:47:40.868]  Wayne, a question for you.
[02:47:40.928 --> 02:47:41.588]  It's just a two-part.
[02:47:41.608 --> 02:47:42.369]  It's very simple.
[02:47:43.078 --> 02:47:51.667]  When do you foresee the FBI taking their investigation a little bit further with Hillary?
[02:47:51.988 --> 02:47:56.292]  Do you foresee the FBI doing anything before the election?
[02:47:56.312 --> 02:47:57.393]  Yeah, what's the word on that?
[02:47:57.433 --> 02:47:58.254]  Before the election?
[02:47:58.274 --> 02:48:03.339]  Because, I mean, she's caught red-handed and then still they keep saying, well, the Justice Department needs to do it.
[02:48:03.359 --> 02:48:03.980]  Well, that's Hillary.
[02:48:04.020 --> 02:48:04.361]  That's Obama.
[02:48:05.717 --> 02:48:07.558]  Well, I don't see the FBI doing anything.
[02:48:07.939 --> 02:48:09.680]  What a federal judge in D.C.
[02:48:10.080 --> 02:48:22.570]  ruled was that the group Judicial Watch will be able to depose Hillary Clinton and all of her aides, Huma Abedin and others, in this email issue.
[02:48:23.070 --> 02:48:26.453]  I don't see Comey, the FBI director, doing anything.
[02:48:26.493 --> 02:48:27.914]  He's a political creature.
[02:48:28.294 --> 02:48:30.816]  The FBI is not a law enforcement agency.
[02:48:30.856 --> 02:48:32.378]  It's a political police force.
[02:48:32.938 --> 02:48:52.991]  They'll take action when the administration wants them to, and when the Obama administration doesn't want action taken against a former Secretary of State and a presumptive Democratic nominee, I don't think they're going to take any... Well, I agree, but it does discredit these institutions even more when they sit there and do nothing when she's completely guilty.
[02:48:54.036 --> 02:48:54.716]  Yeah, exactly.
[02:48:54.816 --> 02:48:58.218]  I mean, I've had the FBI visiting me recently.
[02:48:58.558 --> 02:49:02.119]  Well, actually, over the last year or so, year and a half.
[02:49:02.179 --> 02:49:09.922]  And, you know, they asked me about this and I said, look, if you're after Chinese spies, go up to the National Archives where they're making copies of all the U.S.
[02:49:09.962 --> 02:49:10.402]  patents.
[02:49:10.922 --> 02:49:15.024]  You know, don't come here and, you know, lean on me for information.
[02:49:15.364 --> 02:49:17.205]  But, you know, they're a political police force.
[02:49:17.405 --> 02:49:20.026]  You never told us, I mean, I know you've been visiting a lot of folks here and threatened to.
[02:49:20.066 --> 02:49:21.346]  Let's, thank you, caller.
[02:49:21.687 --> 02:49:22.347]  Good question, Jeff.
[02:49:23.359 --> 02:49:24.488]  Tell us about the FBI visit.
[02:49:27.571 --> 02:49:31.654]  Yeah, I mean, I made a trip to Iran a year and a half ago.
[02:49:31.834 --> 02:49:34.416]  I was invited to attend a conference there.
[02:49:34.476 --> 02:49:35.616]  I thought it was a good conference.
[02:49:35.656 --> 02:49:36.737]  I had never been there before.
[02:49:36.777 --> 02:49:38.799]  I managed to gain access to the old U.S.
[02:49:39.339 --> 02:49:43.202]  Embassy, which is almost like it was when it was taken hostage.
[02:49:46.004 --> 02:49:49.026]  So that engendered a couple of visits.
[02:49:49.126 --> 02:49:53.389]  And then because I went to China in 2012,
[02:49:55.790 --> 02:49:56.831]  That was another visit.
[02:49:56.971 --> 02:50:01.073]  Now, were they wanting info from you or trying to imply you were a bad guy?
[02:50:01.754 --> 02:50:02.374]  I think both.
[02:50:02.494 --> 02:50:04.135]  You know, it's good cop, bad cop.
[02:50:04.235 --> 02:50:13.701]  And look, the FBI was set up by J. Edgar Hoover as an intelligence gathering operation.
[02:50:13.741 --> 02:50:15.222]  It never had anything to do with me.
[02:50:15.242 --> 02:50:15.622]  Well, sure.
[02:50:15.642 --> 02:50:18.764]  I mean, until the 50s, they said organized crime didn't exist.
[02:50:19.184 --> 02:50:28.713]  Yeah, because Meyer Lansky had the photo of J. Edgar Hoover in flagrante delecto with his deputy, Clyde Tolson, at the Fontainebleau Hotel in Miami.
[02:50:28.773 --> 02:50:30.955]  And they have that building in Washington named after him.
[02:50:30.975 --> 02:50:32.277]  They're going to move out of that building.
[02:50:32.637 --> 02:50:37.021]  I understand the new FBI building won't be named after J. Edgar Hoover.
[02:50:37.041 --> 02:50:37.201]  Sure.
[02:50:37.221 --> 02:50:37.802]  Look, look, look.
[02:50:37.922 --> 02:50:40.425]  J. Edgar Hoover was always on the mob payroll.
[02:50:40.505 --> 02:50:41.085]  It's just crazy.
[02:50:42.006 --> 02:50:49.631]  Yeah, I call him Jay, well, you know, we call him Jay Edna Hooper, but, you know... Well, listen, it's not a big deal that he was a cross-dresser.
[02:50:49.671 --> 02:50:50.692]  That's his right to do that.
[02:50:50.712 --> 02:50:52.693]  Exactly, exactly.
[02:50:52.733 --> 02:50:54.674]  It's just they use that to blackmail him, absolutely.
[02:50:55.255 --> 02:50:57.276]  I mean, look, he was the Caitlyn Jenner of his time.
[02:50:57.336 --> 02:50:59.337]  I mean, you know, look what they built on him.
[02:50:59.378 --> 02:51:01.599]  An amazing, amazing career shipping drugs into the country.
[02:51:02.059 --> 02:51:03.200]  All right, folks, we'll be right back.
[02:51:03.240 --> 02:51:07.123]  Final segment before phone calls, and two more segments with Wayne Madsen when we've got the next host coming in.
[02:51:07.143 --> 02:51:08.804]  But Sherry and George, everybody stay there.
[02:51:10.438 --> 02:51:19.466]  During a campaign stop in Philadelphia, a Hillary Clinton supporter stood up and urged Hillary to take on the NRA.
[02:51:19.506 --> 02:51:25.171]  We need you to be able to use your executive powers to legislate that you can't carry guns in cars.
[02:51:25.292 --> 02:51:30.216]  In Hillary's response to using executive orders to take our guns, Amen.
[02:51:30.356 --> 02:51:33.039]  Let the congregation say Amen.
[02:51:33.619 --> 02:51:40.764]  Meanwhile, Chelsea Clinton says that gun control can finally be implemented now that Justice Scalia is dead.
[02:51:40.804 --> 02:51:45.068]  They believe the next time the court rules on gun control will make it definitive.
[02:51:46.061 --> 02:51:48.604]  Well, here's a newsflash for the Clintons.
[02:51:48.904 --> 02:51:51.607]  America doesn't have a gun problem.
[02:51:51.867 --> 02:51:54.509]  America has a gang problem.
[02:51:54.750 --> 02:52:00.395]  And in gun-free zones like Chicago, there's already been over a thousand shootings this year.
[02:52:00.595 --> 02:52:01.216]  And guess what?
[02:52:01.416 --> 02:52:05.460]  Not one of the shooters was a member of the NRA.
[02:52:05.801 --> 02:52:06.541]  Come and take it.
[02:52:06.742 --> 02:52:09.885]  And you can learn more right now at Infowars.com.
[02:52:10.445 --> 02:52:12.506]  Joe Biggs here with InfoWars.com.
[02:52:12.546 --> 02:52:14.587]  Today I want to talk to you about guns.
