[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[01:58:33.849 --> 01:58:34.870]  I've never seen
[01:58:36.567 --> 01:58:41.350]  In 20 years, flu vaccines that look this damaging.
[01:58:42.251 --> 01:58:46.074]  So let me tell you about some of the things that I do now.
[01:58:47.475 --> 01:58:51.638]  First of all, since the influenza virus, like I said, it replicates every time.
[01:58:51.678 --> 01:58:54.960]  There's no possible way you're ever going to have one vaccine.
[01:58:55.020 --> 01:59:04.347]  So let's talk about the natural methods that I use to support my body's immune system to keep me safe and my children from the flu.
[01:59:05.731 --> 01:59:08.194]  First thing you want to do is probiotics.
[01:59:08.574 --> 01:59:21.029]  A good probiotic, and what I do is I take probiotics every single day, especially maybe double during the flu season or every other day, because probiotics and your gut health is your immune system.
[01:59:21.710 --> 01:59:25.071]  The thing is, God gave us an immune system and a self-healing mechanism.
[01:59:25.111 --> 01:59:28.253]  We don't need to look outside for vaccines and everything else.
[01:59:28.293 --> 01:59:29.633]  We have the power within us.
[01:59:29.673 --> 01:59:34.315]  We have everything that we need to heal ourselves right inside of us.
[01:59:34.375 --> 01:59:38.777]  We just need to activate our immune system and keep it strong.
[01:59:39.178 --> 01:59:41.979]  And this year especially, we're under attack.
[01:59:42.921 --> 01:59:45.244]  So, stock up on probiotics.
[01:59:45.304 --> 01:59:46.305]  Take probiotics.
[01:59:46.345 --> 01:59:47.266]  Give them to your family.
[01:59:47.306 --> 01:59:49.088]  That's also going to help.
[01:59:49.428 --> 01:59:50.509]  Talk to your doctor first.
[01:59:50.569 --> 01:59:53.552]  I don't want anybody thinking I'm giving medical advice here.
[01:59:54.073 --> 02:00:00.980]  Make sure you clarify this with your natural health care practitioner or just your regular general practitioner as well.
[02:00:02.180 --> 02:00:05.562]  Vitamin C works extremely well to take during the holidays.
[02:00:05.582 --> 02:00:08.885]  This is kind of my holiday immune system tips.
[02:00:09.645 --> 02:00:23.014]  Another thing that I do is I take the winter sun which is a vitamin D. A lot of people's immune system goes down in the winter because they're not getting enough sun obviously and vitamin D is a vital part of
[02:00:24.235 --> 02:00:24.875]  Thank you for watching!
[02:00:42.947 --> 02:00:43.348]  Yeah, I think so.
[02:00:58.444 --> 02:01:00.645]  Prevent or keep your immune system strong.
[02:01:00.685 --> 02:01:08.329]  See, naturally we have cells in our body that will attack these strange viruses and these strange bacteria and everything that come into our system.
[02:01:08.749 --> 02:01:26.559]  We just need to provide our army with the best nutrients and everything else that we need in order for our army to be able to attack and be able to fight off all of these man-made, most of them are man-made, components and viruses and everything else.
[02:01:28.281 --> 02:01:32.167]  One of my other favorite things that I like to take is oregano oil.
[02:01:32.227 --> 02:01:35.232]  Oregano oil is definitely on my top five list.
[02:01:35.753 --> 02:01:37.916]  So is silver, colloidal silver.
[02:01:38.377 --> 02:01:42.063]  All of these things I've seen have worked extremely well.
[02:01:43.678 --> 02:01:46.119]  Another thing, get some sleep.
[02:01:46.579 --> 02:01:49.300]  Sleep is extremely important for your immune system.
[02:01:49.380 --> 02:01:54.661]  Try to get eight hours of sleep a night, and also try to reduce your stress levels.
[02:01:54.721 --> 02:01:59.763]  It's really hard for your immune system to work if your stress levels are really, really high.
[02:02:00.223 --> 02:02:11.446]  I know it's easier said than done, but take some time for yourself, calm yourself down, do some deep breathing exercises, and just try to relieve the stress from your body.
[02:02:12.026 --> 02:02:15.389]  That will help you out tremendously and keep your immune system strong.
[02:02:15.709 --> 02:02:19.251]  So take care of yourself and your loved ones over the holiday season.
[02:02:19.912 --> 02:02:24.956]  Make sure you make the right decision as far as whether or not you're gonna get a flu shot this year.
[02:02:25.716 --> 02:02:28.178]  And go to InfoWarsLife.com.
[02:02:28.638 --> 02:02:33.502]  Stock up on all the products that you need to keep your body safe and healthy during the holidays.
[02:02:33.602 --> 02:02:36.004]  I'm Dr. Group for InfoWars.com.
[02:02:44.460 --> 02:02:50.621]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[02:02:51.001 --> 02:02:53.882]  Dr. Grip, it took years for you to develop DNA Force for us.
[02:02:54.222 --> 02:02:59.423]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[02:02:59.843 --> 02:03:05.824]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[02:03:05.944 --> 02:03:09.085]  Telomeres are the little cups on the end of our chromosomes.
[02:03:09.225 --> 02:03:10.685]  And when it runs out, you start dying.
[02:03:10.905 --> 02:03:15.029]  We chose the PQQ because it has over 175 different clinical trials.
[02:03:15.229 --> 02:03:18.091]  It's one of the most effective substances in the world.
[02:03:18.171 --> 02:03:19.753]  It works like an antioxidant.
[02:03:19.853 --> 02:03:23.016]  It works to repair nerve growth factor.
[02:03:23.316 --> 02:03:25.638]  So this is a formula to deliver the maximum amount.
[02:03:25.918 --> 02:03:26.879]  It's in powder form.
[02:03:26.979 --> 02:03:29.681]  We have so many five-star reviews.
[02:03:29.862 --> 02:03:30.862]  I take this.
[02:03:30.983 --> 02:03:32.264]  This is the product that I take.
[02:03:32.384 --> 02:03:34.346]  Infowarslife.com and the profit we make.
[02:03:35.166 --> 02:03:35.927]  We fight the Globals.
[02:03:35.967 --> 02:03:36.807]  We fight the New World Order.
[02:03:37.128 --> 02:03:41.311]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[02:03:54.787 --> 02:03:56.388]  And we are back live.
[02:03:56.408 --> 02:04:01.610]  It is the morning after the night before, and of course, historic night it was.
[02:04:01.990 --> 02:04:11.215]  Donald J. Trump took on the political class, the media, Hollywood, Wall Street, rigged polls, and he completely eviscerated all of them.
[02:04:11.755 --> 02:04:16.277]  Hillary Clinton, any moment now, is set to give her concession speech.
[02:04:16.317 --> 02:04:20.519]  Of course, we had that bizarre incident last night where they sent out John Podesta.
[02:04:21.624 --> 02:04:34.332]  He took a break from his spirit cooking to make an appearance live on stage in front of all those weeping, butthurt Hillary supporters and made this bizarre comment about, you know, we're going to see what happens, we'll have more tomorrow.
[02:04:34.792 --> 02:04:38.615]  Of course, then reportedly Hillary Clinton made that call to Donald Trump.
[02:04:38.655 --> 02:04:45.038]  He came out on stage and only then, wasn't it interesting that only after Hillary made that call
[02:04:45.999 --> 02:04:56.710]  Did Fox News, did CNN, did all these other media outlets actually have the gall, actually have the guts to officially declare Donald Trump the President?
[02:04:57.290 --> 02:05:03.736]  Despite the fact that in states like Pennsylvania, states like Michigan, states like Wisconsin,
[02:05:04.497 --> 02:05:07.420]  The vote was 96, 97, 98, 99% in.
[02:05:07.580 --> 02:05:14.827]  He'd clearly won those states, and yet they still refused to declare him president.
[02:05:15.127 --> 02:05:19.291]  In fact, I don't even know if Fox News ever declared him winner of Pennsylvania at all.
[02:05:19.992 --> 02:05:25.776]  They waited until Hillary Clinton gave them the green light to declare Donald Trump the presidency.
[02:05:26.276 --> 02:05:27.597]  Absolutely amazing.
[02:05:28.137 --> 02:05:30.739]  Another example of the rigged media which we're going to get into.
[02:05:31.400 --> 02:05:39.705]  But again, Alex Jones is coming up in just under an hour for the first official post-election broadcast, so be sure to stay here for that.
[02:05:40.526 --> 02:05:42.687]  Top story up on InfoWars.com right now.
[02:05:42.707 --> 02:05:43.728]  Let's delve right into this.
[02:05:44.828 --> 02:05:46.490]  Again, we had this narrative for weeks.
[02:05:47.358 --> 02:05:52.222]  If not for months, that Donald Trump supporters are violent, unwieldy, intolerant.
[02:05:52.583 --> 02:05:58.468]  They're going to stage riots, they're going to stage civil unrest and violence if Donald Trump loses the election.
[02:05:59.809 --> 02:06:01.470]  Well, lo and behold, what's happened?
[02:06:01.570 --> 02:06:11.379]  Well, Hillary Clinton has lost the election and Hillary Clinton supporters are staging civil unrest and violence, thankfully in small doses so far.
[02:06:11.779 --> 02:06:14.661]  But again, this could escalate tonight and over the next few days.
[02:06:15.442 --> 02:06:17.104]  Rioting hit the streets of Portland.
[02:06:17.144 --> 02:06:18.885]  This is the headline up on Infowars.com.
[02:06:19.466 --> 02:06:26.232]  Hillary supporters burn American flag, riot, threaten to kill Trump after losing the election because they're tolerant liberals.
[02:06:26.713 --> 02:06:37.723]  Rioting hit the streets of Portland and Oakland as Hillary Clinton supporters reacted badly to Donald Trump's election victory, while death threats against the new president-elect flooded social media.
[02:06:38.789 --> 02:06:43.114]  Again, you see these reports out of RT, out of Local Fox 5 there on the scene.
[02:06:43.735 --> 02:06:49.461]  Windows were broken, cars were set on fire in Oakland as outright protesters lit flares and blocked freeways.
[02:06:50.402 --> 02:06:53.246]  Protester was struck by a vehicle, people were injured.
[02:06:54.048 --> 02:07:01.530]  Videos also show students on the streets of Eugene and Portland protesting again against a democratic election.
[02:07:02.250 --> 02:07:06.631]  Of course, the very notion of a demonstration is against something that negatively impacts you.
[02:07:06.692 --> 02:07:11.453]  This was a democratic election, a free election, which you lost!
[02:07:12.321 --> 02:07:23.331]  And now they're out on the streets of Eugene and Portland chanting BITCH and F Trump as they march in unison because that's gonna fix their butthurt, apparently.
[02:07:24.091 --> 02:07:33.980]  And in another video, which is also embedded in this article, they burn an American flag because it's very important to show your respect for democracy
[02:07:34.941 --> 02:07:43.345]  For this freedom that your ancestors fought and died for by burning the flag the very evening of that election.
[02:07:44.285 --> 02:07:57.692]  And again, as I write in the article, the irony of the riots is that many pro-Clinton media outlets previously circulated the talking point that Trump supporters would be likely to stage violent unrest after they lost the election.
[02:07:59.178 --> 02:08:04.842]  So again, we go to Twitter and these death threats, and you can see these in the article, I've screenshotted just a few of them.
[02:08:05.062 --> 02:08:05.902]  Just a few!
[02:08:06.983 --> 02:08:10.025]  Because obviously I was operating on two hours sleep this morning.
[02:08:10.505 --> 02:08:17.209]  I could have spent two, three hours going through Twitter this morning, screenshotting hundreds and hundreds of these tweets.
[02:08:17.249 --> 02:08:17.710]  And you can see!
[02:08:18.871 --> 02:08:30.876]  These are Hillary Clinton supporters, tolerant liberals, who of course lambasted conservatives back in 2012 for not accepting Obama's victory with open arms.
[02:08:31.336 --> 02:08:40.080]  Now they're out on Twitter whining, gnashing their teeth, writhing around, refusing to accept Donald Trump's victory.
[02:08:40.660 --> 02:08:46.663]  You've got hashtags trending right now, I'm still with her, and hashtag not my president,
[02:08:47.463 --> 02:08:55.431]  And if you go on the Twitter search and you type in the search term, kill Trump or shoot Trump, then this is the kind of tolerant liberalism that you will come up with.
[02:08:56.272 --> 02:09:00.476]  Quote, this is a tweet and it got 125 retweets.
