[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[02:32:40.494 --> 02:32:41.935]  Counteract the globalist onslaught.
[02:32:42.415 --> 02:32:44.257]  It starts at InfoWarsLife.com
[02:32:45.632 --> 02:32:48.933]  Special Forces selection, it's not like you could ever take the easy road.
[02:32:48.993 --> 02:32:52.755]  You can't take steroids to make, you know, being a Special Forces operator easy.
[02:32:52.815 --> 02:32:59.118]  I'm always looking for the best and natural way to get myself to the limit.
[02:32:59.138 --> 02:33:00.778]  I have to have the edge in my abilities.
[02:33:00.878 --> 02:33:04.140]  I believe that Super Male Vitality is where that gives me the edge.
[02:33:04.680 --> 02:33:08.762]  I've been taking it, and I'm still getting faster and stronger every day.
[02:33:09.522 --> 02:33:14.004]  Start your journey to Super Male Vitality today at InfoWarsLife.com
[02:33:17.148 --> 02:33:23.072]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:33:23.092 --> 02:33:33.678]  Alright, I appreciate Denise holding.
[02:33:34.138 --> 02:33:35.679]  I appreciate Sergeant B holding.
[02:33:35.799 --> 02:33:39.421]  I appreciate Shane and Lonnie and Justin.
[02:33:39.441 --> 02:33:40.582]  Everybody, I'm gonna get to all of you right now.
[02:33:42.363 --> 02:33:45.985]  Just briefly, I was talking to Roger Stone during the break.
[02:33:47.450 --> 02:33:52.972]  About the fact that we have to raise like $32,000 just to have like a four or five hour rally down there.
[02:33:52.992 --> 02:33:55.713]  Look, there's gonna be massive media coverage of this.
[02:33:55.773 --> 02:33:57.414]  It's right across from the RNC's meeting.
[02:33:58.674 --> 02:34:00.295]  The George Soros people aren't gonna get permits.
[02:34:00.315 --> 02:34:06.377]  They're gonna do whatever they want and run around and, you know, attack and spit on things and just do what they generally do.
[02:34:07.958 --> 02:34:09.979]  Because they serve the foreign multinational globalists.
[02:34:09.999 --> 02:34:11.499]  That's why they claim they're anti-establishment.
[02:34:11.519 --> 02:34:12.720]  They are the filth of the earth.
[02:34:14.909 --> 02:34:18.392]  But they make them get PA systems, porta-potties, and pay for the police.
[02:34:18.712 --> 02:34:19.433]  That is wrong.
[02:34:20.054 --> 02:34:25.959]  It should be in the police budget to take care of big rallies and big demonstrations around key times like this.
[02:34:26.580 --> 02:34:33.206]  But it's libertarians, and it's patriots, and it's conservatives that try to not cause a disturbance.
[02:34:34.507 --> 02:34:35.288]  But I'll tell you something.
[02:34:36.288 --> 02:34:40.672]  When I get told I can't have a demonstration, but other people can, I'm going to have it regardless.
[02:34:41.192 --> 02:34:45.515]  Well, the good news is they've backed off because of two different lawsuits and they claim this is it.
[02:34:45.596 --> 02:34:47.857]  So that's why I'm going to this.
[02:34:47.917 --> 02:34:54.883]  I'm going to be part of this because it's a symbol of free speech and the globalists are coming after free speech.
[02:34:54.943 --> 02:35:00.308]  But beyond that, I've got all sorts of tricks up my sleeve that are legal and lawful for Cleveland.
[02:35:02.129 --> 02:35:03.090]  But we're going to put out
[02:35:04.949 --> 02:35:06.329]  Hundreds of thousands of leaflets.
[02:35:07.330 --> 02:35:08.690]  We're going to do other things.
[02:35:09.270 --> 02:35:10.931]  We're going to have aircraft in the sky.
[02:35:11.551 --> 02:35:21.014]  And believe me, Hillary will go to the level, we've had this before with the Democrats especially, trying to block us doing things like putting aircraft in the sky.
[02:35:21.575 --> 02:35:22.875]  That just becomes a bigger issue.
[02:35:23.655 --> 02:35:28.037]  See, people think you fight tyranny and then you get defeated at one level in one battle, you've lost.
[02:35:28.117 --> 02:35:32.538]  No, you learn about the enemy, you expose what they're doing, you show people they're tyrants.
[02:35:33.098 --> 02:35:34.259]  That's the beginning of the end.
[02:35:35.342 --> 02:35:39.444]  Like the corrupt EU saying, we're not going to allow a vote, we're just taking you over.
[02:35:40.245 --> 02:35:42.986]  Well, in the end, people started backlashing against that.
[02:35:43.826 --> 02:35:46.868]  Only submitting to tyranny is how you lose.
[02:35:47.808 --> 02:35:49.930]  Resisting it, you always end up winning.
[02:35:50.430 --> 02:35:52.251]  It may take five years, it may take ten years.
[02:35:52.751 --> 02:35:53.651]  It may take six months.
[02:35:54.232 --> 02:35:55.793]  But the worm is turning.
[02:35:56.673 --> 02:36:04.097]  Just to give people the good news, InfoWars is one of the main focal points, not just here in the US, but all over the world, of resistance to globalism.
[02:36:05.734 --> 02:36:24.754]  And we've gone from being ridiculed, demonized, attacked, just totally lied about, to more and more, especially in other nations, it's not just populist or right-wingers that like us, it's true liberals, and it's nationalists that are just common sense all over the world, from Brazil to South Africa, from Nigeria to Japan.
[02:36:25.535 --> 02:36:38.223]  From Russia to Germany, from the UK to Canada, from Mexico to Chile to Australia, InfoWars, in many cases, is more popular per capita in foreign nations.
[02:36:40.985 --> 02:36:43.707]  A couple African nations were like in the top 20 and stuff.
[02:36:43.747 --> 02:36:44.527]  It's crazy.
[02:36:45.888 --> 02:36:47.309]  So, let me tell you something.
[02:36:47.369 --> 02:36:49.971]  People are listening worldwide.
[02:36:52.252 --> 02:36:54.714]  And Americans, to a certain extent, are in this bubble.
[02:36:56.403 --> 02:36:59.524]  Americans have the lowest level of passports, except for North Korea.
[02:36:59.984 --> 02:37:04.026]  Americans, on average, do have the fattest... On a mod second, folks are overweight.
[02:37:04.046 --> 02:37:04.966]  I've been overweight before, too.
[02:37:05.346 --> 02:37:09.067]  But I'm just saying, on average, the fattest, dumbest, most lethargic people.
[02:37:09.108 --> 02:37:13.569]  Doesn't mean we're all bad, but statistically, we are at the bottom of the barrel.
[02:37:17.450 --> 02:37:21.552]  But that's starting to change, because once you hit bottom, there's nowhere else to go but up, right?
[02:37:22.779 --> 02:37:23.300]  Historically.
[02:37:24.041 --> 02:37:25.804]  So I want to commend all of you for your support.
[02:37:26.244 --> 02:37:27.686]  I want to commend you all for your prayers.
[02:37:28.027 --> 02:37:28.828]  That's what I really need.
[02:37:30.330 --> 02:37:32.594]  Because I'm in such a fight with the globalists.
[02:37:32.654 --> 02:37:33.335]  I know the stakes.
[02:37:33.395 --> 02:37:34.176]  I know how real it is.
[02:37:34.236 --> 02:37:35.658]  And I just get sick at my stomach.
[02:37:35.919 --> 02:37:37.181]  Like I'm not working hard enough.
[02:37:37.221 --> 02:37:38.323]  Like I'm not doing enough.
[02:37:39.793 --> 02:37:47.660]  Like I'm not, sometimes at like five or six I gotta do more work and I want to, my spirit wants to but my flesh is weak and I'm just like dizzy.
[02:37:48.160 --> 02:37:57.928]  I'm so exhausted and I just got more to do and I know I can fight the enemy and I can put out a viral video and I can really expose this and I'm gonna learn to just go, I give it to God, this is all I can do, just turn loose.
[02:37:59.069 --> 02:38:02.892]  Or I'm gonna have a heart attack by the time I'm 55 and I don't want that.
[02:38:03.533 --> 02:38:08.257]  So my kids deserve me to be healthy but all I'm saying is don't call up telling me how great I am because
[02:38:09.683 --> 02:38:10.603]  It's the opposite of that.
[02:38:11.304 --> 02:38:13.464]  My guts and everything are like, fight harder.
[02:38:13.604 --> 02:38:15.665]  And I'm very angry at myself, okay?
[02:38:16.585 --> 02:38:18.965]  And that's not a listening going, oh Alex, you're doing good, don't worry about it.
[02:38:19.226 --> 02:38:20.506]  I'm really telling you how I feel.
[02:38:20.986 --> 02:38:22.786]  Because I know how bad these people are.
[02:38:22.947 --> 02:38:23.907]  I know how evil they are.
[02:38:23.987 --> 02:38:25.507]  It really freaks me out.
[02:38:28.448 --> 02:38:31.009]  I mean, look at that photo that's up on Real Alex Jones on Twitter again.
[02:38:31.329 --> 02:38:34.029]  This is, I'm convinced, the most evil photo of Hillary I've ever seen.
[02:38:35.110 --> 02:38:35.930]  And you really look at her,
[02:38:37.156 --> 02:38:43.980]  I look at this photo of her and, man, I... I actually... my heart flutters.
[02:38:46.302 --> 02:38:46.842]  Oh, God.
[02:38:47.162 --> 02:38:47.723]  Oh, God.
[02:38:47.923 --> 02:38:48.403]  Oh, God.
[02:38:48.483 --> 02:38:50.024]  Those eyes tell you everything you need to know.
[02:38:51.845 --> 02:38:54.347]  Man, she enjoys power.
[02:38:54.407 --> 02:38:55.788]  She enjoys lies.
[02:38:55.968 --> 02:38:57.989]  She enjoys suppression.
[02:38:58.029 --> 02:38:59.190]  She treats everybody like crap.
[02:38:59.210 --> 02:39:00.070]  She doesn't give tips.
[02:39:00.550 --> 02:39:02.191]  She doesn't let you look her in the eye.
[02:39:02.272 --> 02:39:04.373]  She is an arrogant monster pig.
[02:39:08.479 --> 02:39:10.159]  She hates us so much, folks.
[02:39:10.459 --> 02:39:11.320]  Oh my God.
[02:39:13.360 --> 02:39:15.540]  I think she might cause a nuclear war or something.
[02:39:15.600 --> 02:39:16.761]  I just, there's something about her.
[02:39:16.841 --> 02:39:21.822]  I think, I look at Kim Jong-un and I also have the same feeling, but not as bad.
[02:39:21.842 --> 02:39:27.623]  It's just, oh, it's so, because they're so soft and weak, but because they're in a bully position, they can get away with anything.
[02:39:31.004 --> 02:39:31.664]  Like a vampire.
[02:39:32.384 --> 02:39:32.724]  Briefly,
[02:39:36.226 --> 02:39:41.732]  I'm already putting planes in the sky for four days over the RNC and DNC.
[02:39:42.212 --> 02:39:43.013]  I looked at blimps.
[02:39:43.073 --> 02:39:44.295]  Those are just way too much.
[02:39:44.315 --> 02:39:49.300]  We're talking half a million dollar commitment for a big blimp.
[02:39:49.360 --> 02:39:51.382]  And then, of course, that's like a multi-month contract.
[02:39:51.402 --> 02:39:52.223]  They go to all these different cities.
[02:39:52.243 --> 02:39:53.704]  They just don't do it where you go to one city.
[02:39:54.966 --> 02:39:56.327]  Can you imagine a blimp going around St.
[02:39:56.347 --> 02:39:56.988]  Hillary for President?
[02:39:57.088 --> 02:39:58.409]  Oh, that'd be the biggest thing ever.
[02:39:59.258 --> 02:39:59.458]  I think?
[02:40:15.043 --> 02:40:18.685]  The point is, we need to sell a lot of the Hillary for Prison t-shirts to pay for that, but regardless, I'm all in.
[02:40:18.745 --> 02:40:20.426]  InfoWareStore.com.
[02:40:20.526 --> 02:40:23.367]  Our 4th of July mega special is going to be extended throughout the week.
[02:40:23.887 --> 02:40:33.452]  I'm only able to do this a couple times a year, but they've allowed us because of all the globalist talk of food shortages and food price increases, which I hope aren't the case, but we're preparing, you know, for the worst, hoping for the best here.
[02:40:33.752 --> 02:40:37.834]  We got 20 to 40% off all the great storable food there at InfoWareStore.com.
[02:40:39.235 --> 02:40:44.020]  We also have 20% off Survival Shield, Ninja Nida, and the good X2 that blocks the bad halogens has changed my life.
[02:40:44.341 --> 02:40:45.802]  Alexa Pure Water filters are 20% off.
[02:40:45.842 --> 02:40:47.244]  Alexa Pure Air filters are 20% off.
[02:40:47.264 --> 02:40:48.605]  A lot of other specials as well.
[02:40:48.846 --> 02:40:51.889]  Check them all out at M4Store.com or call toll free 888-253-3139.
[02:40:51.909 --> 02:40:51.949]  888-253-3139.
[02:40:59.841 --> 02:41:02.344]  And it is your purchase of these products that funds the operation.
[02:41:02.404 --> 02:41:05.868]  Plus, these are things everybody needs going into these very uncertain times.
[02:41:05.988 --> 02:41:08.210]  Patriots need to be self-sufficient.
[02:41:08.250 --> 02:41:13.016]  The enemy bets their whole game plan on us being dependent on them.
[02:41:14.522 --> 02:41:16.584]  And prepping now is absolutely essential.
[02:41:16.624 --> 02:41:20.328]  It's gone from a possibility of collapse to a probability to a certainty.
[02:41:20.348 --> 02:41:21.969]  It just depends on how bad it'll be.
[02:41:22.009 --> 02:41:23.350]  But worldwide, it's already in full swing.
[02:41:23.370 --> 02:41:24.892]  We're already in a depression in most areas.
[02:41:25.172 --> 02:41:26.273]  It's just not equally distributed.
[02:41:26.293 --> 02:41:29.796]  You can call toll-free to ask any questions about specials or to order via the phone as well.
