[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[01:51:05.555 --> 01:51:09.998]  Let's read from the NIH definition of gain of function.
[01:51:10.038 --> 01:51:12.820]  This is your definition that you guys wrote.
[01:51:13.380 --> 01:51:21.266]  It says that scientific research that increases the transmissibility among animals is gain of function.
[01:51:21.686 --> 01:51:27.890]  They took animal viruses that only occur in animals and they increased their transmissibility to humans.
[01:51:28.250 --> 01:51:30.332]  How you can say that is not gain of function?
[01:51:30.372 --> 01:51:30.852]  It is not.
[01:51:31.032 --> 01:51:39.038]  It's a dance, and you're dancing around this because you're trying to obscure responsibility for four million people dying around the world from a pandemic.
[01:51:39.578 --> 01:51:43.181]  And let's, let's, Dr. Fauci... I have to, well, now you're getting into something.
[01:51:43.301 --> 01:51:56.571]  If the point that you are making is that the grant that was funded as a sub-award from EcoHealth to Wuhan created SARS-CoV-2, that's where you are getting.
[01:51:56.951 --> 01:51:57.771]  Let me finish.
[01:51:57.851 --> 01:51:58.372]  We don't know.
[01:51:58.672 --> 01:52:07.161]  Well, no, it did come from the lab, but all the evidence is pointing that it came from the lab, and there will be responsibility for those who funded the lab, including yourself.
[01:52:07.302 --> 01:52:10.465]  I totally resent the lie that you are now propagating, Senator.
[01:52:15.911 --> 01:52:30.864]  Because if you look at the viruses that were used in the experiments that were given in the annual reports that were published in the literature, it is molecularly impossible
[01:52:30.984 --> 01:52:33.227]  No one's saying those viruses caused it.
[01:52:33.327 --> 01:52:36.072]  No one is alleging that those viruses caused the pandemic.
[01:52:36.132 --> 01:52:41.480]  What we're alleging is that gain-of-function research was going on in that lab and NIH funded it.
[01:52:41.500 --> 01:52:42.982]  Get away from it.
[01:52:43.322 --> 01:52:46.387]  It meets your definition and you are obfuscating the truth.
[01:52:46.587 --> 01:52:48.048]  I'm not obfuscating the truth.
[01:52:48.088 --> 01:52:48.589]  You're the one.
[01:52:48.609 --> 01:52:51.191]  Senator Paul, time has expired, but I will allow the witness to finish.
[01:52:51.211 --> 01:52:51.931]  Let me just finish.
[01:52:52.231 --> 01:53:05.582]  I want everyone to understand that if you look at those viruses, and that's judged by qualified virologists and evolutionary biologists, those viruses are molecularly impossible to result in SARS-CoV-2.
[01:53:05.602 --> 01:53:06.483]  No one's saying they are.
[01:53:06.543 --> 01:53:08.945]  No one's saying those viruses caused the pandemic.
[01:53:10.359 --> 01:53:11.520]  What's up, everybody?
[01:53:11.640 --> 01:53:14.182]  This is your new host of InfoWars.
[01:53:14.222 --> 01:53:16.783]  For the next 30 minutes, Angela Stanton King.
[01:53:17.204 --> 01:53:19.005]  Alex had to step off for a little bit.
[01:53:19.105 --> 01:53:20.606]  He knew I had it under control.
[01:53:20.886 --> 01:53:24.369]  We're going to get back into something real quick before we go to another segment.
[01:53:24.689 --> 01:53:26.730]  Let's touch back on the Equality Act.
[01:53:27.050 --> 01:53:36.677]  You know, we were talking about that Joe Biden made it important that he signed that executive order and how it impacts our children and what's coming down the pipeline in our education system.
[01:53:37.117 --> 01:53:41.379]  Listen, I went to the daycare the other day with a friend of mine to pick up my goddaughter.
[01:53:41.719 --> 01:53:42.559]  This is a daycare.
[01:53:43.120 --> 01:53:44.780]  Her daughter is two years old.
[01:53:45.221 --> 01:53:49.823]  We walk into the front of the school, and this is what's up on the board.
[01:53:49.883 --> 01:53:55.485]  And as you can see in the brown puzzle, it says, sexual orientation.
[01:53:55.945 --> 01:54:03.969]  Come to find out, this particular school, which is the children's courtyard, they're all over the United States.
[01:54:04.289 --> 01:54:05.990]  And there are hundreds of them.
[01:54:06.430 --> 01:54:07.311]  I had a question.
[01:54:07.671 --> 01:54:22.979]  Hey, listen, I'm not against anybody's preference or anything that anyone is doing, but why is sexual orientation, which is someone's preference for sex, listed on a bulletin board at a daycare for two-year-olds?
[01:54:23.739 --> 01:54:26.781]  I was given the answer that it's all about diversity.
[01:54:27.161 --> 01:54:32.144]  And if we didn't like it, we could take our child out of that school and take her somewhere else.
[01:54:33.024 --> 01:54:35.106]  Listen America, we're in trouble.
[01:54:35.686 --> 01:54:37.348]  It's time for us to wake up.
[01:54:37.648 --> 01:54:45.275]  Did you also know that in our schools now they are allowing our children to be called by gender neutral names?
[01:54:45.455 --> 01:54:53.762]  If they go in and say, hey I want to be called Jill and my name is really Jack, the teachers are doing it and they're not notifying the parents.
[01:54:54.463 --> 01:54:59.464]  What are your children being taught and why are we allowing that to happen?
[01:54:59.824 --> 01:55:06.846]  But I think that it's important that we wake up and realize that this agenda is serious and we need to get serious and fight in it.
[01:55:07.787 --> 01:55:08.627]  That's what we need to do.
[01:55:08.947 --> 01:55:10.727]  So let's move on to our next subject.
[01:55:11.168 --> 01:55:12.428]  President Trump.
[01:55:12.588 --> 01:55:13.928]  I think we've got a clip of him.
[01:55:14.328 --> 01:55:23.431]  As you heard Alex say, listen, all of my Instagram, my social media, my Twitter, my Facebook, all of my accounts have been disabled and suspended.
[01:55:24.301 --> 01:55:27.243]  Nearly 1 million followers and supporters.
[01:55:27.743 --> 01:55:28.043]  Why?
[01:55:28.504 --> 01:55:31.125]  Because I'm not telling people that abortion is health care.
[01:55:31.385 --> 01:55:33.727]  I'm telling them that abortion is death care.
[01:55:34.107 --> 01:55:41.151]  Because I'm telling people that, hey, LGBTQ, even though that's your preference if you're an adult, they're all sexualities.
[01:55:41.692 --> 01:55:43.653]  Why are we tying sex to children?
[01:55:44.313 --> 01:55:49.497]  Who looks at a 4-year-old or a 5-year-old and labels them a sexuality?
[01:55:50.237 --> 01:55:54.360]  No, I don't get a Cadillac commercial for preaching abortion.
[01:55:54.661 --> 01:55:57.183]  I get censored for being pro-life.
[01:55:57.923 --> 01:56:01.006]  President Trump recently filed a lawsuit against Big Tech.
[01:56:01.546 --> 01:56:02.647]  Let's hear what he had to say.
[01:56:02.667 --> 01:56:16.878]  I just want to say that I stand before you this morning to announce a very important and very beautiful, I think, development for our freedom and our freedom of speech.
[01:56:17.881 --> 01:56:19.342]  And that goes to all Americans.
[01:56:20.363 --> 01:56:41.576]  Today, in conjunction with the America First Policy Institute, I'm filing, as the lead class representative, a major class action lawsuit against the big tech giants, including Facebook, Google, and Twitter, as well as their CEOs, Mark Zuckerberg
[01:56:42.651 --> 01:56:46.481]  Sundar Pichai and Jack Dorsey.
[01:56:46.962 --> 01:56:48.225]  Three real nice guys.
[01:56:51.363 --> 01:56:52.763]  We're asking the U.S.
[01:56:53.383 --> 01:57:07.246]  District Court for the Southern District of Florida to order an immediate halt to social media companies' illegal, shameful censorship of the American people, and that's exactly what they are doing.
[01:57:07.846 --> 01:57:20.148]  We're demanding an end to the shadowbanning, a stop to the silencing, and a stop to the blacklisting, banishing, and canceling that you know so well.
[01:57:21.235 --> 01:57:29.482]  Our case will prove this censorship is unlawful, it's unconstitutional, and it's completely un-American.
[01:57:29.582 --> 01:57:30.262]  We all know that.
[01:57:30.342 --> 01:57:32.704]  We all know that very, very well.
[01:57:33.825 --> 01:57:42.632]  Our filing also seeks injunctive relief to allow prompt restitution and, really, restoration.
[01:57:42.732 --> 01:57:48.257]  And you can name about 20 other things, and it has to be prompt because it's destroying our country.
[01:57:49.474 --> 01:57:59.038]  Of my accounts, in addition we are asking the court to impose punitive damages on these social media giants.
[01:58:00.118 --> 01:58:03.999]  We're going to hold Big Tech very accountable.
[01:58:04.039 --> 01:58:04.960]  This is the first of
[01:58:06.158 --> 01:58:08.340]  Numerous other lawsuits, I assume, that would follow.
[01:58:08.701 --> 01:58:14.987]  But this is the lead, and I think it's going to be a very, very important game-changer for our country.
[01:58:15.908 --> 01:58:20.212]  It will be a pivotal battle in the defense of the First Amendment.
[01:58:20.432 --> 01:58:29.241]  And in the end, I am confident that we will achieve a historic victory for American freedom, and at the same time, freedom of speech.
[01:58:35.471 --> 01:58:38.733]  Did you just hear what President Trump said?
[01:58:38.793 --> 01:58:42.994]  You know, I was sitting back and I was watching and I followed President Trump on Twitter.
[01:58:43.014 --> 01:58:48.717]  I also followed him on Instagram because I was very hip and aware of how fake news could be.
[01:58:48.797 --> 01:58:50.237]  I had been in the media before.
[01:58:50.297 --> 01:58:54.079]  I had, you know, a $30 million frivolous lawsuit filed against me.
[01:58:54.159 --> 01:58:56.760]  I was made out to be the bad guy and none of that stuff was true.
[01:58:57.120 --> 01:59:01.922]  And it took a long time for me to be able to prove my truth in court, but I stood on it.
[01:59:02.222 --> 01:59:08.164]  But I sat and I watched how the media not only attacked the President, but also attacked people like me that supported him.
[01:59:08.224 --> 01:59:11.885]  Somehow me, with my brown skin, instantly became a white supremacist.
[01:59:12.326 --> 01:59:17.207]  But Trump's social media allowed him to debunk everything that they said.
[01:59:17.387 --> 01:59:19.268]  It allowed him to show his truth.
[01:59:19.748 --> 01:59:27.251]  And when they silenced the sitting President of the United States, I knew then that there was no hope for the rest of us.
[01:59:27.691 --> 01:59:32.635]  If they could silence a sitting president, hey, what if there's an emergency?
[01:59:32.895 --> 01:59:34.116]  What if a bomb goes off?
[01:59:34.397 --> 01:59:36.198]  This guy is who's in control.
[01:59:36.258 --> 01:59:37.339]  He has the power.
[01:59:37.980 --> 01:59:41.783]  How do you silence a United States sitting president?
[01:59:42.183 --> 01:59:49.069]  I knew then that big tech had too much power and after that they start coming after us one by one.
[01:59:49.449 --> 01:59:51.130]  Me, they consider me to be a threat.
[01:59:51.270 --> 01:59:51.550]  Why?
[01:59:51.670 --> 01:59:54.472]  Not only am I a Trump supporter, I'm a black Trump supporter.
[01:59:54.772 --> 01:59:56.713]  Listen, Mr. President, you know I love you.
[01:59:57.113 --> 01:59:59.014]  I sent them my information already.
[01:59:59.094 --> 02:00:02.836]  I've got all of my screenshots, I've got all of my emails, anything that you need.
[02:00:03.236 --> 02:00:08.579]  I'll be glad to join hands with you on this lawsuit because freedom of speech is a real thing.
[02:00:09.790 --> 02:00:10.571]  This is serious.
[02:00:11.291 --> 02:00:17.056]  Even going back to the Equality Act, things that were signed by Joe Biden where they banned conversion therapy.
[02:00:17.657 --> 02:00:21.060]  These things take away your rights as a parent.
[02:00:22.441 --> 02:00:23.882]  You have the freedom of speech.
[02:00:24.603 --> 02:00:34.351]  If someone is telling your child something that you don't believe or something that you don't support, as a parent, you should have the right to tell your child the truth.
