[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[02:09:57.555 --> 02:09:59.116]  Why are masks so important?
[02:09:59.116 --> 02:10:06.804]  Because they are the psychological underpinning of the psyop of this terrible event.
[02:10:06.804 --> 02:10:11.028]  When people put a mask on, it's a symbol of obedience, transformation.
[02:10:11.028 --> 02:10:12.189]  It's a slave mask.
[02:10:12.189 --> 02:10:14.811]  It says, I'm going to obey you and do all this crazy stuff.
[02:10:15.951 --> 02:10:21.213]  And so now, if people take them off and they go, hey, nothing happened to me.
[02:10:21.213 --> 02:10:26.675]  Hey, that was just all that crazy Dr. Fauci, the disinformation guy, telling me to do this.
[02:10:26.675 --> 02:10:27.855]  Nothing's happening out here.
[02:10:27.855 --> 02:10:29.436]  Life's going on.
[02:10:29.436 --> 02:10:31.256]  That would be a problem for them.
[02:10:31.256 --> 02:10:34.017]  So they want to keep it going.
[02:10:34.017 --> 02:10:36.718]  They want to keep their control going.
[02:10:36.718 --> 02:10:38.039]  They're going to try and remask us.
[02:10:38.039 --> 02:10:39.839]  And if you really look, I've got to tell you something.
[02:10:39.839 --> 02:10:44.481]  Oh, right here in Travis County, they're trying to order all the schoolchildren to do it, despite the fact the governor blocked it.
[02:10:45.737 --> 02:10:56.962]  Well, and despite the fact that we have the WikiLeaks of Fauci's emails that tells he knows it didn't work, we have, you know, decades of history and science that show it didn't work.
[02:10:56.962 --> 02:11:00.484]  The only science that purports to show it works happened after the outbreak.
[02:11:00.484 --> 02:11:05.847]  And here's the big one, is that these masks, I mean,
[02:11:06.867 --> 02:11:09.808]  The actual medical literature, I think it was in JAMA.
[02:11:09.808 --> 02:11:12.449]  I don't remember if it was JAMA or New England Journal of Medicine.
[02:11:12.449 --> 02:11:16.830]  In the midst of this, after Fauci kept changing his mind about whether medical people needed it.
[02:11:16.830 --> 02:11:17.610]  No, they don't.
[02:11:17.610 --> 02:11:18.970]  They need it, but you don't need it.
[02:11:18.970 --> 02:11:20.491]  Then you needed it, then you couldn't.
[02:11:20.491 --> 02:11:22.891]  Oh, it was just to keep your hand off your face.
[02:11:22.891 --> 02:11:23.592]  I love that one.
[02:11:23.592 --> 02:11:26.132]  Okay, I'm going to be mandated to keep my hand off my face.
[02:11:26.132 --> 02:11:27.713]  It's just a simple amendment along the stock.
[02:11:27.713 --> 02:11:32.174]  Let me shift gears here, because you raised a point that I meant to ask you about when I wanted to get you on weeks ago.
[02:11:33.328 --> 02:11:53.801]  And that is, I see New York Times, Washington Post, eight months ago when the so-called injections began, the vaccines began, the gene therapies, they would say, it's gonna make your lymph nodes swell up, and it might make a uterus swell up, or your breast, but doctors, if it looks like a tumor, just don't worry about it.
[02:11:53.801 --> 02:12:00.686]  Well then Roger Stone's wife takes the second Pfizer shot, they tell her she has lymphoma, non-Hobbskins,
[02:12:01.969 --> 02:12:03.289]  Right in the limp know where it happened.
[02:12:03.289 --> 02:12:03.869]  Stage 4.
[02:12:03.869 --> 02:12:06.130]  I know a bunch of other people.
[02:12:06.130 --> 02:12:08.530]  All the phones load up when I open the phones.
[02:12:08.530 --> 02:12:12.111]  I see it in the news where women are 35, 40 years old, never had a problem.
[02:12:12.111 --> 02:12:13.551]  Now their menstrual cycles all the time.
[02:12:13.551 --> 02:12:15.092]  They have hysterectomies.
[02:12:15.092 --> 02:12:16.372]  They're being told they have cancer.
[02:12:16.372 --> 02:12:20.413]  So they said, oh, don't worry about the false cancer.
[02:12:20.413 --> 02:12:21.273]  It's a false alarm.
[02:12:21.273 --> 02:12:24.353]  But when they see their doctor, they say, no, that's cancer.
[02:12:24.353 --> 02:12:26.254]  So this is dramatic.
[02:12:26.254 --> 02:12:27.294]  Well, what's going on there?
[02:12:29.130 --> 02:12:31.591]  Well again, they dumbed down our immune system.
[02:12:31.591 --> 02:12:33.411]  What do you have your immune system for?
[02:12:33.411 --> 02:12:41.514]  You have your immune system for not just infectious diseases, but to keep the virus and the cancer genes in check that we all have in our DNA.
[02:12:41.514 --> 02:12:50.777]  So those killer T's are going around eating cancer all day, and when you take the vaccine they admit it lowers it by one-third at least, the Pfizer, and so you don't have the troops on call.
[02:12:50.777 --> 02:12:54.839]  So if you almost had cancer in a breast, or almost had cancer in a lymph node, I guess then it happens?
[02:12:57.024 --> 02:13:06.451]  Well, it actually allows, yeah, it's not specific I think, but it allows cancer genes to be expressed because you've lost the ability to methylate, which is a chemical process.
[02:13:06.451 --> 02:13:15.817]  You can help it by taking betaine or dimethylglycine or things we can talk about, but the point is it stops this process of stabilizing that DNA segment for the cancer.
[02:13:15.817 --> 02:13:17.698]  So these things are coming out.
[02:13:17.698 --> 02:13:25.884]  They should have, and that's what, you know, the informed consent, if we'd gotten real informed consent, informed consent in their mind is roll up your sleeve.
[02:13:26.325 --> 02:13:28.210]  Oh, you might have a little itching or swelling.
[02:13:28.210 --> 02:13:32.281]  If people got told this might turn your immune system off and give you cancer, they wouldn't do it.
[02:13:32.281 --> 02:13:32.942]  But they don't tell them that.
[02:13:33.988 --> 02:13:35.028]  They wouldn't be doing it.
[02:13:35.028 --> 02:13:35.849]  That's right.
[02:13:35.849 --> 02:13:48.614]  And if you remember, if you go back in history, and I studied this extensively, there were seven Nazi physicians that were killed, that were hung, for crimes against humanity, mass murder.
[02:13:48.614 --> 02:13:54.196]  Most of them, I think almost all except at least one, didn't commit murder themselves at all.
[02:13:54.196 --> 02:14:01.759]  What they did was they allowed a system to be in place that allowed coercion for people to be in experiments, in other words, the prisoners,
[02:14:02.439 --> 02:14:05.021]  And they did not apply informed consent.
[02:14:05.021 --> 02:14:07.243]  What does that sound like today?
[02:14:07.243 --> 02:14:08.544]  We are coercing people.
[02:14:08.544 --> 02:14:14.568]  You can't shop in this place or you can't go to... First it was little stuff like you couldn't go to the zoo.
[02:14:14.568 --> 02:14:16.850]  But now they're saying you won't be able to buy groceries.
[02:14:16.850 --> 02:14:19.152]  You won't be able to travel on airplanes.
[02:14:19.152 --> 02:14:21.073]  This is absolute coercion.
[02:14:21.073 --> 02:14:22.154]  Nuremberg violation 101.
[02:14:22.154 --> 02:14:24.396]  Yeah.
[02:14:24.396 --> 02:14:28.739]  And so, you know, so that's why you need to not accede to this.
[02:14:28.739 --> 02:14:31.441]  And by the way, people are, you know, now it's the
[02:14:32.361 --> 02:14:34.783]  You know, cut time here on the military, apparently.
[02:14:34.783 --> 02:14:38.607]  But the problem is, what do they... If they take this one, it won't be over.
[02:14:38.607 --> 02:14:44.392]  Anybody that accedes to this thinking, okay, I know it doesn't make a lot of sense... Well, they're already saying in Israel, oh, the two shots is enough.
[02:14:44.392 --> 02:14:47.154]  Now you must have the third, and now they're talking about a fourth.
[02:14:47.154 --> 02:14:49.737]  And Trudeau up in Canada already bought like five years out.
[02:14:51.178 --> 02:14:58.221]  So whether it's masks, or whether it's the vaccine, or whether it's, you know, stupid anti-social distancing.
[02:14:58.221 --> 02:14:59.502]  I don't care what you pick.
[02:14:59.502 --> 02:15:04.604]  These are nonsense things that are put in place as part of Biden's chart of coercion, by the way.
[02:15:04.604 --> 02:15:05.184]  Let me ask you this.
[02:15:05.184 --> 02:15:06.425]  You've been gracious to stay this long.
[02:15:06.425 --> 02:15:07.325]  Do one more segment.
[02:15:07.825 --> 02:15:08.746]  Until 30 after.
[02:15:08.746 --> 02:15:14.109]  I want you to talk about detoxing, because you just brought up people that have taken the frankenshots.
[02:15:14.109 --> 02:15:23.175]  From your research, what might be good, or what physicians they can contact, or any ideas you have about detoxing, or what people should do to protect themselves and any other points, you're amazing.
[02:15:23.175 --> 02:15:29.639]  TheMedicalRebel.com, Dr. Leigh Marin, she's a real champion, we love her, we appreciate her, and she's going to do one more segment with us.
[02:15:29.639 --> 02:15:30.240]  Is that okay, Doc?
[02:15:31.437 --> 02:15:31.817]  Yeah, sure.
[02:15:31.817 --> 02:15:32.298]  Thanks for having me.
[02:15:32.298 --> 02:15:32.918]  Fantastic.
[02:15:32.918 --> 02:15:33.159]  All right.
[02:15:33.159 --> 02:15:34.240]  It's great to have her.
[02:15:34.240 --> 02:15:35.121]  I am so excited.
[02:15:35.121 --> 02:15:37.903]  And then the last segment of this hour, Project Veritas.
[02:15:37.903 --> 02:15:42.608]  I'm not sure if it's O'Keefe or who's joining us, but one of them's joining us with other details of this breaking news.
[02:15:42.608 --> 02:15:53.698]  DHS insider blows whistle on global child sex trafficking cartels exploiting immigration loophole, which we've now learned Hillary's involved in evacuating Afghans, just like she was in Haiti.
[02:15:53.698 --> 02:15:54.619]  Yeah, this woman's evil.
[02:15:54.619 --> 02:15:55.280]  We'll be right back.
[02:15:57.369 --> 02:15:58.189]  Hey, everybody.
[02:15:58.189 --> 02:16:01.411]  Confused about staying healthy in a crazy COVID culture?
[02:16:01.411 --> 02:16:02.172]  Me too.
[02:16:02.172 --> 02:16:09.296]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[02:16:09.296 --> 02:16:13.678]  It's that immune system health can literally be the difference between life and death.
[02:16:13.678 --> 02:16:15.579]  You probably already believe that.
[02:16:15.579 --> 02:16:16.600]  I certainly do.
[02:16:16.600 --> 02:16:17.540]  So here's the thing.
[02:16:17.540 --> 02:16:25.845]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[02:16:26.405 --> 02:16:31.849]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[02:16:31.849 --> 02:16:33.190]  No cures or treatments there.
[02:16:33.190 --> 02:16:42.416]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[02:16:42.416 --> 02:16:43.316]  And the best part?
[02:16:43.316 --> 02:16:50.041]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[02:16:50.041 --> 02:16:50.881]  Crazy, right?
[02:16:50.881 --> 02:16:54.884]  Learn more about this unusual limited time offer at StrongerDefense.com.
[02:16:54.884 --> 02:16:56.065]  That's StrongerDefense.com.
[02:16:59.748 --> 02:17:01.831]  Your voice counts.
[02:17:01.831 --> 02:17:06.896]  When you share information, be it over the internet or in person, it changes the world.
[02:17:06.896 --> 02:17:09.498]  The globalists know their agenda is unpopular.
[02:17:09.498 --> 02:17:10.980]  They know you're angry.
[02:17:10.980 --> 02:17:15.804]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[02:17:16.385 --> 02:17:27.133]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and the special reports, and share them with everyone you know.
[02:17:27.133 --> 02:17:31.476]  Take action now by texting the word NEWS, N-E-W-S, to 833-470-0438.
[02:17:31.476 --> 02:17:33.698]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[02:17:39.602 --> 02:17:46.445]  Text the word SHOW to 833-470-0438 and receive live show notifications.
[02:17:46.445 --> 02:17:50.927]  Take action now, create the chain reaction, and tell others to share those texts.
[02:17:50.927 --> 02:17:51.968]  Get news alerts at 833-470-0438.
[02:17:51.968 --> 02:17:52.748]  The best product.
