[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[02:06:57.177 --> 02:06:59.458]  They thought vapors couldn't get out a mile or so.
[02:06:59.458 --> 02:07:01.378]  It was really the mosquitos.
[02:07:01.378 --> 02:07:03.099]  Great history books on this.
[02:07:03.099 --> 02:07:05.860]  But a lot of times, sometimes whole crews would die.
[02:07:05.860 --> 02:07:06.660]  So it was really bad.
[02:07:06.660 --> 02:07:08.360]  But they would put the blacks down in the hole.
[02:07:08.360 --> 02:07:09.261]  They didn't want them to die.
[02:07:09.261 --> 02:07:10.201]  It was product.
[02:07:11.377 --> 02:07:15.818]  And then they would come across and sharks would follow because they didn't really feed them a lot.
[02:07:15.818 --> 02:07:18.079]  Sharks would follow them.
[02:07:18.079 --> 02:07:21.400]  Because the crew would mutiny if you gave the food to the blacks because they were starving to death.
[02:07:21.400 --> 02:07:23.041]  They'd usually been pressed.
[02:07:23.041 --> 02:07:24.301]  Pressing means slavery.
[02:07:24.301 --> 02:07:29.263]  Grabbed off some farm in England or France or the Netherlands, the lowlands as they were called.
[02:07:29.263 --> 02:07:30.763]  A press gang.
[02:07:30.763 --> 02:07:33.644]  Look up, guys, type in the history of press gangs.
[02:07:33.644 --> 02:07:34.705]  Not like media.
[02:07:34.705 --> 02:07:35.625]  They would hit you on the head.
[02:07:36.923 --> 02:07:40.908]  Again, usually below 13, because they know older men would fight back, and you'd wake up.
[02:07:40.908 --> 02:07:41.990]  The Chinese have a name for it.
[02:07:41.990 --> 02:07:51.582]  It's called being Shanghai'd, where they grab Americans in San Francisco or L.A., hit us on the head, you know, and take us to China, and you wake up on a slow boat to China.
[02:07:51.582 --> 02:07:52.222]  What are you going to do?
[02:07:52.222 --> 02:07:53.064]  You're not out on the boat.
[02:07:53.064 --> 02:07:54.185]  The Chinese just kidnap you.
[02:07:54.185 --> 02:07:54.946]  So everybody does it.
[02:07:55.774 --> 02:07:58.115]  The Boobies, really, are one of the oldest groups doing it.
[02:07:58.115 --> 02:07:59.075]  That doesn't mean the Woman's Breast.
[02:07:59.075 --> 02:08:03.977]  That's the name of the pirates, the Chinese pirates that were all over Southeast Asia, called the Boobies.
[02:08:03.977 --> 02:08:06.719]  See, history's really interesting, but I'm going to take your calls here at the next segment.
[02:08:06.719 --> 02:08:09.039]  I thought I'd digress.
[02:08:09.039 --> 02:08:21.104]  And they described there, in this Latin translation out of Roman, I guess to Latin, it's basically the same thing, into French, exactly how to do it.
[02:08:21.104 --> 02:08:24.726]  So the ship would pull up, and you'd usually
[02:08:25.675 --> 02:08:29.238]  Have around a third of the people have died.
[02:08:29.238 --> 02:08:32.400]  And the women they found were more hardy, so were the children.
[02:08:32.400 --> 02:08:34.542]  And you'd think men are more hardy, but they're not for disease and things.
[02:08:34.542 --> 02:08:35.963]  And then they'd get the women off.
[02:08:35.963 --> 02:08:38.986]  They'd ask them why they could speak the local dialect to them.
[02:08:38.986 --> 02:08:43.149]  And they'd explain to them, if you don't do what we say, we're going to do this.
[02:08:43.149 --> 02:08:46.752]  They'd take a couple of the black men, and they'd hang them or cut their heads off right there.
[02:08:47.967 --> 02:08:53.293]  And then they tell the women, you keep things in line or we're going to kill your children and the men.
[02:08:53.293 --> 02:08:56.737]  So they only brought some women and children when they wanted pure laborers.
[02:08:56.737 --> 02:09:02.383]  The Romans wanted to kill all the men, just bring boys and girls and women to be slaves.
[02:09:02.383 --> 02:09:05.306]  That was how, because these were domestic slaves mainly, not farming slaves.
[02:09:05.766 --> 02:09:24.804]  But if you wanted like a tractor, like a human to be your tractor or your mule, you didn't want women, and you didn't want children, but you brought some, so the men wouldn't rebel, or you'd kill the women and children, but you'd tell the women, which becomes the house servant, and you see this today with Oprah Winfrey's literally the house slave, keeping control of the blacks.
[02:09:24.804 --> 02:09:25.625]  And she knows it, by the way.
[02:09:25.625 --> 02:09:28.628]  She goes eugenics things, hates blacks, wants to carry out their extermination.
[02:09:28.628 --> 02:09:29.909]  I mean, she's a monster creature.
[02:09:31.158 --> 02:09:38.365]  And so the house slaves were then produced by the black women being told, if you don't do this, we're going to kill your children and your men.
[02:09:38.365 --> 02:09:40.468]  And they'd kill some right in front of them.
[02:09:40.468 --> 02:09:43.130]  Then they'd get them up and sell them on the block.
[02:09:43.130 --> 02:09:45.993]  And I remember reading that essay about that and knowing it was accurate.
[02:09:45.993 --> 02:09:48.636]  So I read other history books that mentioned different parts of it.
[02:09:48.636 --> 02:09:53.241]  But it was just so interesting to watch modern feminism and what it is and how it works.
[02:09:53.241 --> 02:09:54.442]  I mean, I was at Yale.
[02:09:55.700 --> 02:09:58.082]  70% of the students were women, which is the national average.
[02:09:58.082 --> 02:10:00.344]  About 70% of the people in college now are women.
[02:10:00.344 --> 02:10:02.806]  They were all very like, we're in charge, we're taking over.
[02:10:02.806 --> 02:10:03.887]  Yeah, right.
[02:10:03.887 --> 02:10:08.330]  And the men all look completely effeminate.
[02:10:08.330 --> 02:10:09.771]  And like their soul had been sucked.
[02:10:09.771 --> 02:10:11.413]  They could be black, they could be white.
[02:10:11.413 --> 02:10:17.478]  They all look like they were on female hormones or something.
[02:10:17.478 --> 02:10:20.340]  Because they were all super skinny, but they all had female breasts.
[02:10:21.218 --> 02:10:31.147]  And they were all cackling and acting like you would imagine women acting, but the silly way, like a 10-year-old girl would act if she didn't like you, calling us names, doing things, yelling at us.
[02:10:31.147 --> 02:10:33.129]  A lot of folks who shook our hands were listeners.
[02:10:33.129 --> 02:10:35.251]  They were the few that looked normal.
[02:10:35.251 --> 02:10:37.893]  Some were black, some were white, some were old, some were young.
[02:10:37.893 --> 02:10:40.095]  But you could just see the spirit on them.
[02:10:40.095 --> 02:10:41.677]  Their very cells were dying.
[02:10:43.283 --> 02:10:56.053]  And here they were in this big gothic temple, in this big temple of death, right there, that set up the CIA and all of this, and here it is, killing them, and they're defending it, even though they don't even know what is inside of it.
[02:10:56.053 --> 02:10:58.575]  But guys, can we type in impressment?
[02:10:58.575 --> 02:10:59.636]  They're called press gangs.
[02:10:59.636 --> 02:11:02.018]  It's called naval impressment.
[02:11:02.018 --> 02:11:04.120]  Impressment.
[02:11:04.120 --> 02:11:06.582]  We want to show people how I do it on my phone.
[02:11:06.582 --> 02:11:07.582]  I got 45 seconds, I bet I can do it.
[02:11:07.582 --> 02:11:09.244]  Watch this.
[02:11:09.244 --> 02:11:10.625]  Naval impressment.
[02:11:11.827 --> 02:11:15.171]  Naval Impressment.
[02:11:15.171 --> 02:11:15.671]  There it is.
[02:11:15.671 --> 02:11:16.673]  Impressment.
[02:11:16.673 --> 02:11:23.340]  Colloquial, the press, or the press gang, is the taking of men into the military and naval force by compulsion or without any notice.
[02:11:23.340 --> 02:11:26.443]  European natives of several nations were used or forced.
[02:11:26.443 --> 02:11:28.165]  And again, you'd be kidnapped, taken onto ships.
[02:11:28.165 --> 02:11:29.066]  I just thought I'd show you that.
[02:11:29.066 --> 02:11:29.807]  I'm just making this up.
[02:11:31.314 --> 02:11:37.696]  We're going to shift gears into your phone calls with the takedown of the U.S., how to fight back, what we do, how we say no, and is there any hope?
[02:11:37.696 --> 02:11:38.677]  And yes, there will be hope.
[02:11:38.677 --> 02:11:40.698]  I'll explain it in my view, I promise.
[02:11:40.698 --> 02:11:47.040]  In just a few minutes, on the other side, InfoWars.com, NewsWars.com, and Ban.Video.
[02:11:47.040 --> 02:11:51.301]  Tomorrow's news, today.
[02:11:51.301 --> 02:11:53.322]  My enemies are your enemies.
[02:11:53.322 --> 02:11:55.783]  They're the globalists, they're the exterminists.
[02:11:55.783 --> 02:12:00.465]  They're a consortium of mad scientists, pedophiles, control freaks, devil whispers.
[02:12:01.870 --> 02:12:25.457]  Vampires, whatever you want to call them, that are highly predatory and are setting up a false fantasy land system of constant bombardment of propaganda, drugs, and electromagnetic radiation to change the very DNA of the human species to mutate us into a form that they can control like a pawn on a chessboard.
[02:12:25.457 --> 02:12:28.018]  The bottom line is they want to play God, they are playing God, and
[02:12:29.651 --> 02:12:32.732]  The news is only going to tighten around our necks from here on out.
[02:12:32.732 --> 02:12:50.019]  So many other people want to be positive, they want to put out fake news, and want to only cover limited amounts of what's happening with the New World Order, but at the end of the day, it's all about depopulation, it's all about world government, it's all about the end of the human system as we know it, and all it's actually is a nightmare being built, only admitting it can turn it around and stop it.
[02:12:50.686 --> 02:12:58.611]  Emmerich's Essentials is all-natural, all-organic, high-end, quality, clean, self-care products.
[02:12:58.611 --> 02:13:02.534]  And they are 50% off right now at Implemore stores.
[02:13:04.667 --> 02:13:05.007]  That's right.
[02:13:34.727 --> 02:13:37.630]  You're listening to the Alex Jones Show!
[02:14:14.071 --> 02:14:16.132]  Some would make him king.
[02:14:16.132 --> 02:14:21.095]  Others wouldn't stand for that.
[02:14:21.095 --> 02:14:25.017]  The cross was a solution.
[02:14:25.017 --> 02:14:26.898]  But he rose again.
[02:14:26.898 --> 02:14:27.758]  Wise men follow him.
[02:14:46.224 --> 02:14:49.325]  Wise men, follow him!
[02:14:49.325 --> 02:14:52.326]  Thank God for the renegades.
[02:14:52.326 --> 02:14:56.008]  All right, I want to go to your phone calls.
[02:14:56.008 --> 02:14:57.808]  Everybody's calling in on every subject you can imagine.
[02:14:57.808 --> 02:15:03.691]  Biden collapsing, incredible Project Veritas footage showing the total lies and hypocrisy of the media trying to cover it up.
[02:15:03.691 --> 02:15:06.972]  Things that Trump didn't even do one millionth of.
[02:15:06.972 --> 02:15:15.295]  We have got this Islamicist connected to ISIS that's coming out, knowing and doing this massacre, probably because he's mad about bombings in Syria.
[02:15:16.833 --> 02:15:19.055]  And the media is trying to cover that up.
[02:15:19.055 --> 02:15:19.755]  It's just crazy.
[02:15:19.755 --> 02:15:22.076]  The wheels have come off the Biden administration.
[02:15:22.076 --> 02:15:25.939]  But I wanted to talk about some positive things.
[02:15:25.939 --> 02:15:29.441]  The globalists have burned themselves out.
[02:15:29.441 --> 02:15:34.224]  The globalists are people that sold out to evil and corruption.
[02:15:34.224 --> 02:15:37.526]  And the more extreme they get, the more extreme they get, the more extreme they get.
[02:15:37.526 --> 02:15:43.930]  And the more ridiculous the echo chambers they live in become.
[02:15:45.123 --> 02:15:58.830]  Where they then think red-blooded, decent, hard-working people are the enemy, because the force behind them needs to move us out of the way, because that force wants to do horrible things to them, not just us.
[02:15:58.830 --> 02:16:06.334]  And that really is the entire spectrum, is that no one is a winner that serves this evil destiny.
[02:16:06.334 --> 02:16:09.596]  No one is the winner that goes along with this new old order.
[02:16:09.596 --> 02:16:14.118]  And so we saw Trump, who wasn't perfect, I'm not perfect, neither are you, but God sent
[02:16:14.847 --> 02:16:20.469]  A beachhead against the Chi-Coms, against the New World Order, against the structure of our country.
[02:16:20.469 --> 02:16:31.173]  And Trump forcing the enemy out in the open, and you and I forcing the enemy out in the open, and making them steal the election, and making them flood the borders, and have illegals waving Joe Biden flags.
[02:16:31.173 --> 02:16:33.614]  The video and photos are on InfoWars.com.
[02:16:33.614 --> 02:16:36.034]  Thousands of people wearing Joe Biden t-shirts.
[02:16:36.034 --> 02:16:37.695]  Then Biden's saying, Surge!
[02:16:37.695 --> 02:16:38.115]  Come!
[02:16:38.115 --> 02:16:38.815]  Come!
[02:16:38.815 --> 02:16:40.356]  And then breaking our border for the UN.
[02:16:42.521 --> 02:16:46.062]  As bad as all that is, that was going to be done when Hillary got in.
[02:16:46.062 --> 02:16:51.645]  But instead we saw somebody that tried to stop it, and successfully did secure the border to a great extent.
