[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[02:10:15.187 --> 02:10:16.048]  That's what they don't want.
[02:10:16.048 --> 02:10:18.451]  They're scared of the truth.
[02:10:18.451 --> 02:10:22.035]  Okay, let me go to Aaron in FEMA Region 6 in a moment.
[02:10:23.499 --> 02:10:32.785]  I'm in FEMA Region 6 as well, but before we do that, they want to talk about Bill Gates and Operation Dark Winter and smallpox attack that's coming.
[02:10:32.785 --> 02:10:50.016]  Bill Gates made an incredible announcement a few days ago, and he admitted that, oh, this vaccine that isn't a vaccine, the Moderna and the Pfizer, that he's involved with both, they don't protect you from getting the virus.
[02:10:53.851 --> 02:10:55.632]  Don't stop you from spreading it.
[02:10:55.632 --> 02:10:58.934]  Well, because, I mean, a real inoculation may have side effects.
[02:10:58.934 --> 02:11:01.195]  It might be tainted.
[02:11:01.195 --> 02:11:05.578]  But, I mean, you get a vaccine that works?
[02:11:05.578 --> 02:11:06.798]  I mean, you're not going to get that.
[02:11:06.798 --> 02:11:08.119]  Tetanus, you name it.
[02:11:08.119 --> 02:11:10.100]  Hepatitis, it works.
[02:11:10.100 --> 02:11:11.941]  ABC.
[02:11:11.941 --> 02:11:14.603]  But see, now it's like, oh, you need five or six of these.
[02:11:14.603 --> 02:11:15.523]  Oh, don't worry.
[02:11:15.523 --> 02:11:19.105]  We're working on something new that even blocks you ever getting it.
[02:11:19.105 --> 02:11:20.366]  Oh, you mean like a real vaccine?
[02:11:23.069 --> 02:11:34.298]  We've got articles and newscasts out of New York, and out of Belfast, Ireland, and out of Sydney, Australia, where, gee, I thought when I took the shot I'd be protected, but I'm not, and I'm in the hospital.
[02:11:34.298 --> 02:11:36.900]  Oh, gee, I got sick a week after I took the shot.
[02:11:36.900 --> 02:11:37.560]  Gee, it's funny.
[02:11:37.560 --> 02:11:41.343]  I don't know why all the vaccinated are getting sick, because that's what's making you sick.
[02:11:41.343 --> 02:11:42.684]  Why are the hospitals record full?
[02:11:42.684 --> 02:11:43.885]  Because they're killing you!
[02:11:43.885 --> 02:11:46.708]  Man, it's incredible.
[02:11:46.708 --> 02:11:51.451]  Here is Bill Gates with the incredible statement, just giggling and laughing.
[02:11:51.451 --> 02:11:52.112]  It's so funny to him.
[02:11:53.877 --> 02:12:00.282]  The damage, the deaths, it's been completely horrific.
[02:12:00.282 --> 02:12:09.210]  And I would expect that will lead the R&D budgets to be focused on things we didn't have today.
[02:12:09.210 --> 02:12:12.772]  You know, we didn't have vaccines that block transmission.
[02:12:12.772 --> 02:12:17.456]  We got vaccines that help you with your health, but they only slightly reduce the transmissions.
[02:12:17.456 --> 02:12:20.379]  We need a new way of doing the vaccine.
[02:12:21.363 --> 02:12:26.948]  And of course he starts smiling and laughing when he talks about death and destruction in the full clips on InfoWars.com.
[02:12:26.948 --> 02:12:28.330]  And then he starts talking about oath.
[02:12:28.330 --> 02:12:30.652]  Helps you with your health and points at his heart.
[02:12:30.652 --> 02:12:33.215]  Yeah, you're going to help us with our health.
[02:12:33.215 --> 02:12:35.817]  You're going to get rid of the virus, which is us.
[02:12:35.817 --> 02:12:37.659]  So Aaron in FEMA Region 6.
[02:12:39.426 --> 02:12:43.909]  Operation Dark Winter Bill Gates and saying smallpox is coming, better give your rights up.
[02:12:43.909 --> 02:12:45.251]  The terrorists are going to kill you.
[02:12:45.251 --> 02:12:49.194]  Only the UN and Bill Gates can save you, even though he's on record saying he wants to kill you.
[02:12:49.194 --> 02:12:51.235]  But now he really wants to help you.
[02:12:51.235 --> 02:12:54.337]  Erin, give us your take on this.
[02:12:54.337 --> 02:12:57.420]  First I want to say Alex, great callers today.
[02:12:57.420 --> 02:12:59.601]  The most powerful I have heard.
[02:12:59.601 --> 02:13:02.744]  We need harsh words and we need intensity in this fight.
[02:13:03.661 --> 02:13:06.062]  So let's talk about our other enemies.
[02:13:06.062 --> 02:13:10.002]  I want to talk about the warning of a dark winter coming.
[02:13:10.002 --> 02:13:19.364]  Now to understand this, you have to know about Operation Dark Winter, which was a simulation of smallpox outbreak in the United States.
[02:13:19.364 --> 02:13:21.825]  They did in 2001.
[02:13:21.825 --> 02:13:26.666]  And you have Biden warning of a dark winter late last
[02:13:27.708 --> 02:13:30.331]  Year into early 2021.
[02:13:30.331 --> 02:13:34.096]  And then you have Fauci's warning of a dark winter.
[02:13:34.096 --> 02:13:37.460]  This was in September of this year.
[02:13:37.460 --> 02:13:46.512]  And then you have just recently Bill Gates' bioterrorist warning of smallpox terror attacks.
[02:13:47.242 --> 02:13:51.325]  He mentioned this on Tuesday of this week.
[02:13:51.325 --> 02:13:58.370]  He said, quote, you say, OK, what if a bioterrorist brought smallpox to 10 airports?
[02:13:58.370 --> 02:14:01.432]  You know, how would the world respond to that?
[02:14:01.432 --> 02:14:14.401]  And then you have the Omega exercise, which also happened this week, which was an event to a one war game exercise in Jerusalem where they simulated God knows what Alex.
[02:14:15.578 --> 02:14:23.941]  They're simulating the next phase of the rollout of the more deadly virus that they then truly clamp down on us with and make sure that we quietly die in our homes.
[02:14:23.941 --> 02:14:26.022]  Yeah, this is their depopulation agenda.
[02:14:26.022 --> 02:14:29.543]  The trailing wheels are going off and they're getting ready to have 80% of us dead by 2030.
[02:14:31.764 --> 02:14:33.646]  That's the official plan.
[02:14:33.646 --> 02:14:34.988]  At least 80% dead.
[02:14:34.988 --> 02:14:35.989]  Excuse me.
[02:14:35.989 --> 02:14:36.910]  No, no.
[02:14:36.910 --> 02:14:37.851]  The new target numbers are 90.
[02:14:37.851 --> 02:14:38.752]  I'm sorry.
[02:14:38.752 --> 02:14:39.473]  They won't astound.
[02:14:39.473 --> 02:14:40.293]  We'll do the math, guys.
[02:14:40.293 --> 02:14:41.895]  Divide $500 million.
[02:14:41.895 --> 02:14:42.976]  That's still their target number.
[02:14:42.976 --> 02:14:44.078]  It's not just on Georgia Guidestones.
[02:14:44.078 --> 02:14:45.219]  That's a UN number.
[02:14:45.219 --> 02:14:46.140]  That's a Davos Group number.
[02:14:46.140 --> 02:14:47.902]  $500 million divided out of $7.5 billion, please.
[02:14:52.006 --> 02:14:54.249]  So please tell me what percentage is that?
[02:14:54.249 --> 02:14:57.673]  I think that's 90% plus reduction.
[02:14:57.673 --> 02:15:00.076]  This is all just the training wheels right now.
[02:15:00.076 --> 02:15:07.084]  This is just the spider tying us up in the web, and then it's going to sink the fangs in and ensanguinate us.
[02:15:07.084 --> 02:15:07.405]  Go ahead.
[02:15:09.165 --> 02:15:24.623]  The easy part so far and I think we're spending a lot of time like rubbernecking on this you know vaccine trash news and we need to kind of have some eyes forward here with what they might throw at us next.
[02:15:24.623 --> 02:15:28.927]  So that's kind of where I was going with this and they just love to so blatantly
[02:15:29.728 --> 02:15:38.394]  Say their plans to us just on the side in random articles, you know So thank you so much for taking my call Alex.
[02:15:38.394 --> 02:15:39.555]  God bless you ma'am.
[02:15:39.555 --> 02:15:40.035]  Thank you.
[02:15:40.035 --> 02:15:45.839]  Yeah, look covering Rittenhouse All this is kind of a side alley or a rabbit trail, but it's all important.
[02:15:45.839 --> 02:15:53.625]  But yeah No, I mean the big issue is world government preparing to exterminate everybody and we're just sitting here waiting for him to tell us I mean that's all any of this is
[02:15:55.191 --> 02:15:57.034]  It's Thursday, November 9th.
[02:16:10.191 --> 02:16:15.674]  It's not just concentrated chicken broth in there that's so good for your joints and your bones and your whole body.
[02:16:15.674 --> 02:16:31.904]  It's got really strong, high-end turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other stuff in it, like real organic cocoa, bean powder with natural chocolate flavor, and a touch of sea salt, and just on and on and on.
[02:16:31.904 --> 02:16:33.846]  Magnesium, potassium's added.
[02:16:34.386 --> 02:16:38.911]  This is so good for inflammation, for your immune system, for your whole body.
[02:16:38.911 --> 02:16:41.794]  Grandma always gave you chicken soup when you were sick, remember?
[02:16:41.794 --> 02:16:48.201]  That's a tiny amount of the same stuff that's in there that is now in here in a very large amount.
[02:16:48.201 --> 02:16:56.289]  So again, get the power of Grandma's chicken soup with the power of turmeric and everything else with the new and improved bone broth at InfoWarsTore.com.
[02:16:57.546 --> 02:17:07.009]  RainForce Plus is back in stock, and it's 50% off with free shipping and double Patriot points right now at InfoWarsTore.com.
[02:17:07.009 --> 02:17:17.051]  RainForce Plus, after eight months, is finally back in stock, and we're giving you 50% off plus free shipping and double Patriot points on the best-selling new trophy at InfoWarsTore.com.
[02:17:17.051 --> 02:17:23.873]  RainForce Plus is one of our highest-rated and best-selling InfoWars live formulas ever, and the InfoWars crew uses it every day, and so do I.
[02:17:24.313 --> 02:17:34.125]  The formula is loaded with natural compounds like Yeramonte, L-Theanine, Alpha-GPC, and many others that are known to support cognitive health and give you that extra boost.
[02:17:34.125 --> 02:17:40.492]  Whether you're stocking up or trying it for the first time, now is the time to head to mfulowrestore.com and take advantage of these great savings.
[02:17:40.772 --> 02:17:43.354]  Your purchase of BrainForce Plus is a 360 win.
[02:17:43.354 --> 02:17:48.219]  You'll get a super high quality new trophy and you'll help launch InfoWars to the next level.
[02:17:48.219 --> 02:17:56.065]  Visit InfoWarsStore.com and get our best-selling BrainForce Plus at 50% off before we run out of stock to avoid missing out on these massive savings.
[02:17:56.065 --> 02:17:56.586]  BrainForce!
[02:17:57.026 --> 02:18:02.089]  I am cutting this announcement on the afternoon of Thursday, November 4th, 2021.
[02:18:02.089 --> 02:18:06.913]  That means you've only got 10 days as of taping this to get storewide free shipping, double Patriot points.
[02:18:06.913 --> 02:18:09.254]  That was 60% off on our bestselling items.
[02:18:09.254 --> 02:18:10.955]  We have Winter Sun at 50% off.
[02:18:10.955 --> 02:18:11.796]  So good for your body.
[02:18:11.796 --> 02:18:13.397]  So good for your immune system.
[02:18:13.397 --> 02:18:13.577]  50% off.
[02:18:13.577 --> 02:18:16.119]  We have Ultra 12 at 60% off.
[02:18:16.119 --> 02:18:17.740]  That is the lowest we've ever gone.
[02:18:17.740 --> 02:18:22.483]  It is so good for your libido, your stamina, your immune system, your whole body taken out of the tongue.
[02:18:22.483 --> 02:18:23.023]  60% off.
[02:18:23.023 --> 02:18:26.806]  We've got a bunch of products sold out for a long time, like Brain Force Plus back in stock.
[02:18:27.246 --> 02:18:32.190]  50% off and we have Ultimate Bone Broth back in stock at InfoWarStore.com.
[02:18:32.190 --> 02:18:34.031]  It's now Bone Broth Plus.
[02:18:34.031 --> 02:18:39.895]  So it's Ultimate Bone Broth Plus, 20% off and it's even stronger than the last formula we had.
[02:18:39.895 --> 02:18:48.821]  It is amazing for your whole body, amazing for your joints, amazing for inflammation, and it funds the InfoWar, which is so important in the fight against the New World Order.
[02:18:48.821 --> 02:18:50.502]  So thank you all for your support.
[02:18:50.502 --> 02:18:56.686]  With supply chain breakdowns, I recommend you get your Christmas shopping done now and have it done and support the InfoWar at InfoWarStore.com.
[02:18:57.266 --> 02:19:05.509]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[02:19:05.509 --> 02:19:13.032]  That the FBI and CIA have been advising him on who these evil groups are.
[02:19:13.032 --> 02:19:17.874]  They know that all over the world their poison shot is being banned by major governments.
[02:19:17.874 --> 02:19:20.154]  And Moderna's in trouble as well.
[02:19:20.154 --> 02:19:24.136]  They know that the people are starting to get wise to this depopulation agenda.
[02:19:25.034 --> 02:19:36.788]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[02:19:36.788 --> 02:19:40.012]  The weapons work a little too good.
[02:19:40.012 --> 02:19:44.817]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[02:19:45.518 --> 02:19:47.680]  But it's too late for them to turn back now.
[02:19:47.680 --> 02:19:49.442]  They're coming after our children.
[02:19:49.442 --> 02:19:54.526]  So it's up to us to protect our little children, or God will not look favorably on us.
