[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[02:27:58.084 --> 02:28:11.207]  And as much as I hate to even think about this, based on my source, Hillary did in fact take part in some of the junkets on the Lolita Express, independent of and with Bill Clinton.
[02:28:11.608 --> 02:28:11.848]  Blackmail!
[02:28:11.868 --> 02:28:12.928]  And this also involved Huma.
[02:28:14.019 --> 02:28:15.140]  Well, that's what I was told by Machinic.
[02:28:15.180 --> 02:28:17.382]  They say it's a major foreign penetration of everything.
[02:28:17.782 --> 02:28:20.605]  That's why, despite the fact that our government's corrupt, she's got to be taken down.
[02:28:20.625 --> 02:28:21.946]  This is total blackmail.
[02:28:23.307 --> 02:28:23.728]  Exactly.
[02:28:24.228 --> 02:28:29.493]  And right now they're fighting for their lives, not just for relevance, but for their freedom at this point.
[02:28:30.113 --> 02:28:33.276]  But then I think the important thing that we found, that if
[02:28:34.731 --> 02:28:47.519]  Nothing else, is the fact that you've got a great group of individuals within NYPD, within the New York and DC offices of the FBI, and within some of the intelligence agencies working together.
[02:28:48.840 --> 02:28:50.281]  We haven't talked in months, have we?
[02:28:51.101 --> 02:28:53.643]  I was told a week ago, and I thought when they were listening, I thought it was weird.
[02:28:53.703 --> 02:28:58.766]  I was told NYPD was at the tip of the spear of this thing, and you're now singing on air while we talk.
[02:28:58.826 --> 02:29:02.128]  I was told by high-level sources that NYPD was like an MVP in this.
[02:29:02.808 --> 02:29:03.569]  Yeah, absolutely.
[02:29:04.649 --> 02:29:13.715]  Many of the higher-ranking NYPD investigators have been pushing for this, and they've been getting some resistance with the FBI.
[02:29:14.496 --> 02:29:22.521]  Of course, you know, traditionally, the relationship between the local and federal law enforcement officials, it's never really a great relationship.
[02:29:22.541 --> 02:29:28.125]  But in this case, there is a group that bandied together and said, look, we're not going to allow this to just be pushed under the carpet.
[02:29:28.565 --> 02:29:29.546]  And they're fighting justice.
[02:29:29.566 --> 02:29:30.226]  That's what I heard.
[02:29:30.326 --> 02:29:32.548]  It's so horrible that no one could ignore it.
[02:29:33.268 --> 02:29:34.488]  No, no, they can't.
[02:29:35.088 --> 02:29:46.311]  And this is why, too, and people are looking and speculating as to why the FBI just posted four separate files on Vince Foster.
[02:29:47.491 --> 02:29:52.452]  That's not just to give people information about what happened at Fort Marcy Parker with Vince Foster.
[02:29:52.872 --> 02:29:55.393]  This is to send a message to Comey and the people.
[02:29:55.673 --> 02:29:56.513]  Let's talk about it.
[02:29:56.553 --> 02:29:57.493]  This is seismic.
[02:29:57.513 --> 02:29:58.373]  This is historic.
[02:29:58.673 --> 02:29:59.233]  Wow.
[02:29:59.253 --> 02:30:00.594]  We'll be back with Mr. Hagman.
[02:30:00.614 --> 02:30:00.754]  Wow.
[02:30:02.589 --> 02:30:09.554]  Alex Jones and the GCN Radio Network.
[02:30:10.075 --> 02:30:20.462]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[02:30:20.962 --> 02:30:24.065]  Thanks to a new development in solar generator technology,
[02:30:24.565 --> 02:30:31.570]  It's now possible for my listeners and viewers to produce their own source of emergency backup electricity.
[02:30:31.990 --> 02:30:34.993]  And even more importantly, it's now extremely affordable.
[02:30:35.393 --> 02:30:41.317]  Thanks to the guys at Solutions from Science, you can get one of these $6,000 solar generators for less than $1,500.
[02:30:43.779 --> 02:30:46.121]  We have these units at the office and at my home.
[02:30:46.461 --> 02:30:51.845]  I can run my sump pumps, my shortwave radios, all of my devices, and even keep our food from spoiling.
[02:30:52.225 --> 02:30:57.047]  Go to PowerGridChaos.com and get 70% off for a limited time.
[02:30:57.427 --> 02:31:01.189]  Folks, there has never been a better time to get off the grid.
[02:31:01.509 --> 02:31:05.831]  It's going to be crucial in 2017, maybe even life-saving.
[02:31:06.111 --> 02:31:08.372]  PowerGridChaos.com for 70% off.
[02:31:09.993 --> 02:31:11.933]  Dr. Grip, you developed Living Defense for us.
[02:31:11.973 --> 02:31:13.054]  It took you over a year to do it.
[02:31:13.294 --> 02:31:14.234]  Why is this show good?
[02:31:14.514 --> 02:31:19.755]  Because people are actually waking up to the problem that pretty much scares me the most.
[02:31:19.835 --> 02:31:33.378]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[02:31:33.438 --> 02:31:34.818]  Right now with all the refugees,
[02:31:35.598 --> 02:31:37.179]  Uh, spreading disease around.
[02:31:37.259 --> 02:31:39.741]  We have biological warfare going on everywhere.
[02:31:39.841 --> 02:31:41.102]  These are all parasites.
[02:31:41.142 --> 02:31:42.242]  Tell us about all the stuff it says.
[02:31:42.262 --> 02:31:43.303]  There's so many things that are in it.
[02:31:43.603 --> 02:31:47.946]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[02:31:48.146 --> 02:31:51.308]  I recommend doing the parasite cleanse at least twice a year.
[02:31:51.408 --> 02:31:54.470]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[02:31:54.490 --> 02:31:55.491]  It just came back in yesterday.
[02:31:55.551 --> 02:31:57.432]  Living Defense, Infowarslife.com.
[02:31:57.492 --> 02:31:58.532]  And folks, you can't lose.
[02:31:58.813 --> 02:32:00.614]  It's full of stuff that's great for your body, period.
[02:32:01.234 --> 02:32:04.256]  And you support the broadcast, Infowarslife.com.
[02:32:04.536 --> 02:32:06.417]  Thank you, Dr. Group from the Global Healing Center.
[02:32:06.798 --> 02:32:08.759]  Thank you so much for all your work, sir, on this great product.
[02:32:09.983 --> 02:32:11.283]  We're red on election day.
[02:32:11.403 --> 02:32:14.364]  Perhaps the biggest election in American history is just days away.
[02:32:14.524 --> 02:32:19.105]  We know that in past elections, there have been thousands of cases of voter fraud and election fraud.
[02:32:19.145 --> 02:32:26.367]  From dead people voting, to people registering false identifications, to government leaders providing fast-track amnesty to give illegal immigrants votes.
[02:32:26.547 --> 02:32:28.007]  This is happening right in front of us.
[02:32:28.227 --> 02:32:32.628]  Now we are seeing the establishment send all its hitmen after the Republican nominee, Donald Trump.
[02:32:32.688 --> 02:32:34.609]  Government shills are campaigning for Clinton.
[02:32:34.689 --> 02:32:37.870]  Mainstream news attacking Donald Trump all day like rabbit hounds.
[02:32:38.070 --> 02:32:44.793]  Rigged polls being broadcast daily to provide the fake optics that Hillary Clinton is actually winning and to discourage people from voting Trump.
[02:32:44.933 --> 02:32:47.495]  Fake celebrities endorsing Clinton across all platforms.
[02:32:47.715 --> 02:32:50.936]  So with all this, what are we doing to keep this election from being stolen?
[02:32:51.176 --> 02:32:52.997]  What can we do to prevent election fraud?
[02:32:53.177 --> 02:32:56.280]  I propose that all Donald Trump supporters wear red on Election Day.
[02:32:56.400 --> 02:33:00.184]  On November 8th, when you head to the polls to vote Donald Trump, be decked out in red.
[02:33:00.264 --> 02:33:06.270]  This way, just as we dominated in rally turnout, we can prove and provide the optics that we also dominated in voter turnout.
[02:33:06.290 --> 02:33:09.293]  Wear red on Election Day, and Make America Great Again!
[02:33:24.611 --> 02:33:26.812]  Waging war on corruption.
[02:33:27.272 --> 02:33:32.473]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:33:33.654 --> 02:33:37.895]  In the days of Ellis Island, when you came in from Italy or Germany or Japan, it didn't matter.
[02:33:38.615 --> 02:33:43.677]  You were kept for a couple months on the island to make sure that you didn't have a communicable disease.
[02:33:44.997 --> 02:33:51.679]  Now, the Border Patrol first told us three years ago, it's now national news, they bring people in that have leprosy, TB,
[02:33:53.667 --> 02:33:57.611]  HIV, you name it, and don't even give the poor sick people treatment.
[02:33:59.812 --> 02:34:00.593]  They just bring them in.
[02:34:03.375 --> 02:34:05.617]  It's an instinct to bring the country down is my point.
[02:34:06.178 --> 02:34:07.099]  They don't care.
[02:34:09.040 --> 02:34:14.245]  They behave in the criminology spectrum of psychopaths.
[02:34:15.646 --> 02:34:27.509]  And our guest, of course, HagmanReport.com, Doug Hagman, great patriot, reporter, accredited law enforcement, private detective, you name it, great researcher, author, is breaking down
[02:34:28.962 --> 02:34:31.343]  Stuff I hadn't even gotten to yet because it's just now breaking.
[02:34:31.803 --> 02:34:33.124]  But he's giving us even more intel.
[02:34:33.144 --> 02:34:35.265]  Stuff that I got from my sources he's now saying on air.
[02:34:35.645 --> 02:34:39.287]  We didn't talk before the show about Lolita Express, pedophilia.
[02:34:39.307 --> 02:34:41.628]  We know about Weiner, all the weirdness he's involved in.
[02:34:42.149 --> 02:34:43.229]  Texting 15 year olds.
[02:34:43.269 --> 02:34:44.370]  That's nothing, people.
[02:34:44.930 --> 02:34:46.031]  And it's a message to Hillary.
[02:34:46.771 --> 02:34:47.251]  Stop it.
[02:34:48.212 --> 02:34:48.732]  Back off.
[02:34:48.832 --> 02:34:49.092]  Quit.
[02:34:49.132 --> 02:34:49.812]  She's not quitting.
[02:34:51.213 --> 02:34:54.255]  It'll hurt the country, the government, everything of us has to come out.
[02:34:54.275 --> 02:34:55.735]  I was told weeks ago.
[02:34:55.755 --> 02:34:58.337]  If they make her, they're gonna bring it out.
[02:34:59.383 --> 02:35:02.064]  So the gloves are off, and Hillary's still steaming straight forward.
[02:35:02.084 --> 02:35:15.228]  So, as much as you can tell us, Doug Hagman, get into what your law enforcement, NYPD, FBI told you, some of this has already come out in the press, where this is going, because it's a very dangerous game that's being played.
[02:35:17.099 --> 02:35:18.080]  He was a major heavy hitter.
[02:35:18.860 --> 02:35:21.502]  Wasn't just the head of psychological warfare for the State Department.
[02:35:21.522 --> 02:35:22.343]  I'll just stop right there.
[02:35:22.363 --> 02:35:26.005]  I mean, it ran covert operations with the Army and the CIA.
[02:35:27.427 --> 02:35:28.247]  Super heavy hitter.
[02:35:28.267 --> 02:35:30.569]  I mean, he says they're going after him now.
[02:35:30.609 --> 02:35:32.710]  He's mentioning individuals that are being targeted now.
[02:35:33.251 --> 02:35:38.194]  So, the war is starting, and all the little trendies don't seem to know what they're involved in here.
[02:35:39.730 --> 02:35:41.852]  Slitting America's throats a little bit harder than they thought it would be.
[02:35:42.373 --> 02:35:43.494]  Trump's way ahead in the polls.
[02:35:43.534 --> 02:35:47.979]  But just getting back to Weiner, why this is being brought up, what's happening with Comey.
[02:35:48.639 --> 02:35:50.081]  Is it a double deal or what's happening?
[02:35:50.973 --> 02:36:03.305]  You know, it's interesting because my source, even before I realized what was going on with Dr. Pachinik, had mentioned that there was going to be a high-level intelligence source, a former intelligence source, bringing this out.
[02:36:03.745 --> 02:36:08.990]  I had no idea until I saw the videos with Dr. Pachinik, or saw your video, actually.
[02:36:09.010 --> 02:36:12.874]  By the way, he said on air, but also privately, he had to get major authorization to do that.
[02:36:13.487 --> 02:36:14.288]  Right, right.
[02:36:14.308 --> 02:36:17.951]  Well, a couple of things I think it's very important for people to understand, too.
[02:36:18.611 --> 02:36:37.026]  Even before getting into the Lolita Express is the fact that, you know, the FBI agents that were tasked with destroying the laptops, the devices of Cheryl Mills, Heather Samuelson, and others back in July, subsequent to the July 5th news conference by Comey.
[02:36:37.786 --> 02:36:46.129]  They did not, contrary to the belief in reports, did not destroy that hardware or the data on the hardware.
[02:36:46.849 --> 02:37:03.174]  It remains in, this is the information I have now, that hardware that was supposed to be destroyed, that was ordered destroyed, is right now in the hands of a group of FBI agents and is being held at the FBI and it's ready to be disclosed.
