[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[02:32:51.487 --> 02:32:59.394]  It looks like the program's expansion is in full swing, and if you use the carrier AT&T, chances are your personal data has been sold to the highest bidder, i.e.
[02:32:59.414 --> 02:32:59.895]  the U.S.
[02:32:59.915 --> 02:33:00.355]  government.
[02:33:00.555 --> 02:33:02.577]  I'm Margaret Hale reporting for InfoWars.com.
[02:33:19.955 --> 02:33:23.859]  If you are receiving this transmission, you are the resistance.
[02:33:25.460 --> 02:33:30.204]  Live from the InfoWars.com studios, it's Alex Jones.
[02:33:31.285 --> 02:33:39.672]  Well, there's only two other organizations that are as effective as InfoWars, and that's DrudgeReport.com, and of course that's the folks at ProjectVeritas.com.
[02:33:40.333 --> 02:33:46.699]  And I wish there were a hundred groups as effective, because if we lose this thing, we're losing the whole country to hardcore tyranny.
[02:33:47.239 --> 02:33:52.664]  The WikiLeaks, I mean I already knew this watching their activities of the Democrats and the Globalists, but man, WikiLeaks brings it home.
[02:33:53.124 --> 02:33:54.225]  It's worse than I thought.
[02:33:54.826 --> 02:33:56.387]  And I was supposedly the extremist.
[02:33:56.867 --> 02:33:59.770]  Now we've gotten 30 new affiliates the last month.
[02:34:00.410 --> 02:34:02.772]  We normally got 30 new affiliates if I was lucky in a year.
[02:34:03.593 --> 02:34:06.035]  And then we'd lose some, never going above 170 affiliates.
[02:34:06.336 --> 02:34:07.917]  We're like at 210 right now.
[02:34:08.457 --> 02:34:14.763]  As radical as you think Alex Jones is, the good news is it's not seen as radical anymore because what we said has turned out to be accurate.
[02:34:15.731 --> 02:34:42.786]  Because we were going off leaks and statements and things they'd said, but I got to be honest, I've been reading these WikiLeaks and we're down to like data dump 17 or 18 just on Podesta and Obama and how they got to cover stuff up and how they're committing crimes and then you've got Project Veritas going out separately from even knowing these emails were coming out in the last year and exposing in the real world on video what the WikiLeaks say.
[02:34:43.916 --> 02:34:46.039]  I mean, it's like the hand of God is on this or something.
[02:34:46.079 --> 02:34:46.860]  This is incredible.
[02:34:46.920 --> 02:34:48.101]  Catching them in election fraud.
[02:34:48.142 --> 02:34:50.565]  How they plan to have folks vote ten times a person.
[02:34:50.825 --> 02:34:52.307]  How they don't care about the law.
[02:34:53.008 --> 02:34:54.310]  How they control the press.
[02:34:55.111 --> 02:34:56.713]  How they're going after their opposition.
[02:34:56.773 --> 02:34:59.516]  How they're attacking Trump rallies.
[02:35:01.229 --> 02:35:03.650]  All the while never knowing this was going to come out in the WikiLeaks.
[02:35:04.331 --> 02:35:05.191]  So it's amazing.
[02:35:05.851 --> 02:35:08.473]  Russ Verney is executive director of Project Veritas.
[02:35:09.193 --> 02:35:20.599]  He's an expert producing newsworthy reports and I'm not going to go over his whole situation when he was an IA2 political advisor, the campaign manager for Ross Perot's presidential campaigns.
[02:35:21.079 --> 02:35:22.500]  He was the CEO of a large nationwide
[02:35:22.500 --> 02:35:23.081]  We're good to go.
[02:35:39.958 --> 02:35:41.138]  And they're giving us the exclusive.
[02:35:41.398 --> 02:35:46.820]  It's going up, as we're told, simultaneously at ProjectVeritas.com and InfoWars.com.
[02:35:47.380 --> 02:35:51.281]  And I think it's best if he breaks down this latest story.
[02:35:51.321 --> 02:35:59.024]  But watching the video and just giving it my basic boil-down, we know they're taking money from foreign companies, foreign corporations, foreign donors.
[02:35:59.424 --> 02:36:02.205]  We've got the latest WikiLeaks from a week ago saying, this is illegal.
[02:36:02.405 --> 02:36:02.805]  So what?
[02:36:02.825 --> 02:36:03.465]  Just take the money.
[02:36:03.925 --> 02:36:05.226]  Well, they got him to take the money.
[02:36:05.246 --> 02:36:09.408]  Now, once they started investigating and once Veritas contacted him, they tried to give it back.
[02:36:09.948 --> 02:36:11.749]  But they're doing what the FBI should be doing.
[02:36:12.069 --> 02:36:13.550]  Again, ProjectVeritas.com.
[02:36:13.950 --> 02:36:17.912]  Russ Verney, Executive Director, thank you so much for joining us.
[02:36:17.972 --> 02:36:19.773]  Break down this latest bombshell.
[02:36:20.733 --> 02:36:23.475]  It's an honor to be with you and your listeners today.
[02:36:24.155 --> 02:36:26.196]  This is our fourth installment in
[02:36:32.719 --> 02:36:35.040]  It's the fourth installment, and then his Skype broke down.
[02:36:35.060 --> 02:36:36.581]  We're going to reconnect with him again.
[02:36:36.601 --> 02:36:42.864]  Like I said, it's a conspiracy this is happening, but we're getting... Russ Verney, your Skype's coming through a little bit.
[02:36:42.884 --> 02:36:45.605]  We may have to keep you on Skype, but this is a handheld telephone.
[02:36:46.245 --> 02:36:47.266]  Go ahead and try to start over, sir.
[02:36:47.286 --> 02:36:54.449]  All right, guys, get him on the phone, or reconnect.
[02:36:54.509 --> 02:36:56.770]  I didn't prior coordinate.
[02:36:56.850 --> 02:36:58.051]  They're totally lawless.
[02:36:59.906 --> 02:37:00.026]  Yeah.
[02:37:00.406 --> 02:37:03.108]  Put him on hold, guys, and let's reconnect via phone.
[02:37:03.448 --> 02:37:04.529]  We have video via Skype.
[02:37:04.549 --> 02:37:05.810]  We've lost audio with Russ Verney.
[02:37:06.610 --> 02:37:10.993]  And while we're waiting for him, we've got these clips right here that we're going to premiere for you right now.
[02:37:11.353 --> 02:37:12.274]  This is live TV.
[02:37:12.294 --> 02:37:14.555]  There's no shame in mess-ups and stuff.
[02:37:14.595 --> 02:37:15.075]  Let's watch.
[02:37:15.095 --> 02:37:16.196]  This is teleprompter-free.
[02:37:16.616 --> 02:37:17.317]  Seat of our pants.
[02:37:17.337 --> 02:37:19.518]  Defending the Republic here at Point Blank Range.
[02:37:19.538 --> 02:37:29.224]  While we reconnect with Russ Verney via phone, let's go ahead and play just both parts, if you'd like, the intro piece and then the follow-up on this big news that
[02:37:29.224 --> 02:37:30.285]  But they're breaking, here it is.
[02:37:31.285 --> 02:37:32.546]  A political consultant.
[02:37:33.106 --> 02:37:38.670]  I just want to get the money from point A to point B. A shell company.
[02:37:38.990 --> 02:37:40.671]  Your guy took care of business right away.
[02:37:40.811 --> 02:37:41.551]  Yes, Steve.
[02:37:42.212 --> 02:37:46.815]  I just knew it took a tricky route through Belize, and I just wanted to make sure that that got to you.
[02:37:46.855 --> 02:37:47.635]  So good, I'm glad.
[02:37:47.695 --> 02:37:50.157]  An eccentric West Coast millionaire.
[02:37:50.677 --> 02:37:56.821]  Smaller checks to begin with, but I definitely could see myself being a larger contributor.
[02:37:57.521 --> 02:37:58.642]  An English money man.
[02:37:59.203 --> 02:38:03.947]  We have banks in Dubai and we have banks in Belize.
[02:38:03.967 --> 02:38:09.412]  The one in Belize we just used for the first time with your transfer.
[02:38:09.432 --> 02:38:12.835]  $20,000 sent from an offshore bank in Belize.
[02:38:13.416 --> 02:38:15.818]  I think we know that it's coming.
[02:38:15.838 --> 02:38:16.899]  We've been sawed off right.
[02:38:18.140 --> 02:38:20.142]  And then mysteriously returned.
[02:38:21.123 --> 02:38:29.490]  All the ingredients of a spy thriller, but in fact, were the elements we used for our undercover operation to investigate the Hillary Clinton campaign.
[02:38:30.371 --> 02:38:36.997]  The investigation ultimately led us to Robert Cramer, a Democratic power broker who knows the White House like the back of his hand.
[02:38:37.337 --> 02:38:38.258]  I'm not in prison.
[02:38:40.560 --> 02:38:45.963]  The Project Veritas action investigation into the Clinton campaign took us more than a year.
[02:38:45.983 --> 02:38:48.605]  We had people working for the Clinton campaign full-time across the country.
[02:38:48.645 --> 02:38:54.549]  We even had someone working for a time inside the Clinton campaign headquarters in Brooklyn, New York.
[02:39:10.098 --> 02:39:16.600]  We have people posing as donors, political consultants, interns, overseas financial advisors, and activists.
[02:39:17.961 --> 02:39:18.981]  Now we have to cut it there.
[02:39:19.001 --> 02:39:22.843]  We have the full videos going up on Infowars.com and Project Veritas as we speak.
[02:39:24.533 --> 02:39:26.694]  But there's a lot of cussing by them, so we have to cut it there.
[02:39:27.115 --> 02:39:33.098]  Obviously for the AM and FM audience, but the full video going up on Infowars.com and of course ProjectVeritas.com.
[02:39:33.118 --> 02:39:36.339]  I would imagine DrugsReport.com carries all the amazing releases they put out.
[02:39:36.359 --> 02:39:37.980]  We're getting Russ Verney back on.
[02:39:38.340 --> 02:39:41.222]  This guy was having some problems, so we're going to double up on phone with him.
[02:39:41.242 --> 02:39:50.747]  But here's another clip later where Kramer, who's this big Democratic Party operative, is talking about how we're going to get gun laws in, similar to Britain,
[02:39:51.347 --> 02:39:55.549]  And, you know, ways to get more money in, open the borders up, and more of what the agenda is.
[02:39:55.589 --> 02:39:56.490]  Here's that clip.
[02:39:57.610 --> 02:40:06.894]  I do a lot of work with the White House on their issue, helping to run issue campaigns that they've been involved in.
[02:40:06.954 --> 02:40:11.797]  I mean, for immigration reform, for the health care bill, for the...
[02:40:31.660 --> 02:40:33.081]  So there you go, ladies and gentlemen.
[02:40:33.101 --> 02:40:41.407]  Now the full report, as I said, is going up on InfoWars.com and it's also up on ProjectVeritas.com.
[02:40:41.448 --> 02:40:48.874]  It's easy to get out to everybody because in the full report, they're there with briefcases, money, beliefs.
[02:40:49.574 --> 02:40:51.595]  Well Alex, it's an honor to be on your program.
[02:40:51.615 --> 02:40:52.135]  Thank you for having
[02:41:18.351 --> 02:41:30.542]  This is the fourth in a series of reports covering a year-long investigation into the dark money cabal of the Democratic Party.
[02:41:31.190 --> 02:41:52.094]  And in today's release, which your listeners can see on our affiliated website, ProjectVeritasAction.com, and on your site, we're talking about how we got deep into this organization with credibility by giving them a contribution.
[02:41:52.114 --> 02:41:59.395]  Now, the contribution was given to them in full knowledge of them that it was coming from a bank in Belize.
[02:42:00.265 --> 02:42:05.126]  We happen to have a shell company in Belize, and we have a bank account down there.
[02:42:05.567 --> 02:42:12.388]  So they were receiving money from outside the country, which isn't illegal in any way, shape, or form.
[02:42:12.428 --> 02:42:22.551]  They directed Robert Crema, the ringmaster of the stock money cabal for the Democratic Party, directed the money be sent to the Americans United for Change.
[02:42:23.011 --> 02:42:26.332]  They're a non-profit 501c4 organization.
[02:42:26.432 --> 02:42:28.613]  They can accept money from outside the country.
[02:42:29.113 --> 02:42:33.656]  But they cannot use it to spend on political activities.
[02:42:34.656 --> 02:42:40.380]  501c4s can do a little bit of political activity, but they can't use foreign money for it.
[02:42:40.905 --> 02:42:47.551]  Now, when they took the money from us, they knew it was coming from a bank in Belize.
[02:42:47.691 --> 02:42:51.975]  They never questioned the source of the funds, whether they were United States money or otherwise.
[02:42:52.495 --> 02:42:58.700]  Just one of our fictitious donors gave them money from the bank in Belize.
[02:42:58.820 --> 02:43:00.522]  They cashed it, deposited it.
[02:43:01.082 --> 02:43:12.087]  And we were fat, dumb and happy for a while, but after our first video came out, they decided they wanted to return it because they felt that it might have been an illegal contribution.
[02:43:12.607 --> 02:43:15.149]  So they returned our $20,000.
[02:43:15.189 --> 02:43:23.492]  We got our investment back, which I think will make all of us sleep better at night, knowing that they don't have money to spend on their nefarious activities.
[02:43:23.933 --> 02:43:28.955]  But it's sort of an omission that they knew they were doing something wrong, taking foreign money.
[02:43:29.855 --> 02:43:35.958]  And using it for political purposes and that's basically the crux of the story today.
[02:43:35.979 --> 02:43:37.679]  Is it again?
[02:43:37.859 --> 02:43:40.021]  Once again, Robert Kramer is the ringleader.
[02:43:40.181 --> 02:43:52.027]  He's the one who's directing traffic here and directing traffic on the support of Hillary's campaign and violation of the law and asking us to send money to the nonprofit so they could spend it.
[02:43:56.331 --> 02:44:04.277]  And this guy heads up one of the top 10 Democratic Party organizations in the country.
[02:44:04.317 --> 02:44:09.081]  He's visited Obama 340 times, according to Breitbart, who reviewed the logs.
[02:44:09.162 --> 02:44:13.886]  And so, you can take money as a non-profit, but not if you're going to use it directly
[02:44:14.406 --> 02:44:16.987]  For political contributions, which we know their group's doing.
[02:44:17.007 --> 02:44:26.871]  And what I find fascinating is, not just the James Bond level of these videos that people are watching on TV, radio listeners can go to ProjectVeritas.com or your Citrus site and see it, or InfoWars.com.
