[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[02:23:26.115 --> 02:23:29.878]  Why would it be crazy enough to give MPADS to ISIS and Al Qaeda?
[02:23:29.898 --> 02:23:31.900]  I mean, obviously they're doing this on purpose.
[02:23:32.000 --> 02:23:32.841]  It's still ongoing.
[02:23:32.881 --> 02:23:34.962]  It's not an accident from Fast and Furious.
[02:23:35.303 --> 02:23:36.203]  What is the endgame?
[02:23:36.263 --> 02:23:37.324]  What is the master plan?
[02:23:37.845 --> 02:23:38.325]  It's simple.
[02:23:38.425 --> 02:23:39.226]  It's very simple.
[02:23:39.706 --> 02:23:42.889]  You've got a situation where we start the conflict.
[02:23:43.539 --> 02:23:45.060]  We escalate the conflict.
[02:23:45.420 --> 02:23:47.881]  We furnish weapons to both sides of the conflict.
[02:23:48.201 --> 02:24:05.110]  We keep it going and then we filtrate that money back into various, not only the Clinton campaign or foundation, and the Clinton Global Initiative, which only, by the way, only gives 3% of their funding back into contributions, which does a very good thing, very limited as it is.
[02:24:05.550 --> 02:24:11.875]  There's also 97% that goes to administrative costs, or whatever, and tremendous salaries.
[02:24:11.895 --> 02:24:13.597]  But anyway, that's another thing.
[02:24:13.877 --> 02:24:15.358]  Sure, they steal money at every level.
[02:24:15.378 --> 02:24:16.179]  They're master criminals.
[02:24:16.239 --> 02:24:16.799]  I mean, I get it.
[02:24:16.859 --> 02:24:21.323]  So, still, the elite haven't done stuff like this before, unless you're talking about the 80s, and they mopped all those up.
[02:24:21.643 --> 02:24:23.625]  So, let me ask the Colonel, why do you think they're doing this?
[02:24:27.113 --> 02:24:31.354]  Sir, I think it's, you go back to Rothschild, you know, you want to control an event, you control both sides.
[02:24:31.454 --> 02:24:41.876]  And I think we, much like when Tosh was involved in Cuba in 57, I mean, you know, the government armed both sides of that conflict.
[02:24:41.996 --> 02:24:53.539]  And I hope and pray, and I recently emailed House Oversight, I said, I hope and pray that ATF agent John Dodson, another true hero, wasn't entirely correct when he said, Matt,
[02:24:54.508 --> 02:24:58.453]  The politicians will always only do what's in their political self-interest.
[02:24:59.073 --> 02:25:03.278]  So, uh, I hope to God this time their self-interest coincides with the right thing.
[02:25:03.538 --> 02:25:04.860]  Well, that's why we're doing this, obviously.
[02:25:04.880 --> 02:25:05.741]  You're risking your life.
[02:25:06.221 --> 02:25:06.882]  Everybody here is.
[02:25:06.902 --> 02:25:08.784]  Let's not make bones about it.
[02:25:09.245 --> 02:25:09.685]  Because...
[02:25:10.714 --> 02:25:29.807]  We understand that you can't just arm these radical groups with high-tech, high-impact weapons, and it shows our elite is getting more and more insane before they try to stop this from happening, and they've obviously got some larger plan, and we want Congress and everybody to know, when the planes get shot down with these, you're not going to cover it up, and it's going to come out, and you're not going to get away with it.
[02:25:30.407 --> 02:25:32.068]  This is just so out of control.
[02:25:32.509 --> 02:25:33.109]  Colonel Smithmech?
[02:25:34.690 --> 02:25:35.030]  Yes, sir.
[02:25:35.611 --> 02:25:36.592]  Any other points you'd like to add?
[02:25:38.103 --> 02:25:50.961]  Yeah, one thing if I could, the person who, you know, Tosh knows him as well as Kent and others, we, in short information he had, got to House Oversight end of September 2013.
[02:25:51.702 --> 02:25:54.606]  And just as a point of, again, before the fact information,
[02:25:55.775 --> 02:26:05.597]  The House Oversight was told September, late September, I think September 23rd, 2013, that there were grenades and grenade launchers involved with these weapons that go on South.
[02:26:05.657 --> 02:26:09.338]  It wasn't just handguns and long rifles.
[02:26:09.738 --> 02:26:14.539]  And not until October 30th, 2014, did DOJ, OIG make that public.
[02:26:14.899 --> 02:26:18.640]  So when Congress says, well nothing you have has led to anything, it's wrong.
[02:26:18.840 --> 02:26:19.340]  It's incorrect.
[02:26:20.580 --> 02:26:25.562]  This was written about in Narco News in 2010 and 2011, exactly what Matt just said.
[02:26:25.582 --> 02:26:33.124]  Bill Conroy, a good investigative reporter, reported about this in a series of articles through Narco News.
[02:26:33.544 --> 02:26:35.545]  Any listener out there can go run Bill Conroy.
[02:26:35.565 --> 02:26:39.626]  Sure, I remember Sheldon Castile, the former DA, retired.
[02:26:40.086 --> 02:26:48.348]  He said they tried to hire him out by the King Ranch to actually train drug cartels, Sinaloa and others, as part of a huge civil war coming in Mexico.
[02:26:48.628 --> 02:26:50.149]  That was before all the killings started.
[02:26:51.414 --> 02:26:51.894]  That's right.
[02:26:52.335 --> 02:27:08.046]  So the point being, this has been on record for a number of years, but our agencies have refused, including CIA, and I'll say it right straight into your camera, including the CIA and their CIA COG division,
[02:27:08.669 --> 02:27:22.219]  Or whatever you want to call it, and their SAP, Special Access Programs, which I'm not supposed to talk about, and all the fusion centers that we are not supposed to know about, they all have this information and refuse to act upon it.
[02:27:22.700 --> 02:27:27.944]  Next week, according to our sources, which have been validated in more than one multiple sources,
[02:27:28.704 --> 02:27:33.707]  Or we'll be moving more guns, international, across the Mexican border.
[02:27:34.267 --> 02:27:40.910]  We will be photographing, and we're typing our hand, and we're telling, we're talking to someone else here on this camera.
[02:27:41.030 --> 02:27:45.132]  We're not just talking to, we're talking, we're sending a message to someone else.
[02:27:45.412 --> 02:27:46.753]  We're tired of your BS.
[02:27:47.033 --> 02:27:48.093]  We're coming after you.
[02:27:48.634 --> 02:27:49.314]  Simple as that.
[02:27:50.307 --> 02:27:52.109]  We will photograph your weapons.
[02:27:52.829 --> 02:28:05.600]  We will document, since the Congress and the Senate does not want to do this, since the FBI, for whatever reasons they've got, don't want to get involved in this because of the White House and their administration does not want us to continue.
[02:28:05.620 --> 02:28:06.001]  Absolutely.
[02:28:06.021 --> 02:28:09.604]  When they get out of control, they force people to do desperate things.
[02:28:10.004 --> 02:28:12.647]  If they don't want to continue, then we will continue it for them.
[02:28:13.167 --> 02:28:15.049]  And we will give the information to them.
[02:28:15.349 --> 02:28:16.450]  And we will document it.
[02:28:17.114 --> 02:28:19.380]  I've been on this thing for ten years, Alex.
[02:28:19.781 --> 02:28:20.322]  Ten years.
[02:28:20.764 --> 02:28:23.109]  You've been on it with me for at least four.
[02:28:24.221 --> 02:28:26.223]  Now, it's been vetted more than once.
[02:28:26.923 --> 02:28:37.313]  We have been so desensitized on this international gun running that they are now, I think, that they can get by and cram it right down our throat and we're not going to do a damn thing about it.
[02:28:37.873 --> 02:28:43.738]  I personally, number one, am putting it with my career, my life at 78 years old and saying one simple thing.
[02:28:44.018 --> 02:28:45.139]  We're coming after you.
[02:28:45.620 --> 02:28:47.562]  You're not going to steal my country anymore.
[02:28:47.962 --> 02:28:49.423]  I'm not a conspiracy theorist.
[02:28:49.523 --> 02:28:50.244]  I'm a realist.
[02:28:51.155 --> 02:28:52.276]  And I want my country back.
[02:29:08.914 --> 02:29:14.476]  And it's 202-225-0037.
[02:29:14.496 --> 02:29:15.276]  202-225-0037.
[02:29:15.936 --> 02:29:17.737]  But folks, this is real here.
[02:29:18.177 --> 02:29:19.857]  You can also click right there and then email them.
[02:29:20.057 --> 02:29:21.098]  It says, blow the whistle.
[02:29:21.138 --> 02:29:22.298]  They want you to blow the whistle.
[02:29:22.358 --> 02:29:22.878]  Yeah, right.
[02:29:23.178 --> 02:29:25.299]  Let's start a whitehouse.gov petition.
[02:29:25.819 --> 02:29:29.642]  To stop the White House from shipping more guns to ISIS and Al-Qaeda.
[02:29:30.322 --> 02:29:31.323]  We'll do that today.
[02:29:31.343 --> 02:29:34.265]  Gentlemen, I'm going to come back and do five more minutes with you, then I'm going to get to the other news.
[02:29:34.306 --> 02:29:35.767]  But just your courage is amazing.
[02:29:36.107 --> 02:29:37.348]  This isn't about having courage, folks.
[02:29:37.448 --> 02:29:41.091]  There's got to be some bottom to this, is what Tosh and Colonel Smithmaker are saying.
[02:29:41.371 --> 02:29:43.833]  Where does it come next when the people on the bases are blowing the whistle?
[02:29:44.133 --> 02:29:44.814]  It's all going on.
[02:29:44.854 --> 02:29:45.654]  It's all illegal.
[02:29:45.914 --> 02:29:47.876]  It's going to the Middle East, to Al-Qaeda and ISIS.
[02:29:48.356 --> 02:29:49.437]  It's totally insane.
[02:29:49.797 --> 02:29:51.759]  Congress has been told no one will do anything.
[02:29:52.219 --> 02:29:53.121]  I mean, this is crazy.
[02:29:53.201 --> 02:29:53.942]  I'm Alex Jones.
[02:29:54.202 --> 02:29:55.465]  This is the InfoWars.
[02:29:55.485 --> 02:29:55.865]  Stay with us.
[02:29:58.129 --> 02:29:59.030]  We're on the march.
[02:29:59.531 --> 02:30:01.134]  The Empire's on the run.
[02:30:02.055 --> 02:30:04.760]  Alex Jones and the GCN Radio Network.
[02:30:10.635 --> 02:30:16.978]  I got so busy fighting the Globals for 15 years, I turned into a giant fat slob when I was an exercise fanatic before.
[02:30:17.358 --> 02:30:20.440]  Now, in the last five years, I set out to try to get back in shape.
[02:30:20.880 --> 02:30:32.726]  And to help turbocharge that, I talked to top scientists and nutraceutical developers and said, I want something that blocks these estrogen mimickers, something that helps me get back to what a real male was like instead of this Globals bombardment.
[02:30:33.286 --> 02:30:36.087]  We developed Super Male and Super Female Vitality.
[02:30:36.267 --> 02:30:37.128]  They're best sellers.
[02:30:37.328 --> 02:30:38.668]  They're loved across the industry.
[02:30:38.829 --> 02:30:39.449]  They're amazing.
[02:30:39.709 --> 02:30:44.091]  You owe it to yourself to get a bottle of Super Male Vitality today at InfoWarsTore.com.
[02:30:44.471 --> 02:30:47.532]  Folks, it's so amazing what Mother Nature gave us.
[02:30:47.813 --> 02:30:51.034]  You're crazy if you don't at least try a bottle of this, because you can't lose.
[02:30:51.254 --> 02:30:59.738]  You're fighting the Info War and the fight for freedom worldwide, while at the same time getting a game-changing supplement at InfoWarsTore.com.
[02:30:59.878 --> 02:31:02.101]  Super Metal Vitality is now back in stock.
[02:31:02.321 --> 02:31:03.863]  It's been sold out for several months.
[02:31:04.083 --> 02:31:09.329]  That's available at M4WarsTore.com or by calling toll-free, 888-253-3139.
[02:31:09.589 --> 02:31:10.991]  Clean, pure drinking water.
[02:31:11.251 --> 02:31:12.533]  You can't survive without it.
[02:31:12.733 --> 02:31:13.654]  But where do you get it?
[02:31:13.934 --> 02:31:19.681]  Alexa Pure Pro is a brand-new, groundbreaking, gravity-fed water filtration system that is like no other.
[02:31:19.921 --> 02:31:25.663]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[02:31:25.823 --> 02:31:42.690]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[02:31:43.070 --> 02:31:45.211]  Filter capacity up to 5,000 gallons.
[02:31:45.572 --> 02:31:46.773]  Stainless steel construction.
[02:31:47.033 --> 02:31:47.813]  Easy assembly.
[02:31:48.073 --> 02:31:48.714]  Low maintenance.
[02:31:48.994 --> 02:31:50.815]  Replacement filters are simple to install.
[02:31:51.095 --> 02:31:58.220]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[02:31:58.360 --> 02:32:03.383]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[02:32:03.563 --> 02:32:06.145]  Go to InfowarsStore.com or call 888-253-3139.
[02:32:09.087 --> 02:32:10.208]  The brain force is here.
[02:32:10.728 --> 02:32:13.010]  Ladies and gentlemen, I've been on this the last few months.
