[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[01:58:13.989 --> 01:58:14.949]  That is critical.
[01:58:15.009 --> 01:58:16.150]  That is foundational.
[01:58:16.970 --> 01:58:19.571]  We cannot be saved by a Messiah.
[01:58:19.871 --> 01:58:22.792]  We will not be saved by a Donald Trump or another Donald Trump.
[01:58:23.172 --> 01:58:30.195]  We won't be saved by the governor of Florida, Ron DeSantis, as wonderful as this man is, as great as his leadership encourages.
[01:58:30.435 --> 01:58:31.476]  He cannot save us.
[01:58:32.016 --> 01:58:34.577]  Government cannot save us from ourselves.
[01:58:35.057 --> 01:58:36.057]  We have to do that.
[01:58:36.717 --> 01:58:40.439]  We have to get back to the individual responsibility of the citizen.
[01:58:41.053 --> 01:58:46.556]  The civic responsibility to stand up and protect ourselves, our children, our families against government.
[01:58:47.317 --> 01:58:51.619]  As Reagan said 30, 40 years ago, government is not the solution.
[01:58:51.699 --> 01:58:52.920]  Government is the problem.
[01:58:53.658 --> 01:58:55.319]  This is not a right or left issue.
[01:58:55.359 --> 01:58:56.860]  I should say right or liberal issue.
[01:58:56.880 --> 01:59:00.022]  It is a left issue because for the left, government is always the answer.
[01:59:00.362 --> 01:59:10.947]  But for everyone that's not on the far left, we have to accept and realize that it's up to us to take back charge of our own lives, to take that power away from government, to de-energize it.
[01:59:11.348 --> 01:59:12.909]  That is the source of the problem.
[01:59:13.289 --> 01:59:30.982]   And the first step in doing that is to address our fear, to recover from the fear so that everyone else Everyone that's already on board and fighting can join with the new group, and then we can push back against the corrupt government, the people that are trying to destroy our lives and take them over.
[01:59:31.322 --> 01:59:32.703]  That, I believe, is the way forward.
[01:59:33.464 --> 01:59:38.208]  And in a way, that's just kind of back to the basics of what founded this country and made it so great.
[01:59:38.248 --> 01:59:44.733]  And to quote Reagan again, he said, he believes that when fascism comes to this country, it will come in the name of liberalism.
[01:59:44.853 --> 01:59:46.775]  Boy, how right was Reagan with that one as well.
[01:59:46.935 --> 01:59:47.835]  One more segment coming up.
[01:59:47.856 --> 01:59:48.376]  Don't go anywhere.
[01:59:48.993 --> 01:59:50.374]  We're back here on the Alex Jones Show.
[01:59:50.434 --> 01:59:52.035]  Owen Schroer sitting in studio.
[01:59:52.095 --> 01:59:54.116]  Dr. Mark McDonald is our guest.
[01:59:54.156 --> 02:00:02.442]  And ladies and gentlemen, if you like this interview, and you like the guests that we get on, and you like our transmissions, please remember to shop at InfoWarsStore.com.
[02:00:02.742 --> 02:00:03.803]  We sell great supplements.
[02:00:03.923 --> 02:00:05.064]  I take the supplements every day.
[02:00:05.124 --> 02:00:07.245]  I start every morning with vitamin mineral fusion.
[02:00:07.605 --> 02:00:08.666]  Go look at the ingredients.
[02:00:08.706 --> 02:00:11.748]  Go look at the list of all the vitamins that are in it.
[02:00:11.788 --> 02:00:16.171]  Vitamin A, B, C, D, E. More than your daily value in some cases.
[02:00:16.211 --> 02:00:17.672]  Why wouldn't you want to start your morning with that?
[02:00:17.712 --> 02:00:18.733]  Tastes great as well.
[02:00:19.153 --> 02:00:23.915]  Survival Shield X2, 50% off right now at InfoWarStore.com.
[02:00:23.955 --> 02:00:29.938]  Fight back against the fluoride in the water, the bad halogen, with the good halogen, iodine.
[02:00:30.218 --> 02:00:32.599]  Most people are iodine-efficient and they don't even know it.
[02:00:33.419 --> 02:00:37.261]  And so that's why we sell Survival Shield X2 at InfoWarsStore.com.
[02:00:37.301 --> 02:00:43.605]  And then when you shop there, we can keep these transmissions on the air so we can get the great guests like Dr. Mark McDonald.
[02:00:44.066 --> 02:00:46.507]  Now, final segment with Dr. McDonald.
[02:00:47.107 --> 02:00:55.693]  I'm curious, are there any other signs of mass psychosis, perhaps not related to COVID, that you're seeing in the world today?
[02:00:56.933 --> 02:00:57.854]  That's a good question.
[02:00:59.028 --> 02:01:15.718]  Most of what I discuss has to do with the vaccines, the masks, the social distancing, but as I explain in my book, United States of Fear, I don't believe that that really is the end game of the institution of fear.
[02:01:16.279 --> 02:01:18.240]  I think that this is just a temporary vehicle.
[02:01:19.261 --> 02:01:40.429]   I think that the goal of mass delusional psychosis is ultimately to place people under a dependent state And so the signs of mass delusional psychosis that I see that don't really surround the medical pandemic have to do with the ongoing degradation, deterioration of good autonomous decision-making.
[02:01:41.409 --> 02:01:58.722]   People in my practice, for example, who are scared, not only are they having trouble making good decisions regarding their health, they're having a really hard time making good decisions about how to care for their children, How to make decisions about careers, about marriages, about travel, about where to live.
[02:01:58.742 --> 02:02:03.105]  A lot of their decisions now are being driven by fear.
[02:02:04.005 --> 02:02:16.172]  And I think that the inability to make good decisions, the idea that one cannot live and think for oneself, is also a larger symptom of this mass delusional psychosis.
[02:02:16.272 --> 02:02:18.293]  It's a mechanism of control, ultimately.
[02:02:20.387 --> 02:02:27.893]  Beyond the shots, beyond the mass, beyond the shutdowns, because this will end eventually, we have to really address that point as a nation.
[02:02:28.454 --> 02:02:43.526]  We have to get back to thinking rationally and thinking for ourselves, because if we stay in this state of perpetual trauma, we will ultimately be controlled by someone else, generally by a larger government power, and that is not in our best interests.
[02:02:45.197 --> 02:02:48.439]  Now here's a problem I think a lot of people can relate to.
[02:02:48.479 --> 02:02:49.719]  I mean myself included.
[02:02:50.160 --> 02:02:51.520]  It's a frustrating thing.
[02:02:51.580 --> 02:02:52.881]  It's sometimes infuriating.
[02:02:53.861 --> 02:02:58.184]  And that's just living in the world of mass delusional psychosis and dealing with it.
[02:02:58.344 --> 02:03:00.965]  And so sometimes it feels like it's driving me insane.
[02:03:01.425 --> 02:03:06.928]  So how do we live in a world of mass delusional psychosis without becoming it?
[02:03:08.780 --> 02:03:21.149]  Well, one of the first things that you should do, and I mentioned this in the last chapter of the United States of Fear on the Way Forward, is you need to find other people who are like-minded, and you need to surround yourself with them.
[02:03:21.729 --> 02:03:24.952]  And I'm not talking about Facebook friends, although that's a good start.
[02:03:25.252 --> 02:03:29.295]  I'm talking about real live human beings that you can actually spend time with face-to-face.
[02:03:29.555 --> 02:03:36.140]  And if that's not possible, then at least get a group that can chat through video on one of the platforms that you can share.
[02:03:37.105 --> 02:03:38.427]  This is so important.
[02:03:38.807 --> 02:03:48.179]  When I was starting out in 2020, middle part of the year, I felt very isolated, especially being here in Los Angeles where 80 to 90 percent of the population lost its mind, literally.
[02:03:48.900 --> 02:03:59.222]  And so I started to speak out, and by speaking out, other people came to me, local people, and they said, I'm so glad that you're speaking about how I've been feeling the last few months.
[02:03:59.842 --> 02:04:00.702]  I want to get together.
[02:04:00.742 --> 02:04:01.642]  I want to form a group.
[02:04:01.902 --> 02:04:07.844]  I want to have talk sessions where we can just sit and explain what's going on to ourselves and with our families.
[02:04:08.164 --> 02:04:10.924]  It made an enormous difference, huge difference.
[02:04:11.444 --> 02:04:15.505]  No matter where you live, you can do that, whether it's a small town or an urban area.
[02:04:16.368 --> 02:04:27.353]  That alone, surrounding yourself with like-minded people will help to remain, keep you remaining sane and protect you, inoculate you to a large degree from the insanity that surrounds you.
[02:04:28.633 --> 02:04:39.258]  Yeah, I would say that definitely helps me as being around sane people and having rational conversations, but really it's almost just an escape from the delusion world when you're just with people that don't live in it.
[02:04:39.298 --> 02:04:40.338]  It's just an escape.
[02:04:40.838 --> 02:04:52.563]   But, you know, the final thing I want to talk about today before we let you go here, Talk about the importance of understanding trauma-based mind control and where you see it being applied today.
[02:04:55.144 --> 02:05:05.047]  I have been working on a legal case for the last couple months around a child, a teenager, who's now closing around 20 years old.
[02:05:05.427 --> 02:05:09.028]  She was sexually abused by her biological father for several years.
[02:05:09.088 --> 02:05:11.989]  She was raped repeatedly over a number of months, perhaps years.
[02:05:12.429 --> 02:05:14.590]  Eventually, he impregnated her and she had the child.
[02:05:15.345 --> 02:05:17.766]  The paternity test confirmed that it was her biological father.
[02:05:17.806 --> 02:05:19.307]  He was arrested, removed from the home.
[02:05:19.847 --> 02:05:21.528]  She's now been in therapy for several years.
[02:05:22.089 --> 02:05:34.975]  When I read the therapist's notes, what struck me the most was not the monstrosity of the abuse, but the fact that she still wishes to reunite with her father and finds it incredibly cruel that he's been taken from her.
[02:05:35.776 --> 02:05:38.537]  She does not want to accept that this man is a monster.
[02:05:39.538 --> 02:05:40.959]  And I thought, this is so strange.
[02:05:41.059 --> 02:05:47.964]   Why would somebody who's been abused so horrifically want to return and live with the same man.
[02:05:48.584 --> 02:05:49.485]  And then it struck me.
[02:05:50.905 --> 02:05:52.266]  We only have one father.
