[00:00:00.290 --> 00:00:00.791]  It's here.
[02:00:09.175 --> 02:00:26.167]  So if you've made a decent chunk of money in crypto in the last year or you have a decent chunk of crypto you've just been holding on to, give me a call, because the wrong thing to do is to check that box on your 1040 that says, I don't have any crypto assets.
[02:00:26.228 --> 02:00:29.110]  Those are the people they're going to go after because they know you're lying.
[02:00:29.170 --> 02:00:30.691]  OK, but don't lie to the government.
[02:00:31.460 --> 02:00:37.841]  We will just tell them exactly what happened, but we're going to paint the lights in your favor, okay?
[02:00:38.081 --> 02:00:44.303]  The government doesn't know what your basis in Ethereum is, so we're going to make one that's a little bit better probably than what they would want it to be.
[02:00:44.603 --> 02:00:45.183]  And guess what?
[02:00:45.223 --> 02:00:49.624]  They're going to accept it because you're reporting the crypto.
[02:00:49.904 --> 02:00:52.644]  That means you're out of the people who they want to audit already.
[02:00:53.044 --> 02:01:00.647]   Because they're going after everybody who thinks they can stay under the radar, You know, the meme of, oh, I lost all my crypto in a shipwreck.
[02:01:00.947 --> 02:01:09.751]  OK, yeah, here's the problem is they they can look in your public address to just like anybody else can and they can see those funds are still there and they don't necessarily need to go after that to attack you.
[02:01:10.171 --> 02:01:14.473]  If you own a house, if you have money in a bank account, they love attacking that because that's a lot.
[02:01:14.713 --> 02:01:16.874]  It's very easy for them to grab money out of a bank account.
[02:01:16.894 --> 02:01:18.695]  So make sure you're protected.
[02:01:19.015 --> 02:01:22.476]  Make sure you're in the right entity structure going forward.
[02:01:22.797 --> 02:01:23.437]  Give me a call.
[02:01:23.457 --> 02:01:43.696]   We can do that if you have crypto assets, because It's just it's just huge right now what Biden is trying to levy on the American people because they believe and this is reported in on not in American news only in BBC Al Jazeera non-American news is the IRS has said that they pretty much believe if you have a sizable amount of cryptocurrency
[02:01:44.674 --> 02:01:46.536]  More chance than not that you're a criminal.
[02:01:46.596 --> 02:01:47.837]  Now that's absurd, right?
[02:01:48.217 --> 02:01:53.121]  But that's the way the government is because they don't care if they violate your rights like I was telling you.
[02:01:53.501 --> 02:01:59.867]  They will do it and you won't be any the wiser because there is no taxation without representation.
[02:02:00.607 --> 02:02:28.539]   If you don't have an advocate to represent you and that's what I'm here to do because it just drives me crazy when I see the IRS and I've seen revenue officers come out now in people's houses and assessments at this point and claiming they owe millions of dollars in crypto when they may not even have that total number of assets because the amount of Like I said, that was $10.99 to him, was $10.99 the wrong way, and your average person isn't going to be able to figure that out.
[02:02:28.699 --> 02:02:34.741]  And the average CPA and even the average lawyer has no idea about crypto.
[02:02:35.341 --> 02:02:40.163]  I know you're really good, but I called three different law firms and they couldn't even give me answers.
[02:02:40.783 --> 02:02:52.983]  On the big crypto donations, but then I what you told me I went and checked and even saw main finance reports again that the average person isn't reading but are in finance journals saying exactly the advice you gave us.
[02:02:54.216 --> 02:02:54.677]  Absolutely.
[02:02:54.717 --> 02:02:59.202]  And here's the thing is, we're in the financial district of downtown LA.
[02:02:59.222 --> 02:03:03.808]  We're right here with Deloitte, Ernst & Young, KPMG, all the big accounting firms.
[02:03:03.888 --> 02:03:10.836]  And they will send their potential crypto clients away because they don't want to deal with the potential liability.
[02:03:10.856 --> 02:03:11.437]  They're scared.
[02:03:11.677 --> 02:03:19.762]   They don't want to actually have to act as an advocate for Well, that's the same reason I didn't get involved in it 12 years ago when it was all launching and people tried to give me Max Keiser 10,000 Bitcoins.
[02:03:20.163 --> 02:03:21.783]  I didn't understand it, so I didn't want to get involved.
[02:03:21.843 --> 02:03:23.864]  Now it's here to stay in one way or another.
[02:03:23.964 --> 02:03:24.704]  I need to learn about it.
[02:03:24.764 --> 02:03:25.765]  I need to get engaged in it.
[02:03:26.065 --> 02:03:27.085]  I need to get involved in it.
[02:03:27.966 --> 02:03:29.906]  And so that's what I'm doing in the process.
[02:03:29.966 --> 02:03:30.607]  I'm learning more and more.
[02:03:30.627 --> 02:03:31.247]  It's very interesting.
[02:03:32.526 --> 02:03:46.034]  Absolutely, and I'd recommend the rest of your audience to do the same, because, listen, as we know, if there is an asset class out there, and that's why I brought up ARK, if there is an asset class... And we know the elites are heavily in crypto, heavily in Ethereum and Bitcoin.
[02:03:46.994 --> 02:03:49.836]  That's why... That means it's not going anywhere, folks.
[02:03:50.720 --> 02:03:51.761]  They want Bitcoin.
[02:03:51.781 --> 02:03:52.501]  They want Ethereum.
[02:03:52.521 --> 02:03:56.244]  They want stuff they know that they can get because they know how to make it disappear.
[02:03:56.264 --> 02:03:58.786]  And is it is what is what they're doing illegal?
[02:03:59.407 --> 02:03:59.727]  Yes.
[02:03:59.847 --> 02:04:00.628]  But here's the thing.
[02:04:00.908 --> 02:04:02.469]  They operate on a different scale.
[02:04:02.509 --> 02:04:04.991]  So what we're going to do is the exact same thing as them.
[02:04:05.011 --> 02:04:09.655]  But we're going to make it legal because we know the right entities and trust setups to get you in.
[02:04:10.595 --> 02:04:12.396]  Absolutely, absolutely.
[02:04:12.476 --> 02:04:15.358]  All right, Tyler Bennett, I want to come back at a few other key points with you.
[02:04:15.419 --> 02:04:20.702]  Jonestaxrelief.com, Jonestaxrelief.com or 833-900-4285.
[02:04:21.263 --> 02:04:23.024]  Everybody should really be talking to this guy and his team.
[02:04:23.064 --> 02:04:23.784]  They are amazing.
[02:04:23.804 --> 02:04:24.265]  We'll be right back.
[02:04:25.086 --> 02:04:33.952]  All right, one killed, two wounded in a shooting at Morris Jeff High Graduation Ceremony at Xavier University and it's black on black.
[02:04:34.593 --> 02:04:39.776]  Still terrible, but the media always covers those up when those happen because that's such an epidemic.
[02:04:39.936 --> 02:04:40.677]  Very, very sad.
[02:04:42.358 --> 02:04:45.080]  We got some other big breaking news here as well.
[02:04:45.100 --> 02:04:47.862]  70 missing children recovered in West Texas, authorities say.
[02:04:48.342 --> 02:04:49.663]  I'll cover that a little bit in the next hour.
[02:04:51.508 --> 02:04:52.449]  Our special guest host.
[02:04:53.089 --> 02:04:54.270]  Going back to Tyler Bennett.
[02:04:54.790 --> 02:05:00.254]  You know, Tyler, it's so frustrating to me to study the New World Order, to study how they exempt themselves from everything, 100%.
[02:05:02.395 --> 02:05:09.940]  But even for the nouveau riche and the establishment, that next year they have it where they pay 10% of the taxes the general public does on average.
[02:05:11.161 --> 02:05:11.982]  And it's just incredible.
[02:05:12.322 --> 02:05:14.243]  And people need to just do these tactics out of hand.
[02:05:14.303 --> 02:05:14.944]  It's the law.
[02:05:16.089 --> 02:05:19.031]  They want the general public not to know it because they want to not have competition.
[02:05:19.371 --> 02:05:20.472]  They want people to be poor.
[02:05:21.012 --> 02:05:21.953]  And that makes me angry.
[02:05:22.053 --> 02:05:22.893]  I don't want people to be poor.
[02:05:23.614 --> 02:05:34.740]  And so it's just such a no-brainer that everybody needs to call you guys at 833-900-4285, 833-900-4285, jonestaxrelief.com.
[02:05:35.181 --> 02:05:35.961]  Here are the services.
[02:05:36.041 --> 02:05:38.202]  Bookkeeping, no jokes, good people, and quick.
[02:05:38.823 --> 02:05:39.743]  Business consulting.
[02:05:40.584 --> 02:05:43.726]  Business entity selection, which is the huge one.
[02:05:44.865 --> 02:05:47.048]  A state and trust tax preparation.
[02:05:47.208 --> 02:05:47.688]  Massive.
[02:05:48.189 --> 02:05:49.310]  Financial statements.
[02:05:49.510 --> 02:05:50.551]  IRS representation.
[02:05:50.891 --> 02:05:51.832]  Payroll services.
[02:05:51.892 --> 02:05:52.773]  Retirement planning.
[02:05:53.194 --> 02:05:54.315]  Sales tax services.
[02:05:54.375 --> 02:05:55.596]  Tax preparation and planning.
[02:05:55.957 --> 02:05:57.458]  Tax levies and liens released.
[02:05:57.898 --> 02:05:59.200]  Wage garnishment released.
[02:05:59.680 --> 02:06:00.721]  In penalties and interest.
[02:06:01.242 --> 02:06:01.662]  Massive.
[02:06:02.483 --> 02:06:05.144]  Tax negotiation and settlement, ultra-massive.
[02:06:05.524 --> 02:06:06.925]  Reduce IRS tax fee.
[02:06:07.585 --> 02:06:08.945]  Resolve back taxes.
[02:06:09.686 --> 02:06:10.406]  All these are massive.
[02:06:10.566 --> 02:06:19.189]  IRS audit, defense, payroll, tax negotiation, and more at jonestaxrelief.com, powered by the great folks at American Tax Solutions.
[02:06:19.969 --> 02:06:21.370]  So good to have Tyler Bennett here with us.
[02:06:21.390 --> 02:06:21.930]  Continue, sir.
[02:06:23.596 --> 02:06:37.905]  Alex, it's just like you said, the globalists, the elitists, they have their club, their cabal, and even the nouveau riche, even people who have money, they're not necessarily part of the globalist club, and they don't want you to be part of that club, and you can't be.
[02:06:38.246 --> 02:06:43.829]  So, but here's the thing, is if you do have any assets at all, this is where I want to talk about trusts again.
[02:06:44.170 --> 02:06:52.069]   Trusts were the first thing that existed in this country before corporate law existed, trust law existed,
[02:06:52.069 --> 02:06:56.470]   that allowed for the uber wealthy and even people with any money at all
[02:06:56.470 --> 02:07:00.449]   to protect that from their creditors, to protect it from other people,
[02:07:00.449 --> 02:07:03.069]  and to maintain it for their family, right?
[02:07:03.069 --> 02:07:07.389]   And so here's the thing is, it doesn't matter if you are nouveau riche,
[02:07:07.389 --> 02:07:14.509]   if you are, you know, just have your little old properties in the middle of Virginia, whatever you got,
[02:07:14.509 --> 02:07:18.788]   if you have any property at all, you need to have that protected.
[02:07:18.923 --> 02:07:19.844]  Because here's the thing.
[02:07:20.264 --> 02:07:34.173]  During your lifetime, there will be times when the state and the government and possibly other people are going to come after your assets and try to take what you have hard earned by the sweat of your brow.
