[00:00:00.149 --> 00:00:00.549]  It's on.
[01:58:29.908 --> 01:58:31.509]  You want an image of what's coming here?
[01:58:34.269 --> 01:58:36.210]  China is hallmarking itself.
[01:58:36.810 --> 01:58:45.355]  China is signaling to the WEF, the Davos group, that they are ready to implement the total tyranny now.
[01:58:48.756 --> 01:58:55.039]  The images of them hog-tying people with electrical tape and taking them away because they're not submitting.
[01:58:56.680 --> 01:58:59.122]  All to the social credit score because they didn't behave themselves.
[01:58:59.582 --> 01:59:03.864]  How would the Chinese government roll out and arrest and kill millions of its opposition?
[01:59:06.920 --> 01:59:09.001]  Well, the uniform is the white lab coat.
[01:59:09.401 --> 01:59:10.641]  It is the white bunny suit.
[01:59:11.522 --> 01:59:12.842]  And the mask covering the face.
[01:59:13.162 --> 01:59:27.268]  Whether you're stealing an election of 2,000 mules, or whether you're taking somebody to a death camp where their organs will be harvested, it's all being done as an exercise to see, will the population go along with their own extermination?
[01:59:29.028 --> 01:59:29.809]  And that's where we are.
[01:59:33.250 --> 01:59:44.459]   And you have to understand, the whole blueprint was co-written By the Deimos Group, by Bill Gates, by the CIA, Carnegie Endowment, look it up, by the Rockefeller Foundation.
[01:59:47.880 --> 01:59:53.062]  And you gotta ask yourself, where is this gonna end?
[01:59:55.503 --> 01:59:56.524]  How is this gonna end?
[01:59:58.404 --> 02:00:02.186]  And the answer is, in sheer madness.
[02:00:04.787 --> 02:00:21.351]  As the communist Chinese prepare to invade and take over Taiwan, as they've already taken over Hong Kong, and as they become an example to the world of how to live under this abject tyranny.
[02:00:23.552 --> 02:00:36.116]   So when Prince Charles says we need a global military operation, a global Marshall Plan, the biggest thing in the world, to save the earth from carbon, Well, have you looked at yourself?
[02:00:36.717 --> 02:00:38.559]  Have you gone and looked up what you're made up out of?
[02:00:41.903 --> 02:00:42.804]  You're made out of carbon.
[02:00:44.866 --> 02:00:45.667]  You are carbon.
[02:00:49.571 --> 02:00:50.011]  And war...
[02:00:51.314 --> 02:01:10.101]  Biomedical world government depopulation tyranny has been declared on you, and if you ever wondered, if you hadn't seen the film Endgame or hadn't researched what we've covered, if you ever wondered how they'd do it, how they'd roll out a world ID, how they'd roll out disappearing people to camps, how they'd roll out robots flying around the sky and spraying chemicals everywhere, how would they do it?
[02:01:10.421 --> 02:01:13.542]  And you now know how they do it, and what did Prince Charles say?
[02:01:13.562 --> 02:01:15.163]  I played the clip at the start of the hour.
[02:01:16.681 --> 02:01:20.484]  If you don't give in to world government, more viruses will come out of the jungle and kill you.
[02:01:20.764 --> 02:01:25.749]  He's saying, submit to us, let us lock you down, and then the viruses won't kill you anymore.
[02:01:25.989 --> 02:01:33.795]  But we know that this was a beta test, and that once we allow them to lock everything down, they are going to drop the proverbial hammer on our heads.
[02:01:37.899 --> 02:01:49.520]   When we come back, the latest in Ukraine, the latest on Biden and what he has planned for the midterms, the latest on Governor DeSantis, And so much more.
[02:01:50.781 --> 02:01:55.584]  And then we're going to have Paul Joseph Watson from England hosting the fourth hour today.
[02:01:56.345 --> 02:02:03.770]  And then at three o'clock central time in an hour and 17 and a half minutes, Owen Schroyer will take over the war room.
[02:02:03.810 --> 02:02:05.391]  And every day we're on air is precious.
[02:02:06.092 --> 02:02:07.833]  Every day we're able to tell the truth is precious.
[02:02:07.973 --> 02:02:13.637]  Every day you send new people here to find out what's really happening, to understand the big endgame is precious.
[02:02:13.657 --> 02:02:25.484]   And that's why I'm very honored I'm blessed to be here with you and very thankful to all of you because our job is going to become very easy because it's about to all get right out in the open.
[02:02:26.745 --> 02:02:28.966]  This gas is going up even more.
[02:02:28.986 --> 02:02:35.731]  I mean it's, I think it's going to be, I mean I'm seeing it like close to $5 even in some parts of Florida.
[02:02:36.191 --> 02:02:41.194]  It was probably about $4.15 just a couple weeks ago, so it's going up.
[02:02:42.615 --> 02:02:45.338]  You know, they're not doing energy in the United States.
[02:02:45.398 --> 02:02:54.468]  Now they say they want to get oil from Maduro in Venezuela, which all that's going to do is just line his pockets, and actually it'll help Russia.
[02:02:54.688 --> 02:02:57.131]  They're always talking about Russia and Putin.
[02:02:57.431 --> 02:03:02.076]  Well, they have a very close relationship with Maduro and Putin, and so they're doing that.
[02:03:02.115 --> 02:03:07.115]   will vet OPEC, but they will not do more energy in the United States.
[02:03:07.115 --> 02:03:13.315]   And the result is that they've really reduced our ability to be energy independent and produce
[02:03:13.315 --> 02:03:14.315]  our own energy.
[02:03:14.315 --> 02:03:19.115]  They're canceling oil and gas leases in places like Alaska.
[02:03:19.115 --> 02:03:23.795]   And the people who have to fill up their gas tanks are the ones that are paying the price
[02:03:23.795 --> 02:03:25.235]  for those bad policies.
[02:03:25.272 --> 02:03:35.958]  And so, I think what Elon Musk said the other day about, you know, whoever puts that stuff into the teleprompter is kind of who the president is, because you just never know.
[02:03:36.138 --> 02:03:37.758]  But this is a huge failure.
[02:03:37.958 --> 02:03:40.160]  And it's really difficult for a lot of people.
[02:03:40.460 --> 02:03:43.281]  And we have not even hit summer driving season yet.
[02:03:43.301 --> 02:03:50.425]   So I think you're going to see it, you know, unless they reverse course, You're going to see it over $5 a gallon for unleaded.
[02:03:50.805 --> 02:03:55.709]  And in places like California, it'll probably be like $7 or $8 because of all those taxes they have.
[02:03:56.970 --> 02:03:59.932]  So you caught the problem with what DeSantis said, right?
[02:03:59.952 --> 02:04:01.012]  And he's a good guy, I like him.
[02:04:01.813 --> 02:04:02.934]  Oh, it's bad policy.
[02:04:02.954 --> 02:04:03.834]  They don't know what they're doing.
[02:04:06.156 --> 02:04:12.160]  It's being reported that they're programming Oregon gas pumps at $10 a gallon now.
[02:04:12.200 --> 02:04:12.840]  That's in the news.
[02:04:13.841 --> 02:04:14.822]  So they're getting you ready for that.
[02:04:16.658 --> 02:04:24.753]  Now something that Sanders said that was totally true was that Biden should get an honorary membership in the drug cartels for what he's done on the southern border.
[02:04:24.774 --> 02:04:25.114]  Here it is.
[02:04:25.867 --> 02:04:30.166]   Border communities are just getting killed down in Southern Texas, you know, with everything
[02:04:30.166 --> 02:04:31.166]  coming in.
[02:04:31.166 --> 02:04:36.367]   And, you know, honestly, he should be, Biden should be given an honorary membership in
[02:04:36.367 --> 02:04:42.426]   the Mexican drug cartels because nobody has done more to help the cartels than Biden with
[02:04:42.426 --> 02:04:44.086]  his open border policies.
[02:04:44.086 --> 02:04:47.046]  And so so it's a total disaster.
[02:04:47.046 --> 02:04:50.146]  It's been a disaster, I fear, with Title 42.
[02:04:50.146 --> 02:04:55.987]   If they do repeal it, I think things are fixing to get even worse.
[02:04:55.987 --> 02:04:58.827]  But it's a disaster that was planned.
[02:04:58.765 --> 02:05:04.552]  And every senator and House member that's decent, like DeSantis, keeps saying, oh, they're idiots.
[02:05:04.632 --> 02:05:12.461]  The left doesn't know what they're... No, this is an exact plan to collapse the third world, flood the first world, ship in all the fentanyl.
[02:05:12.721 --> 02:05:16.986]  All of this is a formula of George Soros and the New World Order.
[02:05:19.605 --> 02:05:29.429]  So I want to commend all the listeners, and you know who you are, that have supported us and donated and bought products at InfoWareStore.com, because we're toe-to-toe with Soros.
[02:05:30.069 --> 02:05:31.570]  We're toe-to-toe with the New World Order.
[02:05:32.250 --> 02:05:33.370]  Most people are scared to do it.
[02:05:33.510 --> 02:05:35.531]  I'm scared to not fight it, because I realize what they're taking us.
[02:05:36.491 --> 02:05:37.932]  And because of you, we're still on air.
[02:05:38.312 --> 02:05:40.333]  So you know who you are, those that have been donating.
[02:05:40.833 --> 02:05:45.675]  I want to thank you so much for what you've done, because I have a great crew.
[02:05:47.372 --> 02:05:53.296]  And we're doing a lot of research, a lot of ways to fund things around here, and a lot of ways to cut costs.
[02:05:54.337 --> 02:05:55.578]  And nobody told me.
[02:05:59.140 --> 02:06:02.362]  We were three months behind on our bandwidth bills because the money wasn't there.
[02:06:03.783 --> 02:06:04.464]  And I said, well.
[02:06:06.704 --> 02:06:08.525]  We have that Bitcoin somebody gave us.
[02:06:09.226 --> 02:06:10.286]  We already cashed half of it.
[02:06:10.326 --> 02:06:12.388]  I was trying to wait till it went back up, but that will pay the bill.
[02:06:13.128 --> 02:06:17.811]  And I was like, tell me, because I don't want to be on payment plans with the people supporting me.
[02:06:17.831 --> 02:06:20.453]  That's how close down the line we were.
[02:06:20.513 --> 02:06:24.096]  But your donations and your support and what you've done has kept us on air.
[02:06:24.136 --> 02:06:24.736]  So I thank you.
[02:06:25.196 --> 02:06:26.757]  Now, a lot of people sent me this.
[02:06:26.877 --> 02:06:28.959]  It was trending, I guess, two days ago on Twitter.
[02:06:29.019 --> 02:06:29.699]  I didn't see that.
[02:06:30.120 --> 02:06:31.541]  I got sent screenshots of it.
[02:06:32.001 --> 02:06:32.901]  But Alex Jones was right.
[02:06:32.922 --> 02:06:33.662]  It was trending again.
[02:06:33.702 --> 02:06:35.163]  They were skywriting it over L.A.
[02:06:35.183 --> 02:06:35.924]  with five airplanes.
[02:06:35.944 --> 02:06:36.424]  It was amazing.
[02:06:37.284 --> 02:06:40.585]  But what was trending was this big study.
[02:06:42.746 --> 02:06:49.527]  They got studies in the U.S., they got studies in Africa, they got studies in Asia, they got studies in Latin America, Central, South America.
[02:06:51.028 --> 02:06:57.249]  That just a little bit of atrazine creates total feminization of male frogs.
[02:06:57.369 --> 02:07:03.011]  And then they're attracted to the same sex, and the media makes jokes, oh well gay frogs are cute, why are you against them?
[02:07:06.488 --> 02:07:07.429]  It's because they die.
[02:07:07.729 --> 02:07:08.570]  They go extinct.
[02:07:11.373 --> 02:07:14.295]  I guess the left's gonna tell us there's too many frogs now because they're carbon-based?
[02:07:15.336 --> 02:07:17.778]  So the frogs are a canary in the coal mine.
[02:07:18.419 --> 02:07:20.981]  The frogs are a canary in the coal mine.
[02:07:21.362 --> 02:07:24.044]  They are a example of where we are.
[02:07:24.104 --> 02:07:24.785]  Here's a big study.
[02:07:26.346 --> 02:07:32.172]  Atrazine induces complete feminization and chemical castration in male African clawed frogs.
[02:07:34.375 --> 02:07:36.657]  And again, these studies have been out for a while.
[02:07:36.697 --> 02:07:37.837]  There's new studies out on it.
[02:07:38.918 --> 02:07:42.020]  And it shows what it does.
