[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[02:04:54.282 --> 02:04:58.525]  Get great products, do amazing things for your immune system, for inflammation, and so much more.
[02:04:59.085 --> 02:05:01.226]  All at infowarstore.com.
[02:05:01.627 --> 02:05:03.407]  Vitamin Mineral Fusion, back in stock.
[02:05:03.888 --> 02:05:05.609]  All three of our toothpaste, back in stock.
[02:05:05.689 --> 02:05:07.190]  Super Blue, finally, back in stock.
[02:05:07.210 --> 02:05:07.610]  The original.
[02:05:08.290 --> 02:05:11.494]  50% off when you get all three together, 40% off when you get them individually.
[02:05:11.835 --> 02:05:15.138]  Then, Body's Ultimate Turmeric Formula, again, for your immune system and inflammation.
[02:05:15.198 --> 02:05:15.819]  It's back in stock.
[02:05:15.879 --> 02:05:22.227]  And our latest product, Diet Force, with all-natural enzymes and ingredients that help speed up your metabolism and help you lose weight naturally.
[02:05:22.567 --> 02:05:25.310]  Get them all today at infowarstore.com.
[02:05:25.330 --> 02:05:26.772]  I want to thank you all for your support.
[02:05:26.731 --> 02:05:27.731]  God bless.
[02:05:27.731 --> 02:05:34.570]  Welcome back to Alex Jones Show.
[02:05:34.911 --> 02:05:36.993]  Guest host today, Robert Barnes.
[02:05:37.153 --> 02:05:39.616]  We're here with Richard Barris, People's Pundit.
[02:05:39.756 --> 02:05:44.421]  You can find him at People's Pundit Daily, People's Pundit on Twitter, while he's still allowed to be there.
[02:05:45.042 --> 02:05:47.345]  People's Pundit on YouTube and Rumble.
[02:05:47.865 --> 02:06:00.911]  And at peoplespundit.locals.com where you can get all of his data, including inside information before anybody else gets it, from the most accurate public opinion pollster for the better part of a decade.
[02:06:00.931 --> 02:06:02.472]  In fact, that's how I found him.
[02:06:02.692 --> 02:06:12.117]  I was looking for an accurate pollster, finding somebody who had predicted things before they happened rather than tried to claim they did so after it happened, and Richard was the one on top of all of it.
[02:06:12.757 --> 02:06:27.945]  Richard, in terms of public opinion on Alex Jones, and you've seen some of those public opinions, and from my review of it, a truly impartial jury would, on average, not award $75 million per person in damages.
[02:06:28.446 --> 02:06:32.248]  Indeed, the average jury verdict would be less than six figures.
[02:06:32.708 --> 02:06:37.573]  With an impartial jury selected that had no preconceived bias going in.
[02:06:38.053 --> 02:06:48.323]  How much of the Republican base is closer to the opinions held by the Alex Jones audience compared to say Mitt Romney, Lindsey Graham and some of that crap?
[02:06:50.663 --> 02:06:51.443]  You know, that's funny.
[02:06:52.224 --> 02:06:55.145]  It'll get worse as time goes on.
[02:06:55.246 --> 02:06:58.207]  Arizona is actually a really good state to illustrate that.
[02:06:58.227 --> 02:07:04.751]  I mean, the Republican, the average Republican voter is not really represented at all by the people that are in Washington.
[02:07:04.791 --> 02:07:06.813]  That's a shrinking share of the electorate.
[02:07:07.373 --> 02:07:12.676]  And, you know, you know this because we've actually taken a look at people's audiences, Robert, you know that.
[02:07:13.537 --> 02:07:20.922]   And people that are more aligned with people like Alex and some of the other personalities out there, They have the younger, more diverse crowds.
[02:07:20.982 --> 02:07:25.506]  They have the future of the party, of what the Republican party is going to be.
[02:07:25.586 --> 02:07:30.731]  So, you know, looking at next week, there'll be a ton of races that are really illustrating this fight.
[02:07:31.592 --> 02:07:36.156]  They're, you know, the old GOP, the old establishment, and they're gasping.
[02:07:36.355 --> 02:07:38.996]  with their last dying breath. I mean, they really are.
[02:07:38.996 --> 02:07:41.956]  Their coalition is exceedingly older.
[02:07:41.956 --> 02:07:44.595]  They're literally, I mean, there's no lack of a better word.
[02:07:44.595 --> 02:07:50.704]   They're literally, you know, being being phased out. They're a dying breed. And that's it. And
[02:07:50.704 --> 02:07:55.615]   as an example, what do you think will happen in the Arizona Republican primary where you
[02:07:55.615 --> 02:08:02.365]   have the populist candidate, Blake Masters, running on a lot of populist causes, campaigning in a populist
[02:08:02.365 --> 02:08:07.615]   manner, opposed, getting further involved in the Ukrainian conflict with no-fly zones and $40
[02:08:07.615 --> 02:08:11.394]   billion bailouts for deep state funds, et cetera?
[02:08:11.537 --> 02:08:16.481]  Will he prevail in the Republican primary, do you believe, in the Arizona primary coming up next week?
[02:08:17.839 --> 02:08:19.621]  Yeah, because this was your idea.
[02:08:19.661 --> 02:08:20.722]  I gotta give you credit for this.
[02:08:21.142 --> 02:08:22.123]  This was Robert's idea.
[02:08:22.143 --> 02:08:27.649]  In states like Arizona, Texas, go check out the CD Media Big Data Poll that we did in Arizona.
[02:08:27.689 --> 02:08:29.030]  It's on CDM.press.
[02:08:29.450 --> 02:08:30.752]  Look at a few things.
[02:08:31.012 --> 02:08:32.754]  Age, race, and generation.
[02:08:32.834 --> 02:08:40.860]   When you look at that primary vote, And you'll see that both Blake Masters and Kerry Lake are winning the newer, more dynamic, diverse coalition.
[02:08:40.900 --> 02:08:45.723]  We had Masters up by about 11 and Lake up by around 14.
[02:08:46.344 --> 02:08:53.249]  But honestly, this is why you're seeing statements from others like Data Orbital out there basically saying, you know, the governor's race is over.
[02:08:53.909 --> 02:08:59.073]  They're seeing what we saw, which was as those people decided, we had 20% undecided.
[02:08:59.153 --> 02:09:02.636]  Now it fell to 11 on the last days of interviewing.
[02:09:03.278 --> 02:09:08.172]  Blake Masters was actually doing about five points better than the overall lead in the published poll.
[02:09:08.954 --> 02:09:09.374]  On C.D.
[02:09:09.414 --> 02:09:12.756]  Media right now, Kerry Lake was also similarly doing about five points better.
[02:09:13.016 --> 02:09:19.178]  That final day of interview, Robert, when people decided, that's when they both started to run away with it.
[02:09:19.359 --> 02:09:23.740]  I think at this point, Masters and Lake are, you know, good luck catching them.
[02:09:24.141 --> 02:09:34.025]  The only bright light, again, if they're Republican establishment candidates, is that they're doing a little bit better with the older Republican primary voters, and they tend to be more certain to vote.
[02:09:34.305 --> 02:09:36.686]  But the bottom line is, they weren't winning them.
[02:09:37.026 --> 02:09:39.467]  So at this point, Blake Masters was still winning them.
[02:09:39.547 --> 02:09:42.788]  At this point, Kerry Lake is still out of lead with these voters.
[02:09:42.848 --> 02:09:51.550]  So I just see no place where Robeson or LeMond, Jim LeMond, could catch the more populous candidates.
[02:09:51.890 --> 02:09:59.572]  And when you look at polling the way we have over the years, folks, and you start to see those undecideds just evaporate as every day goes on.
[02:10:00.172 --> 02:10:02.873]  And you see certain candidates taking the lion's share.
[02:10:03.493 --> 02:10:04.133]  That's a surge.
[02:10:04.573 --> 02:10:05.534]  I mean, that's what you're looking at.
[02:10:05.574 --> 02:10:06.534]  You're looking at a surge.
[02:10:06.574 --> 02:10:14.736]  And they're coming down to a point where that last day in the governor's race, Robert, the last day of interviews, Kerry Lake was actually just over 50.
[02:10:15.117 --> 02:10:18.137]  Robeson was at about 34 with people deciding.
[02:10:18.578 --> 02:10:24.219]  And then Blake Masters had exceeded 35 percent with Jim Lamon only at 22.
[02:10:24.900 --> 02:10:26.400]  Brnovich completely collapsed.
[02:10:26.440 --> 02:10:28.321]  He was at 11 percent on the final day.
[02:10:28.441 --> 02:10:29.641]  So that's a big deal.
[02:10:30.101 --> 02:10:36.206]  And so, what you see on CDN reflects overall over three days of tracking, but you know it when you see it.
[02:10:36.426 --> 02:10:37.126]  Those are surges.
[02:10:37.166 --> 02:10:38.367]  Those two candidates are surging.
[02:10:38.727 --> 02:10:39.068]  Absolutely.
[02:10:39.088 --> 02:10:53.298]  The way I've described it is, if you're a young Republican primary voter, young Republican primary candidate, young Republican volunteer activist, you need to win the Alex Jones voter because the Alex Jones voter is the future of the Republican Party.
[02:10:53.638 --> 02:11:01.144]  Those candidates that have appealed to the Alex Jones voter directly and specifically are going to be the future power base of the Republican Party moving forward.
[02:11:01.543 --> 02:11:07.783]   Now speaking of which, in terms of coming in November, we see the Biden administration now escalating talk
[02:11:07.783 --> 02:11:14.023]   of indicting Donald Trump on completely bogus, fictional charges, but they have a corrupt grand jury
[02:11:14.023 --> 02:11:18.403]   process in the District of Columbia, a corrupt jury pool in the District of Columbia,
[02:11:18.403 --> 02:11:22.983]   as we've witnessed in the Steve Bannon trial, witnessed in other prior trials where Democrats walk
[02:11:22.983 --> 02:11:25.863]  and Republicans get the guillotine.
[02:11:25.863 --> 02:11:31.983]   What do you think, what's gonna happen right now as of November in a Trump-DeSantis 2024 ticket,
[02:11:31.983 --> 02:11:40.423]   and could an indictment of Trump be a Hail Mary that could salvage and save the Democrats come 2022 or 2024?
[02:11:40.423 --> 02:11:45.302]   You know, going into the new year, I remember the holiday season.
