[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[01:50:26.335 --> 01:50:29.458]  But I'm not a part of the Black Lives Matter organization in any regard.
[01:50:29.518 --> 01:50:34.161]  Actually, I vehemently oppose all of their cultural and community methods.
[01:50:34.741 --> 01:50:41.486]  And I know that it's a part of a bigger agenda, race is this new three-card Monte, as well as gender and feminism, too.
[01:50:42.467 --> 01:50:43.548]  But I will say this.
[01:50:44.275 --> 01:50:51.419]  Black Lives Matter has the right energy, they have the wrong ideas, and they have a poor, a bad motivation, a wicked motivation.
[01:50:51.439 --> 01:50:57.623]  Well sure, you got Soros and the Globalists, one of the street cred, coming out and manipulating groups of people that actually have real issues and real beef.
[01:50:58.764 --> 01:51:06.949]  And here's what the right has done, and I think it's, this has dropped the ball, even for the populist movement, which I'm a fire-breathing populist.
[01:51:06.969 --> 01:51:10.791]  Steve Bannon is a mentor of mine, and I support him, and I support the populist movement 100%.
[01:51:12.782 --> 01:51:14.225]  But here's what the right has done.
[01:51:14.906 --> 01:51:19.314]  The right has tried to, in a full swipe, denounce BLM.
[01:51:22.907 --> 01:51:31.354]  I totally agree, Royce White.
[01:51:31.594 --> 01:51:39.861]  Instead of going in and recruiting all these people to be the revolution of populism, no, it then disregards all their real issues and then just basically negates it.
[01:51:39.881 --> 01:51:40.381]  We'll be right back.
[01:51:40.942 --> 01:51:44.385]  So I don't want to just make claims, because some people might not have heard this a month ago.
[01:51:44.425 --> 01:51:45.606]  It was a top story.
[01:51:46.366 --> 01:51:54.326]   Chamath Palahathapathy, I'm probably pronouncing that wrong, Sri Lankan individual who's a billionaire and owns a big
[01:51:54.326 --> 01:51:58.456]   basketball team just said, "I don't care about these people."
[01:51:58.456 --> 01:51:59.456]  Not just, "Well, I can't help them."
[01:51:59.456 --> 01:52:04.176]   No, I just don't even -- they don't even rise up to -- I mean, the arrogance of this -- and
[01:52:04.176 --> 01:52:08.576]   this is emblematic while he runs around virtue signaling how he wants, you know, to support
[01:52:08.576 --> 01:52:09.576]  Black Lives Matter.
[01:52:09.576 --> 01:52:10.576]  Here it is.
[01:52:10.576 --> 01:52:11.576]  Nobody cares about --
[01:52:11.576 --> 01:52:12.576]  Are we going to run again?
[01:52:12.576 --> 01:52:13.576]  No, no, no.
[01:52:13.576 --> 01:52:14.576]  Let's be honest.
[01:52:14.576 --> 01:52:15.576]  Nobody cares about what's happening to the Uyghurs, okay?
[01:52:15.642 --> 01:52:18.903]  You bring it up because you really care, and I think that's nice that you care.
[01:52:19.344 --> 01:52:20.204]  The rest of us don't care.
[01:52:20.664 --> 01:52:22.685]  I'm just telling you a very hard ugly truth, okay?
[01:52:22.505 --> 01:52:26.225]  I'm telling you a very hard ugly truth.
[01:52:26.225 --> 01:52:29.224]   Of all the things that I care about, yes, it is below my line.
[01:52:29.224 --> 01:52:30.224]  Okay?
[01:52:30.224 --> 01:52:35.545]  Of all the things that I care about, it is below my line.
[01:52:35.790 --> 01:52:38.271]  Now, what did George Soros say in that 60 Minutes interview?
[01:52:38.311 --> 01:52:43.113]  He said, well, if I wouldn't have helped round up the Jews, somebody else would have done it.
[01:52:43.173 --> 01:52:45.774]  So like the market, I just picked the winning side.
[01:52:46.515 --> 01:52:50.116]  When everyone has that attitude, we all get enslaved and destroyed.
[01:52:50.576 --> 01:52:52.717]  That's conquest versus civilization.
[01:52:53.037 --> 01:52:56.039]  And so it's this attitude of it's not my problem.
[01:52:56.439 --> 01:52:57.279]  I'm not going to worry about it.
[01:52:57.319 --> 01:52:58.560]  Well, then what is your problem?
[01:52:59.205 --> 01:53:01.687]  I mean, do I stand up for you if somebody's trying to kill you?
[01:53:02.467 --> 01:53:16.735]   It's just such a soulless disconnection and that whatever the satanic force is, the devil behind it, but however people see that in their mind, it is funding and creating and promoting these type of little Pathetic jellyfish.
[01:53:16.775 --> 01:53:18.616]  And I'm not putting him down because he looks wimpy.
[01:53:18.636 --> 01:53:20.257]  I mean, I'm probably wimpy compared to you.
[01:53:20.297 --> 01:53:24.718]  But the point is, there's something about these little, weird, effeminate, chicken-neck men.
[01:53:24.778 --> 01:53:27.479]  In fact, it's not right to say effeminate, because they're not like women.
[01:53:27.499 --> 01:53:28.099]  Women are powerful.
[01:53:28.399 --> 01:53:32.681]  They're like these weird, metrosexual wimps who also then love tyranny.
[01:53:32.961 --> 01:53:34.541]  Like Tim Cook, it makes me sick.
[01:53:37.022 --> 01:53:42.844]  Well, first I'll say, the Uyghur genocide is one of the defining issues, if not the defining issue of our time.
[01:53:43.545 --> 01:53:46.789]  It's a litmus test for all of our ideas about justice and freedom.
[01:53:47.410 --> 01:54:04.022]   And for an institution like the NBA and many of its owners and oligarchs that surround it, who want to make claims about social justice and human welfare and global eradication of suffering, They certainly have missed the mark with the Uyghur genocide, and I think it should be a huge indicator to all of us.
[01:54:04.082 --> 01:54:13.969]  But, you know, I believe that when you become demoralized, right, before the mass form psychosis comes demoralization.
[01:54:14.689 --> 01:54:19.232]  And when you become demoralized, oftentimes you'll opt for tyranny.
[01:54:19.453 --> 01:54:20.974]  These people crave tyranny.
[01:54:21.694 --> 01:54:22.835]  They want it for themselves.
[01:54:23.669 --> 01:54:32.280]  But in their lack of ability to manifest tyranny for themselves because they're too weak to really run roughshod over the people around them, they'll just jump onto a tyrannical bandwagon.
[01:54:32.560 --> 01:54:37.787]  And that's Chamath, and that's the ethos of this entire beta project that has risen to the top of a new era.
[01:54:38.306 --> 01:54:40.087]  Royce, I'm not kicking your ass.
[01:54:40.367 --> 01:54:41.327]  I'm kissing your ass.
[01:54:41.547 --> 01:54:44.709]  You are so damn on target, because I always mean to try to articulate that.
[01:54:45.249 --> 01:54:46.989]  The way you're explaining that is so true.
[01:54:47.350 --> 01:54:56.653]  These people are weak, and they get reflected glory out of evil, and feel like when bad stuff's happening, because they pretend and agree with it, that somehow they're winning when they're not.
[01:54:56.873 --> 01:55:03.816]  That is the heart of this, that these people serve something that will destroy them in the end, because they're missing their soul.
[01:55:03.856 --> 01:55:04.856]  They're like not connected.
[01:55:04.896 --> 01:55:06.117]  They're demoralized, like you said.
[01:55:07.899 --> 01:55:08.420]  Absolutely.
[01:55:08.500 --> 01:55:12.244]  I mean, tyranny is the friend of the lost, right?
[01:55:12.284 --> 01:55:13.185]  And we see that way.
[01:55:13.225 --> 01:55:19.952]  And I know that personally, because let's use gangs, for example, in the inner cities and black communities, right?
[01:55:20.012 --> 01:55:28.012]   There is a gravity towards this sort of moral relativistic Do whatever it takes to survive.
[01:55:28.092 --> 01:55:30.294]  It's me or you, right?
[01:55:30.374 --> 01:55:42.464]  And if I can find people who have lost their soul and they feel that sense of, you know, that loss of civility and morality, then I feel more comfortable next to them than I do standing up for freedom and justice.
[01:55:43.145 --> 01:55:51.091]  And in the same way, you could say that the police departments have fallen victim to that under this corporatocracy, that I'm going to just do my job.
[01:55:51.131 --> 01:55:52.292]  I'm going to just follow orders.
[01:55:53.012 --> 01:56:00.916]   But the reality is that, like you said, the people who are getting Targeted by the establishment, silenced, deplatformed, blackballed.
[01:56:01.336 --> 01:56:06.083]  Those are the people who need to rise up and be the leaders in this next generation or else we will perish.
[01:56:08.125 --> 01:56:10.409]  I could ask a lot of questions, but you've got a lot of points to make.
[01:56:10.429 --> 01:56:11.350]  Where else should we go here?
[01:56:13.248 --> 01:56:17.010]  You know, the one that's really been troubling me the most is obviously the vaccine mandates.
[01:56:18.351 --> 01:56:38.103]  For me, I led the protests around the George Floyd situation, and I knew from watching the situation from afar, as it pertains to politics and corporatocracy and all these things, that that moment was going to be used to again further hijack what should be a very populist movement.
[01:56:39.135 --> 01:56:45.317]  And so I led a protest, for example, from US Bank Stadium, where the Vikings play here in Minneapolis, to the front door of the Federal Reserve.
[01:56:45.817 --> 01:56:48.598]  And there are only 12 Federal Reserves, and we have one in Minneapolis.
[01:56:49.178 --> 01:56:53.420]  And that never made the mainstream media headlines, but people took notice.
[01:56:54.140 --> 01:56:58.761]  And that's kind of how I got hooked up with Steve Bannon and other populist figures around the country.
[01:56:58.801 --> 01:57:07.024]  But, you know, I heard people say the whole system is guilty, you know, F the police, tear the whole system down.
[01:57:07.591 --> 01:57:16.675]  Three months later, you know, they were all in support and in favor and even willing to fight on behalf of a medical-industrial complex that is patently the system.
[01:57:17.375 --> 01:57:28.540]  And the fact that they can't separate the medical-industrial complex from the rest of the system shows you how well the psychological warfare has, well, how successful the psychological warfare has been.
[01:57:28.560 --> 01:57:30.541]  And we have to fight back again.
[01:57:30.601 --> 01:57:32.482]  I mean, we just have to dig our heels in.
[01:57:33.015 --> 01:57:38.116]  We have to stop being so civil, especially on the right, especially in the GOP, especially in the Republican Party.
[01:57:38.496 --> 01:57:39.537]  Stop being so civil.
[01:57:39.577 --> 01:57:46.239]  Stop believing that we can appeal to reason and logic because certain forces in this world are not interested in reason or logic.
[01:57:46.299 --> 01:57:47.079]  It's not enough.
[01:57:47.599 --> 01:57:48.659]  And I love Tucker Carlson.
[01:57:48.679 --> 01:57:56.641]  I think he's got his finger right over the target as well, but it's not enough to just debunk the logical fallacy because many of them aren't interested in logic anyway.
[01:57:56.942 --> 01:57:59.602]  Who's going to report to the front line when tyranny really rises?
[01:58:02.063 --> 01:58:02.123]  Who?
[01:58:04.784 --> 01:58:05.765]  Me, I'll be there.
[01:58:07.066 --> 01:58:08.347]  And I'll be there alone if need be.
[01:58:08.467 --> 01:58:09.207]  I know you'll be there.
