[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[01:53:44.620 --> 01:53:47.621]  Only imperial stormtroopers are so precise.
[01:53:48.102 --> 01:53:49.922]  Massive issues reported across the country.
[01:53:50.222 --> 01:53:51.283]  Here are several concerns.
[01:53:51.743 --> 01:53:54.764]  Anomalies we received as it pours in.
[01:53:56.205 --> 01:54:01.067]  Voting machines down in Mercer County due to glitch in New Jersey.
[01:54:01.087 --> 01:54:03.808]  You're not voting Democrats out.
[01:54:04.689 --> 01:54:05.169]  Video.
[01:54:05.229 --> 01:54:08.490]  Voters told voting machines aren't working in Maricopa County, Arizona.
[01:54:09.611 --> 01:54:12.132]  And it goes on and on and on.
[01:54:14.366 --> 01:54:17.887]  The printer's so blotchy from the printer, the scanner could not read them.
[01:54:19.848 --> 01:54:21.028]  New Jersey voting trouble.
[01:54:21.048 --> 01:54:22.489]  Scanners fail.
[01:54:24.229 --> 01:54:25.029]  And it goes on and on.
[01:54:25.530 --> 01:54:27.430]  All over the country.
[01:54:27.870 --> 01:54:31.031]  From Michigan to Georgia to Texas.
[01:54:31.492 --> 01:54:32.292]  Here's the headline.
[01:54:32.452 --> 01:54:36.293]  Voting machines stop working across America.
[01:54:38.694 --> 01:54:42.235]  Didn't have this problem two years ago because they were going the ballot route.
[01:54:43.285 --> 01:54:47.606]  But now they didn't have enough hidden dead people's names and people that have moved out of state.
[01:54:47.926 --> 01:54:48.906]  They were out of ammo.
[01:54:49.886 --> 01:54:55.147]  So now the voting machine comes in to save the New World Order Day.
[01:54:56.348 --> 01:55:10.170]  We're all aware, several machines down, multiple issues reported in Harris County, Houston, Dallas, San Antonio, Austin, all magically failing.
[01:55:10.710 --> 01:55:12.811]  I'm sure it'll be the Russians' fault.
[01:55:13.860 --> 01:55:19.582]  Report of broken voting machines, confusion surrounding mail-in ballots, and it's even happening in Florida!
[01:55:21.223 --> 01:55:23.504]  Dominion voting machines already malfunctioning.
[01:55:25.845 --> 01:55:27.205]  Don't question it, they'll sue you.
[01:55:28.626 --> 01:55:31.567]  And it goes on and on and on.
[01:55:32.047 --> 01:55:32.687]  Let's do this.
[01:55:32.747 --> 01:55:35.448]  Let's just air clip one through seven.
[01:55:35.489 --> 01:55:36.549]  We have time to get to those.
[01:55:39.827 --> 01:55:42.270]  And the Democrats are now predicting they're gonna win!
[01:55:43.171 --> 01:55:45.114]  They're coming from behind!
[01:55:45.134 --> 01:55:45.234]  Ha ha!
[01:55:46.075 --> 01:55:47.397]  They're so liberal!
[01:55:48.198 --> 01:55:49.440]  They're so loving!
[01:55:49.480 --> 01:55:50.681]  They're so sweet!
[01:55:51.262 --> 01:55:52.524]  They're so good!
[01:55:52.544 --> 01:55:55.668]  Let's play some of these clips back-to-back.
[01:55:55.688 --> 01:55:56.770]  Here's Maricopa County.
[01:55:58.831 --> 01:56:02.053]  There's a bunch of clubs just out of the key battleground state of Phoenix.
[01:56:02.093 --> 01:56:02.413]  There it is.
[01:56:02.433 --> 01:56:11.519]  The board and the recorder run elections here in Maricopa County as a team, and we're very excited about how things are going today on election day.
[01:56:11.639 --> 01:56:14.441]  We had all 223 vote centers have opened.
[01:56:14.761 --> 01:56:20.405]  We've already had over 45,000 people who have checked in and already voted today.
[01:56:20.805 --> 01:56:26.988]  We did want to come out and discuss one issue that's going on out there in about 20% of the vote centers.
[01:56:27.068 --> 01:56:30.630]  Again, we have 223 vote centers across the county.
[01:56:31.090 --> 01:56:43.197]  In about 20% of those, when people will go and they try and run the ballot through this tabulator, maybe one out of every five or so of those ballots, they're not going through.
[01:56:45.097 --> 01:56:57.680]  We've got about 20% of the locations out there where there's an issue with the tabulator, where some of the ballots, after people have voted them, they try and run them through the tabulator, and they're not going through.
[01:56:57.700 --> 01:56:59.001]  Let's stop right there.
[01:56:59.341 --> 01:57:09.063]  As soon as it sees you vote Republican, it kicks out a certain percentage just to make sure the Democrats win, because the red wave is about 25-30 points above the Dems.
[01:57:09.623 --> 01:57:12.184]  So they just pre-program it, and it's very liberal, it's very loving.
[01:57:13.152 --> 01:57:16.334]  And just like your PCR test, and then bye-bye Republicans.
[01:57:16.414 --> 01:57:17.034]  Ha ha!
[01:57:17.134 --> 01:57:17.555]  Liberal!
[01:57:17.835 --> 01:57:18.475]  Go back to the clip.
[01:57:19.276 --> 01:57:21.197]  We also have a redundancy in place.
[01:57:21.617 --> 01:57:34.765]  If you can't put the ballot in the tabulator, then you can simply place it here, where you see the number three, and this is a secure box where those ballots will be kept for later this evening.
[01:57:36.286 --> 01:57:45.217]  They said it may take weeks, then your ballot goes to a special area in Maricopa County for special work to be done on it.
[01:57:45.657 --> 01:57:55.589]  See, if they didn't have enough mail-ins to steal it, not that this good man's involved, he's a liberal-loving person, then... Well, they're just... You know how it works.
[01:57:55.649 --> 01:57:56.110]  Continue.
[01:57:56.953 --> 01:58:01.513]   later this evening where we'll bring them in here to central count to tabulate them.
[01:58:01.513 --> 01:58:06.712]   Oh, function much like early voting functions in that we would get your ballot back.
[01:58:06.712 --> 01:58:10.953]   Once we've signature verified it, we would send it to our central tabulators.
[01:58:10.953 --> 01:58:15.113]   Ballots that are in here will already be in effect signature verified,
[01:58:15.113 --> 01:58:18.632]   so we won't need to confirm identity, but we will central tabulate them.
[01:58:18.632 --> 01:58:24.233]   This is actually what the majority of Arizona counties do on election day all the time.
[01:58:24.233 --> 01:58:27.832]  And pause. It's supposedly the computer that tabulates it.
[01:58:27.613 --> 01:58:28.774]  Oh, but not just Pennsylvania.
[01:58:29.214 --> 01:58:32.616]  Multiple states have the computer system that validates it's a real ballot.
[01:58:33.277 --> 01:58:36.038]  Those were turned off yesterday by accident.
[01:58:36.118 --> 01:58:37.319]  I mean, it was a failure.
[01:58:37.339 --> 01:58:37.980]  It was a failure.
[01:58:39.420 --> 01:58:40.101]  Let's go back to it.
[01:58:41.388 --> 01:58:42.368]  Can you repeat that?
[01:58:42.468 --> 01:58:44.669]  Can you start from the beginning and repeat that?
[01:58:44.729 --> 01:58:48.729]   Can you repeat that? I can promise you. Can you start from the beginning and repeat that?
[01:58:48.729 --> 01:58:53.729]   So what happens is we have two tabulators. One of the tabulators is not working.
[01:58:53.729 --> 01:58:58.729]  Okay? The other tabulator is taking about 75% successful.
[01:58:58.729 --> 01:59:01.729]  So 25% of them are being misread.
[01:59:01.729 --> 01:59:07.729]   Isn't it funny that all these voting locations magically 25% are failing?
[01:59:07.729 --> 01:59:10.729]  When a machine fails it does its own thing.
[01:59:11.199 --> 01:59:12.920]  They don't all do the same thing.
[01:59:13.740 --> 01:59:15.561]  Unless they're... What do machines do?
[01:59:16.042 --> 01:59:16.522]  What happens?
[01:59:16.782 --> 01:59:18.983]  They get programmed.
[01:59:19.783 --> 01:59:21.144]  Programmed.
[01:59:21.844 --> 01:59:26.487]  You don't get the same error on a bunch of different machines unless they were programmed.
[01:59:26.787 --> 01:59:27.767]  And then it's not an error.
[01:59:28.028 --> 01:59:28.448]  Continue.
[01:59:29.642 --> 01:59:33.185]  I know everybody wants to make sure that it reads and everything is fine.
[01:59:33.205 --> 01:59:33.866]  Can you repeat that?
[01:59:34.406 --> 01:59:36.828]  Can you start from the beginning and repeat that?
[01:59:37.109 --> 01:59:39.090]  So what happens is we have two tabulators.
[01:59:39.591 --> 01:59:42.593]  One of the tabulators is not working.
[01:59:43.034 --> 01:59:46.837]  The other tabulator is taking about 75% successful.
[01:59:47.037 --> 01:59:50.320]  So 25% of them are being misread.
[01:59:50.700 --> 01:59:52.082]  And it could be a printer issue.
[01:59:52.982 --> 01:59:55.425]  I want to be a trillion percent clear.
[01:59:55.445 --> 01:59:58.548]  These campaign workers, these poll workers are great people.
[01:59:58.387 --> 02:00:02.467]   what's called box three and it gets read whether it goes down and gets read
[02:00:02.467 --> 02:00:06.667]   manually or whether it gets refed in into our tabulary. You don't want to adjudicate.
[02:00:06.667 --> 02:00:13.347]   Get read. No one's trying to. I want to be a trillion percent clear. These
[02:00:13.347 --> 02:00:16.266]   campaign workers, these poll workers are great people. They're not involved in the
[02:00:16.266 --> 02:00:22.586]   fraud. They're just told, "Oh all the machines in the county have 25% failure."
[02:00:20.809 --> 02:00:21.610]  Totally impossible.
[02:00:22.030 --> 02:00:22.791]  What's their program?
[02:00:23.252 --> 02:00:24.833]  And they're just told an official story.
[02:00:24.873 --> 02:00:29.437]  So the media will be like, evil right-wingers claim this poor guy stole it.
[02:00:29.477 --> 02:00:30.478]  No, this guy didn't do that.
[02:00:30.898 --> 02:00:31.839]  He sees everything breaking.
[02:00:31.859 --> 02:00:32.620]  Everybody's pissed off.
[02:00:33.000 --> 02:00:33.841]  He's there to volunteer.
[02:00:33.861 --> 02:00:34.441]  He's a good guy.
[02:00:34.721 --> 02:00:35.542]  Probably a Republican.
[02:00:36.123 --> 02:00:37.684]  He walks out and tells everybody this.
[02:00:39.426 --> 02:00:40.607]  It's ridiculous!
[02:00:42.714 --> 02:00:44.476]  Absolutely ridiculous.
[02:00:44.496 --> 02:00:49.081]  You know, they've caught car companies a few times pre-programming their computers to fail at a certain point.
[02:00:49.381 --> 02:00:50.923]  And they got caught because it's pre-programmed.
[02:00:51.403 --> 02:00:52.965]  It's PRE-PROGRAMMED!
[02:00:54.173 --> 02:00:56.275]  It took two weeks to call every state.
[02:00:56.735 --> 02:01:01.659]  In modern elections, more and more ballots are being cast in early voting and also by mail.
[02:01:02.239 --> 02:01:10.305]  And many states don't start counting those ballots until after the ballots, after, pardon me, after the polls close on November 8th.
[02:01:10.845 --> 02:01:13.467]  So you heard the President say this the other night.
[02:01:13.547 --> 02:01:15.469]  He has been very clear on this as well.
[02:01:15.549 --> 02:01:19.492]   We may not know all The winners of elections for a few days.
[02:01:19.872 --> 02:01:24.315]  It takes time to count all legitimate ballots in a legal and orderly manner.
[02:01:24.415 --> 02:01:28.098]  That's how this is supposed to work and it's important for us.
[02:01:28.118 --> 02:01:32.901]  We're going to go to Carrie Lake here in just a moment.
[02:01:32.921 --> 02:01:35.783]  She's live in a press conference talking about this.
[02:01:35.823 --> 02:01:37.324]  But again, they always do tricks.
[02:01:38.005 --> 02:01:39.946]  They didn't mainly steal the election machines.
[02:01:40.086 --> 02:01:41.507]  And I told you that two years ago.
[02:01:41.567 --> 02:01:42.048]  We were right.
[02:01:43.388 --> 02:01:44.129]  Some of that went on.
[02:01:44.889 --> 02:01:48.952]  They did it with mass mail-in ballots of dead people and folks who moved out of state.
[02:01:49.472 --> 02:01:58.879]  Facebook and Google on record spent over $700 million together to collate those numbers and send those out so they'd have databases to then fill out the ballots.
[02:01:59.159 --> 02:01:59.660]  That came out.
[02:02:00.380 --> 02:02:05.003]  This time they're hitting you with mail-in, but the landslide's so big they can't beat it with that.
[02:02:05.484 --> 02:02:06.625]  They barely beat Trump before.
[02:02:07.975 --> 02:02:23.043]  So now they've got to have the machines all fail, all the battleground states, all the battleground states, Michigan, Wisconsin, Pennsylvania, Arizona, Georgia, it's happening in key cities, they're Democrat controlled, it's happening in Texas, it's happening...
