[00:00:00.333 --> 00:00:01.674]  So it's all official.
[02:04:35.401 --> 02:04:42.363]  And not give this shot to their infants, their 2, 4 and 6 month old children.
[02:04:42.763 --> 02:04:44.403]  Not give it to the 5 year old children.
[02:04:44.803 --> 02:05:02.088]   We know from pediatric cardiologists that are now saying that children, even that are asymptomatic, if they have received this COVID shot, 50% of them, 5-0, 50% have myocarditis, which increases their risk of sudden cardiac death and shaves decades off their life.
[02:05:02.349 --> 02:05:14.453]  We're watching child sacrifice in real time, and the doctors are complicit, the nurses giving the shots are complicit, and parents who drag their kids in to get them these shots, they are complicit also.
[02:05:14.553 --> 02:05:15.693]  Yes, it's barbaric.
[02:05:16.033 --> 02:05:17.314]  It must stop.
[02:05:17.774 --> 02:05:20.256]  We must stop the FDA from doing this.
[02:05:20.537 --> 02:05:34.049]  There's a whole committee of people that we're working really hard to call as many people as you can to bombard the FDA and not allow them to approve these COVID shots to be given to two, four, and six-month-old babies.
[02:05:34.449 --> 02:05:43.978]  We know from Dr. Carrie Madej's work, who Carrie's a very dear friend of mine, that she's been in contact with two different centers that do in vitro fertilization.
[02:05:44.378 --> 02:05:52.761]  And they had embryos of parents, both parents that were injected and these embryos were not going to be used because they got pregnant.
[02:05:53.121 --> 02:06:06.626]  And so they decided to do autopsies on these embryos and found unbelievable horrific things in terms of their organs that were deformed and not developed, the genetic abnormalities, the clotting and different things.
[02:06:07.186 --> 02:06:19.621]  You know, the globalists are doing everything that they possibly can to kill off and murder people from the top down, to get rid of many athletes and healthcare professionals and military people from the top down.
[02:06:20.061 --> 02:06:26.614]   And so if they're taking on doing all this effort, To depopulate the planet of adults.
[02:06:26.994 --> 02:06:39.987]  They are certainly going to do a lot to kill off children and to make them infertile so that down the road people cannot reproduce and fill up humanity with everything that they have destroyed and obliterated.
[02:06:40.814 --> 02:06:41.134]  That's right.
[02:06:41.154 --> 02:06:47.538]  There's a global depopulation of it happening, not just to kill people or starve them, but to destroy our human genetics.
[02:06:47.578 --> 02:06:51.341]  And the studies I've seen say that the spike protein is going to be passed on in the genetics.
[02:06:51.361 --> 02:06:52.642]  This is... It does.
[02:06:53.342 --> 02:06:54.463]  It definitely does.
[02:06:55.043 --> 02:06:55.784]  Please continue, sorry.
[02:06:56.621 --> 02:06:57.582]  Well, it really does.
[02:06:57.622 --> 02:06:59.023]  And here's the thing, Alex.
[02:06:59.383 --> 02:07:00.744]  You know, I wrote two e-books.
[02:07:00.784 --> 02:07:03.326]  They're available on my website, drtempetty.com.
[02:07:03.826 --> 02:07:08.009]  One is called The 20 Mechanisms of Injury, How the Shots Make You Sick or Kill You.
[02:07:08.429 --> 02:07:15.895]  Two months later, I released a second e-book called The 20 More Mechanisms of Injury, How These COVID Shots Can Make You Sick or Kill You.
[02:07:16.275 --> 02:07:32.766]  So I've identified at least 40, 4-0, 40 different ways that these shots can make you sick acutely or make you chronically ill with heart disease, neurological problems, long-term autoimmune diseases, a long list of cancers that we're seeing exploding everywhere.
[02:07:33.406 --> 02:07:38.510]  Once you have been injected with these shots, this is a protein that goes on and on and on.
[02:07:38.550 --> 02:07:44.875]  We're now seeing that perhaps the messenger RNA never degrades and perhaps replicates over and over in perpetuity.
[02:07:44.895 --> 02:07:47.697]  Well that's right, because we were only two years in, the studies are there.
[02:07:48.277 --> 02:07:55.803]  And for me, I'm not a scientist like you, but I can read all the literature, it's like the HIV spike protein with Mad Cow, it's what it is.
[02:07:55.823 --> 02:07:58.625]  And they're like growing a poison crystal in us.
[02:08:00.100 --> 02:08:17.948]  Yes, and what they want to do with this through the quantum computing, through the quantum computing, and people really have to understand what they're doing, that these computers, the quantum computers assess every possible answer that can possibly be answered at the same time, and then the computer tells you how to think and what to say.
[02:08:18.428 --> 02:08:50.237]   So they're now creating something called the Hive Mind, H-I-V-E, the Hive Mind, where every person on the planet who will be labeled and numbered and will be a node, they will be given a similar avatar in real time and that the brain-computer interface with this quantum entanglement that occurs will create an avatar of you out there in the metaverse so that they can eliminate you, the human, Just like the movie, just like the movies have showed, like the movie Avatar has showed us that they will do.
[02:08:50.837 --> 02:08:57.579]  People, your audience need to understand the word and start investigating the concept of quantum entanglement.
[02:08:57.980 --> 02:09:07.083]  That two pings are so closely bound together and that they are resonating together through quantum entanglement that you can even separate them by a light year away.
[02:09:07.403 --> 02:09:10.224]  And if you affect one, you're still, you're affecting the other one.
[02:09:10.544 --> 02:09:13.645]  That's what's happening with these nanobot technologies.
[02:09:13.865 --> 02:09:15.907]  It's the Observer Effect taking it to the next level.
[02:09:16.307 --> 02:09:24.053]  They're putting the circuits in for us, knowing that if you poison a million cockroaches, 20 will mutate to defeat it.
[02:09:24.433 --> 02:09:35.281]  They're poisoning us with all this nanotech to see who mutates and survives, to then use them as the model for them to become the new synthetic Ubervention.
[02:09:35.661 --> 02:09:36.562]  And that's the plan.
[02:09:36.882 --> 02:09:38.463]  Dr. Sherry Timpani, thank you so much.
[02:09:38.503 --> 02:09:39.784]  Please join us again very soon.
[02:09:40.705 --> 02:09:41.506]  Absolutely, Alex.
[02:09:41.546 --> 02:09:42.386]  Thank you so much.
[02:09:42.806 --> 02:09:43.167]  Thank you.
[02:09:44.517 --> 02:09:45.437]  All right, we're going to go to break.
[02:09:45.457 --> 02:09:50.978]  I'm going to come back and take two segments of calls, and then we'll have a special guest in studio with some big solutions.
[02:09:51.038 --> 02:09:56.639]  But I just want to thank listeners, because we're in the thick of the battle now.
[02:09:56.679 --> 02:10:03.380]  We're at the most critical point, and nobody else has audiences this big that will tell the truth like we're doing.
[02:10:04.560 --> 02:10:05.300]  You did this.
[02:10:05.420 --> 02:10:06.441]  You are the info war.
[02:10:07.441 --> 02:10:24.003]   So I want to encourage listeners to understand, if we hadn't sold 10,000 coins in December, The first part of the three-part series of the Liberty Coin, we would not be able to be operating right now.
[02:10:25.184 --> 02:10:27.145]  We need to sell all three of the series.
[02:10:27.386 --> 02:10:29.447]  The third is being minted right now here in America.
[02:10:29.827 --> 02:10:32.549]  The second is here in our warehouse shipping out today.
[02:10:33.290 --> 02:10:34.611]  It will sell out the next week.
[02:10:34.631 --> 02:10:36.212]  It is the Liberty Tree edition.
[02:10:36.793 --> 02:10:39.435]  The blood of patriots and tyrants must be shed for freedom.
[02:10:40.979 --> 02:10:48.205]  It is available at InfowarsStore.com right now or 1776coin.com.
[02:10:49.146 --> 02:10:59.535]  And if we are able to stay on air and if we stop nuclear war and all this, in the next few months we're planning to do some very special things, very special projects for just the members.
[02:11:01.346 --> 02:11:02.947]  that are part of this.
[02:11:02.947 --> 02:11:04.706]  That's why it's called a founding member coin.
[02:11:04.706 --> 02:11:08.546]   But regardless, you're keeping us on air, and I want to thank you all for your support.
[02:11:08.546 --> 02:11:12.386]   Get your founding member, Liberty Tree, Thomas Jefferson coin.
[02:11:12.386 --> 02:11:17.947]   The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.
[02:11:17.461 --> 02:11:23.623]  It is an amazing coin that I did the concept on, that a great designer created, and this is powerful.
[02:11:23.763 --> 02:11:34.906]  This is history, and this is your chance to have a memento of your support of liberty and freedom that sits in your pocket, or on your mantel, or your desk, or wherever you want, and just to let you know that you kept us on air.
[02:11:34.926 --> 02:11:40.168]  Because as bad as things are, as crazy as things are, we can't give up right now.
[02:11:40.188 --> 02:11:43.969]  We gotta just full continue on in the fight.
[02:11:46.229 --> 02:11:47.950]  That's what you do at InfoWarsTore.com.
[02:11:48.050 --> 02:11:52.012]  Great books, great films, great t-shirts, great supplements, great shortwave radios.
[02:11:52.812 --> 02:11:54.813]  Air filtration, water filtration, it's all there.
[02:11:54.893 --> 02:11:56.994]  Big sale, biggest sale ever.
[02:11:58.975 --> 02:12:03.158]  75% off on some of the items, like t-shirts that are great t-shirts that we never promoted.
[02:12:03.178 --> 02:12:04.758]  They're just sitting there in our warehouse.
[02:12:05.299 --> 02:12:06.759]  And we're like, hey, we can't pay payroll.
[02:12:06.779 --> 02:12:09.021]  You need to sell these 50 t-shirts, Jones.
[02:12:09.041 --> 02:12:10.121]  You said make, you never push.
[02:12:10.461 --> 02:12:12.582]  I'm like, OK, sell them below cost.
[02:12:12.622 --> 02:12:13.343]  Get them out of the store.
[02:12:13.723 --> 02:12:14.423]  I need your help.
[02:12:14.503 --> 02:12:15.484]  Plus, these are great shirts.
[02:12:16.004 --> 02:12:17.666]  The only way we fail is if you don't take action.
[02:12:17.886 --> 02:12:24.605]   Infowarsstore.com for the t-shirts, books and films and supplements and 1776coin.com
[02:12:24.605 --> 02:12:26.206]  for the Liberty Tree coin.
[02:12:26.206 --> 02:12:41.806]   You know, it's a fact, and I'm not bragging when I say it, it's just true,
[02:12:42.365 --> 02:12:49.965]   that Infowars is seen by the globalists as the standard of human liberty, as the logo
[02:12:49.965 --> 02:12:55.645]   of human populist resistance against their transhumanist anti-human program.
