[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[01:55:50.729 --> 01:55:52.530]  And that's where the term originated.
[01:55:52.551 --> 01:55:55.693]  Some people think it originated with Turkey in the 2000s.
[01:55:55.713 --> 01:55:56.293]  That's not true.
[01:55:56.574 --> 01:56:11.285]  It originated in the West to describe England, to describe fascism, to describe the United States, and what Eisenhower himself called the military-industrial complex when he left in his exit address in 1961.
[01:56:11.325 --> 01:56:14.007]  So that's what Anton is talking about.
[01:56:14.567 --> 01:56:20.172]  The reason for the Axios piece, the reason for these other stories, is it's the deep state preparing to take out Trump.
[01:56:20.652 --> 01:56:25.652]   And so they tried to throughout his presidency, didn't impeach him just once, they impeached him twice,
[01:56:25.652 --> 01:56:31.771]   tried to get him indicted through Robert Mueller, tried to coerce and extort different policy promises
[01:56:31.771 --> 01:56:37.652]   during his presidency with the threat of Robert Mueller going after family members and friends and allies,
[01:56:37.652 --> 01:56:44.072]   was successful to use the Robert Mueller investigation and inquiry in order to remove General Flynn
[01:56:44.072 --> 01:56:49.271]   and his allies from the administration so the deep state could have more carte blanche control
[01:56:49.271 --> 01:56:52.072]  in terms of actual administrative policy on the grounds.
[01:56:52.072 --> 01:56:53.770]  They've all admitted this afterwards.
[01:56:53.770 --> 01:56:56.971]   Different generals have admitted that they lied and betrayed the president
[01:56:56.971 --> 01:57:00.411]   in terms of what was happening in Syria, that they lied and betrayed the president
[01:57:00.411 --> 01:57:03.891]   in terms of what was happening in Iran, that they lied and betrayed the president
[01:57:03.891 --> 01:57:07.652]   in terms of what was happening in Afghanistan, that they lied and betrayed the president
[01:57:07.652 --> 01:57:09.452]  about what was going on in Ukraine.
[01:57:09.597 --> 01:57:19.783]  Not only that, we now know, as Deborah Birx has freely and fully admitted in her little book tour, she lied repeatedly to the Trump administration in terms of COVID policy and lockdown policies.
[01:57:20.104 --> 01:57:23.566]  We already know Anthony Fauci did because he was caught lying just earlier this week.
[01:57:24.066 --> 01:57:36.152]  So these deep state actors were able to undermine the president's campaign and the president's actual ability to be the chief officer of the executive branch of the United States government.
[01:57:36.592 --> 01:57:38.933]  And then that culminated of course in the stolen election of 2020.
[01:57:40.114 --> 01:57:50.043]  They hoped that January 6th would be sufficiently explosive that they could use January 6th to permanently discredit Trump and permanently discredit Trump supporters.
[01:57:50.564 --> 01:57:57.651]  They believed some of the things that were being put up on social media message boards that this would truly get out of hand and they facilitated it.
[01:57:58.211 --> 01:58:01.492]  By withdrawing the number of security that should have been present.
[01:58:01.832 --> 01:58:03.873]  By not having the National Guard present.
[01:58:04.113 --> 01:58:04.754]  Same D.C.
[01:58:04.794 --> 01:58:08.655]  mayor now wants the National Guard to deal with illegal immigration being sent her way.
[01:58:09.115 --> 01:58:12.056]  Tells you what they were really up to.
[01:58:12.216 --> 01:58:14.197]  By actually provoking some of the incidents.
[01:58:14.237 --> 01:58:21.420]  By having instigators, informants, and infiltrators amongst the crowd to make sure it went in a certain direction.
[01:58:21.460 --> 01:58:23.761]  But it never got as violent as they wanted it to be.
[01:58:24.361 --> 01:58:27.283]  Most people are simply being charged with misdemeanor trespass.
[01:58:27.803 --> 01:58:33.986]  More than 99% of the people that went there aren't being charged with anything, because they didn't do anything wrong.
[01:58:34.527 --> 01:58:46.113]  There's very few people being charged with any kind of violence, and the only victims that day, in terms of dying, were people who were part of the rally, not anybody that was part of the Capitol Police.
[01:58:46.133 --> 01:58:52.097]  It was people that were killed by members of Capitol Police and others that were associated with security at the Hill.
[01:58:52.697 --> 01:58:54.118]  They thought that would take out Trump.
[01:58:54.158 --> 01:58:54.598]  Didn't work.
[01:58:55.078 --> 01:58:59.020]  So then they go next with the January 6th committee hearings and they hope that will take out Trump.
[01:58:59.260 --> 01:59:00.161]  It has not worked.
[01:59:00.621 --> 01:59:09.726]  That is why they're looking at escalating now to trying to maybe indict Trump with the Justice Department in the District of Columbia or the DA in Fulton County, Georgia, or both.
[01:59:10.848 --> 01:59:13.010]  Problem is, they don't have a case.
[01:59:13.571 --> 01:59:20.459]  It is your legal constitutional right to have your own electors, your own contingent set of electors, when you file an electoral contest.
[01:59:20.899 --> 01:59:27.707]  I was part of the President's election legal team in Georgia during a key part of that, and that is entirely constitutionally correct.
[01:59:28.007 --> 01:59:29.790]  That's not a crime by any stretch.
[01:59:30.350 --> 01:59:32.152]  So ultimately, that will fall apart.
[01:59:32.672 --> 01:59:36.055]  And then the question becomes, what do they try and do next?
[01:59:36.515 --> 01:59:43.421]  And the point of Michael Anton's article is that Trump and everybody around Trump should be prepared and ready to deal with that.
[01:59:43.982 --> 01:59:47.024]  But he also explains what the real objections are.
[01:59:47.865 --> 01:59:52.073]  Anti-Trump hysteria is, in the final analysis, not about Trump.
[01:59:52.634 --> 01:59:57.823]  The regime can't allow Trump to be president, just like they can't allow Alex Jones to be on the air.
[01:59:58.464 --> 02:00:00.047]  Not because of who he is.
[02:00:00.894 --> 02:00:04.896]  Although that greats them, but because of who his followers are.
[02:00:05.536 --> 02:00:16.302]  That class, the country class, must not be allowed representation by candidates who might implement their preferences, which also and above all must never be allowed.
[02:00:16.982 --> 02:00:24.266]  The rubes have no standing to affect the outcome of a political process because we are just the rubes and the elites are the ones who should govern.
[02:00:25.026 --> 02:00:30.447]  That's what the attacks on Trump are all about, just like that's what the attacks on Alex Jones are all about.
[02:00:30.827 --> 02:00:32.668]  It's an attack on you, the people.
[02:00:33.048 --> 02:00:43.150]  And that is why as long as you continue to hold the line and stay at the front of the line by supporting InfoWars at InfoWarsStore.com, their ability to break us won't happen.
[02:00:43.510 --> 02:00:45.791]  So hold the line, and we'll be back after the break.
[02:00:46.711 --> 02:00:50.112]  Welcome back to the Alex Jones Show, Robert Barnes guest hosting.
[02:00:50.993 --> 02:01:05.217]  A reminder to everybody, if you want to continue to support InfoWars, or simply find products you like, you need, you deserve to have, you can have at an affordable price, InfoWarsStore.com provides all of them, a wide range of products for anything.
[02:01:05.897 --> 02:01:13.879]  Most of these are products that you use on an everyday basis, so it's just getting the best quality for the best price, while also supporting InfoWars.
[02:01:14.139 --> 02:01:16.239]  It makes you healthier, wealthier, and wiser.
[02:01:16.259 --> 02:01:19.220]  It's the simplest, best choice you're probably ever going to make.
[02:01:19.680 --> 02:01:25.503]  And you are the front line that continues to protect InfoWars from the mass assault taking place.
[02:01:26.164 --> 02:01:45.234]  One of the stories that InfoWars constantly covered that other people said couldn't possibly be true is high-ranking elites running secret blackmail extortion rings involving underage and other criminal activity involving sexual deviancy and either young girls or others.
[02:01:45.874 --> 02:01:50.156]  Well, of course, we all now know that the Jeffrey Epstein case was no fake case.
[02:01:50.776 --> 02:01:51.677]  It was a real case.
[02:01:51.917 --> 02:01:58.760]  Now, of course, Epstein himself magically managed to kill himself in a prison cell that was designed so that you couldn't kill yourself.
[02:01:59.281 --> 02:02:03.143]  But, of course, we can't know it really happened because the cameras magically malfunctioned that day.
[02:02:03.883 --> 02:02:06.245]  Elaine Maxwell has now been convicted at trial.
[02:02:06.865 --> 02:02:12.029]  And the question is, what was in a black book that was introduced at trial but all the names redacted?
[02:02:12.449 --> 02:02:16.012]  Was it a black book that includes Jeffrey Epstein's client list?
[02:02:16.652 --> 02:02:23.117]  To understand the sort of further background of the Epstein dynamic is, Epstein may not have been the one to recruit Maxwell.
[02:02:23.257 --> 02:02:25.159]  She may have been the one to recruit him.
[02:02:25.899 --> 02:02:26.179]  Why?
[02:02:26.279 --> 02:02:36.406]  Because there were rumors for quite some time that Elaine Maxwell's father, Robert Maxwell, was involved in a range of illicit activities and spy services around the globe.
[02:02:36.546 --> 02:02:42.910]  Connected to MI6, connected to Mossad, connected to the KGB, connected to the CIA.
[02:02:43.251 --> 02:02:55.399]  He seemed to be sort of a deep state gray space man, a middle man if you will, operating at the behest and on the behalf of institutional insiders and intelligence services around the globe.
