[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[01:53:43.170 --> 01:53:51.328]   I just, you were thinking before Trump got that so-called peace deal that it was, that And I agree with you that they were planning an attack.
[01:53:51.648 --> 01:53:54.410]  Trump had given the order, but North Korea partially backed down.
[01:53:54.671 --> 01:53:57.212]  But I mean, remember, back at the time, you were thinking they were going to go ahead and do it.
[01:53:59.254 --> 01:54:04.898]  I don't recall that, Alex, because I never believed that Trump was actually going to use the military option.
[01:54:05.479 --> 01:54:06.599]  It was only a paper threat.
[01:54:06.619 --> 01:54:07.060]  Well, I'm wrong.
[01:54:07.100 --> 01:54:07.680]  I apologize.
[01:54:07.920 --> 01:54:09.241]  OK, well, you got a perfect record then.
[01:54:09.281 --> 01:54:10.843]  So what do you think happens next?
[01:54:11.683 --> 01:54:12.804]  He never did go through with that.
[01:54:12.864 --> 01:54:18.028]  But there is a threat related to North Korea that's coming up with the Taiwan situation with China.
[01:54:19.065 --> 01:54:21.867]  North Korea has said that if the U.S.
[01:54:22.427 --> 01:54:31.653]  intervenes militarily to stop China from taking Taiwan, that they will attack either South Korea or U.S.
[01:54:31.714 --> 01:54:33.635]  forces as a deterrent.
[01:54:33.975 --> 01:54:39.078]  So in other words, Pyongyang, Kim Jong-un has linked U.S.
[01:54:39.119 --> 01:54:54.254]   intervention to stop China from attacking Taiwan with a Attack on South Korea, and that could trigger World War Three, because you see, we would have to use tactical nuclear weapons to stop the overwhelming force that North Korea has in the South.
[01:54:55.455 --> 01:54:59.358]  They've got 60,000 artillery tubes pointed at Seoul.
[01:55:00.179 --> 01:55:04.323]  They've got, you know, a whole bevy of missiles that they could throw at us.
[01:55:04.403 --> 01:55:10.282]   Now the Air Force isn't much to talk about, but their missile forces are far superior to South Korea.
[01:55:10.282 --> 01:55:12.003]  They could even hit Guam.
[01:55:12.003 --> 01:55:17.842]   They could even hit US aircraft carriers steaming towards Taiwan.
[01:55:17.842 --> 01:55:22.802]   So this is a much more dangerous threat than the paper threat of Putin.
[01:55:22.802 --> 01:55:28.403]   And I recognize that Putin's threat was a paper threat when he talked about, you may be able to defeat us
[01:55:28.403 --> 01:55:31.023]  conventionally by NATO, and that just isn't true at all.
[01:55:31.023 --> 01:55:33.163]  NATO's a very weak conventional force.
[01:55:34.203 --> 01:55:39.203]   So what's gonna happen here is that, first of all, I don't think the US--
[01:55:39.241 --> 01:55:42.943]  can effectively defeat China if it decides to take Taiwan.
[01:55:44.043 --> 01:55:55.969]  With the missiles that they have in stock there on the coast opposite Taiwan, they could obliterate Taiwan's military forces in about a day.
[01:55:56.930 --> 01:56:03.273]  And then with their invasion forces, they could probably take Taiwan within a week.
[01:56:04.374 --> 01:56:13.472]   And so It would take the US two to three days to steam into that area to have an effective force, even though the airplanes could reach that sooner.
[01:56:13.832 --> 01:56:15.093]  So I don't think it's going to happen.
[01:56:15.634 --> 01:56:27.864]   And I think these two threats, Alex, by Putin about mentioning the nuclear possibility, and of South Korea, which we really fear, Because it is a real wild card.
[01:56:28.404 --> 01:56:31.626]  By them both threatening to intervene if the U.S.
[01:56:32.787 --> 01:56:38.590]  takes military action against either Russia or China, I think that's meant to simply ensure that we don't intervene.
[01:56:38.610 --> 01:56:39.790]  Because it's coming.
[01:56:42.411 --> 01:56:45.093]  What do you make of this China-Russia alliance?
[01:56:45.133 --> 01:56:47.554]  I mean, you said that that alliance really won't hold.
[01:56:47.594 --> 01:56:51.316]  We know, going back forever, Russia and China got a lot of enmity between each other.
[01:56:52.799 --> 01:56:53.360]  Well, that's right.
[01:56:53.400 --> 01:56:54.181]  And it's still there.
[01:56:54.281 --> 01:56:58.005]  And China really is afraid of, I'm sorry, Russia is really afraid of China now.
[01:56:58.125 --> 01:56:59.767]  They know that they're bigger, stronger.
[01:57:00.368 --> 01:57:03.031]  They aren't as technologically advanced as Russia.
[01:57:04.052 --> 01:57:11.401]  And, you know, I was really shocked at Mike Flynn's discussion with Tucker Carlson when he talked about Russia being a paper tiger.
[01:57:12.173 --> 01:57:22.798]  He's been drinking the Kool-Aid that the globalists have been feeding them and the National War College things, but Russia is anything but a paper tiger, either conventional or nuclear-wise.
[01:57:22.838 --> 01:57:24.639]  They've got a lot more missiles than China.
[01:57:25.059 --> 01:57:25.899]  They've got 15 warheads.
[01:57:25.939 --> 01:57:28.581]  So what do you make of Putin's pro-Christian talk?
[01:57:29.401 --> 01:57:30.762]  Well, first of all, let me answer the Putin question.
[01:57:30.582 --> 01:57:35.501]   and then Xi Jinping three-child policy now, and saying no sissy man on TV.
[01:57:35.501 --> 01:57:36.501]  Why do you think they're breaking?
[01:57:36.501 --> 01:57:38.702]  Oh, that's a big question, why I wanted you on.
[01:57:38.702 --> 01:57:44.242]   George Soros coming out and really doubling down, and now the FBI doubling down on China.
[01:57:44.242 --> 01:57:46.702]  They denied China was a threat before.
[01:57:46.702 --> 01:57:47.702]  Why are they admitting it now?
[01:57:47.702 --> 01:57:52.242]  Well, first of all, let me answer the Putin question.
[01:57:52.242 --> 01:57:57.761]   This is meant to deceive, this is a major propaganda effort to deceive conservatives
[01:57:57.761 --> 01:58:01.842]  in the United States into thinking that Putin is our savior.
[01:58:01.842 --> 01:58:05.082]   And I get emails all the time about Putin is against the new world order.
[01:58:05.082 --> 01:58:07.362]  Well, sure he's against the new world order.
[01:58:07.362 --> 01:58:13.841]   And he's been exposing at least partially the globalists in their support of ISIS in
[01:58:13.841 --> 01:58:16.121]  Syria, etc. by bombing those convoys.
[01:58:16.693 --> 01:58:23.158]  But the whole thing about Putin building churches and the support of Christianity is a total fraud.
[01:58:23.798 --> 01:58:31.064]  How many Americans would think that Clinton or Obama going to the National Cathedral and mentioning God was real?
[01:58:32.084 --> 01:58:33.165]  None of us would believe that.
[01:58:33.285 --> 01:58:48.330]   And yet when Putin, who is an atheist, who has never been religious, starts to make waves, I mean, you've got to remember that during the The Soviet days, the communists control all of the orthodox churches.
[01:58:48.770 --> 01:58:51.371]  They control all of the top hierarchy of the orthodox churches.
[01:58:51.391 --> 01:58:58.154]  So when Putin goes to Jerusalem and bows down to shrines of Jesus, you think that's all fake?
[01:58:59.075 --> 01:58:59.715]  It's all fake.
[01:59:00.015 --> 01:59:00.635]  It's all fake.
[01:59:00.995 --> 01:59:03.657]  I mean, you've got to remember, the Soviets are masters of deceit.
[01:59:05.060 --> 01:59:06.500]  I mean, let's wake up people.
[01:59:06.581 --> 01:59:08.401]  This, the communism never fell.
[01:59:08.901 --> 01:59:10.702]  They never lost their atheism.
[01:59:10.782 --> 01:59:12.562]  They're going to return to be as ruthless.
[01:59:12.702 --> 01:59:16.243]  I've even had a subscriber say, well, why doesn't Ukraine just give in?
[01:59:16.324 --> 01:59:18.344]  It's not so bad living under Russia today.
[01:59:18.364 --> 01:59:23.786]  And I said, well, boy, you ought to read the books I've read about what happens when Russia returns.
[01:59:24.306 --> 01:59:28.127]  And there's, they're even talking about prison camps for dissidents.
[01:59:28.747 --> 01:59:34.069]  If you want to be one of those prisoners, you know, you just go along with a better read than dead type scenario.
[01:59:34.690 --> 01:59:38.091]  But, you know, it's very unfortunate what's going on there.
[01:59:38.111 --> 01:59:44.994]  And Ukraine is very divided because there are the Russians in the eastern portion of Ukraine that are pro-Russia.
[01:59:45.714 --> 01:59:47.215]  And they've drunk the Kool-Aid too.
[01:59:47.255 --> 01:59:49.795]  They don't realize that the Soviet Union never really fell.
[01:59:50.636 --> 01:59:55.297]  They didn't even realize that it was a phony coup in 2014 during the Maidan Revolution.
[01:59:55.858 --> 02:00:02.220]  That it was Yanukovych that told the Berkut, the secret, the riot police to stay in their barracks and let the protesters win.
[02:00:02.944 --> 02:00:03.725]  I mean, how many times?
[02:00:03.745 --> 02:00:11.350]  That's like Barack Obama or the deep state letting Trump supporters walk through the White House and opening the doors.
[02:00:11.370 --> 02:00:13.952]  Of course, they did in large and not prosecuting.
[02:00:14.312 --> 02:00:16.234]  Well, I know this and I'm not saying you're wrong.
[02:00:16.254 --> 02:00:17.615]  And I think a lot of what you're saying is true.
[02:00:17.675 --> 02:00:21.437]  But Hollywood literally hates Rob Reiner, all of Putin.
[02:00:21.818 --> 02:00:24.339]  They literally hate at least his Christian rhetoric.
[02:00:24.560 --> 02:00:25.921]  And he is paying people to have kids.
[02:00:26.201 --> 02:00:28.663]  And that's a break with the Western elites.
[02:00:28.783 --> 02:00:31.905]  I mean, I think at least on the surface, we're seeing that.
[02:00:33.211 --> 02:00:36.776]  Yeah, but he's persecuting all of the Protestant churches.
[02:00:37.457 --> 02:00:42.284]  Seventh-day Adventists, Latter-day Saints, and others are just being persecuted and closed down.
[02:00:42.885 --> 02:00:44.527]  So, he's not a Christian.
[02:00:44.607 --> 02:00:47.812]  He's doing this to play to his own people.
[02:00:49.088 --> 02:00:51.409]  Well, let's shift gears to domestic when we come back.
[02:00:51.989 --> 02:00:53.570]  All right, final segment with Joel Skousen.
[02:00:53.590 --> 02:00:59.852]  I'm going to host a little bit in the next hour with Wayne Allyn Root, who just interviewed Trump today, and he invited me on to host with him.
[02:00:59.892 --> 02:01:00.853]  He's got some big news.
[02:01:01.213 --> 02:01:02.233]  Who knows what he brought to Trump.
[02:01:02.253 --> 02:01:08.576]  He's the one who's been challenging Trump to have an intervention to stop pushing this so-called vaccine that's really a poisonous gene therapy.
[02:01:08.596 --> 02:01:12.197]  But going back to the editor at worldaffairsbrief.com, Joel Skousen.
[02:01:12.237 --> 02:01:17.897]   Joel, the minutes we have left, the seven, eight minutes we have left, What do you make of the midterms?
[02:01:17.957 --> 02:01:26.524]  What do you make of Homeland Security coming out with a new report saying that unsanctioned news is creating terror?
[02:01:26.564 --> 02:01:31.469]  I mean, this reads like a joke, it's so authoritarian.
[02:01:32.089 --> 02:01:38.735]  And I've got the bulletin right here saying the main terror threat is right-wingers and those that question the election.
[02:01:39.315 --> 02:01:40.316]  What do you make of this?
[02:01:40.376 --> 02:01:42.097]  What do you think happens the next 273 days out of this midterm?
[02:01:45.723 --> 02:01:52.205]  Well, Alex, before I answer that, I want to make sure we get to the Reiner Fulmich announcements this week.
[02:01:52.905 --> 02:02:04.808]  But in terms of the election, it's very important to understand that even though if there were fair elections, it would be an absolute slaughter for the Democrats in the midterm elections and in 2024 if they keep Joe Biden as president.
[02:02:05.808 --> 02:02:08.169]  And Kamala Harris is the same thing.
[02:02:08.209 --> 02:02:09.429]  Nobody likes her or trusts her.
[02:02:09.449 --> 02:02:10.949]  She's a giggling idiot.
[02:02:13.951 --> 02:02:18.094]  There is still voter fraud and that's why they continue to push this scenario.
[02:02:18.534 --> 02:02:21.516]  Anyone who says there's a vote fraud is a domestic terrorist.
[02:02:21.676 --> 02:02:24.538]  And they're painting the picture because that's exactly what's going to happen.
[02:02:25.079 --> 02:02:28.801]  There hasn't been any significant changes because we still have computer voting.
[02:02:29.261 --> 02:02:37.347]  And even though the Democrats did an awful lot of ballot harvesting and ballot stuffing in the box, etc.
[02:02:38.303 --> 02:02:44.268]  They've still got the secret weapon, which has never been fully exposed by any of the books on this, is with vote fraud.
[02:02:44.308 --> 02:02:47.510]  They can split votes, they can switch votes, they can make votes disappear.
[02:02:48.751 --> 02:02:54.436]  Like the Edison data clearly showed, which Trump did not use, which Giuliani did not use to go before.
[02:02:54.516 --> 02:02:59.460]  It was the only evidence we had quantitatively of the vote fraud, but nobody used it.
[02:02:59.720 --> 02:03:02.522]  It was just an incredibly sad story.
