[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[02:31:32.721 --> 02:31:33.901]  It's disgusting.
[02:31:33.901 --> 02:31:36.002]  The media continues to misrepresent.
[02:31:36.542 --> 02:31:37.203]  What I've said.
[02:31:37.203 --> 02:31:40.245]  He may be America's best known conspiracy theorist.
[02:31:40.245 --> 02:31:44.208]  Alex Jones has the largest audience in the country.
[02:31:44.208 --> 02:31:46.149]  Bigger than any of the networks.
[02:31:46.149 --> 02:31:48.311]  The biggest megaphone in the country.
[02:31:48.311 --> 02:31:53.315]  We're gonna get fired up about the real things!
[02:31:53.315 --> 02:31:56.217]  The things that matter!
[02:31:56.217 --> 02:31:58.999]  Burn in hell, New World Order.
[02:31:58.999 --> 02:31:59.799]  InfoWars.
[02:31:59.799 --> 02:32:01.561]  Tomorrow's news.
[02:32:01.561 --> 02:32:02.401]  Today.
[02:32:02.401 --> 02:32:03.262]  This is their big move.
[02:32:04.153 --> 02:32:07.957]  So yeah, you say, why doesn't Biden address the disasters in the United States?
[02:32:07.957 --> 02:32:09.659]  He doesn't care.
[02:32:09.659 --> 02:32:10.900]  That's not his job.
[02:32:10.900 --> 02:32:12.662]  He's not the president of the United States.
[02:32:12.662 --> 02:32:16.526]  He's a puppet operating for the globalists.
[02:32:16.526 --> 02:32:21.011]  Appetites of the autocrat cannot be appeased.
[02:32:21.011 --> 02:32:22.132]  They must be opposed.
[02:32:22.745 --> 02:32:26.167]  Autocrats only understand one word.
[02:32:26.167 --> 02:32:27.347]  No.
[02:32:27.347 --> 02:32:28.188]  No.
[02:32:28.188 --> 02:32:28.948]  No.
[02:32:28.948 --> 02:32:29.848]  Exactly.
[02:32:29.848 --> 02:32:33.410]  And that's why we say no to your vaccines.
[02:32:33.410 --> 02:32:36.511]  We say no to you shutting down our businesses.
[02:32:36.511 --> 02:32:39.013]  We say no to you taking our firearms.
[02:32:39.013 --> 02:32:41.494]  We say no to you censoring our free speech.
[02:32:41.494 --> 02:32:45.116]  We say no to you selling us out to the World Health Organization.
[02:32:45.116 --> 02:32:47.637]  We say no to you getting us into World War III.
[02:32:47.637 --> 02:32:48.037]  You're right.
[02:32:48.317 --> 02:32:58.927]  We stand against autocrats like you, Joe Biden, and we say no, and we say no to your war.
[02:32:58.927 --> 02:33:03.551]  Leading a frontal assault on the lies of the New World Order.
[02:33:03.551 --> 02:33:04.833]  It's Alex Jones.
[02:33:16.241 --> 02:33:19.464]  You've found it, the tip of the spear.
[02:33:19.464 --> 02:33:25.588]  It is the Alex Jones Show with Owen Troyer.
[02:33:25.588 --> 02:33:44.543]  Alright ladies and gentlemen, let me just kind of hit the reset button here live on the InfoWars live transmissions for today because I'm going to be with you the remainder of our live transmissions for the day, finishing up here on the Alex Jones Show and going right into the War Room.
[02:33:44.543 --> 02:33:44.683]  Now,
[02:33:45.618 --> 02:33:56.443]  I'm going to get into some news that I want to cover here, but for the entire fourth hour today, I'm going to be taking your calls on a specific question.
[02:33:56.443 --> 02:33:57.844]  On a specific question.
[02:33:57.844 --> 02:34:01.686]  So don't call in on anything else.
[02:34:01.686 --> 02:34:03.927]  It's going to be a specific question.
[02:34:03.927 --> 02:34:04.427]  I'll ask it.
[02:34:05.919 --> 02:34:23.675]  In the next segment, when I open up the phone lines, unless... I mean, what... I'd rather have you not sitting on the phone line for 20 minutes, but if that's easier for the crew, would you guys rather me open up the phone lines now or in the next segment?
[02:34:23.675 --> 02:34:26.838]  We'll do it in the next segment, because I don't want people sitting on the phone line for too long.
[02:34:26.838 --> 02:34:29.620]  So, next segment, opening up the phone lines with a specific question.
[02:34:29.620 --> 02:34:31.802]  I'll tell you that in a second.
[02:34:32.819 --> 02:34:35.661]  And on the War Room today, we do have some special guests.
[02:34:35.661 --> 02:34:37.843]  It's the Veterans Call-In Show today.
[02:34:37.843 --> 02:34:42.227]  So we've got some special guests, Pete Santilli and others, and we're going to be taking calls from veterans there.
[02:34:42.227 --> 02:34:51.154]  And I'm going to go back into the Trump News at that point and just kind of reset and do a whole new show with the War Room.
[02:34:51.154 --> 02:34:56.458]  But I will be getting into the latest breaking news with the Trump developments.
[02:34:56.458 --> 02:34:59.221]  And I will tell you the question I want to have callers call in with.
[02:35:00.484 --> 02:35:01.405]  In the next segment.
[02:35:01.405 --> 02:35:16.101]  But before I do that, let's just quickly take a look at some other stuff that is going on that I think we are forgetting about or not thinking about.
[02:35:16.101 --> 02:35:22.027]  And this might seem trivial, and you may have seen this headline,
[02:35:23.208 --> 02:35:25.530]  And we all know the story.
[02:35:25.530 --> 02:35:34.035]  Jennifer Aniston says a whole generation now finds friends offensive.
[02:35:34.035 --> 02:35:35.276]  Do you think much about that?
[02:35:35.276 --> 02:35:36.157]  Does that bother you?
[02:35:36.157 --> 02:35:41.741]  Do you really think about the implications of this or what it means?
[02:35:41.741 --> 02:35:43.542]  I do.
[02:35:43.542 --> 02:35:44.763]  And it actually scares me.
[02:35:47.455 --> 02:35:54.257]  Now, Friends was probably the second most popular TV show in its time behind Seinfeld, I'm guessing.
[02:35:54.257 --> 02:35:54.717]  I don't know.
[02:35:54.717 --> 02:36:01.898]  It was Friends and Seinfeld, top TV shows for sitcoms, probably of all time.
[02:36:01.898 --> 02:36:10.841]  And I don't think anybody ever found Friends offensive at the time.
[02:36:10.841 --> 02:36:11.981]  So why is now
[02:36:13.854 --> 02:36:21.739]  What was a beloved popular sitcom from the 90s considered offensive.
[02:36:21.739 --> 02:36:34.926]  Because what has been done to the youth is that humor has somehow been beaten out of their minds and their consciousness and their souls.
[02:36:34.926 --> 02:36:36.968]  And so they don't find humor anymore.
[02:36:36.968 --> 02:36:38.489]  They don't look for humor.
[02:36:38.489 --> 02:36:40.310]  It can't even come naturally to them.
[02:36:41.431 --> 02:36:58.238]  Because they're told all these different prerequisites about racism and bigotry and ableism and all this stuff that now jokes aren't funny, jokes are offensive!
[02:36:58.238 --> 02:37:06.102]  Now aside from robbing an entire generation of humans the ability to have a sense of humor
[02:37:07.472 --> 02:37:15.935]  Or the enjoyment that humor can bring out of life, even in your darkest moments, humor can still lift you up.
[02:37:15.935 --> 02:37:19.217]  Humor can still brighten your darkest days.
[02:37:19.217 --> 02:37:28.860]  And they have removed our tendency towards humor and replaced it with a tendency towards being offended.
[02:37:28.860 --> 02:37:35.323]  But I think it's worse than just denying an entire generation of children humor.
[02:37:38.271 --> 02:37:55.795]  Now you've got a situation where one of the great weapons used against tyranny, one of the great weapons used against lies, humor, comedy, is no longer going to be effective.
[02:37:55.795 --> 02:38:00.876]  Think about that.
[02:38:00.876 --> 02:38:02.016]  That's scary.
[02:38:02.016 --> 02:38:03.957]  Because now you're talking about language.
[02:38:05.501 --> 02:38:07.002]  No longer being effective.
[02:38:07.002 --> 02:38:23.071]  Now you're talking about genuine organic emotions not being effective and now everything being trained with a stimuli to get a desired outcome.
[02:38:23.071 --> 02:38:28.114]  In other words, you're not laughing at the friend's joke on TV.
[02:38:28.114 --> 02:38:33.417]  You find it offensive because it targets an other or a group.
[02:38:35.089 --> 02:38:43.757]  And now this is how you're critically thinking about everything going through life instead of finding the joy in life and the humor in life.
[02:38:43.757 --> 02:38:48.081]  And then you no longer can see irony.
[02:38:48.081 --> 02:38:51.745]  And then you can no longer see double standards.
[02:38:51.745 --> 02:38:57.891]  And then you no longer have any ability to self-reflect or have self-awareness.
[02:38:57.891 --> 02:38:59.993]  Because after all, what's the greatest joke of all?
[02:39:01.092 --> 02:39:04.375]  If you can't laugh at yourself, you're missing out on the greatest joke of all.
[02:39:04.375 --> 02:39:28.793]  So now this has all been removed, and you've set up a situation where an entire generation not only can't even comprehend, understand, or enjoy humor, or having a sense of humor, they are now these emotionless, mindless blobs that are going to be easily manipulated and deceived
[02:39:30.262 --> 02:39:34.184]  Into becoming mindless zombie slaves.
[02:39:34.184 --> 02:39:36.244]  And that's what you are seeing.
[02:39:36.244 --> 02:39:45.388]  So it's not about, wow, this sucks, we can't even enjoy old 90s TV or humor or anything anymore.
[02:39:45.388 --> 02:39:59.234]  No, this is, what you're witnessing is essentially a psychological lobotomy of an entire generation now that has had their sense of humor trained out of them.
[02:40:00.836 --> 02:40:08.622]  And once you lose your sense of humor, you can no longer recognize a lot of different things in life.
[02:40:08.622 --> 02:40:24.954]  Once you can no longer find the humor in life, you miss out on a lot of angles and perspectives, and you lose your ability to self-reflect and have self-awareness.
[02:40:24.954 --> 02:40:26.916]  And so, that's why this is scary to me.
[02:40:29.215 --> 02:40:47.097]  Not only does it sadden me that we could have an entire generation of Americans left humorless, it saddens me because now their minds are going to be so lobotomized that they not only won't understand humor or irony,
[02:40:48.098 --> 02:40:54.480]  It becomes a point where they can't even recognize fact from fiction.
[02:40:54.480 --> 02:41:02.062]  All they can recognize is whether or not something is offensive, or bigoted, or transphobic, or homophobic.
[02:41:02.062 --> 02:41:06.123]  Because that has been their training.
[02:41:06.123 --> 02:41:10.844]  So now you approach everything you see in the world with, is it offensive?
[02:41:10.844 --> 02:41:11.724]  Is it not offensive?
[02:41:11.724 --> 02:41:12.325]  Who does it offend?
[02:41:12.325 --> 02:41:15.465]  Who does it not offend?
[02:41:15.465 --> 02:41:17.026]  And as soon as you look at the world like that,
[02:41:19.022 --> 02:41:22.684]  Your entire worldview can be manipulated.
[02:41:22.684 --> 02:41:27.187]  Your entire mind can be deceived.
[02:41:27.187 --> 02:41:40.876]  And you are turned into a zombie slave that will wear a face mask when you're told to, take a vaccine when you're told to, shut down your business, lock yourself in your house when you're told to.
[02:41:40.876 --> 02:41:47.541]  And even when your mind has been erased, there's been one edge, there's been one opening that humans have used
[02:41:49.431 --> 02:41:59.374]  To still crack inside of it and give it an opening for a vision, for a perspective that they didn't have before, and that has been comedy.
[02:41:59.374 --> 02:42:02.715]  That has been humor.
[02:42:02.715 --> 02:42:06.075]  And now the left is removing it.
[02:42:06.075 --> 02:42:10.137]  Anything that is a threat to the left establishment, just like in 1984,
[02:42:12.111 --> 02:42:19.315]  Anything that is a threat to the leftist, centralized, authoritarian establishment will be eliminated.
[02:42:19.315 --> 02:42:21.577]  Humor is a threat to them.
[02:42:21.577 --> 02:42:24.338]  So that's why they're eliminating it.
[02:42:24.338 --> 02:42:27.440]  And that's why they're telling kids that everything is offensive.
[02:42:27.440 --> 02:42:35.085]  So you can't even wear a Halloween costume, you can't even make a joke, you can't say this, you can't do that, it's all offensive.
[02:42:35.085 --> 02:42:40.208]  And now you've got children like you saw in the movie Equilibrium,
[02:42:41.474 --> 02:42:56.082]  Or like you saw in Nazi Germany, that will turn their parents in because they have been turned into these mindless, emotionless zombies that only respond to stimuli of is it offensive or is it not.
