[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[01:57:06.534 --> 01:57:14.176]  I mean, to me, this is like a big, a big punch to the backside, the blind side of your head, a quarterback getting sacked from the blind side.
[01:57:14.196 --> 01:57:17.337]  And I don't think the American people realize what's about to happen here.
[01:57:18.931 --> 01:57:22.373]  Well, I don't know what's really going to happen either after all this comes to light.
[01:57:22.393 --> 01:57:36.481]   This is exactly why the politicians of the United States, specifically in the House, the Senate, and the bureaucrats, have all been trying to kick the can down the road for as long as they can, because I don't think anybody quite understands How this is going to play out.
[01:57:36.501 --> 01:57:39.964]  And this is why it's so important for the United States to take the lead right now.
[01:57:40.365 --> 01:57:41.325]  Admit that there's a problem.
[01:57:41.365 --> 01:57:42.526]  Admit that they screwed up.
[01:57:42.987 --> 01:57:45.709]  And take care of our issues in clean house.
[01:57:46.129 --> 01:57:53.456]  A simple way to solve these issues would be for the FBI to go and arrest Dr. Anthony Fauci, Dr. Peter Daszak, Dr. Ian Lipkin.
[01:57:53.836 --> 01:57:58.920]  Start there and bring charges against these people through the Department of Justice for negligent homicide.
[01:57:58.940 --> 01:58:00.702]  I think that'd be very easy to prove.
[01:58:01.242 --> 01:58:03.064]  Now, the problem is why they don't want to do that?
[01:58:03.104 --> 01:58:10.310]  Well, Dr. Daszak will probably go back and say, well, I was working with the CIA and the intelligence community and the Department of Defense, and you guys asked me to do all this stuff.
[01:58:10.790 --> 01:58:11.651]  But here's the thing.
[01:58:11.691 --> 01:58:13.352]  That doesn't absolve him from anything.
[01:58:13.392 --> 01:58:14.733]  Just because the government, the U.S.
[01:58:14.753 --> 01:58:20.218]  government, asked him to do something that was nefarious, bad judgment, violate U.S.
[01:58:20.839 --> 01:58:23.881]  policy norms and best practices, it doesn't absolve him.
[01:58:23.901 --> 01:58:29.686]  Because the government has every legal right to come ask you to do something stupid or illegal, it doesn't mean that you have to agree with it.
[01:58:30.328 --> 01:58:31.332]  And at the end of the day...
[01:58:32.199 --> 01:58:34.380]  All roads lead back to the Department of Defense.
[01:58:34.420 --> 01:58:42.582]  So, the Emergency Use Authorization for the mRNA jabs was initiated through wartime procurement acts at the Department of Defense.
[01:58:42.642 --> 01:58:56.127]  So, it's a wartime procurement act that basically gives the Department of Defense the ability to go to Pfizer, to go to Moderna and say, we need this product, we're going to grant you immunity, and that's when production begins and that's how they get the Emergency Use Authorization.
[01:58:56.167 --> 01:58:59.968]  It wasn't through NIH, it wasn't through NIAID, even though they're the ones who execute it.
[01:59:00.791 --> 01:59:11.034]  Why do you think we see all the bureaucracy and the mainstream media now telling us that it came out of China, but the Biden White House is saying, no, we don't think it came out of China.
[01:59:11.394 --> 01:59:15.555]  Do you think that's them kind of leaving China and out that they can still change the narrative?
[01:59:15.935 --> 01:59:21.517]  Or do you think the White House is now not really operating in lockstep with the rest of the corrupt bureaucracy?
[01:59:22.918 --> 01:59:26.740]  Well, I think our strategy and the psychological operation that we've been waging back against the U.S.
[01:59:26.780 --> 01:59:27.521]  government is working.
[01:59:28.301 --> 01:59:32.944]  All the agencies, and it's going further up the food chain, they're turning against the White House.
[01:59:32.984 --> 01:59:35.886]  I think that's what we're seeing here because nobody wants to be held accountable.
[01:59:36.546 --> 01:59:44.852]  And the White House wants to continue the psychological operation from their perspective, which is to cast uncertainty, doubt, and fear into the situation.
[01:59:45.112 --> 01:59:46.292]  The problem is nobody's buying it.
[01:59:46.553 --> 01:59:50.155]  So they're running out of maneuvers or chess moves, so to speak.
[01:59:50.936 --> 02:00:07.449]   The longer that this continues so more and more of the truth keeps to come out the mainstream media is Increasingly reporting the truth and you know, I don't know when this is gonna end But I think this is all gonna blow up within the next three or four months or so Well, at this rate, I mean, the story's not going to go away.
[02:00:08.250 --> 02:00:16.077]  And now that the narrative is back in play and being promoted that it came out of China, I mean, the American people, again, we were censored.
[02:00:16.157 --> 02:00:17.037]  We were demonized.
[02:00:17.758 --> 02:00:19.680]  Doctors had their careers ruined.
[02:00:19.920 --> 02:00:22.922]  You know, I mean, all this stuff that went down and then they get proven right.
[02:00:23.803 --> 02:00:32.746]  This is just going to re-flare up these issues, these scars, specifically, I think, in the medical community from the doctors that got punished with this for calling out the truth.
[02:00:33.166 --> 02:00:39.129]  So, I mean, this is basically just like, you know, trying to ride the bull now that's bucking up and down.
[02:00:39.269 --> 02:00:48.332]  And I guess, yeah, the reason why the White House and the bureaucracies are kind of not in lockstep is because everybody's kind of looking around their shoulder like, okay, who's going to get the blame for this?
[02:00:48.372 --> 02:00:49.232]  I hope it's not us.
[02:00:49.632 --> 02:00:51.213]  Final comments, Dr. Andrew Huff.
[02:00:52.583 --> 02:01:01.008]  It'd be real simple for the President to stand up, President Biden stand up and say, we made a mistake and correct all these issues, instruct the Department of Justice and the FBI to go prosecute these individuals.
[02:01:01.609 --> 02:01:03.890]  And through those prosecutions, I think the truth would all come out.
[02:01:05.211 --> 02:01:05.852]  Boy, oh boy.
[02:01:05.892 --> 02:01:10.755]  Do you really think they would burn one of their greatest agents, Anthony Fauci, of all time?
[02:01:10.815 --> 02:01:14.217]  I mean, imagine the skeletons and imagine the bodies that he knows where they're buried.
[02:01:15.569 --> 02:01:16.950]  Well, is anybody going to listen to him?
[02:01:17.190 --> 02:01:18.031]  I mean, think about it.
[02:01:18.051 --> 02:01:21.913]  So once there's criminal charges brought against him, the U.S.
[02:01:21.933 --> 02:01:35.843]  government's ability to censor him and restrict what he can do, you know, if he's actually even released, you know, on bail, they can bar him from speaking with the media or a number of other, there's a number of other things that the U.S.
[02:01:35.863 --> 02:01:36.463]  government can do.
[02:01:36.503 --> 02:01:42.767]  And, you know, if they want to be sneaky about it like they did with everybody else, they can just do it through, you know, back channels with the tech industry.
[02:01:42.827 --> 02:01:45.389]  I mean, there's ways to restrict his ability to have a voice.
[02:01:46.530 --> 02:01:46.950]  So, wow.
[02:01:46.990 --> 02:01:53.534]  So now you may have a situation where Fauci and Daszak may have to start operating on their own terms to try to protect themselves.
[02:01:55.116 --> 02:01:56.657]  I think that's where this is headed.
[02:01:57.517 --> 02:01:57.797]  Wow.
[02:01:58.057 --> 02:01:58.978]  Amazing stuff.
[02:01:59.779 --> 02:02:01.800]  Great segments here with Dr. Andrew Huff.
[02:02:02.440 --> 02:02:03.321]  Thank you for joining us.
[02:02:03.361 --> 02:02:05.923]  Where can people follow for the latest breaking news from you?
[02:02:07.553 --> 02:02:09.174]  I'm on Twitter, AG Huff.
[02:02:09.355 --> 02:02:11.176]  I just broke 100,000 followers today.
[02:02:11.236 --> 02:02:11.896]  It's sort of surreal.
[02:02:11.916 --> 02:02:13.317]  I've only been at it for a year and a half.
[02:02:13.337 --> 02:02:14.318]  I was anti-social media.
[02:02:14.338 --> 02:02:17.100]  I'm also on Getter, AG Huff and Truth Social.
[02:02:18.661 --> 02:02:21.383]  All right, Dr. Andrew Huff, thank you for your time today.
[02:02:21.423 --> 02:02:21.963]  Appreciate it.
[02:02:22.003 --> 02:02:22.444]  Great stuff.
[02:02:23.609 --> 02:02:24.049]  Good seeing you.
[02:02:24.709 --> 02:02:31.552]  All right, ladies and gentlemen, I've got one more segment here hosting the Alex Jones Show, and then I'll be back hosting the War Room.
[02:02:31.692 --> 02:02:36.294]  Plenty of news and more guests coming up today on InfoWars.
[02:02:36.354 --> 02:02:37.874]  Do not go anywhere.
[02:02:39.015 --> 02:02:44.737]  Well, Democrats, liberals censoring their opposition continues.
[02:02:46.438 --> 02:02:52.700]  Mike Lee, Senator Mike Lee, has just been suspended from Twitter.
[02:02:53.536 --> 02:02:54.457]  I forget what it was.
[02:02:54.917 --> 02:02:55.778]  What did he do today?
[02:02:56.018 --> 02:02:57.119]  Someone in the crew may remind me.
[02:02:57.319 --> 02:02:59.240]  What was it he did today that angered him so much?
[02:03:00.181 --> 02:03:01.742]  He did something this morning that angered him.
[02:03:01.802 --> 02:03:02.702]  I saw it in the news.
[02:03:02.722 --> 02:03:04.604]  I just didn't print the story.
[02:03:05.484 --> 02:03:06.325]  So there you go.
[02:03:06.345 --> 02:03:08.206]  The censorship by the tyrants continues.
[02:03:09.367 --> 02:03:11.508]  The censorship by the fascists continues.
[02:03:12.389 --> 02:03:16.492]  They don't like free speech at all, do they?
[02:03:18.322 --> 02:03:18.862]  Here you go.
[02:03:19.182 --> 02:03:20.363]  Mike Lee from earlier today.
[02:03:20.403 --> 02:03:21.383]  We may have to play this clip.
[02:03:21.403 --> 02:03:23.884]  In fact, how long is this clip that we have on the screen, guys?
[02:03:26.085 --> 02:03:29.687]  Let's bring that into the can and I'm going to play this clip coming up.
[02:03:29.727 --> 02:03:30.707]  This is probably why they banned him.
[02:03:31.187 --> 02:03:32.888]  They didn't like what he brought up in the hearing today.
