[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[02:23:05.138 --> 02:23:07.799]  Let's take the power away from the elites.
[02:23:07.799 --> 02:23:13.982]  Let's put it back into the hands of the people, because we the people can live peaceably with
[02:23:14.022 --> 02:23:14.222]  Thank you.
[02:23:44.276 --> 02:23:50.359]  I think it's to get your new book, The Great Awakening, our new book, The Great Awakening.
[02:23:50.359 --> 02:23:57.123]  Read it and understand it because these globalists can only exist
[02:23:58.021 --> 02:24:14.551]  When we are unaware of what they do, if we are able to understand their plans, and that's why it was so great to work with you on this, because, you know, even though I've written a number of books, as you can see behind me, about various aspects of corruption, I didn't understand all of the things.
[02:24:14.551 --> 02:24:18.673]  I mean, it was such an education working with you, getting your perspective on things.
[02:24:19.153 --> 02:24:22.636]  You know, we've got over 400 references in the book.
[02:24:22.636 --> 02:24:33.286]  So this book is really a deep dive for maybe people who like to, you know, read more than maybe watch the videos or they want to go deeper on it.
[02:24:33.286 --> 02:24:39.251]  So I just I feel like in these times in which people are so scared, you know,
[02:24:40.191 --> 02:24:55.455]  Connect to God, connect to the sacred source and say, all right, what can I do calmly with a rational mind in order to be helpful to the world rather than just to be panicked?
[02:24:55.695 --> 02:25:00.498]  And by the way, you wrote Ending Plague and some of Mickiewicz's books with her.
[02:25:00.498 --> 02:25:09.883]  That was really the blueprint early on in the pandemic that Mickey Willis and others used to just totally break out, and that also Robert F. Kennedy Jr.
[02:25:09.883 --> 02:25:13.566]  used as a research blueprint to then write The Real Anthony Fauci.
[02:25:13.566 --> 02:25:17.068]  So, when you helped me write just one chapter on
[02:25:17.768 --> 02:25:26.738]  COVID, it's the most concise, boiled down, most knowledgeable info of its origin, what it really does, what the shot does, you're going to find.
[02:25:26.738 --> 02:25:31.263]  And we probably had, let's not exaggerate, what do you think?
[02:25:31.263 --> 02:25:34.407]  Probably 60 interviews over the phone.
[02:25:34.407 --> 02:25:35.067]  We probably did
[02:25:36.930 --> 02:25:37.491]  We're good to go.
[02:26:01.147 --> 02:26:02.588]  Three weeks ago and went to print immediately.
[02:26:02.588 --> 02:26:03.849]  Now it's in our warehouse.
[02:26:03.849 --> 02:26:08.793]  Talk about quick turnaround with the great folks at Skyhorse, the First Amendment juggernaut.
[02:26:08.793 --> 02:26:19.442]  I thought it was a great book, but once I got it in last week and started signing copies of it and getting it ready to ship out and I re-read it over the last five days, I am really proud of this book.
[02:26:19.442 --> 02:26:22.604]  So great job, Kent, helping me vet all my research.
[02:26:24.045 --> 02:26:28.249]  I just off the top of my head said four times the work on this book than the last one.
[02:26:28.249 --> 02:26:31.712]  Contradict me if it's twice, five times, what you really think.
[02:26:31.712 --> 02:26:38.298]  And then I made a lot of crazy claims to you and you said 99% of them you could actually find were actually accurate.
[02:26:38.298 --> 02:26:45.024]  And then the few times I just kind of twisted something or flipped it and got it backwards, then we were able to find out what I was actually saying.
[02:26:45.024 --> 02:26:46.445]  What was the process like of the book?
[02:26:46.445 --> 02:26:47.186]  Let's talk about what's in it.
[02:26:48.772 --> 02:27:00.980]  Yeah, so what was great, and I really want your audience to know this, I never found you telling me a single thing that I couldn't find a source that kind of went along with that.
[02:27:00.980 --> 02:27:10.787]  Now, the only like three to four percent of the time, you know, there was something that I didn't trust about the source, but I was really clear that you had heard it, and
[02:27:11.367 --> 02:27:15.710]  You know, when people ask me, what's it like writing for Alex Jones?
[02:27:15.710 --> 02:27:29.117]  I say, the man has an incredible memory, recall, you know, I'll say something like, well, gee, you know, really get me this David Rockefeller, China relationship and you'll go.
[02:27:29.781 --> 02:27:47.632]  Well, Kent, you know, go to the New York Times, 1973, you know, January, and suddenly I type it in and I find, you know, David Rockefeller talking about what a wonderful place China is, even though they just went through the Cultural Revolution where they killed millions.
[02:27:47.632 --> 02:27:51.314]  And so it was really what was great for me.
[02:27:51.314 --> 02:27:54.736]  Well, he endorsed Mao Zedong and said, we need to be like this.
[02:27:54.736 --> 02:27:54.936]  Yeah.
[02:27:56.383 --> 02:28:05.376]  Yeah, and so every time you would tell me something that I'd go, hey, I wonder if that's a little bit too far.
[02:28:05.376 --> 02:28:11.005]  Like the one on Nygaard and them having women have babies so they could drain their juices and inject them in themselves.
[02:28:12.335 --> 02:28:32.526]  Yeah, and so every time you would tell me something, you know, I would just think to myself a little bit, okay, maybe that's a little bit on the edge, maybe that's a different interpretation than I would make, but I would go to the source and I'd go, no, I think Alex is 100% rock solid on it.
[02:28:32.526 --> 02:28:38.429]  And so, you know, what I was able to do, because I'm trained as a lawyer, so I want to go facts first and then
[02:28:39.290 --> 02:28:40.931]  Where were you when humanity was fighting for its life?
[02:29:02.645 --> 02:29:07.827]  Where were you when the globalists were caught trafficking millions of children for sex slavery worldwide?
[02:29:07.827 --> 02:29:11.268]  Where were you when the New World Order was starting World War III with Russia?
[02:29:11.268 --> 02:29:12.349]  Well, I know where you are.
[02:29:12.349 --> 02:29:16.810]  You're watching and listening to Infowars.com right now, and I salute you and thank you.
[02:29:16.810 --> 02:29:22.693]  And I want to encourage all of you who've been in this fight so long to realize we've reached the critical juncture in the battle now.
[02:29:23.373 --> 02:29:24.054]  We're good to go.
[02:29:38.909 --> 02:29:39.170]  We're good.
[02:29:57.990 --> 02:30:02.493]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned!
[02:30:02.493 --> 02:30:10.878]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you!
[02:30:10.878 --> 02:30:22.806]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality processes and has applications for both preparedness and regular use.
[02:30:23.126 --> 02:30:34.361]  Concentrated to 30 parts per million in a pure base of deionized water, this survival silver is the perfect fit for you and your family's routine and emergency supply.
[02:30:34.361 --> 02:30:39.908]  Paloidal Silver is an amazing natural product that can assist your body's many healing processes.
[02:30:40.188 --> 02:30:48.415]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited-time offer of $10 off.
[02:30:48.415 --> 02:30:57.964]  Try InfoWars Life Silver Bullet Colloidal Silver today, available right now at InfoWarsStore.com.
[02:30:57.964 --> 02:31:03.989]  My fellow Patriots, the Trafecta has not been in stock for years.
[02:31:03.989 --> 02:31:05.190]  Many of these products have been sold out
[02:31:05.947 --> 02:31:06.267]  I think so.
[02:31:23.815 --> 02:31:28.957]  All three of these products are back in stock, right now, for a limited time, at 40% off.
[02:31:28.957 --> 02:31:35.640]  It would take me an hour to tell you about what's in DNA Force+, or Real Red Pill+, or Body's Ultimate Turmeric Formula.
[02:31:35.640 --> 02:31:43.364]  Go to InfoWarsStore.com, read about these products, find out why they're so game-changing, and get yours today.
[02:31:43.364 --> 02:31:49.807]  DNA Force+, Real Red Pill+, Body's Ultimate Turmeric Formula, all three back in stock,
[02:31:50.467 --> 02:31:56.836]  It's the Trifecta Sale, 40% off for a limited time at InfoWarsTore.com, and it keeps us on air.
[02:31:58.018 --> 02:32:04.383]  The globalists aren't just targeting us through the poison shots or the electromagnetic 5G or the GMO crops.
[02:32:04.383 --> 02:32:10.829]  They're hitting us with hundreds of chemicals that the EPA has authorized companies and industry to use.
[02:32:10.829 --> 02:32:14.172]  One of the top pesticides used is Atrazine.
[02:32:14.172 --> 02:32:23.339]  The allowable level the government admits that they allow to be in your water supply is enough to sterilize you and basically turn your son into a feminized mutant.
[02:32:23.339 --> 02:32:23.800]  Look it up.
[02:32:24.420 --> 02:32:25.781]  Don't let them do this to your family.
[02:32:25.781 --> 02:32:29.003]  We have the very best gravity-fed filter system out there.
[02:32:29.003 --> 02:32:32.145]  Highest rated at half the price of leading competitors.
[02:32:32.145 --> 02:32:34.466]  The Alexa Pure, ready to ship to you right now.
[02:32:34.466 --> 02:32:37.248]  We have replacement filters for folks who have already gotten it.
[02:32:37.248 --> 02:32:38.688]  It does 10,000 gallons before you replace them.
[02:32:38.688 --> 02:32:39.689]  It is amazing.
[02:32:39.689 --> 02:32:41.310]  It's great for your home, your business.
[02:32:41.310 --> 02:32:44.532]  You can put swamp water in it, tap water, well water.
[02:32:44.532 --> 02:32:45.953]  Almost everything is contaminated.
[02:32:45.953 --> 02:32:49.715]  This is how you take control of the fluids in your body and counter the globalist onslaught.
[02:32:49.955 --> 02:32:52.398]  Get yours today at M4WarStore.com for a limited time.
[02:32:52.398 --> 02:32:54.000]  We're running a 10% discount.
[02:32:54.000 --> 02:32:54.961]  That is a huge discount.
[02:32:54.961 --> 02:32:56.382]  It's probably the lowest price out there.
[02:32:56.382 --> 02:32:59.165]  You need this filter.
[02:32:59.165 --> 02:33:05.072]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:18.229 --> 02:33:20.689]  I'm never going to build a media empire like you are.
[02:33:20.689 --> 02:33:21.409]  Oh, enough about me.
[02:33:21.409 --> 02:33:23.410]  The point is, a great collaboration.
[02:33:23.410 --> 02:33:25.190]  One of many to come.
[02:33:25.190 --> 02:33:27.731]  Because you just basically fact-checked and organized the last book.
[02:33:27.731 --> 02:33:29.871]  This one, you... What would you say?
[02:33:29.871 --> 02:33:32.391]  Did this book four times the work?
[02:33:32.391 --> 02:33:35.332]  Or that's just a guesstimation.
[02:33:35.332 --> 02:33:38.073]  I would say easily four times the work.
[02:33:38.073 --> 02:33:38.793]  Well, what do you think?
[02:33:38.793 --> 02:33:39.233]  Five times?
[02:33:41.759 --> 02:33:50.347]  Uh, you know, it's difficult to say because, you know, the first book... Well, we wrote a lot of chapters, we decided to scrap.
[02:33:50.347 --> 02:33:55.312]  I mean, we did a lot of... I'm really proud of this book.
[02:33:55.312 --> 02:34:05.582]  Yeah, and so I think the depth of the research and how much I went into things, you know, I'd say four to five times the work, you know, it's about two and a half times the length.
[02:34:06.355 --> 02:34:09.336]  But I think it's just so much more detailed.
[02:34:09.336 --> 02:34:15.679]  And, you know, I really wanted to hit things so that people would understand the military industrial state.
[02:34:15.679 --> 02:34:26.304]  How is the deep state, you know, over 60 or 70 years gone from something that we may have said, gee, this sounds like a good idea at the beginning of the Cold War.
[02:34:26.304 --> 02:34:32.566]  But, you know, as Reagan warned, once you build something in government, it becomes eternal.
[02:34:32.566 --> 02:34:33.847]  And so we have this
[02:34:34.804 --> 02:34:35.485]  We're good to go.
[02:34:54.699 --> 02:35:01.686]  They set up the police state for Russia in the Cold War, then it was for radical Islam under 9-11, and now it's completely swung around against us.
[02:35:01.686 --> 02:35:03.447]  That's a major chapter of the book.
[02:35:03.447 --> 02:35:11.355]  Let's talk about what's in these chapters, because, folks, when I tell you I'm proud of this book, this is an incredible book, plus it keeps us on air with your support.
[02:35:11.355 --> 02:35:13.437]  So do you want to walk through the chapters with people, maybe?
[02:35:15.418 --> 02:35:20.563]  You know, you've got all the copies of the book and I don't have them yet.
