[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[01:52:04.432 --> 01:52:06.294]  It said someone dressed all in black with
[01:52:07.578 --> 01:52:08.559]  With masks on.
[01:52:08.559 --> 01:52:11.041]  Those are terrorists.
[01:52:11.041 --> 01:52:12.242]  Are police dressed like that?
[01:52:12.242 --> 01:52:14.304]  Maybe those are the good guys now.
[01:52:14.304 --> 01:52:15.865]  That's the point she's making.
[01:52:15.865 --> 01:52:17.586]  Look, these are our police.
[01:52:17.586 --> 01:52:18.887]  Our police look like terrorists.
[01:52:18.887 --> 01:52:19.588]  That's the point.
[01:52:19.588 --> 01:52:20.468]  It's a sarcastic joke.
[01:52:20.468 --> 01:52:21.309]  Let me ask you this, sir.
[01:52:21.309 --> 01:52:22.830]  You bring up Bohemian Grove.
[01:52:22.830 --> 01:52:27.474]  Alex Jones, why they claim that the world leaders are engaging in owl worship.
[01:52:27.474 --> 01:52:31.717]  They admit, sir, the Wall Street Journal admits that they go do these.
[01:52:31.717 --> 01:52:33.839]  Spy Magazine, Parade Magazine.
[01:52:34.858 --> 01:52:37.261]  Number one, are you aware of Bohemian Grove and Skull and Bones?
[01:52:37.261 --> 01:52:41.087]  Number two, what's your point?
[01:52:41.087 --> 01:52:43.210]  Number one, yes, I'm aware of both of those.
[01:52:43.210 --> 01:52:51.541]  Number two, no, I don't think that they are items used to perpetrate control of the world.
[01:52:53.251 --> 01:52:59.214]  Well, Helmut Schmidt, German Chancellor, wrote in his own book, Men and Powers, that that is where they make decisions.
[01:52:59.214 --> 01:53:01.295]  And he said they do do druidic rituals.
[01:53:01.295 --> 01:53:02.975]  Men and Powers, political retrospective.
[01:53:02.975 --> 01:53:04.896]  Bet me $10,000 right now.
[01:53:04.896 --> 01:53:05.717]  Come on!
[01:53:05.717 --> 01:53:06.777]  Come on, Mr. Sanders!
[01:53:06.777 --> 01:53:09.058]  Bet me that it doesn't say that!
[01:53:09.058 --> 01:53:12.059]  Bet me that the German Chancellor didn't say it!
[01:53:12.059 --> 01:53:13.320]  Big deal if he did.
[01:53:13.320 --> 01:53:17.942]  I don't see that as overwhelming evidence of what you imply.
[01:53:17.942 --> 01:53:19.843]  You know when your guts were right, don't you?
[01:53:24.606 --> 01:53:25.927]  Oh boy.
[01:53:25.927 --> 01:53:32.713]  One question for you, seriously, because I come at this from, as a writer, from two perspectives.
[01:53:32.713 --> 01:53:36.256]  One is there are matters of opinion and others there are matters of fact.
[01:53:36.256 --> 01:53:38.278]  Have I misquoted you?
[01:53:39.187 --> 01:53:41.748]  On your website, as to what was on your website.
[01:53:41.748 --> 01:53:46.210]  Yes, you imply, you imply, you imply, it's a classic tactic, guilt by association.
[01:53:46.210 --> 01:53:49.031]  You imply that these are our headlines when they're mainstream headlines.
[01:53:49.031 --> 01:53:57.594]  You mix it in and admit that it's also stuff from advertisements, which on many websites are randomly loaded in by the servers they're on.
[01:53:57.594 --> 01:54:06.117]  You do all of this, and I would have to say that yes, in total, you have misrepresented the whole of what was on her site.
[01:54:07.921 --> 01:54:09.802]  Did you say her or I'm sorry?
[01:54:09.802 --> 01:54:10.482]  Fairly here.
[01:54:10.482 --> 01:54:11.362]  The professor!
[01:54:11.362 --> 01:54:12.762]  I'm sorry, we'll boost your audio.
[01:54:12.762 --> 01:54:14.723]  Tell you what, let's discuss this on the other side.
[01:54:14.723 --> 01:54:15.463]  We're out of time.
[01:54:15.463 --> 01:54:19.284]  Long segment coming up and I'll let you have the floor again and restate your question.
[01:54:19.284 --> 01:54:24.666]  We'll try to get to the bottom of this with Paul Watson as well as Mr. Sanders.
[01:54:24.666 --> 01:54:27.807]  And if we have time, we'll open the phones up only for our guests.
[01:54:28.337 --> 01:54:30.519]  Coming up here in a few minutes, 800-259-9231.
[01:54:30.519 --> 01:54:33.302]  I salute his courage.
[01:54:33.302 --> 01:54:37.367]  I'm coming on this transmission.
[01:54:37.367 --> 01:54:41.911]  Alex Jones here, announcing the release of my new film, Blue State 3 Total Enslavement.
[01:54:41.911 --> 01:54:46.256]  Blue State 3 details the architecture, goals, and operations of the New World Order.
[01:54:46.476 --> 01:54:50.880]  There is a chance to use this disaster for the New World Order.
[01:54:50.880 --> 01:54:54.002]  The New World Order can emerge.
[01:54:54.002 --> 01:54:58.306]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[01:54:58.306 --> 01:55:05.352]  We rip the Sinister Patriot Act legislation one and two apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[01:55:05.352 --> 01:55:07.354]  You will lose your liberty.
[01:55:07.594 --> 01:55:18.361]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[01:55:18.361 --> 01:55:24.245]  If you want to understand what the New World Order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[01:55:24.245 --> 01:55:28.047]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[01:55:28.047 --> 01:55:28.368]  That's 888-253-3139.
[01:55:28.368 --> 01:55:29.909]  Order today and spread the word.
[01:55:37.694 --> 01:55:47.017]  Now you can upgrade your existing gravity filter to remove chemicals such as triamethylenes, atrazine, benzene, chlorine, chloroform, and NTVE to below detectable limits.
[01:55:47.017 --> 01:55:58.581]  Black Berkey elements are so powerful, they remove pathogenic bacteria, cysts and parasites to non-detectable levels, and transform water, even raw stagnant pond water, into delicious crystal clear drinking water.
[01:55:58.581 --> 01:56:04.283]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum are no problem.
[01:56:04.543 --> 01:56:11.405]  Foul tastes like chlorine and obnoxious sulfur odors are removed without removing the healthful and beneficial minerals that your body needs.
[01:56:11.405 --> 01:56:18.486]  Black Berkey elements flow one and a half to two times faster than ordinary gravity elements, which means it takes much less time to filter your water.
[01:56:18.486 --> 01:56:20.527]  Supercharge your gravity filter today!
[01:56:20.527 --> 01:56:22.788]  Upgrade to Black Berkey Purification Elements.
[01:56:22.788 --> 01:56:24.928]  Get a two-pack for only $96 or a four-pack for only $175.
[01:56:24.928 --> 01:56:25.828]  Call New Millennium at 888-
[01:56:28.729 --> 01:56:36.331]  803-4438, that's 888-803-4438, or order on the web at Berkeywater.com.
[01:56:36.331 --> 01:56:38.931]  So what's in your shampoo, bath soap, and dish soap?
[01:56:38.931 --> 01:56:43.092]  Chlorides, dyes, ethanol, sulfates, sodiums, formaldehydes, etc.?
[01:56:43.092 --> 01:56:44.333]  Read the labels.
[01:56:44.333 --> 01:56:48.694]  Inhaling exposure can lead to coughing, wheezing, shortness of breath, headache, and nausea.
[01:56:48.694 --> 01:56:53.255]  Also, it may be irritating to the skin and mucous membranes and cause you to seek medical help.
[01:56:53.255 --> 01:56:58.136]  Perfumes, also known as fragrance on a label, can indicate the presence of thousands of separate ingredients.
[01:56:58.516 --> 01:57:02.298]  Now just by one example, here's what's in my CalBen Pure Soap Shampoo.
[01:57:02.298 --> 01:57:07.901]  It's all natural, earth friendly, it contains extra virgin cocoa butter oils and vegetable protein oils.
[01:57:07.901 --> 01:57:10.923]  No harsh chemicals, no animal tallow or testing.
[01:57:10.923 --> 01:57:12.123]  So what are you waiting for?
[01:57:12.123 --> 01:57:22.869]  Call now 1-800-340-7091 and find out how a family of four can save over $1,000 per year on all their cleaning products with CalBen Pure Soaps.
[01:57:23.229 --> 01:57:28.290]  Call CalBenPollFree at 1-800-340-7091.
[01:57:28.290 --> 01:57:41.773]  That's 800-340-7091 or visit CalBenPureSoap.com.
[01:57:41.773 --> 01:57:43.073]  Big Brother.
[01:57:43.073 --> 01:57:44.853]  Mainstream media.
[01:57:44.853 --> 01:57:46.593]  Government cover-ups.
[01:57:46.593 --> 01:57:48.194]  You want answers?
[01:57:48.194 --> 01:57:48.954]  Well, so does he.
[01:57:49.742 --> 01:57:53.925]  He's Alex Jones on the GCN Radio Network.
[01:57:53.925 --> 01:57:59.928]  And now, live from Austin, Texas, Alex Jones.
[01:57:59.928 --> 01:58:07.253]  Okay, here is the second paragraph from John Sanders' hit piece from Front Page Magazine.
[01:58:07.253 --> 01:58:14.998]  If you think the Bush administration planned the 9-11 attacks to give it an excuse to wage war for global domination, well, PNAC says that.
[01:58:14.998 --> 01:58:16.278]  Dick Cheney says that.
[01:58:16.278 --> 01:58:18.420]  That a Jewish cabal controls world events.
[01:58:19.252 --> 01:58:20.773]  That's just pulled from some other site.
[01:58:20.773 --> 01:58:24.415]  The President Eisenhower was abducted by aliens, again pulled from some other site.
[01:58:24.415 --> 01:58:30.079]  And that Nixon, Reagan and the Bushes go off on a remote California location to practice owl worship.
[01:58:30.079 --> 01:58:32.620]  None of that is involved with our website.
[01:58:32.620 --> 01:58:34.381]  Then you'll disagree with my assessment.
[01:58:34.381 --> 01:58:38.124]  The rest of you, I'm confident, will say, move over
[01:58:40.382 --> 01:58:52.873]  And then it goes on, and make way for North Carolina, Wesleyan College Politics, a political science 495, 9-1-1 the road to tyranny, taught by Professor Jane Christensen.
[01:58:52.873 --> 01:59:05.023]  So it's so clear there what's being done, mixing in a bunch of wild conspiracy theories, because sites that she links to have advertisers or links to something else, it's out of control.
[01:59:05.023 --> 01:59:07.545]  Then he quotes these supposed things off our websites,
[01:59:08.926 --> 01:59:11.888]  Like fake news, controlled news, when that's mainstream news.
[01:59:11.888 --> 01:59:13.349]  Everybody knows about that.
[01:59:13.349 --> 01:59:18.292]  And it just mixes it all in together.
[01:59:18.292 --> 01:59:25.257]  Paul Watson, during the break, we were talking and you were saying you had a question for Mr. Sanders, our guest.
[01:59:25.257 --> 01:59:34.542]  Yeah, I was just reading through the article again and it just struck me that almost half of the article is just copied and pasted.
[01:59:34.542 --> 01:59:37.104]  You know, this site says this, this website says that.
[01:59:37.754 --> 01:59:39.574]  There's not really a point to the article.
[01:59:39.574 --> 01:59:42.575]  I'm not getting a specific clear point.
[01:59:42.575 --> 01:59:48.036]  I mean, yeah, it says this is kooky, but it never really explains why with any opposing evidence.
[01:59:48.036 --> 01:59:51.777]  And it associates the real documented missions with space aliens!
[01:59:51.777 --> 01:59:56.778]  I mean, come on, Mr. Sanders, you cannot deny what you set out to do here with this article.
[01:59:56.778 --> 02:00:04.660]  You ignored the lion's share of serious material as you spanned the web looking at advertisers and things to come up with this.
[02:00:06.874 --> 02:00:13.096]  Well, certainly I focus on what to me seem like the more sensationalist aspects.
[02:00:13.096 --> 02:00:17.718]  But this is stuff put forth by this professor as daily reading.
[02:00:17.718 --> 02:00:22.720]  So, going through these things on one day, this is what I see.
[02:00:22.720 --> 02:00:24.181]  And of course I cut and paste it.
[02:00:24.181 --> 02:00:26.462]  You know, how else am I going to report on it?
[02:00:26.462 --> 02:00:29.783]  You know, I saw this, I saw that, I saw this.
[02:00:29.783 --> 02:00:30.403]  I don't understand.
[02:00:30.403 --> 02:00:32.524]  And as your key source, you use the Simpsons.
[02:00:35.468 --> 02:00:43.170]  No, that was a parody, a manner of thinking, in one of her paragraphs.
[02:00:43.170 --> 02:00:46.770]  I don't think that point is really that hard to get.
[02:00:46.770 --> 02:00:47.370]  Wait a minute!
[02:00:47.370 --> 02:00:53.592]  Are you talking about that comic strip comedy we posted where Eisenhower is abducted by aliens?
[02:00:53.592 --> 02:00:59.533]  We even have one where Bush... No, because the Eisenhower thing was not on your side.
[02:00:59.533 --> 02:00:59.933]  Oh.
[02:00:59.933 --> 02:01:04.834]  And you've used it several times already, but I never in that paragraph implied that that was something you said.
[02:01:05.310 --> 02:01:05.550]  I don't know.
[02:01:23.721 --> 02:01:27.504]  Uh, whose university is listed in the headline, of course, which is listed at the beginning.
[02:01:27.504 --> 02:01:33.008]  And then he's got a picture of European security forces and as the joke says, I'm the one on the right.
[02:01:33.008 --> 02:01:39.413]  I mean, it's a clear joke, just like your Simpsons comment is a pure joke.
[02:01:39.413 --> 02:01:50.881]  Again, when I asked you earlier, uh, what you objected to as far as my treatment of your site, um, I mean, I understand we're going to disagree on opinion and that's fine.
